f_id,i_id,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.mmce_mda_25,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.mmce_qda_25,ela_level.mmce_qda_50,ela_level.qda_mda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.max,ic.eps.ratio,ic.eps.s,ic.h.max,ic.m0,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.nn_nb.cor,nbc.nn_nb.mean_ratio,nbc.nn_nb.sd_ratio,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1,3,-0.0504794483359125,-0.0352572369156795,-0.04399882675522293,-0.03734552723479534,-0.06326636484713832,-0.042599287229066696,-0.03683595475626367,-0.007444515999746049,-0.05440304900404369,-0.04899792842013817,-0.06069597207440358,-0.07509553179679229,-0.04076425887671509,-0.01843862942111263,-0.04677307027757083,-0.021096370937236153,-0.01030240397564297,-0.009968967321503208,0.0,-0.01469856445969231,-0.007198538882685512,-0.014408161873535552,0.017248758551693666,0.0,0.012127005769042132,0.050776323480877794,-0.011247653670567903,-0.018498518076282056,0.01889586302805024,0.012467471254668738,0.0,0.02657806140067598,0.0,0.02385417864187367,-0.010393748975045636,-0.006934549048649374,-0.01595574962678903,0.012261496443877085,-0.025310040641524978,-0.027859150309758607,-0.07937431173620624,-0.04019826518225855,0.0,-0.014685759808207632,-0.05355969331820554,0.019906332522004466,-0.0071644948372685535,-0.12989574999965003,-0.12455539961330742,0.024409291267124322,0.0,-0.023642985261664196,0.0,-0.07415420151652385,-0.015193990070869412,-0.1310905043538918,-0.02651280748728313,-0.013380373014757807,0.07834888917313998,0.06507223728059408,-0.013861861009103027
2,3,0.039152525654599035,0.00440245147755669,0.02622767343988741,0.005528292271514301,0.022820609492631316,0.022335013827710526,0.04810752561539933,0.008924477248467122,-0.026823678850094845,0.008444799389599078,0.011463338398115752,0.0033838259522647185,0.060222620986799535,0.0008409478507011015,0.01566319032462804,0.012306088934033177,0.0,0.006420620934760146,0.0,0.029299343551069335,0.01887927587243099,0.0,0.14944200067337654,0.05827789285592089,0.045982717806147155,0.037909822673145355,0.039331733368617394,0.0601636071331213,0.06292399456376896,0.03999140164203663,0.0,0.016416226150951396,0.011094091927866367,0.028178883717047354,0.08008024013402482,-0.025427496042085274,0.034391957929666095,0.020158942157289195,0.007713598423890966,0.28024947988617366,-0.05677141102494854,0.019792496320754305,0.0,0.03175324675861213,0.3191620525159291,0.0,0.030618849098772438,0.20326299277520032,0.11815807990852445,0.0,0.0,0.06188023129423437,0.0084017314270175,0.013465936853451321,0.0,0.024340835038836328,0.0,0.005753037245341819,0.014573796592587618,0.001053734883899704,0.0
3,3,-0.021927147186093315,-0.007675248797416989,0.020880485956147624,0.010620263048002287,-0.009536305698695166,-0.02781294038707459,0.010586249730876102,-0.0021783747439706735,-0.01852502489998875,0.0105953143728902,0.0,0.015984078422649095,-0.01802363924511366,-0.011280303666227648,0.0,0.035062683550543636,-0.03011385939734476,-0.06520316592358158,0.017969343596911075,0.0075352198126376335,0.0,-0.02095027495031017,-0.015425974787089014,0.0,-0.01333380067232591,0.03158702679116043,0.027459552639134466,0.02612545490410588,0.019139008722507955,-0.011805053784154473,0.0,0.0,0.0,0.0,-0.020022882373278976,-0.010565267701283021,-0.020515841430556195,0.07527147254769423,-0.01610638593033492,-0.046882602873245555,-0.1030342142504237,-0.03705658557353427,0.012858695697926081,0.10473002771850497,-0.013292352593260115,0.023837794141102348,-0.014515261308821165,-0.030317332090091256,-0.021653221695959624,-0.11300615693640564,-0.004150774290558476,0.023631143394963458,-0.014677827756913786,-0.003842939916237756,0.012309649642872872,-0.00422161344518146,-0.022794000073727574,0.015331421313365845,0.03617638944848924,0.0352603115846437,-0.013540856971439585
4,3,-0.019533301589924987,0.012500947620833591,0.020557627761865108,0.0,0.0,-0.007850336087070767,0.0,-0.007289895922033426,-0.008400634345828328,-0.009071656992546723,0.010191678850988276,-0.005556253113842093,0.007180792083110385,-0.00632462427352741,0.0,0.006734881553368405,-0.011524268796306948,0.034123303895210025,-0.012541022024622539,0.013376673940022704,0.004402966991474133,-0.007636158917903382,0.027446704625650062,0.019773112761034703,-0.022040138027174375,-0.0475829997026088,0.025293142327150527,-0.008787024260756317,-0.04226043322677293,0.02559847186207513,0.00826099690435081,0.0,0.019394460275168002,-0.005147662202740322,0.036151984599724546,0.029182604765224246,0.018961055782118902,-0.0203211319763036,-0.026238986335350302,0.09915878080159946,-0.06364697756917168,-0.023735413078877915,0.016768879818276516,0.03702194638989974,-0.0049046411615286944,0.0,-0.01683948644507867,0.0,0.0,0.012687480998562081,0.025433962777740154,0.012869518600684832,-0.018908083312574583,0.012804020981020889,0.025104849083248892,0.016554819819315753,-0.047864236163743884,-0.008933898730712722,0.013757825599150939,-0.005857908628369379,-0.006448157631939816
5,3,-0.0013217251349070258,-0.008038521726357883,-0.014087388899347408,-0.015427775221760143,-0.013878458140469507,0.0,-0.01830385484148439,-0.013683920873291233,-0.005284453411288692,-0.001564443976577623,-0.003103020161753567,-0.007538342028295397,-0.00933664683531843,-0.006996154483383088,-0.013232042131024857,-0.02441981163033541,-0.018657759010999087,-0.03155678851547594,0.010083947189617193,0.024731385085915936,-0.014512466704854565,0.004284670177964911,-0.024151659222202082,-0.02215232129553979,0.0,-0.07132078192247948,0.0038891644748921816,0.01482067769720774,-0.06743234357234751,0.0,-0.0016404246788194188,0.024159171012471614,-0.005252868178213854,0.018408677348544233,-0.0070467914343169125,-0.013758034804395747,-0.008551973754386932,0.04470464655761788,-0.0051894987310204255,-0.012765804412645132,-0.09358227221298682,-0.02740607879647916,0.017665245214780745,0.03457582749329413,-0.025315761329326614,0.014859310805001802,-0.01830348513998764,-0.08398699483505684,-0.06956808818106142,-0.004080245800959892,0.007387443652318082,0.0,-0.0282827707851121,0.005116880740650032,-0.010144488796882956,-0.014963289764987175,-0.01881420310977805,-0.00944854899917602,0.029644430932101673,0.013822595811355531,-0.0016984581120889075
6,3,-0.010412676642738521,-0.012177680726769436,-0.01252121827022681,0.0009961364307372253,-0.012341292095513622,-0.015944682500672786,-0.002861432142430252,-0.011059589443693615,-0.006254960934803022,-0.006793125185502053,-0.009525352891726329,-0.0033132174395651987,-0.013518079921967619,-0.019223516935789206,-0.003585443413944382,0.0035963724201515355,-0.020586644303058406,0.01565562015797143,-0.003278081780407358,0.009504830570019877,-0.009270097178821437,-0.0017881904978534003,-0.0353780198382447,0.0040317139358862445,0.0028164175553977754,0.050573752240372395,0.017412763237188482,-0.002022306669759791,0.043884352744628236,0.006433726275299314,-0.0034680059865645693,0.005867500730158635,0.008728474246662666,0.002406842879035533,-0.021210303272782245,0.005530403880339038,-0.002154031909809864,0.028133197806354763,-0.02350553771202942,-0.01566283352781836,-0.06915736547585756,-0.03793573857675431,0.0078038080555234,0.021544220618149736,-0.027147389084188314,0.015519810668086602,-0.0101285618079487,0.09185406809385925,0.05563844125271085,0.010638315428063365,0.005009082159301894,0.008747181864066339,-0.005654741916849584,-0.0014570061256557396,0.01232706544655927,-0.015338740196451737,-0.00790904101202752,-0.0012818025821265833,0.019183691623199568,-0.01835431060686621,0.0033615023271154516
7,3,-0.018356896602195416,-0.011701554106498202,-0.016296078949638027,-0.0160355893126935,-0.013335614668987028,-0.014923499264470896,-0.02125125822756646,-0.018321978632286018,-0.022066613978040106,-0.013833989121394663,-0.022830351401546767,-0.02194239169909895,-0.014803850568744115,-0.015794629760134404,-0.01705588690980908,-0.01996001438148909,-0.014112859562887325,-0.025197368860958358,-0.019918490835393432,-0.00417712260452241,-0.0032933648008327543,0.0,-0.007326257854728346,0.022850171202985936,0.015546902405891627,-0.002553199527682959,-0.007969417574665572,-0.005189142350069398,-0.003006409251763764,-0.00375250134819205,0.010751395465972369,0.0042930736163268035,0.0,0.012366933321121876,0.0133201031004333,0.006188560332352211,-0.0010438670092674518,-0.019154196771549836,-0.029213899865565107,-0.016321973746539264,-0.07852758206233779,-0.02810741581382198,0.0115760474479778,-0.028345985582459043,-0.020909611091568137,0.017826389755369376,-0.011366111518604005,-0.043721604697670335,-0.044876117011732775,-0.006315106295150974,0.0,0.00733937532575446,-0.03022249678385336,-0.01857804450304973,0.004610403428821852,-0.01556394057974042,-0.03270648818451116,0.0,-0.010697761275532236,-0.05310890998371953,0.00779201667028373
8,3,0.010074425448870605,0.013760042787242188,0.016210402051612005,0.01000075528290123,0.003242704050708478,0.008361441031499606,0.010206666366855577,0.01665343574806402,0.011487615692996778,0.006895464152890357,0.015212595312016908,0.017707788761824605,0.014941909961732752,0.005064666955027219,0.012720471609519557,0.01807776773844419,-0.011149969498830625,0.006296790149818987,-0.006220632359982409,0.01923422041574152,0.006730014373706628,0.0060299162602635015,-0.013634929421206338,0.014879671967951758,0.0,0.10821483163289031,0.015071363694722673,0.005137358581027179,0.11657382899914509,0.0,0.0,0.006024604457738114,0.0,0.0,0.0,-0.0033557025489670544,0.0,-0.003013538210034944,-0.023503044270365425,-0.006533332550662407,-0.0632507556768756,-0.016661347605040233,-0.0024904102543638618,0.013132591307177643,-0.021948827474390364,0.007659597377826011,-0.01296370697892854,0.09940071876718004,0.0874629147625412,0.014254993993177423,0.005849343519250594,0.019532588020881925,0.019530031489061184,0.017515324722045422,0.024157183557214856,0.012163847880594103,0.020339419673218062,0.0,0.012887659847923838,0.0027730475720751935,0.004634599294277675
9,3,0.004847934478782179,0.01311632869568563,0.012196465727000727,0.017537725456390985,0.0,0.008252573380860162,0.018831129035980138,0.014363745672322042,0.010983220911706226,0.008003420207538026,0.0,0.021759738000589862,0.0,0.004799043186733409,0.0023822768683224582,0.016054845387517086,-0.019846627249160198,-0.010324552449523267,-0.010230549638924391,0.00906390941877766,-0.012636424183232131,0.008229451787315933,0.006729605380318554,-0.01509015143333925,-0.0075303899603706426,-0.010728761690318556,-0.00632587323012479,0.011769979416139997,-0.014525681565846216,0.0,0.005561481226531384,-0.009296161406195158,0.0,0.0,0.0068951034911472475,0.0,0.029029011088875928,-0.005402212424268971,-0.0198142403111273,-0.013096818346627404,-0.04937962124413561,-0.021594109536792472,0.010031573879227318,0.0033411339598122813,-0.01550598301238515,-0.007865521108473661,-0.008695242308754347,0.18836979644283258,0.14675460481657704,-0.004431572845911114,0.0,0.03326308744734108,0.0008648127253264859,0.05868829407875975,0.023881249440737745,0.07404602080089184,0.015443641904154204,-0.009156608183826964,-0.015758411095321723,0.020293999490142073,0.009526811989678974
10,3,0.05876114586375081,0.07063089275593226,0.036237971858923856,0.0497423968839652,0.057668048162546004,0.04817327470528254,0.044682553877037456,0.04316266443994099,0.05799042256369613,0.04134413690933725,0.0260808631617091,0.04054064065959473,0.0722234877729464,0.04685718409823614,0.0498492398790642,0.04706161201934078,-0.019801008603331116,0.025666688615872957,-0.014060629795211277,0.0035552328001335898,0.08799574527256149,0.0,0.08095135299447986,0.13666478926472447,0.023661000903011153,0.03306374452705052,-0.03517516492828898,0.006292832006228766,0.024943822509994495,0.03926949994287221,0.035618869022282285,0.005758113795640174,0.017200149662358166,0.018747415108719134,0.05657041735611301,0.012661330693835904,-0.017942844034141148,0.0,-0.014031676146585959,0.010315856005029378,-0.0381349910172355,-0.03209391571010367,0.044822634273756545,0.0,0.010921446420203207,0.02280130881292619,0.0,0.3177332389346186,0.28573765128771855,0.016557960755399392,0.03348096538847645,0.016484064674246568,0.01747542148724912,0.0,0.021281380233812097,0.02248059803593394,0.023409835319558425,0.011920625133479579,0.01856295196050939,0.1037216153167364,0.020552192128035163
