f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cor_init,nbc.nn_nb.mean_ratio,ela_level.lda_qda_10,ic.m0,nbc.dist_ratio.coeff_var,ela_level.lda_mda_10,ela_meta.lin_simple.adj_r2,ela_level.qda_mda_50,ela_level.mmce_qda_50,ela_distr.kurtosis
1,1,-0.4008537926268339,-0.2750181156910846,-0.40833837613590024,-0.07525866512607839,-0.031852175411848524,-0.029361936421444003,0.02799368865682187,-0.06776806384298326,-0.06083982420886217,0.02877164050879001,-0.007313469634879716,-0.040424613065559604,-0.0027855015431758013,-0.02675744958845296,-0.039933432021761764
1,2,-0.4041887080535507,-0.2819155524421622,-0.3926924334936745,-0.05882741792388551,-0.032298627355848264,-0.02799316491826471,0.019738765761163235,-0.06909711062442656,-0.06441014118107498,0.02499612812635949,-0.03726608959831275,-0.03915399371895639,-0.00488684607113674,-0.028721046988211728,-0.038858169503118975
1,4,-0.4078336622401086,-0.28557034682283194,-0.4041463288674572,-0.061079174784429396,-0.0286558839138717,-0.02866619592146579,0.0277084483245534,-0.07226158039475827,-0.06066410386246954,0.028874905450860435,-0.03205066904605169,-0.03890220669377063,-0.0032495524236730968,-0.02766121057043805,-0.03859739721304603
1,5,-0.40944178359993993,-0.28426059426903405,-0.40501889372118893,-0.061143657266132814,-0.029829109626438425,-0.028689000291252202,0.02768798293925622,-0.07134034363672886,-0.05790664086377491,0.028496402852244838,-0.03207678943983591,-0.03899089568182339,-0.0031578554660361977,-0.027927885642873993,-0.03987861740636098
2,1,0.2593497317671394,-0.23592270779452862,-0.739662409670685,-0.00027821965764398887,-0.01710099240429669,-0.013715001604420884,-0.026884022036105883,-0.032113807394643826,-0.0010197512145180792,-0.023773327724853126,0.017348075934745015,-0.01719240859148679,-0.01756195745868368,-0.00652582632271325,-0.02258263743270718
2,2,0.2349628436908841,-0.24281168761637822,-0.7688405988390516,0.0011586739316699058,-0.01821434391354641,-0.018876684622723124,-0.025417424863521384,0.0007676661659608297,0.004400684225386129,-0.026815727441751175,0.011944523202247209,-0.02788420699386146,-0.020723335181914007,-0.011838414141997175,-0.02425938045300902
2,4,0.2463826646326105,-0.2505895048480531,-0.6485907980580935,0.088477911506969,-0.014012969883120249,0.0003614869150151455,-0.02994632918420121,-0.03668604142786763,0.007502608167077868,-0.028226356471024547,-0.032077696103915365,-0.00010054406018744782,-0.02028415479972427,-0.011293595756350513,-0.030995326474013634
2,5,0.29941792993247596,-0.24839376073663152,-0.6514462523216443,0.00862649912841625,0.11939835331487586,-0.012609987342751325,-0.028026965775950523,-0.041901489453157414,-0.01815143204991859,-0.028873424539805577,-0.024661956548165588,-0.01614982721070734,-0.012800758061216342,-0.00849188640425393,-0.019382019424479636
3,1,0.3738045794452461,-0.22272320427396936,0.12809382369066186,0.012619013447908927,-0.03824862751654459,-0.02916293392253023,-0.029675412775549994,-0.01127954232348466,0.009136720010509572,0.03638645680646262,-0.036799099759897314,-0.018879032062508353,-0.018230243619437606,-0.007804086741756815,-0.009565457700736281
3,2,0.4184823737261657,-0.2164024837772545,0.127420242605361,0.058719311123309297,-0.006921374421645443,-0.030569645569360815,-0.06040807918166693,0.009264599443571527,-0.03303788986441584,-0.027076125235093493,-0.047872311534980304,-0.030931305858017465,-0.010210646565902788,-0.012081845440570452,-0.012678356039760249
3,4,0.41133098966337484,-0.22101611283217792,0.13029528780697147,0.03335620666035007,-0.02797669134794013,-0.032771464217397225,-0.06456005736258974,-0.0010597927757026852,0.0072312709212856196,0.01226762329371705,-0.03259425900154263,-0.031647809265989854,-0.01619470130681582,-0.007910223840296614,-0.006152577094930996
3,5,0.3710653177035324,-0.21847021015064105,0.1364744183783244,0.030319611408238398,-0.039043671985392374,-0.022621909609546142,-0.01883161324591088,-0.0015333162914548755,0.006674068390509189,0.010968532066685887,-5.5045593955548406e-05,-0.025002640424538796,-0.0035153892385435914,-0.02032464828671172,-0.004952343596406737
4,1,0.3472728372631656,-0.2079673825848502,0.1352453359937375,0.04618525644792357,-0.02528607009798406,-0.02357777539823561,-0.052205297263621345,0.014982322008677823,0.02507049322840774,-0.026279783255622413,0.03167494058820423,-0.018959948061612858,-0.0025222976785988283,-0.001770289080179418,-0.0010872925449237098
4,2,0.4036957238612605,-0.20944637782709527,0.1311324576432626,0.046789721108554026,-0.005338660103796262,-0.03171060120294095,-0.051683121877079366,0.007728967622937017,0.016819149736031914,-0.027543649553878252,-0.021155295954813653,-0.03215187308310223,-0.014000353248523402,-0.008169248817514858,-0.0032208543704781174
4,4,0.3932791484209453,-0.20734073291373029,0.13468585949550807,0.054085102072438794,-0.01717741758599746,-0.031046817661904386,-0.05365149787995993,0.004274911651153465,0.02261374146131773,-0.02780535979250942,0.03907472922245234,-0.030922272311806297,-0.015471687688683558,-0.011522394276907084,-0.005286048187946508
4,5,0.37491074955080905,-0.20685235864505952,0.13431670172767557,0.04950757977344166,-0.017824989546069536,-0.03227989149708387,-0.053021656422018934,0.017760589676083478,0.02443150689399586,-0.026236768285898576,0.029746725408716562,-0.02761932400377182,-0.01108138403631868,-0.014519576126375696,-0.004941531073484952
5,1,-0.3395634753967329,-0.2662494554716876,-0.31492925323528126,-0.0568158599427728,-0.02970994811491996,-0.017238180659593736,-0.01408761625670336,-0.05971358195922714,-0.04614837797318074,-0.010110546889930393,-0.03500543559133309,-0.035576202934655465,-0.01512971708555503,-0.02158566766557758,-0.04260965784365383
5,2,-0.34041470033729915,-0.2662438700999264,-0.3134879998861686,-0.05672714252293524,-0.029021037500447343,-0.017389014505034845,-0.014464247776743076,-0.062470309859892326,-0.04706903990067077,-0.010003314768073946,-0.03783306209012972,-0.035719891718963184,-0.014487873002431517,-0.021558365465159962,-0.042469531322968684
5,4,-0.339488245503115,-0.26698078476948245,-0.31201338279854685,-0.056646819178984856,-0.0293995965770452,-0.015156702847978125,-0.0148619445006452,-0.05537225746275467,-0.04543184952831147,-0.009975352366677142,-0.026135713424536577,-0.03164178616179329,-0.021260320770573007,-0.020944322278941663,-0.041431552839293145
