f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,nbc.nn_nb.mean_ratio,ic.m0,ic.eps.s,ela_level.lda_mda_10,ela_level.lda_qda_10,ela_distr.kurtosis,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_25,ela_level.mmce_qda_25
1,1,-0.46682542547565703,-0.25279721693612256,-0.31414954650780225,-0.12047663735097093,-0.07546451685457635,-0.020348133693220683,0.024001923888790112,-0.052942287827513444,-0.02332270630148017,-0.018307959172019918,-0.04379821161795896,-0.07303015651052064,0.02445364361320759,-0.0023212131322951435,-0.001389775522660445
1,3,-0.46588914236357737,-0.27356459753974594,-0.29253599667249197,-0.12132555751901003,-0.07767810031731662,-0.019819784067233254,0.015046195272574014,-0.029342529293222876,-0.02345697304678734,-0.02739648683557144,-0.04381771498533359,-0.0642119556404228,0.019088374305767278,-0.010938883575431336,-0.0316040595284324
1,4,-0.46919390089723645,-0.27448133094771554,-0.30259046706188447,-0.1218516736354369,-0.07411230518190329,-0.020087745232076345,0.023276860335376057,-0.03351985784090921,-0.023752099221705247,-0.02528784421548072,-0.044058552785180026,-0.06441140031473488,0.02494810996420999,-0.010676373975405,-0.028097873142958748
1,5,-0.46722472257121234,-0.27390093704004453,-0.3043633661576144,-0.1214516496504883,-0.0761662124403312,-0.0200622521075296,0.023344809101692888,-0.036480298179679335,-0.02371501824829363,-0.025330769695440097,-0.04412083097239527,-0.0642980838276628,0.024954230837199592,-0.010667597650822157,-0.02821491538482403
2,1,0.37084293102118837,-0.23881986231875982,-0.7209084004005951,0.019843203263764125,-0.07208575229929372,0.018586803732032038,-0.03258854758710568,-0.042957096134585704,-0.001503268485509074,0.04858774996809552,-0.020059968531661802,-0.04071777160807028,-0.03725896645668789,-0.007879992529126066,-0.02413588004404461
2,3,0.41326505584348966,-0.25614960937007497,-0.5280696219380159,0.05640264279216559,-0.0602066733412897,0.0377660106186158,-0.018425502308709773,-0.005056137541681425,0.056412894388887656,-0.020870877957911427,-0.017239431553690787,-0.04429620456502547,-0.030476206248099307,-0.003758071009453941,-0.009860567994107818
2,4,0.3814784805838448,-0.23244678540641553,-0.6597797237743921,0.030293974387171563,-0.07292120296743668,0.0016613163836108429,-0.03279626180393946,-0.03940155079218151,-0.0053599044063762525,-0.02804955814127726,-0.020624252106192807,-0.04870973858222695,-0.040358690824743366,0.02352050064179315,-0.01977291679253024
2,5,0.3911542014504189,-0.26114733096691567,-0.6034642672179452,0.035682096135434244,-0.06509408205155895,0.02710145812624311,-0.03161551611775111,-0.022180483440456457,0.15140120887536915,-0.0231086866059777,-0.017247478580165565,-0.04157287069657515,-0.0401377907477548,-0.00874994173478363,-0.019457732288154447
3,1,0.38369115226979195,-0.19829816210926704,0.09538696851853554,0.04214993421472758,-0.012526332726381267,-0.02270218116396382,-0.04313114569463387,-0.008936089363522332,-0.009336096158721168,-0.025264589739426458,-0.015331588983317004,-0.015664537181232206,-0.019294447527439987,-0.005980637578170451,0.024097155937033203
3,3,0.4142069898227836,-0.2177456773379439,0.09778416989761692,0.0579185075429811,-0.00408477388736976,-0.005527792566844727,-0.05963240074476416,-0.035086680146730206,0.003584007489812809,-0.023789619520620295,-0.009300519741577858,-0.030633512868092082,-0.05726362216345885,-0.02382097714788685,-0.0321271119097841
3,4,0.39129878191174544,-0.19967402198634882,0.09356540048123181,0.04999607120082486,-0.01006592949632137,-0.018272540904764975,-0.05503374234004073,-0.030507332908772652,0.0013360037177580816,-0.030804243578858446,-0.012393221038565539,-0.01845003625193854,-0.04017197929245659,-0.01801438585498926,0.007844630565083064
3,5,0.3613014234715641,-0.19369974483551552,0.0986886238139337,0.04223300675412207,-0.008106893687169941,-0.023186472593348877,-0.021220394110622848,-0.0070998987281513685,-0.015025856875576674,0.0005068629435915308,-0.0065940129886846955,-0.02829883158009008,0.016548682061596584,-0.005197169741440286,0.012597776833514318
