f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_level.mmce_lda_50,ela_level.lda_qda_10,pca.expl_var_PC1.cor_init,ela_level.qda_mda_10,ela_level.lda_qda_50,nbc.nn_nb.mean_ratio,ic.m0,nbc.nn_nb.sd_ratio,ic.eps.s,ela_distr.kurtosis
1,4,-0.29880834661358774,-0.44443519585826985,-0.3116642353317712,-0.08159835939197628,-0.0072680401961253095,-0.027936822900053417,-0.062380920023319006,-0.04480031830544381,-0.06934312409248398,-0.006842015620193329,0.03353593213072211,-0.07566310845638767,0.01555059268872715,-0.013720725990410982,-0.046606544894727195
2,4,-0.2581751033270004,0.3874646395156413,-0.5637077150183527,0.026711264480367317,0.03821390626029928,0.009429196607216712,-0.02330080277606821,-0.017086392854033204,-0.013285126573954104,0.014717535937280198,-0.04205574356093265,-0.013928632244075364,-0.04782043581936648,-0.008766725527675302,-0.021259433478090985
3,4,-0.23430755446080923,0.4354251106769135,0.11826089567034394,0.028412000664414926,-0.018624697661584477,-0.04904261118850601,-0.022570914523176392,-0.04570227844014962,-0.01848274484925681,-0.011801835137617676,-0.050678059515707106,-0.02240836139049881,0.057151385890520524,-0.012628823513813212,-0.004548491338165478
4,4,-0.2294626211463166,0.39175959497334506,0.1257237741234969,0.028560207865681093,-0.0034667669409496186,-0.05130018956438746,-0.008480817926810573,-0.044141526009176736,0.0018897439276796928,-0.006121458525991561,-0.047325267340377605,0.0010050917101351608,0.04786066998133406,-0.004097857674135005,-0.006197023847389507
5,4,-0.29007839723237483,-0.3854960508424014,-0.2523581329103298,-0.059002973437881176,-0.010573359951688942,-0.021093001768910317,-0.041946484456736995,-0.025134670539429978,-0.05235249262930598,-0.014380037477992593,-0.009379803355515401,-0.05533823841143976,-0.016637609640450825,-0.00991460458473282,-0.05023832312496535
6,4,-0.23659582922137,0.4411415435263968,0.10949949371772341,0.03364291662449958,-0.0007867284747828664,-0.03372075068758169,-0.016501423845423347,-0.04262019760730469,-0.015910908514878995,-0.014822241802910762,-0.05383811232208017,-0.040312437520146086,-0.09823209412936161,-0.0036245145903925145,-0.020046659204404224
7,4,-0.24480909436723883,0.43995400655774536,0.11615164350658318,0.025043967762761653,-0.023782452944047426,-0.00015062811018958303,-0.021641630337638176,-0.03983190857708513,-0.022244923857674497,0.025271254075690412,-0.06518673126382758,-0.05461104428193401,0.06540540127669499,-0.014131514183126847,-0.004124855189126643
8,4,-0.220899266751373,0.4478165984200574,0.13487813520467754,0.03898409874540587,-0.00014734389234969823,0.0017857167489767883,-0.023127503343976723,-0.04697642583709877,-0.006850076692434116,-0.006327092683848616,0.016269338677162067,0.0076217673342025075,0.0623395675918888,-0.005624299550943839,-0.00037717400700269533
9,4,-0.202638754437397,0.44550299244130676,0.22304930902350453,0.04660228193646101,-0.0015677164406896387,0.08237520859560754,0.01462938207218015,0.09153998954613822,0.016816652760132673,0.03277548883611712,0.1519393961454621,0.003928124401305572,0.03724990771152177,-0.0035374272247093975,0.013715824333400616
10,4,2.1046384597385788,0.4617580907854111,0.023132703018132222,0.1425246724370333,0.062241499451156104,-0.020646193285253002,-0.033772605378891776,-0.06975262143117729,-0.04388509509057788,-0.011741706067566885,-0.03363400188735453,-0.013124564870446106,-0.036533387928476095,0.06884701709716914,-0.0012663254100027362
