f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ic.eps.s,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,ela_level.lda_mda_10,ic.m0,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_10,ela_level.mmce_lda_50,nbc.nn_nb.mean_ratio
1,1,-0.34107488507297756,-0.21658394969888123,-0.348374032376622,-0.2006068535686319,-0.06285968126014635,-0.16618725583770477,-0.01104150532731514,-0.004904263985945187,-0.025354913465839162,-0.0017577492122924456,-0.03404162300170397,0.0006878668026250492,-0.007497163013445128,-0.007310403015570204,0.021708173139043975
1,2,-0.3529640209233136,-0.21223296283589907,-0.33782754120704606,-0.18468519315280754,-0.06511456622930673,-0.2005595916612442,-0.008170583062368295,0.006278181982727385,-0.03735205628238795,0.0009709071296708591,-0.05595174798687538,0.0037763148124695463,-0.005251278845750817,-0.007378281757824735,0.011048868889625661
1,3,-0.35509906160866306,-0.21331121973765302,-0.3283442997490489,-0.19825205022045858,-0.06552081486054534,-0.18724267941075962,-0.01095710264353927,0.0055745597781419135,-0.039962560634013655,-0.0019359322341509745,-0.054535048941289826,-0.0022934085881800032,-0.005365416913244932,-0.007128157848765444,0.011357928607922885
1,4,-0.34575577256123946,-0.21581387555601225,-0.3497286606867515,-0.2033849883722123,-0.06424666107642005,-0.18660148404831806,-0.010197893591778709,-0.006864614157969299,-0.04420793623692161,-0.002181098693902442,-0.036641169534121984,0.0012030185143232827,-0.0076041734781242725,-0.005623714457894916,0.02211755948529382
2,1,0.5154099784439219,-0.21562701355845543,-0.6464369648576597,0.03989168019397232,-0.045384688762327575,-0.11444281007324618,-0.021655198435104446,-0.009857990939600464,0.02089241636390902,-0.023990669061307292,-0.031032206025252702,-0.000900220444012298,-0.009265694771978366,-0.00956823870728841,-0.036124272663783256
2,2,0.5056044709249411,-0.17499653362099604,-0.7307809250151103,0.06482787505393968,-0.05026012526575412,-0.0300795038630711,-0.02281104297736519,-0.01536195561707662,0.02400259579587301,-0.0011304618548488106,-0.014416774998863456,0.000667161961413265,0.003452881299295671,-0.00925378757084321,-0.03578889844486156
2,3,0.5660717429917632,-0.17691659590865594,-0.46995244174546597,0.08914677721844254,-0.041334185743822735,-0.09903258924039234,0.004925190897268414,0.04083793855737017,-0.005722884149611507,0.00782054559244415,-0.034262592306444135,0.0009513512052256042,0.014693748233554255,-0.009438869367233304,-0.034385527074335745
2,4,0.5170705413706179,-0.191918972687875,-0.47214074581940946,0.042389659024627234,-0.017891715969233467,-0.11726141848420045,-0.020576347262251913,0.022109730415997567,-0.003347040510387713,-0.020101819010574666,-0.015728547569057137,-0.00012020825161345133,-0.015941956934418917,-0.009158872707307164,-0.04415053650705481
3,1,0.34774141668550884,-0.16992353989961984,0.10564026877670649,0.10560960090811743,-0.05929263127022635,-0.029957552164860516,-0.04171699930444657,-0.0012132115331689353,-0.03559852188175284,-0.011541664217565906,0.00016712521208123512,0.0008147810737703684,0.00941711086699795,-0.017087284284473654,-0.018597080912132448
3,2,0.3307409294832777,-0.1666893131099263,0.09845983988446282,0.11950077267058197,-0.03872375939904353,-0.03193624631900482,-0.00721598372895105,-0.019084115537957098,-0.021254921581001514,-0.003649188678558769,-0.007912028162378536,0.00021378223430963277,0.014045162334627676,-0.016955050636814708,-0.0805636293962685
3,3,0.3146597410323495,-0.16802757452967082,0.0843436145214047,0.11734875454830757,-0.04019657196844672,-0.03385388255364802,-0.007810944474319559,-0.017510537803976513,-0.021721460607202935,0.0003664788176792338,-0.0696769193124128,0.002566414191981074,-0.014454945106800825,-0.010119677633065672,-0.0873285573612496
3,4,0.33382224883163664,-0.17229238636854113,0.10198955067722566,0.11410095528253464,-0.04137841319481715,-0.03400953238282173,-0.02233827992660068,-0.018543872700068496,-0.027888059538529228,-0.002804327628446928,-0.0018723299019487317,0.0022752716374461715,0.014383227500276503,-0.008752483423889379,-0.0777242814519541
4,1,0.28705809609302635,-0.16784843154465673,0.12856545122399773,0.0973944656389096,-0.04561517356769237,0.05899091002853516,-0.01213913107716355,0.04693802959494548,0.057264240831293056,0.005992017802836846,0.007309526151209101,0.0010289561163302641,0.014030471830050581,-0.01577681528769178,-0.06889373552898778
4,2,0.30956651256681583,-0.17058354830978673,0.11069285944659124,0.12669895458095726,-0.03664336030943064,-0.0038244981760430343,-0.002820055906799704,-0.01783483089519328,-0.025796586211466344,-0.000779087624053434,0.0013339595247871157,-0.001237493320124905,0.015307473843010053,-0.017523054277140133,-0.06017391810301044
4,3,0.2851668255325878,-0.17033952162258253,0.10899601874058278,0.10828075046966595,-0.03941391803415894,0.001907360647455024,0.004780642544684146,-0.018102843682697236,-0.02399235397645341,0.007276311148121262,0.01484368089529319,-0.003011536810036711,0.014722693981007779,-0.017912410850694966,-0.07096236162720741
