f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ic.eps.s,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,ela_level.lda_mda_10,ic.m0,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_10,ela_level.mmce_lda_50,nbc.nn_nb.mean_ratio
1,5,-0.3464167272617694,-0.2155153323387769,-0.34867045706468547,-0.1990963228492997,-0.06384876682964466,-0.19459499175929726,-0.010290275979155342,-0.006408864259143622,-0.04409746482525121,-0.0031188890299014677,-0.03770223235395558,0.004438968234218037,-0.0055625932127008285,-0.005619995450009839,0.020865535917091643
2,5,0.526309419934794,-0.1865832898314275,-0.42805212264482856,0.06104172256892556,0.6706890011023179,-0.09314760561898566,0.004310874268627046,0.03790780627220901,-0.004471522788462819,0.007271734724998543,-0.03248507059725687,0.005698173237965539,-0.0021929755939190257,-0.009351248601708058,-0.037611219319859564
3,5,0.3103602880070653,-0.16507748846588072,0.1220985720180887,0.11720633061465634,-0.05318857500916756,-0.012759322336618605,-0.023461109214418286,-0.006319604465730553,-0.02673477472405472,0.009023763429325165,0.01808176333887372,-0.0045850844961632135,0.009952720287258085,-0.01514185025436286,0.06574018951513311
4,5,0.29599159510419676,-0.15616629988537745,0.1313445419980176,0.10012206825394832,-0.04418590130373175,0.06303394602875297,-0.014288610503790891,0.09942061677650858,0.06132410392062725,0.006257352247419181,0.00972704645916604,-0.0003572119178076364,0.012812653586275159,-0.016824595812924628,-0.06507994816485285
5,5,-0.3001038902393393,-0.20705985696289705,-0.28691153200970676,-0.170964897175118,-0.06433574196542935,-0.19190817953770503,-0.010073168645117401,0.011844624863073219,-0.030418899324446382,0.01191647036927001,-0.05343590268737036,0.0034853325715902086,-0.0027331473497342555,-0.0027982484507263652,-0.010531259700805073
6,5,0.3009201431619519,-0.17043470502104538,0.10816640017066628,0.11833497847205908,-0.04809204117184446,-0.011659974455679789,0.0008809834276877399,-0.018937798121782787,-0.03500734245012336,0.0031895703418421332,-0.0038527533001994204,0.00771055015850762,0.009086743370699734,-0.0218612698645928,-0.057722887673709214
7,5,0.2738716249915288,-0.18367036048331714,0.07514177144424085,0.07476805208812896,-0.08969292302575489,-0.1090052271785063,-0.020059866974812688,-0.0300289952869942,-0.03455268362292292,0.004024146288960665,-0.10048991581320005,-0.0018121172026742578,-0.04785782922491516,-0.04563062261754415,-0.08258686074481936
8,5,0.3161997264136832,-0.16800490445806443,0.12211320938437469,0.13271256181849458,-0.052000069855746664,-0.007582969898439737,-0.0005635752822022795,-0.013026924791848214,-0.03219301696463395,0.007606702486828887,-0.003786434937965168,0.008541674786181713,0.004495476334267833,-0.0261673170810976,0.057065764839024355
9,5,0.3528569864771706,-0.1422025581652133,0.2201742811595378,0.11711955914763647,-0.04779067180435327,0.09088345719671448,0.010404268631336356,0.08092410672831317,0.06272885474399674,0.002775934134855509,0.12303801861410256,-0.00048810307500249747,0.002931617339790827,0.07025251500519439,0.11098158911914187
10,5,0.6309264385011801,0.4377216555001352,0.10046912832499391,0.06605345640672827,-0.00998010656393669,-0.07584891792333284,-0.01118965351479535,0.12881482643691458,0.07307953602254107,-0.006167673545239903,-0.04850502567380572,0.001592587291195631,-0.008945839650099801,0.019894959166252685,-0.08005292509351151
