f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_level.mmce_lda_50,ela_level.lda_qda_10,pca.expl_var_PC1.cor_init,ela_level.qda_mda_10,ela_level.lda_qda_50,nbc.nn_nb.mean_ratio,ic.m0,nbc.nn_nb.sd_ratio,ic.eps.s,ela_distr.kurtosis
1,1,-0.28974393155520806,-0.4609395288569483,-0.31588860792368983,-0.08210406951583768,-0.007809382812804767,-0.009725500506944776,-0.06793021140965352,-0.04849575232681383,-0.0734955945670022,0.00176537710228932,0.032026948673857816,-0.08245854489209324,0.01787432645935387,-0.013217993307816828,-0.045093932428481816
1,2,-0.2980458196217416,-0.4462521165848179,-0.304624630619468,-0.062211916231496335,-0.008079227165561812,-0.027054746323117548,-0.0686413748409328,-0.04528273517371026,-0.07566669355452321,-0.008374991875084226,0.01340843658806368,-0.07732712552723854,0.01814137209007493,-0.014174385039717049,-0.04716608545710776
1,3,-0.2982591176140838,-0.44972071507033373,-0.3061833736709516,-0.06444024578098412,-0.008841683188817883,-0.028057451470757628,-0.0660705669910385,-0.045603903520798336,-0.07390038864963394,-0.008552559753535739,0.018643063566022463,-0.07688839283629735,0.017892492213224177,-0.014184985405001746,-0.046936739019733206
1,5,-0.29902473571794547,-0.44660871090437737,-0.31010601546657585,-0.08182297173541701,-0.007478630081781333,-0.030304693624479722,-0.06169755098568864,-0.04466328220391175,-0.07280653355189662,-0.006168250378386943,0.033350265792889924,-0.07960502678741892,0.01725299573865472,-0.014230766714335982,-0.04657374170563663
2,1,-0.2674350713286931,0.34265899698300667,-0.6822276899203948,0.010569501353123283,0.03756217739236093,-0.04157718292199993,-0.020275898878708305,-0.031156101413553013,-0.024979832066526566,-0.019693966572855704,-0.03839630651323276,-0.026632246440629847,-0.03848386752601179,-0.010547215133524962,-0.029933913272788604
2,2,-0.2685767383660921,0.3093532362234137,-0.6722044865711615,0.01417747670867124,0.015553562234241126,-0.046517940157636856,-0.020757274069213516,-0.04111586973196361,-0.023663033020637967,-0.01625426191927578,-0.03646532811384079,-0.013318808514531297,-0.04023975162199835,-0.011892059023048695,-0.034750395420670106
2,3,-0.2615477855485982,0.4191828615790768,-0.5265475381481635,0.05250087796974961,0.046372603328515935,-0.019456596902157397,-0.008935352857246129,-0.0064763936092380415,-0.019042266663253586,-0.016445892884144397,-0.03759713557637163,-0.017011680268012617,-0.03728220389474913,0.0643642071162212,-0.02024874731215484
2,5,-0.269373989571702,0.3763013725179029,-0.6219914998727079,0.01911802691158123,0.03148638894495948,-0.03367045552325558,-0.007986596290460167,-0.029585569019331036,-0.02536312889611221,-0.019742500020579024,-0.03752931182066928,-0.039114467206263034,-0.03649512304073202,0.11683128602219071,-0.033942414636617395
3,1,-0.2402395257511122,0.4108549629214671,0.11822489832012474,0.020028928003360175,-0.021656042566150262,0.0029311369896308343,-0.025403408692809284,-0.044956053641489975,-0.02438079007548616,-0.011165162974875138,-0.05172001798662969,0.004371717248789312,0.047023432821297534,-0.013076924081272307,-0.004163897894452288
3,2,-0.24073617421116725,0.4455478711312775,0.10861598171625131,0.034574968923901994,0.00010325384524755607,-0.02646780252130274,-0.019050745554852918,-0.04573155534478246,-0.019353227378490812,-0.024068298635139755,-0.050336707293802484,-0.03103614022885196,0.00600375686176919,-0.0018642953486321756,-0.02232358169850285
