f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.s,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_level.lda_mda_10,ic.m0,nbc.dist_ratio.coeff_var,ela_distr.kurtosis,nbc.nn_nb.mean_ratio,ela_level.mmce_lda_25,ela_level.lda_qda_10,ela_meta.quad_simple.cond
1,2,-0.4877059236090773,-0.2543128139991192,-0.3498704707901148,-0.035151136585903825,-0.08510572446529849,-0.01729601132418501,-0.04395761550223231,-0.03094345365786655,-0.04194320952479701,0.010356108405007664,-0.05973490454640941,0.004124201104824111,-0.01635356344194666,-0.034327364647930896,0.00971693244061954
1,3,-0.49390148645704024,-0.25440870035925495,-0.3549215110245636,-0.034938627002798074,-0.08503032337221478,-0.018336333200268062,-0.041852945133544366,-0.031551575294926346,-0.04013636930318795,0.017366209627626146,-0.06261912998959139,0.0075075473088857,-0.016202121605110514,-0.03409761265598118,0.009557124665119045
1,4,-0.49210961335327097,-0.25417177701495414,-0.3677428741165518,-0.03552224072934126,-0.08459519550960434,-0.018125308501903633,-0.046084770952034906,-0.03255987099221369,-0.045644787917566834,0.02094052865985772,-0.059809211915110086,0.023173402211556626,-0.016571621219649335,-0.03493140017259953,0.00972736592934279
1,5,-0.4953897049540903,-0.253641910362097,-0.3711913175624127,-0.03541904470955056,-0.08450696860811845,-0.017899673514175807,-0.04356343021402178,-0.032477706898374814,-0.0450111771784645,0.020737754995236148,-0.055692215285748393,0.02432105033938137,-0.011566930814492211,-0.03379070319203234,0.01060353965062332
2,2,0.35393875442224493,-0.2043526148691804,-0.7808445924157107,-0.015352397359464908,-0.017775245346444802,-0.00381446822884551,-0.001382091842679472,0.012955164014706318,-0.007470174418106774,-0.014994732287507601,-0.05550983961347781,-0.028371502000194518,-0.00898410440426935,0.00274809503689889,-0.022583159909362004
2,3,0.40455959630035154,-0.22410972162146825,-0.5313867297214492,0.09645719692205536,-0.04467283636231604,0.15939830887969847,0.07424053950808258,-0.00705871201595261,-0.005222925115634248,-0.006191030475198628,-0.05424670586609902,-0.0018060694492783578,0.00047737936670195835,-0.026993248890927732,-0.03456353354461626
2,4,0.4014327655558478,-0.22234221294556394,-0.7317613766278128,-0.01737924222219617,-0.05196091415415135,0.006538042552793832,-0.0045444689831592635,-0.017185753280833174,-0.025667269249819585,-0.015372200683783978,-0.06804740970119202,-0.0268416556656326,0.008525992684152559,-0.026614506050019266,-0.02297177560199606
2,5,0.3630601977497087,-0.23322873694101032,-0.6129214559096817,0.24283758321079962,-0.043675898333115054,0.1565805543549258,-0.00543714506510275,-0.007761238402310424,-0.026365085233339625,-0.015076343313199278,-0.04735273334107893,-0.018502029218562765,-0.00510598808601035,-0.027542216630100154,-0.03502468693504654
3,2,0.470318795064825,-0.18923197501471575,0.09684692654658435,-0.006515858921187997,-0.011116790054483764,-0.008984384815122197,0.011859020973130312,-0.015942164046468334,-0.051117728992906356,-0.026509430977116704,-0.02819992424495637,-0.05108588165280888,-0.015543782745404551,7.382113856097266e-05,-0.012705969656544457
3,3,0.46899373080955725,-0.18993246892090812,0.09589686365798748,-0.007917943697382551,-0.006413321140540224,-0.009134034369813703,0.0091976237470059,-0.016792038951558407,-0.05786427095517682,-0.03835129557524277,-0.02867736299538768,-0.05104242173126888,-0.01813598679073373,-0.012155143513901356,-0.012355062444575895
3,4,0.4706618996069372,-0.1809133603481464,0.09994913986087746,-0.013559156947657398,-0.015233388293743351,-0.026543338402287113,0.007826323425851538,-0.022844982819282544,-0.0035914512887672435,-0.02458594129095754,-0.019392967180130456,-0.05779029717304935,-0.01820093585063561,-0.005301785001652821,-0.006670487151059013
3,5,0.4362243298441937,-0.18706352316942115,0.1046206724871815,-0.021873732152638405,-0.01732762246414731,-0.029298654518236197,0.0009205904829392465,-0.011237682627866124,0.024369491239512743,-0.009709383439866083,-0.025022304464312015,-0.027421087864765405,-0.011573869037592362,-0.004707497004622435,-0.006306880718546344
4,2,0.47010536012714355,-0.17516209255972082,0.10657586782670103,-0.005971541003102734,-0.017963495313714127,-0.007586307185023403,0.009183457113214026,-0.0234596723818997,0.02247193073925686,-0.03555846716917296,-0.01710794525755525,-0.048468089705112065,-0.015940522041124783,-0.003853684193550624,-0.0154546877918294
4,3,0.42985816932146886,-0.17818593380768916,0.10624163072886504,-0.012318660817579144,-0.011224471041181664,-0.01323947086471313,0.007375437663356651,-0.011026765490128525,0.024852080075690994,-0.023931805371760137,-0.02124591775948822,-0.05111165573049289,-0.011950255964688093,0.006454669713002448,-0.004361561316422919
4,4,0.4160226523996845,-0.1738033525183846,0.10799841679143532,-0.00852828424096732,-0.007217053911326833,-0.010060294590301427,0.008434220842611438,0.006135262880774632,0.02922571487555142,-0.03459968339998098,-0.019123397071431236,-0.049017540981789544,0.0030484836548432524,0.005756099086698373,-0.02136275554099859
4,5,0.39764293600430406,-0.16619698581631492,0.11531219454329238,-0.00788455772483356,0.025825939152522456,-0.0099220853643808,0.007968990585997366,0.030830860221866402,0.029024457684804432,-0.02479054457931039,-0.019128448806144,-0.05462042104615505,0.030513806082624505,0.026123306438069344,-0.024693389515054395
5,2,-0.4171309703477243,-0.2466159035022082,-0.29449060958531065,-0.029253605819619537,-0.08200864145271923,-0.020036955851947716,-0.029511496544511077,-0.026929511851963114,-0.03317056257451741,0.001568803122921595,-0.059790419223746026,0.0008873393241515418,-0.009755691342454034,-0.03525540860915508,-0.004537279047672301
5,3,-0.4183513626947445,-0.24629330002874208,-0.2968328235848016,-0.029131310672272384,-0.08089937598752579,-0.018353117706195143,-0.02881001469160651,-0.02674937982321342,-0.030987799932868033,0.002867212544488859,-0.056173388061371066,0.0011883937251240546,-0.009167083759991406,-0.031600554839769444,-0.0035577953547366193
5,4,-0.41337757818075915,-0.24652721649702475,-0.2914680820426858,-0.0292438660463639,-0.07798898830609681,-0.019570716434671023,-0.028885568903611044,-0.028421184828815553,-0.03087247529145369,0.0028825106695216972,-0.059610257585779605,0.0014559164003471925,-0.009606775206594281,-0.03499500565262069,-0.0071622737603795755
5,5,-0.4102561391576191,-0.2473278651482758,-0.2865888581513882,-0.028676279187514454,-0.07499713217729416,-0.01775037740959508,-0.028186003749502253,-0.025998957235682033,-0.02882490122130897,0.004128873545992892,-0.05737543525177119,0.0020234459325937774,-0.00892097990855839,-0.032018268670115195,-0.005456470316255994
6,2,0.44837978771329046,-0.20474113352830814,0.08070398257334203,-0.007312096064734878,-0.015865700125376987,-0.011601292035205128,0.00415548101027985,-0.028380713476807963,-0.06530630898390712,-0.026384915638765504,-0.01753322533033907,-0.0624321235629896,-0.017396455627139207,-0.004392198173823178,-0.014714569277190089
6,3,0.43643364679564756,-0.2081148940562442,0.07519988369132943,-0.013060055626854609,-0.019014896600595924,-0.01364173765930389,0.0022379053129374165,-0.025400904750679743,-0.08050934849221963,-0.050247259934101215,-0.016139240498795254,-0.06458273985658664,-0.021031584246325397,-0.004186308157796253,-0.013869579119855875
6,4,0.4487757059606482,-0.20486150842243986,0.08769039244891799,-0.006670114903608718,-0.030909490814028426,-0.010938373880916048,0.006315572038506206,-0.018170948408418933,-0.07353927700266288,-0.04846673667339095,-0.03456294609725473,-0.05788500532343867,-0.018910131056163914,-0.014225466246922598,-0.01373611128672391
6,5,0.4345150696548219,-0.20855469956781458,0.08130075009336649,-0.013607660967013886,-0.02170503466517903,-0.010667810156182274,0.002890396200475694,-0.027519157408731468,-0.06668811231313843,-0.05239133547527378,-0.019585664719851886,-0.06272511085793463,-0.019928295706284873,-0.0034618848905440015,-0.01100537876770936
7,2,0.38955951546190465,-0.20875862497134362,0.0781997534201223,-0.017046247584145212,-0.07521838190077894,-0.024796064458106615,0.005026577159580509,-0.01753793175075958,-0.09271800976599101,-0.04340916406661226,-0.020479861484210386,-0.05407908005910518,-0.02047332063914593,-0.04857809933960634,-0.010198409659384452
7,3,0.4171384753381305,-0.20461955294274134,0.09352717397310348,-0.01693586854139822,-0.05826233598971318,-0.03026826033291268,0.006944144927401898,-0.011336698391292033,-0.03888367020089605,-0.04217676314489755,-0.006288022408300718,-0.05386422851212006,0.014640564815962504,-0.03876994745706449,-0.013742866261143362
7,4,0.3757337880297823,-0.21063772325125651,0.07039873820621878,-0.02978863198684758,-0.09420743858769295,-0.041675995171928666,-0.013302341321824493,-0.0339109547917633,-0.08247026508925638,-0.02751631233513427,-0.027351435213425784,-0.061003164607082716,-0.0299036629033043,-0.06034803090879211,-0.019689625008724516
7,5,0.36942456910579585,-0.21230636645435133,0.06554361839790246,-0.029990770843201512,-0.09048335000453257,-0.03705163354671572,-0.00750447557210706,-0.03595574178779776,-0.10584379418299059,-0.04860729980126789,-0.026190083651552752,-0.06412943437053464,-0.01910324920849054,-0.05873072227023772,-0.021760063811700828
8,2,0.4818531989406291,-0.16748850527034834,0.11182944455574763,-0.010639559907990464,-0.017126912839429645,-0.010167397045624929,0.007482474683435945,-0.02218265099373512,0.019047604178040745,-0.009261314265342609,-0.013940880869454452,-0.030807929217299936,-0.022950945929241472,-0.0052211496019645,-0.02128706210028726
8,3,0.5023993918318733,-0.16989454826973452,0.12116206520931173,-0.011259082541607218,-0.013391789701325037,-0.009577528950999994,0.010262729959245596,-0.020954460254663097,0.029836583358346533,-0.007022781260024954,-0.0238652160004197,-0.025150232197321036,-0.015969878563712736,-0.0019531271526804766,-0.009827951886257189
8,4,0.49561297210488303,-0.16640438866665003,0.12059640508581977,-0.014014340160606199,-0.01590817217672444,-0.011865173192686703,0.009786865699494192,-0.020743058362665188,0.03211779823096951,-0.0035083446613162123,-0.00487780974672621,0.007176197066646554,-0.009853261408642422,-0.00562009666547485,-0.009091271132630873
8,5,0.4934160771375644,-0.1666209008890576,0.11820947527289191,-0.013626506571501515,-0.020251047772245373,-0.011857059443124483,0.008298006675945413,-0.02362037763439945,0.03051486406590387,-0.0068533667980732686,-0.015769087509594923,0.00496871222313939,-0.012970478457264767,-0.007429319101697227,-0.013212226469441611
9,2,0.4766846241432939,-0.14921911479114489,0.22903370019778474,-0.010020984906094356,0.03670732129751336,-0.010886961577238823,0.01188666195744533,0.03007490473412999,0.029921247542907148,0.11598341466381655,0.037235394874471583,0.16177840228081047,0.037332137686126074,0.029913815783667478,0.022042457507842377
9,3,0.47499171311042926,-0.14810045962760565,0.23194083752289826,-0.0032999748480925678,0.030180976488611115,-0.011552221167855476,0.012887126014458034,0.030049738695117584,0.0313505065725304,0.1095962335049638,0.03761007285109782,0.16279633553921927,0.03665888009147536,0.029361665048604466,0.026418916429425503
9,4,0.4737445864874094,-0.14952825924043514,0.22811517179742888,-0.009944361327338766,0.03298035722219517,-0.011271906942559883,0.012296822757217928,0.030337363232755325,0.02760461914747777,0.114058962503869,0.03681838594584005,0.15656610752561712,0.037263533076740754,0.02693807716403918,0.025304253358879026
9,5,0.4533022609674283,-0.1742321421226001,0.21979034437079215,-0.004085343826606768,0.03133497675328068,-0.011317603654688549,0.012431992353066043,0.026673735908681655,0.025200552560078665,0.0946944042403481,0.034260062838867684,0.14095923594188917,0.028854193223966835,0.025119633194254934,-0.0028913905451292635
10,2,0.5940305940961385,1.8599748517994068,0.005983296844074833,0.194754188375806,-0.04943573734106177,0.1441892254621151,0.08067525246435332,-0.008732487876801599,-0.01935499247759221,-0.014402457026893656,-0.0741820237268832,-0.030826162521813485,0.012383426192726357,-0.04409700183960881,0.010982157572453199
10,3,0.45224247928190003,1.7327418903210032,0.041027025843430896,0.049104056792548194,-0.03908323290306931,0.1697031831999313,0.009822953698200645,0.04879749110525365,0.0009678675777527859,-0.009094187096857394,0.028259709384567875,-0.018340347410423837,0.04278506510912821,-0.022794897434142168,0.024709309665492167
10,4,0.7148439349931437,1.8249800341843077,-0.004454274809715092,0.19454217250136022,-0.045962205720155885,0.18917532661008446,0.08093125623501611,-0.003516321823922277,-0.015458321302260622,-0.017893111000560024,0.0032264647277338576,-0.02397412298054935,0.014666347131305851,-0.038290921373072315,0.02220029268299603
