f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_level.lda_mda_10,ela_level.mmce_lda_50,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_25,ela_meta.quad_simple.cond,ela_distr.kurtosis,ela_level.lda_qda_10,ela_level.qda_mda_25,ela_level.mmce_mda_50,ela_level.mmce_mda_10
1,2,-0.2855939035267545,-0.3153582391736135,-0.0331354320879752,-0.11376101890972079,-0.11627545078428075,0.15867312935221878,0.11373063101706737,0.01892126188180654,-0.3677816598249171,0.01688106321552163,-0.07660820859433382,-0.07583765199513215,-0.0466482483536953,-0.043109619376827446,-0.16308303774335164
1,3,-0.29965662760656275,-0.3376066996153485,-0.024701806994893882,-0.11260421895342365,-0.1067465873762048,0.06604866959514638,0.08391228009643992,0.016964367334575403,-0.3791904092646431,0.010431601637365895,-0.07569662679013833,-0.08160718701670133,-0.03914288002956512,-0.05424432164149029,-0.1170588375051207
1,4,-0.3033953693742505,-0.3519713908486154,0.03465755721462327,-0.08699282947083775,-0.03602606873247227,0.00510971753153866,0.0,0.015199371454716504,-0.3311820857275607,0.016876348223841542,-0.08238079407137683,-0.058555646204947354,-0.04483938035519475,-0.05643816110849231,-0.047151901499858706
1,5,-0.30635409364575683,-0.3505714365828648,0.036253795590980964,-0.09404020909348587,-0.038913765866682604,0.0055464183077916784,-0.0026083282538125196,0.013031800979005359,-0.32064691648644106,0.017324658370571955,-0.08096997475095824,-0.07040444889077802,-0.03862392137778925,-0.05319900064204486,-0.042287719701885385
2,2,0.06403899649517425,0.08313997974631088,-0.07121680720961987,-0.21333979105859313,0.05836441914606261,-0.08633500492036839,-0.10333454238078488,0.02243664219794561,0.2418515916464608,-0.7019153718149002,-0.05639466015866512,-0.022877558859084046,-0.07128339323536181,-0.022530090423951044,-0.0535238606568309
2,3,0.18485614429673825,0.18670311513217044,-0.06991818783291018,-0.01853572491739297,-0.01631641915582621,0.10571282667355822,0.19519458709076487,0.021053543372353378,-0.1274648049442107,-0.7630795693324365,-0.05820618358381219,0.10363235241160754,-0.02696887410500949,-0.015989503810194067,-0.012056006693220267
2,4,0.04912939130260424,0.055877669354045534,-0.011296540753831907,-0.020732381398146593,0.010820183628968971,-0.057178649069930865,-0.07153475706243428,0.0,0.03964950396188627,-0.4658778551875513,-0.03736888240430947,-0.06911363893465194,-0.3237331403867384,-0.027742674240199827,-0.005838742506926398
2,5,0.12188594479099535,0.13381862514126175,-0.06800328979867881,-0.03796476221723183,-0.014812343039625753,0.04518050802155088,0.09938014286872171,0.016412226588762513,-0.13038667491847916,-0.839970410727184,-0.04385921630429834,0.010600203116549856,-0.041628078025736426,-0.04297776909832751,0.016182939571335875
3,2,0.0,0.031074359822073207,-0.23828267297909933,0.022220677866221786,-0.04010294880513158,0.14790977760806792,0.39020343775642846,0.0665609251276126,-0.20519049484297916,0.03961513756257751,-0.07640177193991146,-0.12267922842279623,-0.0060233625093238,-0.005899122742441136,0.07704774221280061
3,3,0.07268011868666772,0.032285001633298484,-0.05557395492378815,0.0017723751792682874,-0.007360633233352412,0.3618888567566509,0.08721997156385708,0.06324736180719412,-0.27366621269473523,0.03404572789365134,-0.06848619861378114,-0.08094208833032115,-0.031338958341701716,-0.019372102193657537,-0.05766249793523931
3,4,0.010648151043399674,-0.009243304783720721,-0.09014945847806158,0.06254355088537301,0.13415674969964095,0.09837296033459837,0.011639782477682301,0.08736253112038281,-0.16067162970646687,0.03667178759672461,-0.0779261364926531,-0.07279608122569328,-0.012999322744091936,-0.02750263672793633,0.07338222917952264
3,5,-0.03729634920871608,-0.08418026968108147,0.07931934272545144,0.05623600638772516,0.14358279521049022,-0.0894271067348137,-0.06747248185188548,0.10853646614507617,0.11602074414404878,0.034466649317153486,-0.0868793037998146,0.08165035062729276,0.03099212070749452,0.05541576924827574,0.02415772394868504
4,2,0.11270791884472323,0.08988040152781888,-0.10774061344135057,0.07595186026147935,0.10460039740597096,0.022020205415685848,-0.002571757970995084,0.08489709925731245,-0.1484096483673256,0.029759453160267124,-0.08209419148988795,0.0022986588093982657,0.015279232040707885,-0.029686212593903652,0.09246066861587654
4,3,0.02861950290228274,0.0,-0.09627751998400418,0.04680786847745741,0.15325677395116305,-0.09064808987918536,-0.06512617868722592,0.09722787266448206,0.02105042642312424,0.03109011576379231,-0.07866817151505358,0.05489019427495229,-0.0020781324901670076,0.008805863166197511,0.02166947492170833
4,4,0.061851310223905095,0.04059010310971467,-0.12434362962409873,0.004964497682014735,0.14367666589248107,-0.1267616907238817,-0.06772389740757097,0.08727163289674465,0.1794496652137512,0.011065622273227924,-0.07475413337112594,0.07271607197198482,-0.019793569413252256,-0.013172648255379046,-0.047007095445941505
4,5,0.038515117905713867,0.04610791057149907,-0.21533062654005086,0.028735812593458948,0.12112320201497709,-0.11283800945259881,-0.04578139384752361,0.0835884396258538,0.34649430639690615,0.021737563873446872,-0.06908616337402212,0.05506272924980948,0.01778816350193438,0.011845067945338628,0.02593850206380971
5,2,-0.20268128397902563,-0.2122581120089656,-0.0962652019401608,-0.06526734221573471,-0.08832513245237322,0.040692322860007846,0.24767633526221722,-0.023328504791084836,-0.24470580768532307,0.014911520101063724,-0.04967312655492173,-0.04784297929594972,-0.06501325442060107,-0.02643930594748861,-0.37411831457121814
5,3,-0.19602951013070863,-0.20943607815480123,-0.08184663098081268,-0.061537707882133086,-0.09734369478385296,0.07571699053551567,0.23669005282754818,-0.0065179180831834715,-0.24747561842194443,0.016155025285461422,-0.04546610452327354,-0.05218239638071226,-0.06510196186519207,-0.023652285914071314,-0.40281356775515254
5,4,-0.19647750943364195,-0.22152189160326496,-0.0877280670166024,-0.06501924333974463,-0.082930221564812,-0.04589188814179962,0.23866168223467293,-0.01777702028557404,-0.2375250948070633,0.006309332439415005,-0.052194453675950214,-0.031796779922835805,-0.056926711014285036,-0.02579439263844624,-0.3525724157164083
5,5,-0.20180247271307006,-0.21141692736018924,-0.08606227447269366,-0.06570378183934966,-0.08505818438917312,-0.07191710690970232,0.22736103726557594,-0.013050790003354074,-0.24940227536629284,0.007655008558923759,-0.05814739943744951,-0.05394884846427728,-0.04917371029471823,-0.023585548988085514,-0.3438282827532345
6,2,0.26572233560671865,0.22636286877933992,-0.08530860563631883,-0.08318495016829008,-0.09214548955430135,0.02454536314376876,0.018029648949779167,0.058085418883958476,-0.3099650190271438,0.04099139294165589,-0.09511891487018775,-0.08426984938638828,-0.014278474643652325,-0.02673514713664979,0.12157608418731083
6,3,0.25961104310198696,0.22096160348262595,-0.07140296899249823,-0.048652337208832816,-0.11304154533565654,0.08495254279187116,0.05272797387528304,0.056012046204797036,-0.348896291599488,0.04216981664566059,-0.09035913165637295,-0.08541678202979142,-0.019378129631095503,-0.029965829741154304,0.06739373082073456
6,4,0.25641471826141005,0.201145034476491,-0.07718038309148847,-0.050104940992564066,-0.12748297764840083,0.21868594766903826,0.1316281161126608,0.04951132029351221,-0.3003049584607437,0.045138483280752095,-0.08232097707607605,-0.06946189420722756,0.007429906792515276,-0.021434910456563247,-0.06283035781515445
6,5,0.2585608126965594,0.21139557233136907,-0.08885003072964558,0.03374934665741945,0.07762047655882362,0.0033196193653030268,-0.05902184738308757,0.07022823864371786,-0.26231209844291264,0.03894347769183431,-0.10906924532388745,0.011326754658802979,-0.030851813181895088,-0.026928797262357265,-0.07555899523011994
7,2,-0.03307215499274435,-0.0725243914724498,-0.13245788255031343,-0.014326249843562996,0.018983407838370603,-0.0916191189766179,-0.04379435471369167,0.05848347195031439,0.1106233879609138,0.03261091958732443,-0.07171519918221281,-0.07461087612341163,0.15865153665553625,-0.07180531643443572,-0.03735978673187065
7,3,-0.07893824470229766,-0.11202120715425545,-0.1294227931582926,0.054596177137121615,0.15378514663976456,-0.07700352927430286,-0.1287456956099935,0.06875414630189955,0.29518605924946456,0.03464558227604615,-0.07029253755852952,-0.14752404974738226,0.14457751205013814,-0.0748385901550158,0.0299138760463276
7,4,-0.09639488423857678,-0.13592532218317377,-0.0208835648855627,0.056198031643270197,0.06174608346156646,0.03741072087349204,-0.13811120388749507,0.07105656725361609,-0.020296159568658406,0.0312666146577428,-0.08734685488474694,-0.17663206818950306,0.12662529383995869,-0.09521928604262,0.018025633894201643
7,5,-0.06569699084766012,-0.1010933904777859,-0.11770822117370253,0.0,-0.06546036669398123,0.015831427340250392,-0.005824372060233701,0.061681580624814075,-0.10670951219234467,0.029360565234818947,-0.07168669522811263,-0.1116679106322877,0.11427163268583496,-0.07155969706445198,0.0
8,2,0.2035773368712531,0.19158546150478284,-0.00988462869782665,-0.07324107763291848,0.09642184188132287,0.050972287187674686,-0.07429039851391775,0.08212297911643206,-0.18250615580337348,0.04130884421453504,-0.09120590461699879,-0.03133736964675025,-0.017277283422837908,-0.007981313709444493,0.1599961080586371
8,3,0.19843688719751865,0.1871080552611726,0.009361570718229684,-0.0575972328440261,0.10522904617761564,0.020623226848877338,-0.08189336622374851,0.08608399011471515,-0.18261523914344302,0.04309375175978942,-0.0895253646436603,-0.028555639660935744,-0.0190298644106034,-0.004076175400166068,0.15849820942268944
8,4,0.23391579405547683,0.18658879553488425,-0.00551385030369822,0.08226399746029878,0.13579137676339684,-0.08304283945042715,-0.08447759441631852,0.0943377945104148,-0.11119767444104786,0.04120205599125876,-0.10901432455181018,0.03749138904846566,0.03231185955930943,0.028693642257889118,0.038045567748473175
8,5,0.19559050340274114,0.18165133378984438,0.003411156287724759,-0.060601354654031034,0.10500061094401757,-0.009475034808969274,-0.08017755451287431,0.08852650168955227,-0.14679249218156287,0.04391680538134004,-0.08459899669287686,-0.015071632786963093,-0.017405948364744836,0.0,0.15243756427745364
9,2,0.30791022834878995,0.26148449583731687,-0.022306618795065347,0.06476592444120277,-0.18605882876172908,-0.036588881836480625,0.07986415888935072,0.09883300495335767,0.2302117075937965,0.03918596315128192,-0.022543252522206902,0.007001762991517224,0.028194414253200073,0.09856254585054736,0.03046372836330391
9,3,0.3072708903537057,0.2690945363615384,-0.02600816679769513,0.06404703151847879,-0.1834856434363134,-0.03291880888582732,0.08347180463591364,0.09908150001941918,0.23296352880295196,0.0416127372186435,-0.0276305835246885,0.0227664810323438,0.02497746506849635,0.09726615966556945,0.03765761854818073
9,4,0.30301279549649124,0.2646333955152066,-0.018561994511105184,0.07246262430186667,-0.1740720583971468,-0.037707019531857955,0.0888125022909868,0.09885785708187633,0.23420960044864836,0.037802531928167016,-0.026352326198868292,0.0157072059916048,0.029034770704123913,0.09846774750064474,0.03440564886543318
9,5,0.3059737940561458,0.26466589802465235,-0.028740640159722552,0.06796177296406525,-0.18352765040793745,-0.037917584189977926,0.08027586367043571,0.09738653097007322,0.23353044490461855,0.03783982853835416,-0.020914341807681147,0.014029554154324053,0.027725854541905015,0.09520554571098233,0.03860577230726614
10,2,0.5474552222782381,0.5182057585705471,-0.024791756640300866,-0.019620281684782803,0.17971052507304774,0.10989020443673359,0.2687799895692742,0.0702768853438216,-0.035077403483864567,0.08041255269889991,-0.03535959150505574,0.863774181996646,0.1404360627190384,0.08007540104401434,0.056910766146362146
10,3,0.6646137407320771,0.6548937303875568,-0.09757386693864589,0.28587905456898133,0.32468713060852084,0.10003585372290802,0.007519400188320757,0.09412108880800862,0.6312468345860447,0.06790786983960784,-0.01972189288235371,0.0524478802974786,0.061636139315542904,-0.04428177642299125,0.157849249296234
10,4,0.49050229272226,0.47376117830402853,0.0,0.11460625770871213,0.07930740555501958,0.2545506754847766,0.41792364968492146,0.06739723419452726,-0.03601410278926309,0.09311907412753251,-0.021048977847540673,0.811713792572379,0.0,0.10109682728598024,0.07393235197637127
10,5,0.7072362226352711,0.6636488866416677,-0.06712537552566422,0.2591058902298251,0.28495088022594595,0.0902909279390478,-0.03292328969244074,0.0923138533843404,0.5883846820352945,0.0616642451990318,-0.032460523219090875,-0.049820721572038984,0.042673585020711835,-0.09130452575881143,0.17604074968111227
