f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_10,ela_level.mmce_lda_25,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_meta.quad_simple.adj_r2,ic.h.max,ela_level.lda_mda_25,ela_distr.kurtosis,pca.expl_var.cor_init,ela_level.lda_qda_25
1,1,-0.251716875753793,-0.2484919938762884,-0.007330517818394333,-0.48399010576020796,0.027167225522670924,-0.029283456741747704,-0.05599106992895819,-0.03401115045636571,0.0,-0.07018562102159853,0.20507807975768133,-0.06992392766508726,-0.04191989692869502,-0.2546302693854481,-0.01918778510745045
1,2,-0.26124113410322714,-0.2614528065557046,-0.06238360184974234,-0.3582515021340854,-0.06869899277583635,-0.14649289190961445,-0.01925325244583531,-0.03489121010118856,0.007994755292970224,-0.0747898177427826,0.157873638649196,-0.07719038029219827,-0.045657498528610674,-0.13137386410263163,-0.07388035066711951
1,3,-0.27832630528252034,-0.269916318920709,-0.05366720099903444,-0.38293102483199326,0.01916607922650959,-0.13122696497849018,-0.018964675093713912,-0.03594000067233383,0.0057918428792965715,-0.07690090245326875,0.19245527135323448,-0.07366985387770619,-0.043276493663961524,-0.12629649292643252,-0.06182940540710713
1,5,-0.29665926709090784,-0.2994822792084145,-0.045329103949108385,-0.5544871429754887,0.10360441168944223,-0.0875931979607587,-0.03457255616824084,-0.04199496554164628,0.0,-0.08620133776410932,0.1755665768001563,-0.07728369300719384,-0.04748669294236585,-0.19308112893181595,-0.049726295219133076
2,1,0.09228957400074717,0.08559685969369818,-0.03745799879113354,0.018764551171621235,0.0,-0.015016644343534225,0.0,-0.309696264632856,-0.4750080848927994,-0.06660400623044449,-0.05697139471700646,0.044312855291772535,-0.035143431078728415,-0.08820700971863821,-0.004303620571180389
2,2,0.0944408618726626,0.0798041298878106,-0.03710144266255372,0.018129636117914127,0.0,-0.098890997137145,0.0,-0.3130924086787814,-0.578323200087671,-0.08312892541092876,-0.03467535946915745,0.11952624121325384,-0.02217869082939261,-0.10437139938796874,0.01853903531076795
2,3,0.16390705180216686,0.13619495988310906,-0.02844553888644688,0.026167644406320023,0.019502923631189828,0.034048927866135115,0.0050706925007385495,-0.3824831166177042,-0.2546471738987873,-0.03666775303471534,-0.078668574820841,0.0942234348810703,-0.02754649869123585,-0.040657589928728005,0.03467276646782147
2,5,0.08697880586086526,0.07383160627727625,-0.030969464686434356,0.013421016073222325,0.021014589226765967,-0.030040389381994936,-0.009022698128709816,-0.3358129698357808,-0.4396488796902223,-0.051665736877015256,-0.07718470993030996,0.08020771497979318,-0.025350592469463806,-0.06626613998665892,0.0062482918508079965
3,1,-0.0898385051821133,-0.09044085752070219,-0.05037976978534907,0.08424451613066775,0.0,0.01572857725996464,0.035031684867343954,-0.011583651364442338,0.019265074738914617,0.013213417525995877,0.20104284819437848,0.06175812676125583,-0.037700631848109956,0.10575803654097328,-0.0063309318000409065
3,2,-0.01982094206614546,0.013929062509362905,-0.06807280516517404,0.03709661704728276,0.060402111975882244,-0.05786499863803844,0.01799704531964752,0.6208099936717384,0.027005302117984964,0.006797289956552502,-0.276119781909293,-0.001953740738740384,-0.03421827073467315,-0.046983426951182294,-0.006898152744855612
3,3,0.03451193297065802,0.0081302098943014,-0.05745911632631201,0.09244723641629068,0.013663524177866954,-0.08373369087464999,0.025098219225280227,0.2253996676388973,0.025574222048685088,0.04565693204967068,-0.3455371988075899,0.0553538530750228,-0.040851722849939084,0.018903810808971064,0.005326293420592126
3,5,-0.03149728713526073,-0.05892964456794837,-0.05278563588108212,0.08218214228472293,0.008953869519133406,0.02655774865581058,0.034665348597812146,-0.013856654848481156,0.01719508397699357,-0.0025983608889316445,0.1585257519422163,-0.018806106204052125,-0.037614275975969544,0.13545743396040077,-0.00673444614845109
4,1,0.038946568994947306,0.04899541075254189,-0.03780719600326017,0.0805768822761038,0.03291490520663703,0.10187644859637268,0.029721297089951665,0.11519914292198591,0.02339237616733173,0.017464551976943403,-0.34977150102603205,-0.03364466254490511,-0.04227766602162142,0.13367849663351283,-0.003153359908323383
4,2,0.07827051256960392,0.066247364741903,-0.059406954490772726,0.0025246399798620756,0.09410963946226945,-0.031367134727520174,0.026524857766271948,0.3702786325773937,0.03693859377564289,0.003795064055653191,-0.26819076554605964,0.008189140037857853,-0.04146792083919102,-0.09675797038431234,-0.01801003714869115
4,3,0.006219837200574799,0.0,-0.057764074828737105,0.007393242870415664,0.01854105932178126,0.013626652616195972,0.03498677252863788,0.4141330319365627,0.02543946508244195,0.009364684152113778,-0.13032628039873437,-0.037837737286744784,-0.0336560609867051,-0.13140191817562713,-0.016760715591479958
4,5,0.03805667678616537,0.06064496046966744,0.003392213461376109,0.05659771047451845,0.031017415538053122,0.10408185120700708,0.02663579482434797,0.2758155448895582,0.026352760325624502,0.011969158793423196,-0.28314983295234003,-0.02279708386710244,-0.03621709856862168,0.06134391387095803,-0.008142758101580161
5,1,-0.13296806494357022,-0.12736421981288915,-0.07592940296227169,0.162333391820493,-0.42505907420369626,-0.060261131732768314,-0.03558147313480797,-0.029641358228447823,-0.0030188577694478247,-0.05867352751454047,0.022703380022531583,-0.19145563045127156,-0.04796764950853688,-0.11150409342725132,-0.16305255395496565
