f_id,i_id,ic.eps.ratio,ic.eps.s,pca.expl_var.cor_init,ela_level.mmce_lda_50,nbc.nb_fitness.cor,ela_meta.lin_w_interact.adj_r2,ela_level.qda_mda_50,pca.expl_var_PC1.cov_init,ela_level.mmce_mda_50,ela_level.lda_qda_10,ela_level.mmce_qda_50,ela_level.lda_mda_10,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.cond,nbc.nn_nb.cor
1,3,-0.19875443322604658,-0.29295727280246786,-0.39303587300910436,0.09400844179946999,-0.0997705664748918,-0.3157039516056179,-0.050778113698980665,0.02152134923842508,0.017547593121401528,-0.08951165562305585,0.01070396083505909,-0.02051537298737105,-0.042964247300366076,0.017951591613527773,-0.19253460251468435
2,3,0.2691405980682616,0.3307561760297564,-0.1102001349708709,0.02027107738531142,0.006938005805060543,-0.19105283908513898,-0.031017186687563925,0.03662385703014148,0.1315407901362301,0.6134369796662892,0.10445911777170758,0.021922605835574427,0.017722481481207336,-0.910183576274814,0.08093534202329389
3,3,-0.009134936411830358,-0.058313741870459984,0.043419115873370995,0.07176349167069215,-0.11764421149498144,-0.07447816491906994,-0.14920812746307832,0.06676128853015406,0.06490435681276366,-0.04548713440156171,0.020809000787896437,-0.2184410536849588,0.033978773239183274,0.04946086796889965,0.060996487646723774
4,3,-0.031272386589442244,-0.07133024700424566,-0.10544410943777922,0.017587392144372146,-0.13538881013380655,0.23378956084665975,-0.10435678116481815,0.07601284243677596,-0.009950031618275179,-0.07562656013875191,-0.0555969474689956,0.0022774517606413414,0.03388706795661457,0.04488769519484705,-0.01973327324352217
5,3,-0.28670731931453763,-0.36691922560712953,-0.05229908168558128,0.23216313452276505,-0.13287845311722912,-0.6695890801758098,-0.18260394227852572,0.0,0.12944808222350845,0.00727219629082565,0.10302576602592173,-0.22971401551552106,-0.04680318056402677,0.028853492635502742,0.016776004278781897
6,3,0.2098937715996789,0.22733707101898337,-0.12137854548527241,-0.01175530349406656,-0.12253292212583979,-0.4566081851421037,-0.0398405292918278,0.06736046371134746,0.04683813430044746,-0.12932223663317943,0.045149822335758955,-0.029145962451287658,0.06128334432879336,0.057313464503432734,0.09832715504936701
7,3,-0.10203767185243852,-0.15841728397668242,0.059482700062769865,-0.05145647312125767,-0.1320239102869913,-0.21974554442704797,0.20932995574101138,0.06143028563651023,0.050527307172010205,0.0935796248785846,0.08240585373734387,0.09528410635254367,-0.004532140669404425,0.04568216367967551,0.029527429832319846
8,3,0.16724808105986264,0.19188258766925528,-0.21876741381777795,-0.0024728805776869506,-0.11168873330629506,0.1421472208417174,-0.05461335842017627,0.06511757827219396,-0.010342993920290176,-0.10004036710181263,-0.020293003889036584,0.04943275903525124,-0.0688176311279539,0.0467541686129336,-0.28611480126208
9,3,0.23715886410772347,0.24151952785050845,0.10209249087470573,-0.01664522086242326,-0.10912444409207,0.46724320408050124,0.23110848176188103,0.049068464968540004,-0.18406302369112948,-0.06416336429380609,-0.07478655615522856,-0.029848604037259863,0.05217265073050187,0.03948618699775247,-0.12336218194815762
10,3,0.4884014423069727,0.6107291355926079,0.33882709903569674,0.0778516822345332,0.09999692467152288,-0.24424082082979715,0.048518280412642945,0.08686897994782461,0.16448645844135523,0.15125730227201606,0.16695918131023402,0.19984950349036357,0.034104991853547095,0.07609382695650235,0.1619459696254406
11,3,0.4478186412261562,0.5432564766664889,0.24628420690514385,-0.1581798235500329,0.13651280838763746,-0.2399338094292751,0.008195718252248074,0.06797279522361,0.14891094968003116,0.3869678992955665,0.13812281929428794,0.08702609796639771,-0.3429743077351005,0.05889410779324922,0.04501469575461692
12,3,0.5890944141977785,0.9704306578402577,0.2924538823939846,0.07960688449251663,0.8611547788097096,0.4593034041003903,0.011291549844386406,0.07685117619992932,0.15278449943311,0.0,0.11284281838185017,0.0,0.14206243085958192,0.08090776894355134,0.004184119932396868
13,3,-0.03795536098432717,-0.12582849326379036,0.22335660747593075,-0.01984551472033859,-0.1087801958703937,-0.08158075421025282,0.1862081074366396,0.0610991258942685,-0.003315170347298377,-0.02590219373099935,0.019465116304159452,-0.11886726228631057,0.22210549673444893,0.03374775568659419,0.03917856235097919
14,3,-0.22522992961837945,-0.28358488196641257,0.1820913545708001,-0.0072046413522495745,-0.1467286566911014,-0.0660182024125697,0.022788047031323255,0.04878015581217532,0.02067455142846994,0.0,0.010779245143151817,-0.09870297197224448,0.13137395596042,0.03740390703854074,0.015716245431396325
15,3,-0.06576120507853601,-0.04702691163081721,0.18971739897355622,0.189508853358488,0.09080941588973551,-0.05337438615936271,-0.09293700512214587,0.06467114170574778,0.08360433561315372,-0.05611116783324269,0.04765498813022126,-0.1823442751439846,0.1277381878319642,0.05067448425270035,0.03143307942388407
16,3,-0.11559312744148609,-0.14776640864288193,-0.12284615478373628,-0.09081235174234897,0.07157475105578243,0.3260529222104377,-0.06336181301300581,0.010728986707763843,-0.18598268611531532,-0.03740659764202309,-0.23028640664236044,0.06877960393334875,-0.12345569591137434,0.015391812647417014,0.045271920496022355
17,3,-0.2800831706384016,-0.3301652723040571,-0.020763285501672835,0.04980999927315577,-0.18624401642198019,-0.27620990447031046,-0.13386639703869896,-0.027856027365029457,0.04099831191559894,-0.09111475695043114,0.0,0.04412753208546549,0.01377116185699423,0.02908257030228867,0.07369834274452947
18,3,-0.179673740845813,-0.22282919961260506,0.03156777881028727,0.03806920719573925,-0.16433967401168437,-0.2559822053687921,-0.12153495157190819,0.062169301520877074,0.039778423169488875,-0.09169961746790867,0.004122978733187954,0.03448275336903861,-0.002895891505282633,0.03603887075683665,0.1795471523050879
19,3,-0.22973933375333913,-0.2629142971796403,0.11743821601154525,-0.22358405577690954,-0.08026467798256609,0.37500659423775684,0.17598371549302383,-0.02188424265494804,-0.2293669447544312,-0.10397539172332274,-0.0906721006030799,-0.020213873182705233,0.059102638230986326,0.024345877087783407,-0.08390411510983364
20,3,0.11879412437620251,0.12935078305424358,-0.36043446588139405,-0.004449201050877538,-0.13714278804864974,-0.1568024648368158,-0.07244357893993225,0.06575028220992346,0.02844994205510251,-0.08979094563747975,0.01970481836018831,-0.011096764761570399,-0.06528239903164351,0.04703239013421717,-0.14103558702571423
21,3,-0.21357999138808736,-0.22183469576070602,-0.1255786466974964,-0.06332512929317885,0.2499786994142549,0.31761389315418675,-0.003966180992841684,-0.30779415763241125,-0.11149550339364411,-0.051455779323248296,-0.11312546024502051,0.10507192226048787,-0.0880851450253976,0.017093829058949628,-0.015006257216669816
