f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_lda_50,pca.expl_var.cor_init,ela_meta.lin_simple.adj_r2,ela_distr.kurtosis,ela_level.mmce_lda_10,ela_level.qda_mda_25,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.lda_qda_10,ela_level.mmce_mda_50,disp.diff_mean_25
1,1,-0.24950432159373548,-0.30045848663137636,0.013812477603903472,0.03838236050358823,-0.01732652603962881,-0.3194076294575736,-0.1807409444416337,-0.06866547157519587,0.006864272999183574,-0.12517091237295097,0.011700094697773444,-0.06255016394776503,-0.08186559299736851,-0.06306818370779821,0.05299105095768164
1,3,-0.2733329448209124,-0.3053255004907316,-0.0237184317065543,-0.03232369904243826,0.08083721129752341,-0.3105787599487445,-0.09603587015965387,-0.06540074553155684,-0.013935094664950909,-0.03497856608542471,0.02063524076476031,-0.3101319678594049,-0.07973917709300926,0.004386501220644656,0.09349903469494869
1,4,-0.2868542933588878,-0.3299990553291716,0.0,0.010097259920655799,0.051198873670597056,-0.33445613010386654,-0.1593793811138381,-0.06464522528724526,0.060904100355326674,-0.05979428344742799,0.01888060958153448,-0.2457412103265555,-0.099650378626566,-0.023007346422206698,0.09041694913385889
1,5,-0.2890402400680905,-0.3317191903185106,-0.0042726322590447285,0.014718237260355593,0.04248346508302914,-0.34323603986081375,-0.15489301605773864,-0.06739415810792204,0.07200505192304618,-0.06130832622177451,0.020572961244522348,-0.229821369726812,-0.08545290135660077,-0.028611779036130436,0.1012348862576411
2,1,0.12005762036332518,0.1186134563523783,-0.06476031894821016,0.013711916000883673,0.007127774747639537,-0.09928205198607387,-0.18350273267763123,-0.06178050415096259,-0.007486766295798253,-0.014549988546251169,-0.6100596453000113,-0.05207633918960708,-0.0168300186077579,0.014808728903312696,-0.021541166389724586
2,3,0.1746340406255573,0.17252657084634931,-0.06130177983325594,0.014286683333431832,0.10492047756796444,-0.019403227516843702,-0.08962887832878341,-0.048069424459324536,0.03578633174049034,0.012927359775953468,-0.7757367413936626,-0.14808655619694852,0.27698384000405907,0.05251476716522918,-0.03251800493672241
2,4,0.1271222284140739,0.11850038018052467,-0.0189677218826243,-0.05616416832214366,-0.0308906938711615,0.0,0.0,-0.04774377944278896,-0.005617298838738627,-0.49370407538622213,-0.49929892994624825,0.06374140359714003,-0.05120431071171472,-0.02373327498120764,-0.03565980147100367
2,5,0.1324732636363622,0.14115839766991597,-0.05873718070735895,0.008637473267745721,0.05402248988942582,-0.018949062971744646,-0.09502147302681674,-0.0535453050741585,0.026497390888524208,0.016987968936974296,-0.9245493654618497,-0.12076307846374168,0.11932328866285219,0.01654463391850447,-0.03867502362551434
3,1,-0.06448833621315098,-0.07863662660615174,-0.013027696485013202,-0.04717022388318526,-0.03689437039758661,0.09137047349124243,-0.053882996493507085,-0.06335772773168642,-0.011003498078536011,0.0,0.029017009695991233,0.053126783528056706,-0.008578698307891847,-0.024904192814423534,0.26772959795220214
3,3,0.12493610194966087,0.08887234325829607,-0.037023831624510964,0.011135241303108013,0.09131130145139998,-0.05715942520919656,-0.08565839751598257,-0.06281177076646519,0.057321882043198505,-0.004188559782939215,0.038368285039390604,-0.2731229353102002,-0.015353076243944073,0.050798487066486146,0.0848818135131777
