f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_distr.number_of_peaks,ela_level.mmce_mda_10,pca.expl_var.cov_init,ela_level.lda_mda_50,nbc.nn_nb.sd_ratio,ic.h.max,ela_level.qda_mda_10,ela_level.lda_qda_50,ela_meta.lin_simple.intercept,nbc.nn_nb.cor,disp.diff_mean_25,disp.diff_median_25,disp.ratio_mean_10,ela_meta.quad_simple.adj_r2,disp.ratio_mean_25,ela_level.lda_mda_10
1,4,-0.23075903292347943,-0.21206903935346177,-0.025685206973041108,-0.409805007243236,-0.06335889217161395,0.027016464470973167,-0.007549361827355439,-0.0032691221041194485,-0.003847693367450944,0.020186433334126397,-0.08163288853102857,-0.027388015400443888,-0.05561974668065606,-0.029861732965300702,-0.049401559653919236,-0.05175922207638606,0.0,0.0,-0.10566716703498935,-0.009560053843981065,-0.026405748661765815,-0.018949965031580307,-0.006499983497758155,-0.04998061714718538,-0.0020508144703588194,0.0,-0.006741366342767563,-0.023756233601699983,0.0,-0.018070456481622754
2,4,0.25585122779802233,0.1792351135195358,-0.04742518992814826,0.12902953144447882,0.036269462858293994,-1.147587489774959,0.8425312535070518,0.01961856830576486,-0.20071641328529954,-0.2894912727118456,-0.0837956078033838,0.05214344946873922,-0.12862406433805618,0.17818340626551527,0.03316565238158031,-0.08679568466601867,-0.02441464039359445,0.04689464900258017,0.031567030917656724,-0.021967553740856627,-0.029621684594361264,0.07285005810053236,-0.02422223665105372,-0.010510288900897169,-0.026063431232386747,0.030223907945039152,0.03760243116098072,-0.3170055402440757,-0.03418329356860739,-0.47214025915655145
3,4,-0.07854636377462765,-0.07870269212898934,-0.033793026933404635,-0.1992659906214599,-0.03950813438721534,0.05245683039580196,-0.04061515094711382,-0.04244242280938726,-0.04692104161653221,0.08250518939057291,0.0,0.026063168754845767,-0.1052068324423383,-0.007281460841871923,-0.07497671296542252,0.01319245003587144,0.008028861661864117,0.0,0.008576077508667623,-0.19350327304466636,-0.053450920383371514,-0.019544863117342937,-0.022673553352688836,0.0,0.028731858233112972,0.028208320023118127,0.028506688247030287,0.10071518487645253,0.02661519096939835,0.008245712603179522
4,4,-0.028683061051698294,-0.019113467440359383,-0.028506258667940015,-0.09639556449937778,-0.03793545838453087,0.04837213906155537,-0.02848385404302741,-0.019215104236437672,-0.0025544815524529627,0.08610033703318852,-0.0904864368895249,0.02693751602789153,0.016081536834861826,-0.01013023704405231,0.03422455998909499,0.031826708589913405,0.013259949046791446,0.004717751195110205,0.01612224581415507,0.06318751016327935,0.036820899057089455,-0.01573771199967664,-0.024564952755156612,0.003626202190741487,0.02834932265410252,0.016328243080167046,0.018416500369023973,0.04205497178762101,0.0047590422732434814,0.10788714296648988
5,4,-0.10540171042293167,-0.1079511966898149,-0.022955001254874596,-0.0464086775928777,-0.07035532037312531,0.049050505729617444,-0.08889183548095936,-0.0065474012715750485,-0.06652324785408115,0.00837801749690159,0.026150859040002916,-0.2992898973209769,-0.020764961209282062,-0.09868385195663454,-0.03167931034611415,-0.1908843758377854,0.024128809816820196,-0.019912732002916544,0.011172381296582823,0.024992914484079254,-0.0083113698445344,-0.004072610026800649,-0.024920049189931293,-0.003355794957670244,-0.07098431572590214,-0.0537890212337534,-0.06401336244102462,0.017047037819841404,-0.06425661690459605,0.029117676558281014
6,4,0.10633149855351182,0.08724162515581704,-0.026196780506783285,-0.06350006440405752,-0.038271515811679396,0.05963601846284887,-0.021660434234466647,-0.0202322732549187,0.012124036719934927,0.0,0.053134874164898954,0.009988271840249764,-0.06445609252913935,-0.012295393644405357,-0.029315455409915744,0.0,0.016821031890909905,-0.008091517828112838,0.007146255641058953,-0.005982078092268337,-0.023458246106334228,-0.004663104516943396,-0.011252669031921455,-0.00549067648428609,-0.019433520016147652,-0.019259220786091512,-0.025581343190962755,0.019170346907881646,-0.01787509280068074,-0.008157049439531092
7,4,-0.10588514297592577,-0.07851098679958873,-0.02746525111041037,0.09368310602723762,-0.05156686308026459,0.04157114231804454,-0.07834003108840559,-0.029241610889972958,0.013888379549136437,0.006604584411220027,0.11142337063592644,-0.003538445903823295,-0.09480031038065578,-0.005860874213946821,-0.019909551194544073,0.0,0.013102057384177745,0.0034739653860270114,0.0,0.01864806500242655,-0.06940208150372545,-0.00522477400348631,-0.016736420198357582,-0.004005425569515053,-0.0497464293979219,-0.04927104700492191,-0.03333252397130049,-0.03308505592665112,-0.04070882609475593,-0.05287277636219412
8,4,0.044421655237537105,0.027355516547637043,-0.02517551211339067,0.09713453452792031,-0.033268869941463955,0.048591348544245766,-0.020917812596417562,-0.019086519564592633,0.01469561685350812,0.019854783005374466,-0.018451965214397403,0.019919976366317982,-0.031167927220486058,-0.004759971336040447,-0.022493674348087092,0.025919989426614276,0.013634056573345515,-0.0002486949693473878,0.03327372388830305,-0.004291639634918604,0.006125421155185606,-0.003720228430643513,-0.013979102716000988,0.027983620048018826,0.021919475704246974,0.018490491380263374,0.013353661099405056,0.002916955972810553,0.021228956804871774,0.009588507122514245
9,4,0.18277930245319285,0.1456380842771342,-0.03092969705950238,0.12464663730064562,-0.03260216195511084,0.04876783027427811,-0.03114793988719622,-0.01760078336164783,0.1263951299533444,0.017635305236994636,0.04613823154954799,0.017503905140878295,0.031042806651495114,-0.010920231226597577,-0.025540009480685577,0.028493255120047745,0.012226084609708976,0.0009306769654251479,0.060679066790532143,-0.009966257166698522,0.05394141733687363,0.006118949326125445,-0.002305378811228498,0.03900463273834265,0.034764822089424274,0.03543714001552839,0.021977139438453586,0.04434137062822774,0.04319958983704564,0.09048536239296012
10,4,0.5546368877991392,0.4961844462466445,0.0,0.0,0.0,0.08747404112508628,0.0015462868493554272,0.0,0.004794444203205073,0.0023751562195089004,0.24931507622347104,0.03360899753973312,0.9783211076408267,0.0,0.022920259299851642,-0.001954610006163593,0.022741063834148756,0.0,0.06715571335859583,0.0,0.2248074377484235,0.024800936662974893,0.0,0.003059956732319069,0.02366917261284085,0.023536541022878943,0.020606554627883078,0.0060030438555731536,0.015032763598171961,0.0
11,4,0.3941221135784583,0.3289271574456156,-0.0194287298771455,-0.11534348829696084,-0.05232222959422539,0.09322011061985791,0.213142318773884,0.0027182772122921195,0.017720317218666848,-0.014293827172863316,-0.21303974037617945,0.03429724995846606,0.159914121659972,0.20012202289984193,0.10027276307298516,0.025351632227942344,0.01015749599136706,-0.012451423370294812,0.05885714163466116,0.053984503049377075,0.1074200884752533,-0.023705271380126014,-0.03626792373500487,0.031605122295829124,0.10234727124122844,0.071784336198222,0.12447945396679483,0.002915061049585166,0.07940969362163808,0.06707298287133456
12,4,0.24442777357776269,0.23051271080405344,0.4215937965109948,0.07894433374283238,0.8895372712647076,0.0,0.008583359528932188,0.6535476719869244,0.02606152254261218,-0.07727777363825838,0.021166603626548763,-0.027280949727457315,0.03543033532139406,0.10191153315486812,0.43909649284241326,0.04566658868143403,0.024790949260940387,-0.041462911209278364,0.017865999992907167,0.08628296670521762,-0.04552442574607518,0.02139489777589909,0.35391061143345537,0.13817867796412386,-0.05394732008223091,0.06051828127357206,0.0,-0.027149009539644275,0.008693810481509079,0.04534438257583906
