f_id,i_id,ic.eps.ratio,ic.eps.max,ic.eps.s,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,pca.expl_var_PC1.cor_x,ela_level.lda_qda_10,ela_level.mmce_lda_10,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_meta.lin_simple.intercept,ela_level.lda_qda_50,ela_level.mmce_mda_10,ela_level.lda_mda_50,ela_level.lda_mda_25,ela_level.lda_qda_25,ela_meta.lin_simple.coef.max,pca.expl_var.cov_init,ic.h.max,ela_level.qda_mda_10,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.adj_r2,disp.ratio_mean_25,nbc.nn_nb.cor,ela_level.mmce_lda_25,pca.expl_var_PC1.cor_init,disp.ratio_median_25
1,1,-0.16691945002532838,-0.027353936195909978,-0.1666814548261537,-0.4832525286023994,-0.021196268864435597,0.0,-0.05659287761409082,-0.0450347602252541,0.036678203439454826,-0.03945461391571903,0.0,-0.007414747931472898,-0.0269819888566869,-0.010586398814701026,-0.0316765374333583,0.010266232501628447,0.01536598625627228,-0.019412316574447086,-0.0034525918499834773,-0.0066870636689593255,0.016754736118538394,-0.049337178294580064,-0.00448659388200412,-0.09891088711292595,-0.025812613019363995,-0.01795124875712839,-0.14426156141290203,-0.026550624499072195,-0.02947698459447612,-0.0023596411581598975
2,1,0.04949351135159419,-0.03407708140647808,0.03363132569106081,-0.050651962789124205,-0.04608658183850245,-0.3845460326402887,-0.08098659018499377,-0.011330238845279506,0.01477206169893508,-0.021561206788337672,-0.024928908194704447,0.029372191104499845,-0.01561487990464272,0.0,-0.007810885630462838,0.0,0.032487270836511206,0.0,0.0,-0.0039421549616284746,0.01463990008797339,-0.02221027201588438,-0.02387641682973718,-0.01766072613415559,0.012232798572513026,-0.027136540704774337,-0.018902657883471008,0.0,-0.01287581979696234,-0.0318446678701223
3,1,-0.060201492356296626,-0.03459852070959468,-0.06192077159574097,0.18936434928173657,-0.01958950552883254,0.006013239809427057,0.01703652466797495,-0.018494568360453212,0.012864476712206002,-0.023611301090471826,0.015946674430385943,-0.004636557999801227,0.0024519793461052486,-0.012274112340856902,-0.016626498888133667,0.0,0.03361338142409542,-0.007717240366187261,0.0,-0.00830806106240256,-0.006779397320483882,0.13441680894213964,0.01020617059448753,0.05190944648984891,0.07384360209644297,0.12666921664766395,0.04951240713290145,0.0040184932681952,0.018655888397383302,0.09683291255503756
4,1,-0.03220420599495155,-0.030407295710007665,-0.034901923278432265,0.024517971755479984,-0.028507713842056068,0.014181903319354011,0.03402480440402603,0.04513369921268154,0.006685366167572093,-0.03913470800503305,0.037646462581137546,0.0790898209964892,-0.003544050366927065,-0.004514644885680805,-0.03468202362258252,0.005139464180762332,0.03636562844570837,-0.018380114117465984,-0.008836186659937725,0.002776728232231601,0.007670235740659059,-0.08597034768125983,0.07009374354481634,0.053932203639244516,0.03532467919167692,0.06644443496255928,0.03772164118921745,0.011414801844245592,0.036381331390163335,0.054650024443077594
5,1,-0.10954455153728737,-0.04265366891501099,-0.1028688733191595,-0.07498510745651576,-0.03142661847052697,0.005891474378967976,0.020422186725733482,-0.01652262961185247,-0.34023643554384875,-0.02778993395052709,0.0,-0.012717204073777522,-0.016162662041903086,0.013427470781461115,-0.036368922788822755,-0.1984747085241656,0.03160774926430532,-0.06553321497819531,-0.05613223091320951,-0.0086502086125273,-0.0048604779891535665,-0.02316932376257208,-0.013684432554776471,0.02843841594492913,0.0,-0.031028266996896203,-0.002752095630384588,-0.13017670453758468,-0.024310885202524668,-0.007840456216817504
6,1,0.10279863027736827,-0.044883515628334925,0.07587770294655911,-0.054765799412892224,-0.031255232592958274,0.01103571536818268,0.05173139729556635,-0.0755832726536717,0.0396576104166839,-0.01976212747191581,0.010483153578781476,-0.005555319222323563,-0.012678299488605629,-0.008914917201855138,-0.01608265213954701,0.02272567683476216,0.0350019080959061,-0.006564222374355805,-0.00937368788450017,0.0022570129533890514,0.0014961946525618294,-0.008380846089782502,-0.02757254013840818,-0.02288703278431806,0.02119636956887386,-0.01723983785058801,-0.0035357840682419556,-0.006167428381034741,-0.0023760916114817145,-0.017580773824292267
7,1,-0.08075673020287609,-0.05004422384027092,-0.0626985434279198,0.09779343324365593,-0.04417477103037695,0.02025259845553075,-0.010462234249897173,-0.04695527873544714,0.03745807994424251,-0.025685982986318356,0.007659150596956044,-0.01099921360858716,-0.008442491170304392,0.0,-0.026394571084493085,0.026593317331640318,0.03940004590060457,0.008117272136247702,0.0045263722432857395,-0.009348947815963599,-0.00978680544830407,0.0174044564420473,-0.02927876922651887,-0.012674013781639015,0.0,-0.04095619552187682,-0.019245724346743515,-0.027366904913784323,0.011031022241230856,-0.04077069267925448
8,1,0.09907946954645308,-0.042711672640392606,0.06629343205431187,0.0778465004207683,-0.01761522076304539,0.017700279159897803,-0.007696497528821705,-0.04050773290092197,0.043383001843045,-0.030663298270302813,0.02234994860992004,-0.0030481970314698015,-0.004655305337528393,-0.0073747621898875015,-0.028405227001673417,0.037144204181327994,0.02954137098831272,-0.007901174912250813,-0.0076744747609033825,0.0,0.005935602256564337,0.014693864281309338,0.015432627261439985,0.03659829175951612,0.028173024370407973,0.060844070371119996,0.028316201412795144,0.0,-0.024576376362056424,0.04850308062980291
9,1,0.33789953206663736,-0.03680264611452533,0.2869979492785606,0.09189821101689544,-0.0310369259309069,0.025623610146572218,-0.07898729790175751,-0.015696246271268866,0.005237342490024444,-0.015232653018464715,0.10636085348378799,0.0,0.0,0.0,-0.01753542839842881,0.0035235653642770037,0.03445609053818377,-0.020904741195655552,0.0,0.0,0.015591155043699123,-0.023004718304702854,0.028810716009101955,0.07842287007996562,0.00321309820161797,0.033824343966437354,0.0737497514355493,0.009689279939435136,0.02275140126347841,0.03743515848854728
10,1,0.4677484688757354,0.0,0.4394402388188636,0.022168813454511938,0.0,0.01848166207969726,0.05475500978656811,0.9193264133026822,0.10654085747769981,0.0,0.031139743544107867,0.04758118007899226,0.048336064477930485,0.007128288469624433,0.02315079716236701,0.06548666429917382,0.015967226923392808,-0.001452380777593465,0.008201297125499885,0.0,0.0,0.05407659751909977,0.24942436034348736,0.09102152451083967,0.01019141642378485,0.07226198109336979,0.04433320925448436,0.09715017084149569,0.021324713061433798,0.04168470463018803
