f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.skewness,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_distr.number_of_peaks,ela_level.mmce_mda_10,ic.h.max,pca.expl_var.cov_init,ela_meta.lin_simple.intercept,ela_level.qda_mda_10,ela_level.qda_mda_50,ela_level.lda_qda_25,disp.diff_mean_25,ela_meta.quad_simple.adj_r2,nbc.nn_nb.sd_ratio,disp.diff_median_25,ela_meta.lin_simple.coef.max,disp.ratio_median_25,ela_level.lda_mda_50,disp.ratio_mean_25,nbc.nb_fitness.cor,nbc.nn_nb.mean_ratio,ela_level.lda_mda_25
1,5,-0.1897203670044687,-0.19599687173353397,-0.04002318659780202,-0.03632334136302262,-0.0022025770114367793,0.03448393600265387,-0.45138151890997125,-0.016861358127873705,-0.028573159132807557,0.02649924476800769,-0.024781842874674442,-0.015495434963946786,0.015518880038359772,0.0076429822921957324,0.0,-0.0020889399277744802,0.008569118066040882,-0.01875048295375603,-0.024384141873564635,-0.03559245920482779,-0.028867471213109952,-0.215268835759288,-0.0391408127300964,0.002611560487187914,-0.048010551790947265,0.01661802578720839,-0.05439952640615464,-0.026025346461952314,-0.012884792519207933,-0.014572337756279863
2,5,0.07345363623749473,0.08544699822303581,-0.035173776318410954,-0.03155778094011763,0.09984853736917287,-0.796182441362179,-0.014403695231886615,0.059167323975126584,-0.005701518073161438,0.01132521702832745,-0.03073455409911885,0.0,0.043623224013151995,0.0,0.0,-0.013837545402941465,0.010769315218921105,-0.03358170578711023,0.015790891209941482,-0.02557452562679885,-0.029260938263231284,0.015079641290499268,-0.022624293922276384,-0.006714798979644554,0.012752859778948189,0.0,-0.010935596908433987,-0.009932890493683455,0.012048602908779682,-0.030165180261261693
3,5,-0.024048658542908052,-0.03442867086112622,-0.047423322078155694,-0.03180620293632663,0.009910377781502916,0.037443525380936205,0.17408492561489486,0.0,0.0,0.01103147340477656,0.10830804351161544,-0.009095027589004212,0.003597438925632357,0.03143764724180659,0.014137869982993018,-0.005498396326886035,0.02639187794653608,0.021721294085967735,0.004878929149726929,0.03621624517744543,0.05725674374070358,0.06474723951595185,0.03107818806804849,-0.010766167611122646,0.032668925586055164,0.01874645510094952,0.029885339581406073,0.010880850067967796,0.040272297359061904,-0.013897376656895721
4,5,-0.009512066745079123,-0.012885144289292494,-0.05952629388897743,-0.027573667159683485,0.008171473019019701,0.041585935177302524,0.018208615053438904,0.08279292344130038,-0.012541462625025937,0.024280730688544083,-0.025306077060591015,0.009051094111458768,0.029200976348098984,0.022250101080180412,0.032722303721085505,-0.006846658378161757,0.00598454564078732,0.009415484222426218,-0.00907733380753703,0.024292545424300094,0.06160585094763807,0.03999338556655521,0.014101141337210826,-0.006908059713256573,0.016064810566297938,0.017017419146268198,0.015091657425745766,-0.023200273409809874,0.012313506870246418,-0.02621622376848215
5,5,-0.11353430571386913,-0.09855528088423215,-0.04952634787951826,-0.054228206666796064,0.0,0.018349430438645564,-0.05941928600656621,-0.007699493863513429,-0.00605222483884571,-0.32593137311662224,-0.041686905664158336,-0.024685426659238563,-0.17638522672233115,0.017974365173394236,0.0,-0.009464390552328061,-0.012487601306547136,-0.045399271117217976,-0.07907408902721214,-0.028167894496176404,0.0,0.012576486991414448,-0.023408748705557925,-0.0021866430404935966,-0.03381080013442239,-0.0009716412221251192,-0.016330945427253107,-0.012622433680851808,-0.02021031503145576,-0.06124812388343592
6,5,0.09371031069999256,0.06758066715249764,-0.06554560091139386,-0.041650847386422205,-0.01019175560471157,0.0433880948870779,0.036004198626036536,-0.00389921355220281,-0.025254525809726733,0.019363026540833696,0.0017608483452980356,0.0,-0.01664861184241794,0.0018090080475273718,0.017824319472111494,0.0,-0.0016638553685574334,0.0,-0.01743605088109982,-0.026169213272492994,0.0295977974615992,0.0050097225328910415,-0.030711921976715798,-0.011055373729475605,-0.01947404959203139,0.038835623155228025,-0.02400542462590072,-0.02065086578590069,0.01658564688418767,-0.027228189595269722
7,5,-0.05379147963912348,-0.04749993955095523,-0.05948971742042067,-0.044277184089421745,0.026171284167551163,0.0312072182394819,0.061163730695510996,-0.01596357861930542,-0.01991654400562147,-0.047398350919927806,0.0,-0.018371532998563464,-0.029875838093843823,-0.003071237526631146,0.0,-0.0013462970317768275,-0.003129035855261142,0.01918242716290812,0.02472592699906751,-0.008145424657461126,0.0,0.027800820547853364,0.01369635865365245,0.0,-0.0047152088857223,0.04687124838111896,0.0,-0.02703918145760499,-0.00736020279486474,-0.006097048553921236
8,5,0.1131794128833748,0.07308241232728899,-0.061124617401715764,-0.023362804912841817,-0.007344281329076774,0.040318150706351474,-0.13017095095347855,0.0068440004163213,-0.01247116294555814,0.10181619718576973,0.041055588286339595,-0.003418727197319754,0.08138621764604276,0.02121932799352988,0.02357896094766368,-0.007269420251726416,0.014781095489998147,0.002791602574212876,-0.010517540499617284,0.019399237234203448,0.02027199200614746,0.021486825165072,0.004941330638264602,-0.011497910599371108,0.017950353379134892,0.024746932211959477,0.02144171310389001,0.0,0.022448026408941668,-0.02380294932231447
9,5,0.3347841852133294,0.2312426992734984,-0.04531098068974637,-0.026465806510786782,0.02057114130895732,0.040743019165415006,0.12592781804882403,0.00770727852457842,-0.032681708457746206,0.026942857304810386,0.03407035450309692,-0.012776090918808047,0.015136930542679727,0.007948107789311876,0.022719041083369973,-0.004581174056131676,0.03410780782721212,0.11922283921914656,-0.008179804516593059,0.035746337972100584,0.02558421415728318,0.064030519778561,0.025733099006895355,-0.00857032546358949,0.03568993470629489,0.011979406397586378,0.04273284124222809,-0.020273418214232786,0.03116738689495402,-0.02079992118662677
10,5,0.3501823998650182,0.30069429223142813,-0.029646349925722126,-0.01811024387420046,0.0,0.0529052128316998,0.0,0.0,-0.04697629130722192,0.008978441821690386,-0.02572889902172759,-0.012169295650890866,0.08412372300127635,0.0,0.0073847075625324,0.0,0.014844563798908972,0.006651152237761693,0.20506236839221803,0.03528571441702166,-0.06085789475591952,0.0818629589896277,0.08230062678677064,-0.043633069683012504,0.013141516204535852,0.11952328400327339,0.015039037179242154,0.0,0.0,0.32929826318480404
11,5,0.268351458994491,0.19230487168971666,0.0,0.0,0.11369413827641506,0.032805022558946906,0.0,0.025014469444188836,0.0,0.04071257579044954,0.15411844139699454,0.0,0.02271182910454761,-0.04459278334381517,0.0,0.0,0.09751625366003952,-0.05176854025610966,0.11814041133363562,0.030791946368066814,-0.04323386204549329,0.040457115497394835,0.025154851220667906,0.0,0.041176170786686644,-0.5844699304116088,0.04396975829079375,0.0,0.0,0.159242524521641
