f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_distr.number_of_peaks,ela_level.mmce_mda_10,pca.expl_var.cov_init,ela_level.lda_mda_50,nbc.nn_nb.sd_ratio,ic.h.max,ela_level.qda_mda_10,ela_level.lda_qda_50,ela_meta.lin_simple.intercept,nbc.nn_nb.cor,disp.diff_mean_25,disp.diff_median_25,disp.ratio_mean_10,ela_meta.quad_simple.adj_r2,disp.ratio_mean_25,ela_level.lda_mda_10
1,1,-0.14556632398699942,-0.1489780095281531,-0.0342776409504848,-0.38524882880370204,-0.03483756496979562,0.024986747928909536,-0.03717917527585235,-0.02233835819879937,0.01563841761096041,-0.017143528109285433,-0.019557383241195825,0.013027346253628225,-0.014951088316403016,-0.016041427212928783,-0.026528269414093253,0.0,0.009364174186796026,0.0,-0.1899452185648921,-0.008947291233070254,-0.0066381585613297656,-0.01549096648913606,-0.014722820806224113,-0.19706187322134344,-0.03233282538316762,-0.01755148610380597,-0.03053686065456329,-0.05434559513814852,-0.020725551649444784,-0.014098435741563664
1,2,-0.14130208113148934,-0.153562620613922,-0.045590166099389595,-0.20432124977305954,-0.05851827048078695,0.02029806664436784,-0.03778626270060459,-0.01849350012612505,0.0,-0.02134903409485811,-0.13044603077582206,-0.13346599545686777,-0.03695243474941656,-0.029333658048929956,-0.02479905976394059,-0.11501421246434418,-0.003971423796799489,0.01616949824628422,-0.13949570634057284,0.0,-0.004050200058882791,-0.011182196090984808,0.0,-0.07239100108355084,-0.008359254540523442,0.0,-0.009733113468618604,-0.021715129897791008,-0.01158568087534051,-0.047090262710861364
1,3,-0.18040826910409835,-0.19442354074395923,-0.04105076750495873,-0.15596257826116572,-0.03232706883791936,0.018483025248076324,-0.022053040454586004,-0.008246129793020862,0.020004103574368992,-0.010280750223248925,-0.01869852054335086,-0.04418648938069225,-0.03357503495210057,-0.032802638026759756,-0.010113066776175295,-0.04513930431020874,-0.012584270665184749,0.007072412455205845,-0.2571992333370977,0.03397604536813703,-0.023358489728768306,-0.03883930188772167,-0.021895905731287635,-0.12989010303722381,-0.015882421739030428,-0.02201547926131242,-0.05153362437603204,-0.0404521488608397,-0.037062452209763785,-0.0435959371521113
1,5,-0.1996675081062721,-0.20332724183014772,-0.04463069006154541,-0.2862137226101844,-0.031691978883759186,0.029582579118815455,-0.026359854381123482,-0.025884394510815256,0.016357484475659323,-0.01181479608612479,-0.03693683739041331,0.012436070065645177,-0.018373109800708165,-0.019039529324468285,-0.02592488372933266,-0.009637362106242886,0.01490627232063546,0.007285388882414923,-0.25381247520172223,0.011349170292905053,-0.00024585816985017717,-0.02185838920020433,-0.00799236626729205,-0.18431204774093946,-0.02500803611704072,-0.019688846424505635,-0.028657445038159146,-0.012451339860137134,-0.015379535182290405,-0.025831628893274283
2,1,0.025797827444965726,0.02145867336449836,-0.026371860162926586,-0.06794804410351218,-0.03447518269713645,-0.43758164678690176,-0.025602480361871294,-0.013345751330574918,-0.015315364454945413,-0.04582171487637676,-0.12016008677667345,-0.008711946335914211,-0.0058528375144759615,-0.01645651919278368,-0.016616165076898226,-0.030293311959193048,0.01989239906145812,0.02850566390800502,0.005450687037628632,-0.018677376503376864,-0.020798676867377075,-0.04396249180950329,0.005459245208134733,0.009053582505494262,-0.012279837294879026,-0.023339619366925635,-0.007712119308694809,-0.008243218445170508,-0.020389631228985572,-0.09765458534130977
2,2,0.05508130815569412,0.03894793268571878,-0.043929963631750835,-0.10948644679804964,-0.032569400674102966,-0.40205027705489416,0.0,-0.0332070583435875,-0.03209613508613329,-0.15703981782455767,-0.033382629230864436,0.0,-0.020118870233779673,-0.013242340830199262,0.0,-0.02344440606860898,0.01429600941487641,0.019388505201472395,-0.003213195224949783,0.0,-0.009910473630642014,-0.034686784673288784,-0.006475450473579669,0.0,-0.01541622241864915,-0.014850552111801751,-0.03576577918510282,-0.033375457561653055,-0.013394477256487125,-0.06205040641130111
2,3,0.11079590207348183,0.1248566447858474,-0.04367366394375505,-0.020345625402708234,-0.011425962804429146,-0.25893488018836097,0.023469353474541654,-0.017333954638310833,0.0,-0.6538540172071042,-0.04606317427439835,-0.009010836885019469,0.15480390531000643,0.0,0.035490149599027576,-0.020885586811337453,0.0,0.024546020953194136,0.0,-0.011826149186791812,0.03978348825755185,-0.03591987070520719,0.0,-0.024990028272712128,0.0,-0.009651353206137747,-0.009731683292278248,-0.005212724297215088,-0.014183529616906887,0.019766897813380258
2,5,0.09036331005446194,0.06547353913328885,-0.033517976664080185,-0.040876096620076796,-0.017038090064231237,-0.6833957762607712,-0.006165782928235608,-0.011696694498056492,-0.018522426953577753,-0.02847561807860094,-0.06708232432930417,0.00906766698659811,0.08668484327459569,0.0,-0.019646745942723642,0.012858817514987964,0.0,-0.019206807877144627,0.013065674753989398,0.0,0.0,-0.02278598177820529,-0.007914902017322811,-0.004384969493287982,0.011540949982044357,-0.021317387923346975,0.0,0.0,-0.013718703344819755,0.06716080460817742
3,1,-0.05158469306933556,-0.05140552190460965,-0.046919950726627246,0.15079245234489252,-0.023449137881103213,0.022586098508015018,-0.02462580158911476,-0.02102040778085676,-0.008254069603821579,-0.002690790660633491,0.009698879191362086,0.014033957261325058,-0.0065517418537866245,-0.010376402305789373,-0.01020069382411859,-0.0001907159492195165,0.012773899293794216,0.009896954043853406,0.02540361757563607,0.039132946152640485,0.008354708002816277,-0.015716847737823197,-0.009850403578144443,0.019084472698209676,0.05236599688001212,0.04448960428998053,0.029780467214400516,0.036115312277294864,0.05589157721410054,-0.002235512947305618
3,2,-0.03506178977723881,-0.01693325473660018,-0.048430338728381664,-0.05663318948090111,-0.03869140755762644,0.026051456142302518,-0.008862763479443661,-0.022659619742386367,0.014350758471502953,0.5395847867587737,-0.02791180903274948,0.01032938722121493,-0.042626489656751324,-0.017043278085167077,0.005948696514626456,0.0038230400180488677,0.0036651648307769458,0.01911396818516739,0.009724551232199674,-0.05714100400262029,-0.02504817045662712,-0.015746069459905324,-0.011370735959707834,0.01285274110761575,0.0,0.0,0.0,0.019132062685739665,0.0,-0.026251539620932157
