f_id,i_id,ic.eps.ratio,ic.eps.max,ic.eps.s,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,pca.expl_var_PC1.cor_x,ela_level.lda_qda_10,ela_level.mmce_lda_10,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_meta.lin_simple.intercept,ela_level.lda_qda_50,ela_level.mmce_mda_10,ela_level.lda_mda_50,ela_level.lda_mda_25,ela_level.lda_qda_25,ela_meta.lin_simple.coef.max,pca.expl_var.cov_init,ic.h.max,ela_level.qda_mda_10,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.adj_r2,disp.ratio_mean_25,nbc.nn_nb.cor,ela_level.mmce_lda_25,pca.expl_var_PC1.cor_init,disp.ratio_median_25
1,2,-0.15214863395203237,-0.048183149232107314,-0.17709237504769504,-0.14647597882224217,-0.026225633472415133,0.012751190441287918,-0.1447569957574364,-0.012421507597200843,-0.09395451396798027,-0.02294763269791611,0.009538511754216494,-0.029363044025954577,-0.02905238863672388,-0.024776832368041513,-0.01969302139097384,-0.09575527375845261,0.005881626636470405,-0.026151139698122883,-0.020291976269816492,-0.01240073629019256,0.015273702682301549,-0.024143913912266224,-0.01543964502805184,-0.08630062884593859,-0.014606175654067965,-0.028942162508135083,-0.09215161435943853,-0.07368347443603274,-0.03139829581306841,-0.024082134449615156
1,3,-0.16848373811448325,-0.05636593689044744,-0.16129641765467806,-0.2228293275626959,-0.027487777142151337,0.0,-0.05669981168116178,-0.027005234337953432,-0.08393211316114224,-0.024620294845229762,-0.007061073124288275,-0.01112154043079594,-0.04061935649981918,-0.007795733422378159,-0.02162983029906551,-0.05861016736708402,0.0,-0.010888345620488238,-0.03495736346596778,0.0011416885142483402,0.0,0.0,-0.01652975290756764,-0.12955877046420572,0.0,-0.009264331560491557,-0.1435015259420096,-0.06582055066235037,-0.022820370163520454,-0.02123617167191516
1,4,-0.19614254600469938,-0.043795354227086025,-0.19850387092742983,-0.23649671442592557,-0.024025637048240678,0.01474122974192904,-0.15726782133972583,-0.03164767243026534,-0.03643514969833239,-0.025706111817638044,-0.019667262774603844,-0.02190405397096773,-0.04479059562916976,-0.026316010506019838,-0.027332073985541938,-0.06969060913627234,0.018147280638414365,-0.005613338779261068,0.0,-0.014968605341957986,0.012916959498086134,-0.037085845734788236,0.0,-0.044327394192152814,-0.014258707464561149,-0.028119962365012796,-0.05302598101862732,-0.059319991407207895,-0.04076537266890745,-0.017665544903996633
1,5,-0.21072600874457914,-0.04097154992732355,-0.1816551495214811,-0.34877800616300003,-0.02122497836816084,0.015211498015474278,-0.008550786921809772,-0.01143116095250818,-0.030091630744981113,-0.008946609796313787,-0.003120876632460523,-0.027017029127638814,-0.024836323008816108,-0.023575550392675337,-0.029450082686418022,-0.039694398174746515,0.0,-0.0035076260666218606,-0.020102563977345,-0.0108173668557906,0.0,-0.021890596068837143,0.010113366113243094,-0.08756241603778792,-0.023717945284063124,-0.01260893659360196,-0.14453596241664712,-0.06874146220179922,-0.04188343734706512,-0.0076621881015357385
2,2,0.0,-0.0454031893821511,0.008156249708280328,-0.08372687176874569,-0.021480956906290483,-0.25501456818549195,-0.019547255745281322,-0.01938896468352025,0.00546889821083657,-0.023214798767750733,-0.06537229890127322,-0.0012290875153917469,-0.0016329327752767075,-0.0124692215683338,-0.051329589383956375,0.008590550390123741,0.021163803946936788,-0.00822461257350754,-0.04629484762629277,-0.007492677578616436,0.022625666171809333,-0.0065710894606264,-0.018789889476441668,-0.007502195861328997,-0.01925778862482147,-0.04197825698194435,-0.008732395760204126,0.021556609240380276,-0.018868442356126613,-0.027039285626066056
2,3,0.13283769347029725,-0.028707109980144585,0.11897689752525431,0.0,-0.04179880599798469,-0.19348593482475718,0.0,0.07396796404059591,-0.012566247153434462,-0.025096852828603022,-0.012679810217765597,-0.6790619103339658,0.0,0.0,0.0,0.0,0.0,-0.053482382078663515,0.0,0.0,-0.018429447447579572,-0.012120741047950911,0.04448506827055021,0.036786396439803415,0.0,0.0,0.0,0.05285716934996437,0.0,-0.026965491876070447
2,4,0.12901556400439612,-0.03105848903289382,0.1162922282161094,0.03536333676156955,-0.03694773876171398,-0.8605987350787181,-0.03439165746767081,0.0,0.0,-0.00959888687817767,-0.2351557204542224,-0.12816186186104472,0.0,-0.013370709535586833,0.039054419668970164,-0.014914606019783894,0.051221152467564146,0.18538570429897677,0.03604643429041876,-0.02953209239986948,0.0,-0.020325043246721408,0.022217037660868133,0.0,-0.17849342523153833,-0.010456096074744625,-0.013853061494802699,-0.01742101346815783,0.0,-0.01521248940021147
2,5,0.06439046711616186,-0.04392218072914095,0.057291107974787536,-0.015496877399172604,-0.03078171632641552,-0.6149370235769571,-0.03856135829259827,0.028867447925655154,0.019912241770632944,-0.011415431090643274,-0.03720068916547864,0.0409776956887265,-0.010400077905992566,-0.006655309942157683,-0.005252065624304247,-0.004668947494534836,0.0061257300181855046,0.0,0.00692430093580465,-0.01468462921197311,-0.009797152022123501,-0.03385054874557891,0.008619498768801581,-0.003955595969277748,0.0,-0.011122575439024507,-0.009805331241886484,0.03577768815079485,0.017255363510401578,-0.02811757637314638
3,2,-0.025309781355122393,-0.04497562459921141,-0.016731203734305353,0.00600175518018084,-0.025884178353853815,0.033394785016095316,-0.012846670151386075,-0.046193815075391303,0.024928296523929833,-0.019435264044020018,0.013351315320613927,0.3882575323522834,0.015107686406062248,-0.014330565804656678,-0.02389546997555321,0.013034514224430055,0.011823940809822076,-0.009207793749171009,0.0016724406453051954,-0.01707361642427653,0.007521537643515375,-0.0473665789644563,-0.018989030067539533,0.003501164429548176,0.04595415420040001,-0.0020156123122093833,0.002879641771360658,-0.020248481906712218,0.003993894612358231,0.0022933145480774075
3,3,0.003100159206179967,-0.04907922363459953,-0.016356756128216215,-0.04000404836664828,-0.017420312401786486,0.026475289664140797,0.12394685569578273,-0.0250979502086721,0.02364363926041088,-0.002577107201892165,-0.006289727830085065,0.05676575560894692,-0.014712859934777556,-0.0076815447145130444,-0.014002485450047897,0.0,0.0037146118404166317,-0.005052801677176616,0.0,-0.021543143841615223,0.015028577853769542,-0.03741509103773627,0.0,0.02009775628894933,0.1345069264440976,0.02269477280538959,0.0162684008989466,-0.015998561042659495,0.050933808253922463,0.021683672020123945
