f_id,i_id,ic.eps.ratio,ic.eps.s,pca.expl_var.cor_init,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_distr.skewness,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_10,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.sd_ratio,pca.expl_var.cov_init,ela_level.qda_mda_50,ela_level.qda_mda_10,nbc.nn_nb.cor,ic.h.max,ela_meta.lin_simple.coef.max,ela_level.lda_qda_25,disp.diff_mean_25,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_25,nbc.nb_fitness.cor,ela_level.lda_qda_50,disp.ratio_median_25,ela_level.lda_mda_10,ela_level.lda_mda_25
1,1,-0.10775322747670246,-0.12554493434288327,-0.4419702704644193,-0.03050977498842644,-0.020513697516684637,-0.04298738724355733,0.014055481200399345,-0.041240881067954094,0.011993526981261216,-0.02355436394336563,-0.022829288110571944,-0.007835403167740118,-0.01709865376346531,-0.0171998686973045,-0.1568289053591333,0.023838757890188633,0.0,-0.015984128356237193,-0.16809277775734355,-0.027936138117011344,-0.0011942003049708605,-0.009836024511991281,-0.04430714794294732,-0.03695955931199402,-0.017405159572401296,-0.02170560662144505,-0.01074367113488428,-0.02944479483300866,-0.020841566227119634,-0.013234252708368421
1,2,-0.14759364350491067,-0.14789674522070184,-0.19680491946248102,-0.03902277486053041,-0.0324947441074106,-0.04674688625698031,0.034103404621313005,-0.02355578430398586,-0.06581343910910609,-0.013985109552561714,-0.3253505974106503,-0.0651931914120798,-0.0040327501787669195,-0.01693576883639103,-0.13425798054105198,0.003985295291339286,0.022350800672865212,-0.009933267182149375,-0.052531596108386314,0.032084517812364655,-0.012251089024308826,-0.027817105459119307,-0.026103804776829942,-0.018128221428871716,-0.03561428573420655,-0.012918273854216622,-0.004860299960473102,-0.029893743157017205,-0.026050117485799107,-0.0024876930600388203
1,4,-0.15206555966412705,-0.14080177620483414,-0.3038973972304395,-0.04458494457473017,-0.039128964028730895,-0.046756563734409395,0.018281852603678317,-0.03957566696841919,-0.02927552228026986,-0.007534500295521829,-0.2938793469937526,-0.011153213005779428,-0.015099435633272873,-0.008598832625155928,-0.1037538903458547,0.0,0.0,0.0004869707779284749,-0.03189949768698375,0.0,-0.022734042112606434,0.0,-0.022446660845231392,-0.022881756725909863,-0.043605139843627905,-0.02772188248078089,-0.007545519857922678,0.0,-0.018173181254033333,-0.011405342580356637
1,5,-0.15693194827965062,-0.16084055442757805,-0.3752406481941408,-0.038418184227140495,-0.029775006145697724,-0.035180507605532374,0.020373274787555462,-0.01795865371889549,0.04137137869706642,-0.01713211842854412,-0.012244475406296362,0.01419592840336692,-0.01489413566944331,-0.004524996861798414,-0.27073756397383975,0.007954903470945185,0.011405711027583587,-0.005138362628344217,-0.1597762743168648,-0.009812812942067595,-0.014962238589139254,-0.01014574103498278,-0.06372984287706296,-0.021815585872067,-0.010629090417343834,-0.016416790349057853,-0.0029183205321897665,-0.05865594265658025,0.0,-0.01108531870234164
2,1,0.036129827960744765,0.03555798409956251,-0.05573086444887715,-0.044271989597413575,-0.012465277152049037,-0.024781482859427995,-0.4264044358999436,0.024401656914996628,0.013322381226209878,-0.014124852656122233,-0.047802667777832375,-0.016038595107321307,-0.01769083329084714,-0.17348663014773497,0.005158206466502113,0.005494416340516728,-0.0035004548738541974,-0.012778365242270995,-0.0071036238723605205,-0.008320231384526533,-0.013281082496230834,-0.02017606401259181,-0.017791290976587437,-0.0010027324469001897,-0.007538422363744746,-0.015644924689943718,-0.02350684111185747,-0.012747134153140605,-0.10485033147095213,-0.02265365613821757
2,2,0.009789830577896175,0.012877319135822463,-0.11529045394350351,-0.044350288677592276,-0.027083955453033992,-0.04635336515151556,-0.3195537307890419,0.015144582021886066,0.01208740432954003,-0.015461063490319171,-0.004644273516329456,-0.006869790284097177,-0.008337564159155153,-0.1894595242082905,0.006383593316355296,0.009254241487770654,-0.017495293319700123,-0.0304455111655193,0.0037356355610055902,-0.003137062702560589,-0.008880588069761663,-0.04134303241971393,-0.013099587470654872,-0.008696191013223276,-0.03279494129204935,-0.008186289418177783,-0.04084454308381358,-0.02673363976444698,-0.038428227356132494,-0.005412000843858955
2,4,0.08841218487408758,0.09421400787144518,0.048820949174174066,-0.028593349014770286,-0.015757959943334177,-0.005569971860399259,-0.5270136247422725,0.0,0.023230174690117122,0.0,0.017018380020257906,0.0,-0.008728004755474972,-0.11446658943830901,-0.0234083335052806,0.026223404640627168,-0.06058028467753407,0.01833567831659011,-0.00958783449764794,-0.015411366924294567,-0.014344900699118479,0.0,-0.019803241889417844,-0.15644024558434683,-0.09196360882728727,0.018564747111640634,0.03051281484435714,0.0,-0.08007430597767223,-0.22516752391430273
2,5,0.1215900181177168,0.09395889494658344,0.0,0.0,0.0,0.1131294686793568,-0.9895185210986873,0.0,0.0,0.0,-0.06037971525838581,0.015872737919284452,0.0,-0.36883572090037176,0.026310166568957793,0.0,-0.03658086507704583,0.025967797471297127,0.0,0.0,0.0,0.0,0.0,0.0,0.10056965523687095,0.0,0.0,0.0,0.05280366738282649,0.0
3,1,-0.04745197780839128,-0.042108193533934773,0.14776291540801606,-0.04673501080179707,-0.023380094413066987,-0.011860952724105367,0.02323604922329711,-0.01629494831139211,0.026661053858824668,-0.013125371669593294,0.034233114388620395,0.008984089549850083,-0.013742099442229233,0.005025435959180424,0.037629690477133604,0.02442967452272156,-0.004056167162905633,0.014540190710752188,0.03702315050367316,0.03054851662489677,-0.009393352057573495,0.008724669776426275,0.03994181130033597,0.055805350631670025,0.0018299680399383178,0.0030296250255327506,-0.017492717372192268,0.04008937116297953,0.005613820722695451,0.0
3,2,-0.03284417959432322,-0.023800258511485983,-0.029174781051300863,-0.04371754752232594,-0.030802149614638702,-0.04438181181477621,0.03997515207136315,0.03786826774582697,0.01564564885242295,-0.021532240947058245,-0.00744489096660339,0.01175982223385487,-0.014366120770421986,0.3556089347506627,0.006163226649165077,0.025688893769682697,0.01776547627230446,-0.022419485888118554,0.0077108426566281085,-0.028020374606452167,-0.011745692300883945,0.0033086785268704594,0.003553705587446984,0.05108997059902248,0.004810526859177738,-0.02395832430302766,-0.012658346841807791,0.0026511490928978892,-0.007982696169451159,0.003777836730285894
