f_id,i_id,ic.eps.ratio,ic.eps.s,pca.expl_var.cor_init,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_distr.skewness,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_10,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.sd_ratio,pca.expl_var.cov_init,ela_level.qda_mda_50,ela_level.qda_mda_10,nbc.nn_nb.cor,ic.h.max,ela_meta.lin_simple.coef.max,ela_level.lda_qda_25,disp.diff_mean_25,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_25,nbc.nb_fitness.cor,ela_level.lda_qda_50,disp.ratio_median_25,ela_level.lda_mda_10,ela_level.lda_mda_25
11,3,0.310445979961698,0.31607924597431103,0.1020452824683784,-0.021111503671382703,0.018234983765644808,0.08506315996462033,0.01934431313722329,0.08090691906891445,-0.03424024803320724,-0.017112036955000853,-0.020034281712655977,0.046743319433506736,0.010453732845864483,0.10855694350287759,0.05519247098125324,0.06144853652297799,-0.028839126273028648,0.09835075684091854,0.04522689232723409,-0.0057245585710162805,-0.03507076975481738,0.27417167304226864,0.07131231118714743,0.008677868403030642,0.014365662830493231,0.004875284067967445,0.09284444582268847,0.04863736585927725,0.058675704349822944,0.19473589896008248
12,3,0.13874454816249582,0.2904040196595439,0.04024571904828722,0.3439880908524584,0.46928154246103704,-0.07402785057847683,0.039854165484074056,0.27728040511812413,-0.04571739655240714,0.29952507141119744,0.0,0.0,0.7050742946515105,0.03599938985219531,0.007594232318796967,0.04879229358866022,0.020971129661176757,0.0,0.0,0.1391354830132263,0.8657036431992529,0.03387640109478873,0.0,0.03569722225299188,0.013923441415995885,0.05337483005386101,0.04242023621384483,0.07237556597223493,0.01852533208452689,0.0
13,3,-0.031747395878704954,-0.04376535839963985,0.143189037488391,-0.02146256480051345,-0.018613492170790336,0.007496793730739859,0.027503291869434676,-0.0085059041446639,0.029102876673496814,-0.0015919231100298137,0.07980208385725102,0.031162158278932317,-0.03155660761766965,0.03735842818838231,0.08910150960730223,0.020315087217923078,0.022986198655624013,0.022034634281833443,0.09202012259676978,0.07590690146253382,-0.04198396695750928,-0.0028861589786829955,0.044990435145135566,0.04440944667460506,0.008673050263729054,0.006767804999502525,0.004122475313743379,0.04432929923909634,0.009207616397153506,-0.012373822372803267
14,3,-0.09871023072326585,-0.06742248183219746,0.1019534094407332,-0.01059468271596603,-0.029792126257592227,-0.04125752873213817,0.018445251131227858,-0.03388193751486268,0.03986319215808412,-0.04326031710886519,-0.012085779906833044,0.020097151200224372,-0.03826495089166637,0.03669431653040264,0.03432199453811813,0.01799824686098561,0.024840598971646977,-0.01790316837102346,0.021314942866787756,-0.09017944639944767,-0.04994017299214665,-0.030845566985957418,-0.018208948902126793,-0.024650182274587096,0.010838921267409457,-0.048027282675081884,-0.011899540714361279,-0.01000050051341106,-0.028145191816160986,-0.02218232753533722
15,3,-0.06082580774177313,-0.03866146547112852,0.26266741476341215,-0.031950327458264996,0.06174968505982201,-0.012827735947197622,0.03277628743854906,-0.038717335111498025,0.03832597495429568,0.0,-0.00414720244752095,0.0,-0.06084446975053662,0.04101807709495494,0.0225334040087471,0.008244696652449653,0.01630057683270823,0.0,0.016423981446145687,-0.08611406715119797,-0.0594798650953516,0.0,0.007856361369867244,-0.017131733727073203,0.01041049775521355,-0.03159463143691502,0.0,0.0,-0.03983966421525549,-0.012777913126752236
16,3,-0.058781711542154946,-0.05715689960400912,0.026796256894164955,-0.021544878380952537,-0.020547079789039135,-0.03637648759599067,0.01629621030414634,-0.016377901564311875,0.011214444709545385,0.0,-0.005320380333655811,0.0,-0.029585426852342833,0.044721125599403284,-0.016220854240473606,0.04163599897451613,-0.028767119560827656,-0.04338651336243127,-0.01080445435300978,0.02186737612683519,-0.049578826467787884,-0.04852709310403305,0.0,-0.03460624392037115,0.029535436654728825,0.06567202547342764,-0.01530544805193959,-0.011344111462184503,0.013946448044016013,-0.028262423281295773
17,3,-0.18763576401280546,-0.12598628253954014,-0.05011309072683501,-0.01577993142841727,-0.03992147970323334,-0.01304061657828215,0.021626346471294466,-0.05187707314434176,-0.0016742257716009235,-0.044129625356697455,-0.006268987980623697,0.0075777984900970985,-0.036264950120559414,-0.01707793847267325,-0.047639563302127985,0.009480759722325649,-0.00109040958307699,0.002119973354765492,-0.010976373297874154,-0.027878124249755554,-0.04200433917201701,-0.02504181530745453,-0.047038575405355054,-0.04946471381680784,-0.04348412563105675,-0.07598327632178414,-0.008524103940846517,-0.03402979144298135,0.014309096131748855,-0.027016328971160353
18,3,-0.17717637755294557,-0.13997920713479917,-0.08240294198129028,-0.01751212512004774,-0.0294112496986631,-0.032259405926264195,0.017235673027804155,-0.05079051101760357,-0.011998782742559999,-0.03297818258225638,-0.00504480628619286,-0.006715448868931384,-0.03183361738159818,-0.003871298980364757,-0.014943438290330402,0.0088712692539622,-0.016965252890078997,-0.01992190559646312,0.0,-0.03595749766874412,-0.035501302142292746,-0.049475578234351225,-0.027442241738970252,-0.008252620511046083,-0.04088222848461276,-0.06025725781204011,-0.013277937987179855,-0.023336397945577958,-0.007562360302025339,-0.025184499512212688
19,3,-0.20894501244726935,-0.16071146799110064,0.1301456572523939,-0.02857037912470023,-0.023544095235785822,-0.04069233690952434,0.01309789829181568,-0.008025214550894055,0.028449984047571986,-0.03224294584188542,0.018768113176209078,0.01989320203651601,-0.029435833114298343,0.0221241980843781,0.01643839989903828,0.01502039158463414,0.0,-0.07048950405365118,0.004462120461127317,-0.010345527270342908,-0.024917980744126378,-0.03399999353918054,0.001992223008008054,0.018766343447744527,-0.005653109565373349,-0.08598541806377485,0.003295405168272092,0.0,-0.036881896910713696,-0.03064477486828232
20,3,0.005429409392699203,0.0,-0.3354581983717949,-0.026846948339752597,-0.03402750319844322,-0.03449290556194384,0.026490150204297125,-0.02920059964558419,-0.11583835440906631,-0.01494445612058709,0.01966468679809491,-0.10675942567865604,-0.051344017080709625,0.040801144960607494,0.011551250018260517,0.021886770907594888,-0.013104029812021245,-0.044164221099140644,0.010892256081901697,-0.00560102049107003,-0.041031631669883606,-0.021529047133742485,-0.008374388025239932,0.015413247918829365,-0.003744212591108076,-0.02942391433935948,-0.01615706209958112,0.006869593369063898,-0.010763304680045604,-0.027047530687819177
21,3,-0.093177205527161,-0.0879957641042296,0.04800308786378077,-0.020877216837766804,-0.02613177152622498,-0.012943692574020227,0.013391633070918646,-0.026100900837692287,-0.0016822966103922365,0.01482019481981614,0.0,0.006085061346756626,-0.03072425330807163,0.030767854752554363,-0.020503048252457357,-0.0971056061209698,0.0,-0.03078271425853571,-0.02396464005368204,0.022623711622893228,-0.0436854148931512,-0.03341727705367298,-0.012681920756185738,-0.027559628197978248,0.009614143043745332,0.10152172184619929,-0.008873125526110304,-0.02852787825345207,0.009661738467777625,-0.023323761017490896
22,3,-0.11077925801443578,-0.09519017982442027,0.043102729300294435,-0.023043467826243225,-0.029107252675963147,-0.028796180992275766,0.0271845466444178,-0.016727124389482734,0.02657847576295047,0.00492182446994463,0.0,0.018862853651534117,-0.04661985808803587,0.019888593378672048,-0.006350686999106708,-0.07221656620537759,0.005621854377622415,-0.021305441041414186,-0.016432086278770186,-0.048482800003374904,-0.04000088454134365,-0.03637566651819435,-0.016420994623376872,-0.043406338510351083,0.026216566972129568,0.032212429399992304,-0.01020336552779047,-0.001977975010838351,0.014637082681039415,-0.02213879313635192
23,3,-0.07259332172701871,-0.07283179723537248,0.01686580324991649,-0.018726214644369077,-0.02602617892230913,-0.019283471345840464,0.025413112116494718,-0.027498018690726655,0.0,-0.006670950203798709,-0.01646888651329126,0.012863986210266964,-0.03149040215317234,0.035729380423478674,-0.03822930602711594,-0.2549467203606645,-0.03338790232565414,-0.03592706648433508,-0.0263206983244213,-0.015770340869413146,-0.04019285242318338,-0.045710397139402836,-0.1069738770276566,-0.040131736151809094,0.019779277266496142,0.054826333608555655,-0.012350360132649008,-0.09883050302541779,-0.010182271311190816,-0.02119873263875438
24,3,-0.07510831195064296,-0.07746477936484208,0.119080508897494,-0.024097689623618856,-0.022404933522371884,-0.003999981130006325,0.019057451705465245,0.001109248786851036,0.040442718969443514,0.020358980987383535,0.007695323960888567,0.03290304549736972,-0.022641192606263016,0.032545192910262866,0.04037814472335577,0.036976984648877664,0.07377892967252603,-0.008273136703056572,0.03424292628775838,0.09182818076607663,-0.03627060284169753,-0.018074088858601456,0.041480681848972745,0.054193843985501866,0.027326906497147335,0.12644909033029406,0.006972821544496077,0.03781386722482949,0.008469946948424456,-0.014193355101161265
