f_id,i_id,ic.eps.ratio,ic.eps.s,pca.expl_var.cor_init,ela_distr.kurtosis,ic.eps.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_distr.skewness,ela_level.lda_qda_10,ela_distr.number_of_peaks,ela_level.lda_qda_50,ela_level.lda_mda_25,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,nbc.nn_nb.sd_ratio,ic.h.max,ela_level.qda_mda_50,nbc.nn_nb.cor,ela_level.mmce_mda_10,ela_level.lda_mda_50,pca.expl_var.cov_init,disp.ratio_mean_25,ela_level.lda_mda_10,disp.ratio_median_25,disp.diff_mean_25,ela_level.lda_qda_25,ela_level.qda_mda_25,ela_meta.lin_simple.intercept,ela_level.qda_mda_10,ela_level.mmce_lda_25
1,2,-0.16933827086649078,-0.1769540094962332,-0.17372748911263258,-0.01706355050384245,-0.07232179000298211,-0.06083305106199377,0.0,-0.004910512263227584,-0.051415884904584264,-0.011396018638906602,-0.01787275285322909,-0.020341938226604794,-0.16469213775571578,-0.05767304031738829,-0.12965083265303368,-0.007837753736738007,-0.0075438563325029295,-0.01813437770717652,-0.07143874737644795,0.024287465710117306,0.0,-0.030098697391627738,0.0,-0.02670854955314128,-0.035197512340297776,0.0,0.0,-0.010410370454093876,-0.026064774916141675,-0.04346394382030927
2,2,0.09040645353608734,0.08266742406367888,-0.07287826572818829,0.0,-0.09858142026502886,-0.12999604441114307,-0.27589954921304144,-0.01976446859221337,-0.029761144428351594,0.0,-0.05386545492101841,0.03629685676680364,-0.03208949958852464,0.015392391157719731,0.0,0.0,-0.026059175627018594,0.0,0.0,0.01975352039059841,0.017892250890417405,0.0,0.025939111513779367,-0.012998537748863614,-0.01027457297874293,0.04558158557850636,0.0,0.0,0.0,0.11949482808272294
3,2,-0.02907559530474091,-0.026883216335496188,0.0,-0.004246208718304334,-0.11480536326395815,0.3782621569733451,0.01633262221943871,0.0015264732240182904,-0.04675522172193822,0.03069140676514019,-0.019697595015497532,-0.0036776852818408423,-0.01151620913574311,0.018711464717562062,0.018969274096783506,-0.03342115734379991,0.016829486044148606,0.00911671749414164,0.016525495041189803,0.02711202045617489,0.00976555186113659,0.00658920099812621,-0.011278915118085112,0.007306110286495415,0.011559211571832262,0.007444491461635366,0.015493008845287287,-0.011600317688726824,-0.017449127980385254,-0.018022444453684727
4,2,-0.012561270203954242,-0.00837157897136101,-0.02425853266821787,-0.0054308266742892075,-0.11986738996846075,0.17722813204001628,0.011244100143500663,-0.0052599316495922505,-0.04925183656307437,0.04931004057182248,-0.03810508113581795,-0.0023468333658906437,0.011030408413211568,0.021112022084811194,0.032199315081489335,0.005977684919637377,0.040616146172029285,0.020294549971460227,0.029127574192984645,0.03899808327813108,0.018903931189079848,0.011283395906572569,0.009698962734165983,0.009556002247412432,0.008995419522827897,0.009674714689155067,0.01967505509379694,-0.0027717128066867547,0.0018456167460527695,-0.01474052629655781
5,2,-0.12801365095776107,-0.14613828299479226,-0.056897013318452205,-0.019421915521627975,-0.07569029847975806,-0.04031674251819395,0.010662883592115646,-0.02078239370841639,-0.039620579492221975,-0.018737906242884794,-0.02541893873173051,-0.05150677001699788,0.03097622981118031,-0.2109515862255792,0.012967891559382827,-0.008534909386433975,-0.009915643940644814,-0.03291225814772403,-0.17165082792283448,0.02266087305890796,0.005619008547510074,-0.025316133109448247,-0.021264634212251,-0.03832065403500706,-0.03554278186160553,-0.045780921369020844,-0.014975342435581962,0.011886774552838153,-0.01526232851939957,-0.0743913116446897
6,2,0.13155325427614778,0.08246038534424888,-0.06070029573604653,-0.01753706527092135,-0.10898218400992743,-0.01776082706448264,0.006845173991633587,0.001012349045011636,-0.053816462350409454,0.0,-0.022728794932701486,-0.010505061103780702,0.02184156268157804,0.04974977715258097,0.004966295392354535,0.0013101512681343574,-0.003116418983636529,0.009689929155867999,0.022216199549446453,0.027019165905753526,0.010259675520919213,0.0,0.003923417944195446,-0.008339279970156427,-0.009335069670772474,0.0060041281380002545,0.0045936519088659936,-0.012107935463727853,-0.010261402127955609,-0.012637493625746517
7,2,-0.0513040601932081,-0.061866490724670556,0.06279329400780963,-0.003267197650624845,-0.09114806025139954,-0.020954463338685267,0.020778887204759067,-0.019435017418206413,0.005110995336188751,-0.034768726390191615,-0.007990507462427007,0.0,0.010242651407599349,0.0,0.007026784342986564,-0.02626193568911006,0.0,-0.019037397150197477,0.011322933697875709,0.02466231972421115,0.007367395274908595,-0.010709223236092719,0.0,-0.010028646667450972,-0.007347011251858576,0.018993243157864798,-0.007211936198872532,-0.013028237943199794,0.0,-0.017862393516972525
8,2,0.11305348363578588,0.07397575221334801,-0.05660664424049097,-0.012199259881783109,-0.10177182439000829,-0.009279703931222238,0.011622711523192136,0.005583855896456186,-0.05037096978934605,-0.01293401481199924,-0.01743646836202961,0.0,-0.0028215813459558647,0.11617491491479598,0.03702439285158954,0.01557274127563138,0.010341089560221534,0.03709610944620878,0.13823653070079733,0.024855809944438506,0.009347809223838432,0.027005992396735012,0.02398809361016574,0.033548781694786645,0.03818503766756648,0.0037832244067873,0.007662777597980147,-0.003721780966247479,-0.01069672041733119,0.01695904275741622
9,2,0.3039218895445117,0.21888925296987866,0.13913844434988842,0.010912889624463906,-0.09632627723035303,0.016355818540785105,0.014133127794989209,-0.01744428655485719,0.005940834883502222,0.011110751020052378,0.004130675814548068,-0.014462714281327727,0.02633862254990571,0.008933401676055608,0.07412038230319096,-0.004319933042718271,0.15241952999643704,0.037045638831633254,0.02756623142908987,0.020992957977365,0.019602832163063022,0.032956069315826175,0.029151720192330588,0.033546455785342544,0.04428078012555536,0.012837297046247698,-0.010492115479889708,-0.007174297917117212,0.029104605414496332,0.017679987383791396
10,2,0.5661659004579449,0.4875189519224923,-0.02394753144254036,0.00897004615057484,-0.06642066136063685,0.06852424134421642,0.024492252659489955,0.0,0.8909525143925188,0.06650620757757153,0.0,0.012735893338145843,0.2694847791349222,0.0,0.049946347159547155,0.08867525134492515,-0.030495518419401124,0.04380336373992355,0.0,0.0508042815949552,0.0,0.07962016320489851,0.0,0.06827057445479001,0.06860295173728836,0.0,-0.07808051096570501,0.0,0.31705999773373783,0.04888071985437037
