fold_number,f_id,f_id,f_id,f_id
,"good, good","good, poor","poor, good","poor, poor"
1,"[16, 19, 20, 21, 23]","[1, 2, 5, 14, 17, 18, 22]","[4, 6, 8, 10, 11, 15, 24]","[3, 7, 9, 12, 13]"
2,"[19, 20, 23]","[1, 2, 5, 14, 17, 21, 22]","[3, 4, 9, 10, 11, 16, 24]","[6, 7, 8, 12, 13, 15, 18]"
3,"[1, 16, 19, 20, 22, 23]","[2, 5, 14, 17, 18, 21]","[12, 13, 24]","[3, 4, 6, 7, 8, 9, 10, 11, 15]"
4,"[1, 7, 16, 19, 20, 21, 22, 23]","[2, 5, 14, 17, 18]","[4, 6, 9, 10, 24]","[3, 8, 11, 12, 13, 15]"
5,"[14, 19, 20, 23]","[1, 2, 5, 7, 16, 17, 21, 22]","[4, 6, 8, 11, 15, 24]","[3, 9, 10, 12, 13, 18]"
