f_id,i_id,ic.eps.ratio,ic.eps.s,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_mda_10,ela_meta.lin_w_interact.adj_r2,ela_distr.number_of_peaks,ela_level.lda_qda_10,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_meta.quad_simple.cond,pca.expl_var_PC1.cov_init,ela_level.qda_mda_25,pca.expl_var_PC1.cor_init,ela_level.mmce_lda_10,ela_level.mmce_mda_10,ela_level.mmce_qda_50,ela_level.qda_mda_10,ela_meta.lin_simple.coef.max_by_min,ic.h.max,ela_level.lda_mda_25,ela_distr.kurtosis,nbc.nn_nb.sd_ratio,pca.expl_var_PC1.cor_x,ela_meta.quad_simple.adj_r2,pca.expl_var.cov_init,ela_level.mmce_mda_25,ela_distr.skewness,disp.diff_mean_25,disp.ratio_mean_25
1,1,-0.05243777585472997,-0.09044757265175596,0.0034079411902987466,0.06507758137337216,-0.027696886046126856,0.010349951174829619,0.05820318811869096,-0.04576749804612157,-0.034911431884637883,-0.20739164408643068,0.02132327882574192,0.0,-0.05889416223412969,0.022738251974047496,-0.010437335842524043,0.011416221335677879,-0.018021607510794457,-0.027993527768529924,0.0,-0.06344453810805617,-0.043517108914054414,-0.0265248154148488,-0.2632169880651621,-0.011172918593918113,-0.05564154371510904,0.00879529468915402,0.004220795584514214,-0.042358180269895906,0.09671511180215772,0.10071199805100384
1,2,-0.10248264927186757,-0.13418704166702994,0.08328100388492249,-0.0017185014875470417,-0.11564245442535359,-0.1484803015894267,0.11430875255649553,-0.05934711522214542,-0.035321057078985085,-0.16669046086002237,0.015276277376625957,0.01994941419846541,0.006951337304910765,0.03811428782398163,0.024497025010315532,-0.020363775934506556,0.0,-0.03136545863593798,-0.01691343978890747,-0.052235436283936565,-0.04491590889193092,-0.028736875645942128,-0.10905492749814816,-0.08843098635378088,-0.032061712498532846,0.0,-0.02498051996808287,-0.053260275222983655,0.04163694499214904,0.04535577587626949
1,3,-0.09379406963461628,-0.13015216366099147,0.08623407202416344,0.0011738682441356785,-0.08701640459862425,-0.1377485970098591,0.10292553743615873,-0.056624647044446086,-0.03338915307556317,-0.1670625683257793,0.01618700813371493,0.011242768758750077,0.0,0.04994180414021379,0.060883888401403435,0.01730094602535459,0.0026784965736780797,-0.02284036506984749,-0.008172173965900809,-0.04809901446410253,-0.045020598407281565,-0.029980266472649564,-0.1321044689500781,0.0055106468182436474,-0.031567392652349535,0.0,-0.01673663863270833,-0.048795543060837,0.05532433158471589,0.05528568822759361
1,4,-0.09506220255553516,-0.12701434598122013,0.059171282916755774,0.018343486271686915,-0.07077118571845048,-0.08816271129664977,0.09970004682822053,-0.058925768073050444,-0.037592550140668424,-0.1849325146810032,0.012515584551627434,0.012141859553073842,-0.013000417602505643,0.04182349169535332,0.06118587788749563,0.023619112874096737,-0.005911983613992616,-0.030949827442240785,-0.004295075216854516,-0.06555902542472802,-0.050454684317902954,-0.025850297764247743,-0.10730710562138512,-0.09996735818651348,-0.03429098728761448,0.006814160596965324,-0.010454310083867102,-0.05203562305447412,0.07146066082323921,0.07862869574831144
2,1,0.04270555118391828,0.056280162978104675,0.04871312948570283,-0.08256368766675609,0.12031541932126383,-0.028856012872795933,-0.046066372958264934,-0.002924571588721725,-0.019301454159493026,-0.030352508358175878,-0.489302005946439,0.007213527864239011,-0.006707142891414775,0.018601240041015377,0.002113085053296049,0.004378724683770596,0.019237117716472296,0.043130273257554086,-0.22363875156337865,0.014128209876110798,0.029224686801195943,-0.0066151477530196345,0.02829933205520907,-0.1023249971878531,-0.022291742323990116,0.0,0.011114379706620381,-0.009119528827606804,-0.027299102150243337,-0.025003907461323416
2,2,0.042148837851139376,0.059321679948284245,0.013691124114225739,-0.14015217150170045,0.0936248261753432,-0.011390497851549719,-0.04340739127804938,-0.07222200781411636,-0.024082578757213202,-0.026121485625449303,-0.4538176145732663,0.011723565067332242,-0.08701566739957878,0.01249210781664939,0.0007423836649559923,0.002274411845929414,-0.009064266223166695,-0.022923908766314616,-0.03679059815466601,-0.013152689329428535,0.13328690870882026,-0.009512497097550199,0.03419854179055709,-0.009306154875061756,-0.02868603387452201,0.00620470473249668,-0.014601530214611358,-0.011100288714842976,-0.03681680066630044,-0.036296838032179424
2,3,0.09909760964875888,0.11996731982611558,0.06248302831527261,-0.06931814417209697,-0.07750526951100212,-0.05522804123915981,-0.11486089495721241,0.12481411041204185,0.0,-0.015833338663511415,-0.4442099244373079,0.0,0.027488960477620616,0.024920076526038504,0.022450965738025963,0.007914240685746893,0.014279330645489696,0.07869021707998669,-0.5363842816379196,0.0325997429614483,0.06118371989675364,-0.011088841359965074,0.031727262398286604,-0.020620258578537942,-0.008399929028873099,0.013136485983745283,0.034128484711469786,-0.01812493349667671,-0.024649332137457403,-0.03546900871214942
2,4,0.042260127376639534,0.05437066360370507,-0.03734461217912671,-0.07119334393082,-0.173429122459609,0.01557232700633615,0.0,-0.006447906022352068,-0.019668048167278462,0.008472395305105962,-0.2857414558064909,0.0018255674037810365,-0.18289844421108603,-0.010715645172305499,-0.0021030817099760846,0.0029121133481478934,0.0,0.008745478644162863,0.006315238047157057,-0.002839269617346152,0.047701584901183425,-0.008467362759212727,0.014816964742992433,-0.005170537231869887,-0.0167085938996831,-0.0031102202706200233,0.014201703310809388,-0.007516688053474219,-0.03297582402682747,-0.027765443796057276
3,1,-0.01953077932037712,-0.03277430677620577,-0.05002661260296238,-0.1024191615013465,-0.08253388784360306,0.10916536726544973,0.05751967280918856,-0.05232800818577672,-0.04022143920405642,0.12196798421685177,0.020257071877307728,0.04124592115450808,0.01868837028282649,0.008944597923720921,-0.03039347719154249,0.007576928151254943,-0.01622347753601917,-0.019171493806923817,-0.010983914855437787,-0.018169240269999606,0.021304029564186082,-0.02005140432732276,0.009706452020014252,0.008929425508910354,0.017473449627780354,0.011727701705925644,0.0036259293730357143,-0.019033943924884875,0.07703258358715397,0.07816801976281727
3,2,-0.012892134382524553,0.0005235447808916022,0.13084660009104324,-0.06763222133107416,-0.09001648597197989,-0.05552971486671089,-0.14572748423695833,-0.051498475210833276,-0.026827242902164823,-0.061578427834344515,0.0171609007935594,0.02389241314365606,0.042345880607981584,0.06529125131607136,0.023509364273923167,0.02771171245324805,0.013541659820718206,-0.01029703816583609,0.17388016071779527,0.08828287704641319,-0.01772790546514999,-0.014927625488237672,0.021649644266357557,0.007932016738074178,0.03842206678354426,0.005245565079565313,0.001557731775361157,-0.00872731343082754,0.00874017816930081,0.00669308262018492
