f_id,i_id,ic.eps.s,ic.eps.ratio,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_qda_10,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,nbc.nb_fitness.cor,ela_distr.kurtosis,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_level.qda_mda_10,ela_distr.skewness,ela_level.mmce_lda_10,ela_level.mmce_qda_50,ela_distr.number_of_peaks,ela_level.lda_mda_10,ela_level.mmce_mda_25,ela_level.lda_mda_25,ela_level.mmce_mda_10,pca.expl_var_PC1.cor_x,ic.eps.max,ela_meta.lin_simple.adj_r2,ela_level.lda_qda_50,disp.diff_mean_25,disp.ratio_median_25,disp.ratio_mean_25,ela_level.mmce_qda_10
1,1,-0.10384682127821543,-0.08218067330750378,-0.06797061627409229,0.010221816172239495,0.062140991510321736,-0.07167428945688709,-0.20728507007772584,0.0024901614089998803,0.009493952433292624,0.0142540252812009,-0.03396620689670493,0.007298406408601882,0.03074718976980434,-0.0332328351724705,-0.04789454560768186,0.004908099082877204,-0.0063948778328242195,0.002339483557597999,-0.008472424783317611,-0.0024924473185458373,-0.029360192920563216,0.0023686784331797273,-0.00856245510298767,0.00409726194956031,-0.0391280445229438,-0.022053901770957063,0.03452509389282782,0.03629810211690215,0.03604666964584197,-0.0024184581249073744
2,1,0.06991467799656437,0.06094592448570324,-0.01669150266431141,0.027973422319669095,-0.04025753907626456,-0.0015587565086805921,-0.031099606090080667,-0.04818226405843784,-0.3836435304347533,-0.04624994554031703,-0.012746406815544842,0.012863140426935371,-0.16443474870595254,0.007556503706827311,-0.02765923134503606,0.010389496860963188,0.026195365318280317,0.003200159498092159,0.024261997121039325,-0.0007536744062715539,0.008365734355426369,0.004441712992652114,-0.07225376826225466,0.003889565868586964,-0.045448103148364005,-0.037675758564581385,-0.013777058870239223,-0.01701795447012383,-0.01851933377356424,-0.008812617390271282
3,1,-0.05943685735961387,-0.05570458233482445,0.0,-0.025863964514653948,-0.05348843773881683,-0.06569314869255541,0.07852767401877711,0.1143964042036297,0.01924231453864838,-0.005115826450201914,-0.03032969246518576,0.049812204054312505,-0.01521739400123354,-0.02383974644392287,-0.030289501298131676,0.014448783739303396,-0.0061608779725104874,0.0215216457135666,0.005376112682960274,0.001715291452452368,0.012781883217585749,0.009449646954491499,0.009135478437288187,0.005738969986915803,0.012163824191230611,-0.00852485971255948,0.03939650286869667,0.03152738342034178,0.03668637008988305,0.005949681665939399
4,1,0.00891788445150557,0.006943573022440308,-0.0030896379783907912,-0.021518268456750554,0.009622321640307921,-0.0642296925277433,0.04943309850235461,0.10136111783585855,0.019648723588362588,-0.09081554719275481,-0.02024955924698385,0.05014984844350555,0.140444891196477,-0.028960929528318025,-0.019452193852733182,0.01834024927308142,-0.03524363732092891,0.027329625317461415,-0.042081748925589066,-0.016890164220385133,-0.024298165272571372,0.004351407707136379,-0.0029863348405621826,0.0045626576592902035,0.026114016994553846,-0.02537984937824264,0.02134194400843402,0.019502997572617198,0.024079213439777036,0.01682344579294437
5,1,-0.13061249738819797,-0.11640607447214213,0.015321819477361442,0.13185374127702687,-0.03786594117784742,0.011842198676256577,-0.007640303568011847,-0.127910203502545,0.005619697110782362,-0.04688775956364363,-0.021796494247127485,-0.0027811245562005538,-0.007716802506235465,-0.0011258387644096368,-0.054639959711491826,-0.18732150043050716,0.04795717883963707,0.061726073492231914,0.03129571556221894,0.020490446770293325,-0.07792439139133892,-0.12257277400503891,-0.028685317872245153,0.008070406627822213,0.014654009354214848,-0.007005678224380363,-0.02382301106201512,-0.03647585589412572,-0.026526501663318602,-0.04062442009059308
6,1,0.1556757811844623,0.16798770094312213,0.023944423170124518,0.08677609075714293,-0.011926193684810432,-0.03597886420692378,-0.004583204909468064,-0.17812541712179736,0.022532616427405297,-0.054623783258071934,-0.030224154226802094,0.029183504025099033,-0.0008445469384204679,-0.02288199583191175,-0.04432113634157825,-0.0754828346296102,0.035503352745319086,-0.12563340737058937,0.017379724250646253,0.006412418842727877,-0.0019814733466431145,-0.061187694930176284,-0.014444440049884655,0.00656049155049615,-0.0436788994448777,-0.025972417547993704,-0.02339625688050151,-0.02273422294669944,-0.022898056832031694,-0.035232882020704376
7,1,-0.07115220975733474,-0.0539445048293071,-0.07634329412696056,0.07576632100897121,-0.011030777914280084,0.23576870633812047,-0.023065837067197677,-0.15170176356546836,0.025160029141712316,-0.05687687324758595,-0.023721013194653598,0.03161228974635727,0.04061552602328567,0.06949300328297517,-0.027863475003532208,0.024500214883033312,0.04774454076570088,0.027590717075709835,-0.006836478011412531,0.021779616480320216,0.04495691726815928,0.01779053318547153,-0.0227632383191776,0.0035362628860973536,-0.0075088127190482,-0.00691938410117713,-0.0113956754423521,-0.010805262028630934,-0.011565308205993781,0.003902179430283703
8,1,0.10049763017555374,0.10011409474954036,-0.027407758246896008,0.010356296667108744,0.017370131347128503,-0.07928114960977761,0.09388882924177638,0.018479718569336917,0.01816898735907696,-0.018582129431972377,-0.029163293867962847,0.049926087991883444,-0.01127685584968005,-0.022887001965229747,-0.03845685528319667,0.027454947248643502,-0.013962368442742304,0.037269921942007206,-0.004494625278307018,-0.0007251986744645222,-0.03033826711938087,0.02602743249928635,0.01413380365588135,0.007994301894248268,-0.020529288773257756,-0.029200815645760186,0.03728186342406198,0.03523800173021954,0.03446317992020437,0.002553518210690886
9,1,0.07708146996851596,0.08521604799649657,-0.037000763111811996,-0.17485502919287696,0.16443663882261145,-0.058979709040211145,0.0734514859110323,0.1075567767919063,0.01658878824444418,-0.004977639599223704,-0.0037303304576787183,0.042423727898894106,-0.01854825685061571,-0.037939016549636745,-0.016385769555876423,0.015492392697281199,-0.03518724126674544,0.007346961405486185,-0.05237730410227458,-0.08150390789513243,-0.0459008917261255,-0.0021765319273785166,0.0038800246983635156,0.005062947702029086,0.049887952190334886,0.0222129848316497,0.023591396407978554,0.01858763998982506,0.023118694786055105,-0.010663959931604516
10,1,0.383686978863916,0.39124815919322686,-0.05706780616406326,0.18338802987434932,0.04007979101552883,0.7015059853759351,0.06708331259782496,-0.04043835574351662,0.02103520722570651,-0.0361279514210453,0.0023958861189377068,0.04722169228063011,0.06597113362483142,0.25586486764584926,0.006114660048849085,0.10277670194870225,0.07443922886662868,0.006729829890159245,0.005146939032786291,0.1186305236415548,0.05158514641635925,0.10086750083780571,0.03615351179744941,0.030788675103291085,0.026545594668264894,-0.017641351644768433,0.09442290850805057,0.0651018848276943,0.07351066478467905,0.05807468048923203
