f_id,i_id,ic.eps.ratio,ic.eps.s,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_mda_10,ela_meta.lin_w_interact.adj_r2,ela_distr.number_of_peaks,ela_level.lda_qda_10,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_meta.quad_simple.cond,pca.expl_var_PC1.cov_init,ela_level.qda_mda_25,pca.expl_var_PC1.cor_init,ela_level.mmce_lda_10,ela_level.mmce_mda_10,ela_level.mmce_qda_50,ela_level.qda_mda_10,ela_meta.lin_simple.coef.max_by_min,ic.h.max,ela_level.lda_mda_25,ela_distr.kurtosis,nbc.nn_nb.sd_ratio,pca.expl_var_PC1.cor_x,ela_meta.quad_simple.adj_r2,pca.expl_var.cov_init,ela_level.mmce_mda_25,ela_distr.skewness,disp.diff_mean_25,disp.ratio_mean_25
1,5,-0.0757757834357129,-0.10400605753137698,0.1056740055788497,0.01222983260481808,-0.0906560801788785,-0.1027366226877724,0.05514328201908464,-0.04447798538358594,-0.033346961461637126,-0.24110381429232064,0.017287658729681632,0.015590385751055036,-0.017281912622492845,0.047198258876089805,0.08531259727045337,0.05447770258562934,0.0,-0.0017978067889965477,-0.002679515316121206,-0.03437829138419091,-0.05936807052117182,-0.028053715402259483,-0.20540920500773852,-0.01498323228934939,-0.056015708031885936,0.0,0.0004872019464599031,-0.0496790562788568,0.06754349144543453,0.062442188858736536
2,5,0.05220300148039314,0.06873518124744377,0.06439505894374498,-0.05982285930074144,-0.06652096536314406,-0.03150598618532052,-0.05145312412241282,0.052576653337765844,-0.013968052821137722,-0.03168077494045679,-0.5012544777470243,0.004882577119720177,0.04142682275207632,0.033055842320093454,0.008570153635375666,0.011454846413021413,0.011585193999132881,0.047781872886748844,-0.2338076854810398,0.010378463793044024,0.051926010349112595,0.003924905973142656,0.025204588641443593,-0.0632786120182175,-0.005445620181273925,-0.005446692095730066,0.029740100937704572,-0.007857746039222735,-0.038289965493652434,-0.03773591546714483
3,5,0.009917533196441189,-0.00437230428917712,0.03359876987125772,0.010354555907068339,-0.022016791792691594,0.034305348161413333,0.03562316067004859,-0.015757323992238295,-0.020348731942735336,0.0925225518643196,0.024683064720482206,0.040602493517846866,-0.034031751536357985,0.05259704688733012,-0.027724436134098196,-0.008598003931737541,-0.01194437971847978,-0.003384617380367508,0.0017286686758331005,0.0006655663646999779,-0.04140665211191305,-0.02220455502750772,0.012000029612542804,-0.038625076656995064,0.005484698075106542,0.012573385364775994,0.00017495189262081712,-0.017545171387220115,0.06954852239082014,0.07198098603630709
4,5,0.016274220634158856,0.016145790951807765,0.06130648312992856,-0.08256722284497132,0.05124413651264603,0.018444967791290873,-0.03767784766164631,-0.002476623162835298,-0.05319646986756427,0.040721272018878596,0.01870691845213099,0.029663010437289944,-0.032605644029925246,0.07313854609467305,0.004907035170552465,0.002612829878546108,0.0,-0.06736903354968357,0.2095801949323478,0.016066531826256558,-0.04329830314348551,-0.016151710820600865,0.030804491764509306,-0.06271061644607981,0.05143810175169913,0.005871464836583518,-0.0463016853088678,0.0,0.02980942786511244,0.030916491571001792
5,5,-0.08363569204972743,-0.10473981109529928,0.1385345656375489,-0.10717533264462953,-0.058189385883493705,-0.15308873128901723,0.06580525091512396,0.018668602968189008,-0.028652272061727657,-0.07276476908484164,0.008013100199212253,-0.0050567533790562,0.012178361504561142,0.05647993794978662,-0.10085182747738641,-0.1414603147730324,0.03583226765042835,0.0693213774098771,-0.0031983879984239794,-0.01362267702788611,-0.1367620310198625,-0.027903297549996597,0.07069925486646117,-0.036290958208987034,0.00826905817266027,-0.003921210896864757,-0.010232982531318213,-0.03375767489953774,-0.07638711346345944,-0.07658681211543639
6,5,0.08469755084818814,0.09592110376504392,0.06807458751780127,-0.03810166664122668,-0.1468909288584298,-0.09401978366529043,-0.16073366991403035,-0.04272923120262897,-0.03120131980310066,0.0661532378378398,0.028812167550954892,0.030227108723216323,0.021654980021292597,0.061621829353661915,0.016852180161330388,-0.03085094324582345,0.00128182226989694,-0.022134071113973808,-0.004542382097844105,0.003258393352329046,-0.037372116380418666,-0.02784872745725285,0.021871821528061233,-0.002214764108187023,0.028439074417696997,0.007046500493577343,0.031049376135292538,-0.027826015466654377,-0.041215340985180995,-0.0428591093315287
7,5,-0.06277026828913765,-0.07725019429378124,0.11424050789775414,-0.012825603121544571,-0.19033834164356606,-0.1511031491814845,0.048943747143739336,-0.028971034312431032,-0.034499225512521936,-0.10551113945779314,0.027941466504070978,0.026547684498009066,-0.12295907826107907,0.09091497165493623,-0.050572641412798436,0.0,0.030447819891873257,0.051374335830432966,0.008808734656071265,-0.006259249554615209,0.03225135016135461,-0.03054309928434082,0.03503889907152885,-0.010681403539572587,0.0310977657511321,0.0,0.03834211400738982,-0.02611749816005071,-0.046414647483388305,-0.04822926618135792
8,5,0.04165945148548253,0.06316386995311535,0.06136989450384098,0.01537804371631207,-0.05422850125858209,-0.02734946721453955,0.0651971462706371,-0.03822551906724524,-0.023040053363274186,-0.1223137020726367,0.028235660449057502,0.04222425247780014,-0.0004813394452430689,0.042876177597650236,0.09606452016955999,0.0765675718020011,-0.0037776330022138566,-0.015073762870049082,-0.00538878094297237,-0.02754864334444029,-0.0677868816532375,-0.02325857026517532,-0.047839857383239634,0.002624033557470151,-0.04662579066678394,0.011420533328171487,0.011459045299849861,-0.025626036487396874,0.02402525964202311,0.024829252298986276
9,5,0.03482833512745806,0.04177683939349634,-0.15032863919945688,0.24825164800736366,0.05306663199689478,0.10464731428998177,0.017577876477967935,0.006157909560232759,-0.01203486378942719,0.05396453210327125,0.023029801478711392,0.036260233749575224,-0.04234352319909922,-0.07427179581151738,-0.004175583582111286,-0.013736193062730204,-0.023847847437234407,-0.04754523554814111,0.0024753905217396732,0.0032553789936568683,-0.08617075031646287,-0.00642110930228066,-0.04309872803991437,-0.023584541935034897,0.03515892281310101,0.013298925051038052,-0.07765628419693192,-0.0014823965726271857,0.04674527443555797,0.045666874884539424
10,5,0.3497048735508419,0.341118271783724,-0.1116833883371866,0.04832151852521771,0.17627068819571523,-0.025492986511100768,0.0,0.07718509220678738,0.0,0.0255718342218747,0.05070751242899241,0.03439752316970279,0.0589806035699616,-0.09066497468748258,0.0210206151407204,0.04500637240599059,0.08793101594720687,0.17567075599793358,0.03491510925789543,0.020454459609216435,0.5673174367571747,0.013884609381769497,0.06628719621127799,-0.03824222170471203,0.009490455145933274,0.022790316731853277,0.12858400920844892,0.02452645859194469,-0.013860273651705945,-0.013865309237467205
