f_id,i_id,ela_level.qda_mda_50,pca.expl_var.cor_init,ic.eps.s,ela_level.mmce_lda_50,ic.eps.ratio,ela_level.lda_qda_10,ic.h.max,ela_level.lda_mda_10,pca.expl_var_PC1.cov_init,ela_level.mmce_mda_25,ela_level.mmce_qda_50,ela_meta.quad_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.adj_r2,ela_level.qda_mda_10,nbc.nb_fitness.cor,ela_level.mmce_lda_10,ela_meta.quad_simple.cond,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_mda_10,ela_level.qda_mda_25,ela_meta.quad_w_interact.adj_r2,disp.ratio_mean_25,disp.diff_mean_25,nbc.nn_nb.sd_ratio,ela_level.lda_qda_50,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x,disp.ratio_median_02,disp.diff_median_25
1,3,-0.029117322962071368,-0.21998824690237578,-0.08359655024834856,0.10619451026522236,-0.044581217714223687,-0.03685231436825509,-0.021496018949140883,-0.08301841044501146,0.003051634874679049,0.01865052398366543,0.01138968363151388,-0.0918876340519865,-0.08193066852515257,-0.049761129833658435,-0.020323201588858975,-0.04823729849712799,0.02604598660698404,0.007971630364657867,0.012980120805832551,0.028445502518889887,0.0042538919646243345,-0.05773424739124833,0.09839375992538471,0.09432670216872704,-0.13930770291970349,-0.010827640327875865,-0.0028336757302491744,0.0408749505001027,0.04731881598342974,0.08321381085136559
2,3,-0.05767544423456003,-0.026606917740404662,0.10731754810152198,0.10908536735687802,0.10177583966864767,0.229514299420948,0.041317978156838714,-0.05624154114449749,0.0063016552000580844,0.05786079448300736,0.0386827619714286,-0.03047158435416819,-0.029421262241236562,0.0,0.1030582166420426,0.011744521169409328,0.0,-0.18959507493254127,-0.5090555258847345,-0.0037037948423678108,0.011992141734723794,-0.012890304114555703,-0.03858180292335461,-0.046294413228562564,0.02313943167642138,-0.018910524660582906,0.0,0.0,-0.022818251890172614,-0.03277427419156634
3,3,-0.10803092439248271,-0.11766191227187733,-0.01237716881807796,0.07093556976123394,-0.0033933752446843046,0.0,0.0326239150385664,-0.18806001495234642,0.014688226989953757,0.01359289376996875,0.004654493210119293,-0.01720149991192238,-0.037775016734774985,-0.014150062604191382,0.004951134331197898,-0.02911112065425564,-0.029704408885085132,0.007897742221138343,0.03979268161653535,-0.032953906869997024,0.017496777839985267,-0.05214644306730301,0.01883792892164371,0.018001345455467443,0.0465797246854959,-0.016004744557154726,-0.0029948420103600715,-0.07146299556305125,-0.009357782103672163,0.016999156770783508
4,3,-0.0970815583499309,-0.16234143529063733,-0.0009362938227355788,0.008226670690526308,0.006209211648173479,-0.052079815536031304,0.017190836531559214,0.008445057415068874,0.021671022510675805,-0.008870963663706238,-0.04585373650459512,-0.04639102362430991,0.022709471711799878,-0.02213416940591595,-0.03753738165629039,-0.03056110000034984,-0.014135340865101903,0.009450922905936382,0.03793466775609025,-0.01821065917640849,0.03223313200377316,-0.03963094386684371,0.06610393997335148,0.0643798917099268,0.019831392284970217,-0.028011453820898286,0.004014871997563452,0.009886563838818016,-0.00431683454890841,0.05614376753413142
5,3,-0.07623281439875562,-0.07519623333304154,-0.07678087012575929,0.16443681335326238,-0.056889111064879205,0.017203406472999172,0.0,-0.11308434318683247,-0.014549153186124819,0.03383304012643901,0.054113544169007266,0.0,-0.0984250367241834,0.03278663296602202,0.032162344333533655,-0.02390525779118391,-0.14346566569061842,0.0032020553869992474,0.008273215393642952,-0.13788749672715644,0.0,-0.03718239518587185,-0.0967857114217493,-0.09945305491721618,0.043726365008676216,0.0,-0.007170355111455806,-0.033801911749632874,-0.07640740503323906,-0.09869021230377129
6,3,-0.02420451054827738,-0.11620523154178553,0.06528917646958787,0.07733402372120457,0.04076067965796096,-0.04827841695904184,-0.008525124765943387,-0.09498657544214789,0.01920228463277443,0.020797778025146568,0.017956634478645928,-0.048923207452884615,-0.10168519163585288,-0.053956550699282346,-0.02244708016359323,-0.024786655649148892,-0.029724057588872616,0.011982496138097737,0.02401072756012035,-0.02946820307748199,0.014521021387226996,-0.04753268977539099,-0.012785962639604076,-0.015078225529807032,0.047787976049254166,-0.02890856661027552,0.0009639929376643597,-0.0030585433970202747,-0.0204135153391842,-0.01653031119065651
7,3,0.1261262902790599,0.11890920989447835,-0.06597740757643687,-0.10085884583341478,-0.05460883710194217,0.012025633752312276,0.0264394285863937,0.04195922717815202,0.019999887848304365,0.007524401001883063,0.04326768200886866,0.045554564664028546,-0.03311939884191437,-0.012074431672380384,0.07689451493576227,-0.028406453399691736,-0.003935189020934343,0.012419808696843587,0.04482333809188263,0.012549298022939429,-0.09799503752846278,-0.0329969181055806,-0.058138730583439796,-0.05861879088804817,0.030514272406875487,0.12946511176530057,0.0045798111944804765,0.025619269642184472,-0.046441290047673264,-0.05404992750353388
8,3,-0.03444657860044742,-0.15882193525884014,0.05752093449583803,0.006993429727153333,0.0221874664284836,-0.060074165380940014,-0.032598912812387165,-0.04752644108861104,0.029509648370651648,0.009282337472312663,-0.016784994359140104,-0.10732514454096476,0.007754556199833618,-0.04772023729749575,-0.03354819103963952,-0.08792836900521661,0.03731400465723453,0.009263381065992782,0.014422845879316137,0.03816744726804083,0.009919995246655294,-0.06121539830009498,0.06867174972089599,0.06798685079717745,-0.07642421891993634,-0.028063486485764677,0.0026648315781820364,-0.009478743638916987,0.00464572122107812,0.061342135198180436
9,3,0.20578968427883654,0.1021167067125105,0.052421358836367504,-0.22736828875677362,0.03483439214892475,-0.041307202821255,0.01081977118709835,0.0486546723306972,0.016502381362859884,-0.13190385091325701,-0.05734924734469068,0.03749866256134585,0.03377746489359032,0.0506635983312117,-0.07302373887100241,-0.05327365827070472,-0.021850689239887342,0.006891524725482032,0.016445134756248085,-0.045671620075121606,-0.008597633378338361,0.023476775831846722,0.06243336008833135,0.05977535751627225,0.01202745467395952,0.0072656979389522855,0.0018920084299626425,0.0077266329145846135,-0.035229424988857796,0.05689142609803889
10,3,0.0423588936426984,0.08326475393721644,0.31697998560231544,-0.01146309508400467,0.276290382210858,0.12325722883985257,0.038963433319559204,0.253307991525483,0.043290570580863275,0.07273142368301544,0.08599893077840204,0.07797428479742541,0.02007772763976634,0.016216921846235133,0.17632232201464748,0.03740235228409028,0.07951515118243258,0.018563513785958552,0.05994604636733358,0.11952273609094832,0.015932165216671734,0.02074910083300907,-0.020239951665590672,-0.021954442227245297,0.029556371474465992,0.3334085112271359,0.020036028256710692,0.0026781076157009753,0.06915640198268624,-0.007484862451676566
11,3,0.03603237215683064,0.008309763810598336,0.29874991491381475,0.07233593329187693,0.2927967858446433,0.3128201133370401,-0.011969030053475493,0.12652318668434837,0.024108435533824357,0.03727296393594315,0.07675547512814296,0.019002558915922618,0.0007568018332784199,-0.00988972756750206,0.2406633324548879,0.04675728376008492,0.0758435586080467,0.010504002363138532,0.08067221937449087,0.07926468765917338,-0.18908091762979196,-0.013504075291185802,-0.048359325174884504,-0.04462706293665952,0.017185703362393445,0.03201608585799942,0.014970394919285979,-0.022271112168294693,0.0795838752421425,-0.023289843775651242
12,3,-0.06919905751634908,0.04340913328028802,0.05696829732561688,0.015209837819033317,0.0,-0.027337066536589655,-0.11558043062055104,-0.05623464262358553,0.0077912558016001165,0.015803720464552057,0.009225457447225416,0.04706639203103313,0.06092417404551018,0.0268607014464326,-0.012753666656447518,0.0991539819963956,0.03789695464309842,0.010905022359523439,0.015671554644661218,0.036809399298956075,0.01711088183309839,0.05704465469872691,-0.021534334288235916,-0.020355105862124093,0.021720084716011945,-0.0366477513503702,0.002825640903803342,0.007815963234522494,-0.04315687047564399,-0.022624771697648483
13,3,0.09903638873120803,0.18814681264677555,-0.028361541820515035,-0.017362796633237282,-0.0034642255565542346,-0.030910703322420907,0.02259301862511548,-0.10581179697557022,0.02800294742362619,0.006955046817488597,0.013584204858832521,-0.016626911794347957,-0.029455653927229403,-0.01158434279756157,0.001228639807237461,-0.10357119569182507,0.010428323080220278,0.0069195083943447006,0.027043587586895054,0.019091087064401963,-0.07214090897303219,-0.06035504851774105,0.08893349547679812,0.08963975210857486,-0.031029527830401332,-0.02527875353543929,0.0052895938306361245,0.09178935743556249,0.01352013066455511,0.07983537510691296
14,3,0.010629931639621407,0.16977567765549278,-0.10898852747111454,-0.011250840037021384,-0.09574862432041087,-0.024803257173762444,-0.008774860152134745,-0.08787065001746791,0.016269386933269223,0.00915523489595578,0.005155408602423972,0.011507988404659164,-0.029251042558844878,-0.016746284111177595,0.024182052897012918,-0.002161955719806652,-0.004730706792910475,0.008577531362620683,0.023164354025436804,0.004598401278987113,-0.06932102244570285,-0.03354044459457807,-0.033689917209473355,-0.03322329628401746,0.0340010864726422,-0.031585318094501436,-0.002162441403530946,0.013752162359160464,-0.023531963801366407,-0.028544878683195496
15,3,-0.07127949633299716,0.17989866849590708,0.013730886827111516,0.13823165505774207,0.0020656408944033644,-0.03001496482922439,-0.011501833205672995,-0.14579660985025947,0.031322129728990816,0.030123574416111437,0.019227406827677263,0.014972679751163093,-0.02379825448724668,-0.0076379928384816,-0.0050354546156712865,0.11039252120824694,0.016034667668446495,0.011068499873142706,0.019008657875908386,0.01001708475220231,0.013374097518518632,0.0080042172059136,0.015723636334977198,0.02369615072826778,0.0479355704510494,-0.017705661703522807,0.007556840680815219,-0.04246541296134093,0.009152972990249086,0.014870484330850087
16,3,-0.07112206607757193,0.027445777098739466,-0.06656855801471398,-0.03955521533756483,-0.05048583201888182,-0.019987415068908262,0.015416500593978866,0.08719609040778559,-0.016221327819558914,-0.010638574589628108,-0.019026810928694876,0.05867810993512737,0.09664313520952439,0.04004178761415095,-0.04250856199365115,0.044693138499159984,0.0,0.002288672263097452,0.013732809281364111,0.0024575480382424963,0.07462907453046147,0.13125408282335382,-0.030387181963884416,-0.02268005986548964,-0.024418496380442925,-0.04491086788575277,0.020326167872696477,0.007497140042805869,0.08586905523713462,-0.01710324789056228
17,3,-0.1296124592540172,-0.1303023260392353,-0.12350853579058907,0.09762775278854796,-0.10564893557929073,-0.09331851114584999,-0.009501274658764824,0.015019646757004068,-0.03796591320441811,0.006574868001151812,-0.003843661322602221,-0.0016423781586921704,-0.07021651733925915,-0.017133736516906417,-0.09559849611635635,-0.026027383586011088,0.015870665584865273,0.004749262822712763,0.008601816669076223,0.013237431820542322,0.03543298719468668,-0.016520305260665946,-0.07399961844194036,-0.07482561768326179,0.025272467297458856,-0.033442234573792695,-0.0023647140940005196,-0.006271033224675038,-0.043464026309996684,-0.07495828306996333
18,3,-0.1130057406375719,-0.1361740238782862,-0.08063823471694631,0.07321778707337778,-0.06756661952075887,-0.10346945304283628,-0.016476870831249157,0.0047483063665453296,0.01161088985496389,0.0007583946500401284,-0.010238481517658271,-0.003240803325306685,-0.06913735436566726,-0.02612826716305866,-0.09727558582498641,-0.024350582071204663,0.014616350716053217,0.005051270706077526,0.008160687822154566,0.012037829803066946,0.04243291791199827,-0.013410770450176912,-0.0959036958579943,-0.09573451904732411,0.02063962685138948,-0.03663498554186195,-0.0020850957577580043,-0.054848777195812604,-0.053780818384645046,-0.09520119891425494
