f_id,i_id,ic.eps.ratio,ela_level.qda_mda_50,ic.eps.s,ela_level.qda_mda_25,ela_level.lda_mda_25,ela_meta.quad_simple.adj_r2,ela_distr.number_of_peaks,ela_level.mmce_lda_50,nbc.nn_nb.sd_ratio,ela_level.lda_qda_10,ela_meta.quad_simple.cond,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,nbc.nb_fitness.cor,ela_level.lda_qda_25,ela_level.lda_mda_10,ela_level.mmce_lda_25,ela_meta.lin_simple.adj_r2,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_50,pca.expl_var.cor_init,ela_distr.kurtosis,ela_level.mmce_mda_10,ela_level.mmce_mda_25,pca.expl_var_PC1.cor_x,ela_level.lda_qda_50,ela_meta.lin_w_interact.adj_r2,disp.diff_mean_25,ela_distr.skewness
1,4,-0.09602100523384532,0.0050600462909935195,-0.09346820795943661,0.0,-0.04286971191654371,-0.08175341853048165,0.085342631328679,0.04005947147484354,-0.06362931514051984,-0.07638839507897399,0.0065148963992978925,0.03032553898075957,-0.01113117536458752,-0.023585162581500313,-0.02408433956518302,0.0005332545697691593,-0.08651603526373566,-0.05239237258707513,-0.08917311688868271,0.09068628035993834,-0.002641884518221449,-0.18873188193124976,-0.0343969518023754,0.07346167632005834,0.0,0.06046654501227888,0.003457128394932091,-0.04538174544809356,0.176856554967718,-0.03565421259810486
2,4,0.06145310463750456,-0.05879973517941885,0.0539125951239624,-0.06784033108421542,0.14440934427082744,-0.017964490898322766,0.0021956274875208626,-0.015106948672257849,0.008128487052965552,-0.005211113537548714,-0.11193559190028216,0.020189421867314622,0.008958544441820739,-0.0047094286268566515,0.07862416053099258,-0.042865860706120515,0.02793680036196644,0.0043930889192795326,-0.01884125305809503,0.0,0.0,-0.005670354816859048,-0.010711468979396673,0.019430197857295425,0.016136835480732182,-0.0029618709062338017,0.005080528256542628,0.006235770616896438,-0.04508455324593169,-0.01236021237420977
3,4,-0.021241406303779464,-0.1620043699895059,-0.015190141132878698,0.061893887084509824,0.0028179641657309906,-0.03461043436429159,-0.03402833130496136,0.035444080996654664,-0.00825264594356942,-0.08129935349423276,0.00535111327844795,0.06121295026072293,0.09139578849614954,-0.06101165656329363,-0.02709304484808464,-0.012961609644656535,-0.03567328663289149,-0.019649621178571025,-0.08338094323442527,0.01679269551459034,0.00600944340424811,-0.09846968314703103,-0.03383185518840848,0.028583606154724994,0.002259979344165608,-0.030306184471553504,-0.0012028060003981544,-0.005600678406593174,0.052338471199393666,-0.014279014823399383
4,4,0.012860680386168652,-0.13256426325688883,0.013652796233751527,0.02428045322201558,0.0006787254486614186,-0.027492031567326713,-0.04410097755944084,0.02343819862484403,0.018551402943319514,-0.07046854588679785,-0.011964106085906034,0.05326566414254086,0.1707707294489106,-0.0818137969300387,-0.012400810169545223,0.049072688218580476,0.05809535702408197,-0.011537247152977353,-0.07021297381686256,-0.0424776684335354,-0.01200858337426014,-0.04274950519242521,-0.031939084821492575,-0.041381655282511476,-0.00631721216035,-0.05084916856924632,-0.0021804949207279434,-0.0013140392662205902,0.05233563674489608,-0.015859521677445615
5,4,-0.07702397543683126,-0.1022353911585569,-0.07128662798667706,-0.018582510698776755,-0.10935743229650324,0.003092302582282852,0.060481599452824164,0.07902333473612955,0.10320320125041033,0.0,0.0,0.006903562754233816,-0.017804745261397414,-0.042416188360975715,-0.13221590279682122,-0.014295682944361399,-0.10794385951870655,0.0308424149191317,-0.0413271716941882,0.029574062941465695,0.03900224064061891,-0.009379962774267558,-0.02520814739107663,0.009791270562670262,0.0,0.014914541709326934,0.0,-0.050830853695848055,-0.12145427189278207,-0.009142995660462505
6,4,0.1375709841817006,-0.009172025015890845,0.10921548928142505,0.021072597834987106,0.011021827648713178,-0.017124690556008043,-0.3379627133686615,0.057635920561360826,0.037705896679576884,0.005762023889969353,0.006085455102839199,0.03966851189727033,-0.023309345415554072,-0.04832431286548222,0.034976592370184356,-0.0584373890719683,-0.11040898979273775,-0.004094691065393452,-0.06272266931172743,-0.028354870252399578,0.028837532767609725,0.008590905283791361,-0.034111780454916946,-0.046633115796833324,0.01531184249519621,-0.0662527625970536,-0.002236230741648998,-0.06781253531585482,-0.05796658350709408,-0.019253109024649828
7,4,-0.045609654632388225,0.057833589312357964,-0.0532462281860564,-0.086450991152073,0.10966910442433242,0.03631146229298918,0.09259420913159894,-0.014105473466097612,0.039729711739445006,-0.06645686309188767,0.009472743408933226,0.06801318596468037,-0.021985128365136414,-0.03632063875202887,0.13724046282147392,-0.0279356324530578,0.019667224468081446,0.004569087551256845,-0.08921726378388564,0.03249573038350753,0.02023990761432784,0.03973357420993473,-0.028774658816209137,0.04375372886957973,0.02027638635724241,0.18984639109173304,-0.003939177357869583,-0.0469754669953657,-0.04510063392525154,-0.025536025536320783
8,4,0.0643612765381816,0.013265562385299107,0.04710488606315666,0.0101458442428317,-0.029326119802017256,-0.03767244637530258,0.036415785111245214,0.005245980183289298,0.007073106247312527,-0.05763675089741217,0.0052597814309113256,0.053369454605066396,-0.01265291919365509,0.0030453902469948224,-0.015785058725758597,0.022173403580569864,-0.004007432040533665,-0.0059121647827589385,-0.0702569267992225,0.0548844149665732,-0.014744291919458974,0.019778522955518643,-0.03039553029939336,0.050786614353735327,0.004675589035886052,-0.05172233655967838,0.0,0.0023000033716646384,0.1519310063651786,-0.019003175097404235
9,4,0.07202422706775675,0.20971172099916113,0.05819398131703733,-0.016849370563583876,-0.06868485808388189,0.026451247266284686,0.02378654723183428,-0.1447595843955129,0.042121874636351614,-0.035342821436507646,0.005386443455937334,0.048595340793994024,-0.022633719458049317,-0.008452467575735506,-0.03644018148446215,-0.016545954884397668,0.06050617270984207,0.004009130550267664,0.023113359164545752,-0.0255615782139752,-0.028486040050511516,0.04233239575283751,-0.010899687349203144,-0.04633007998602166,-0.09155180633815804,-0.04666723039769506,0.007524074938342229,0.005455475134339721,0.1742511811093207,-0.010003585421696104
10,4,0.3366850423171035,-0.04050209946066974,0.32156533191186387,0.0,0.008693514020279514,0.0,0.0,0.1749166253139368,0.09244650909151586,0.7542953915410573,0.026357582463715112,0.03713634903996621,0.0,-0.01572064961034625,-0.06721665246630981,0.0,-0.06605933766617955,0.05123675053964849,-0.011375278849868886,0.03962006550920738,0.10343646733815193,0.0792143313185737,0.0,0.03753017885070098,0.13203713545275964,0.055158529758028596,0.0,0.018024454017643965,-0.05874865187621259,0.0
11,4,0.21899218213734273,0.0018591044489071895,0.20680337204675336,-0.23250528911343837,0.2631686888077056,0.009683784670278195,-0.017693559371023904,0.07354208108820814,0.06900182722913245,0.15809354214227922,0.00915912897666371,0.030642967817369637,0.0,-0.01713513523780108,0.28387690670073196,0.025593999910843268,-0.03435643677223399,0.010537095432305965,-0.01848181658256648,0.006755283048589855,0.04288649332629557,0.04518057380276763,0.0,0.007606466476467677,0.019710029410785646,-0.07391304912562613,0.0,0.02936933084424498,-0.10234621311920256,0.008717568720202795
12,4,0.02372909597052314,-0.032774720857077236,0.008025414383614066,0.014339325714547574,-0.005201858163549053,0.02544119326250588,-0.13132600266167732,0.007358577927586346,0.0046605678209402646,-0.021937412003436796,0.009147278035973427,0.011362814173243252,-0.009644508010072203,-0.06823537973286314,0.0,0.019332506395053364,-0.02817650047571274,-0.014012423492271386,0.04475947284871609,0.01749233880133308,0.004978313981850169,0.00320759222862671,0.30417192159750744,0.026705300500781085,0.0057843641021313175,0.026800791748693736,0.0031291372351939795,0.012038836266860642,-0.01274267695399145,0.05597314099553624
13,4,-0.029503312192992126,0.14184361017529237,-0.04316114797950991,-0.12762789906456434,0.022520764529495696,-0.004340906237516436,0.07250387461289073,-0.0031425881139786893,0.005570885441658069,-0.07910861869584959,0.007944928993792968,0.060644863907933694,-0.0008197219958296365,-0.003741137378452296,0.060299198348477606,-0.014811451127763595,0.015895344785659987,-0.0039003329723676997,-0.09310157825748147,0.01893704745053923,0.005269412332773088,0.05626410136613006,-0.03722078922814357,0.04283551951880424,0.008653972607850773,-0.06693039789911152,-0.005553220387913449,-0.03457892816102936,0.12113187623491103,-0.04746939078156537
14,4,-0.1302301710709524,-0.0033617200255360025,-0.10008808249367723,-0.09028165214950307,0.027057262336257826,0.029888747428219814,0.013859562622973165,0.014472977410656923,0.026255878750780337,-0.0807202337478421,0.007755628536687431,0.06021064331950979,0.026944303277991355,-0.09940586752220146,0.0638198679482605,-0.01633485228669107,-0.0066816781675730075,-0.006317504975674265,-0.03875537163828263,-0.009353640771076699,0.0,0.030423035196276732,0.007194133171687572,0.012561514147298142,0.006146924042267354,-0.016217210249544478,-0.004631144620776628,-0.04760705887196459,-0.10859264614294323,0.03187124467871455
15,4,-0.04466928669740845,-0.015869764196570907,-0.034400461739596995,-0.03864450823946464,-0.007763679673954735,-0.001669180388394774,0.053596606963391816,0.048322394335179084,0.029835785123339245,-0.07753596087991624,0.007489344458021123,0.06851510913507593,0.007385500195793593,-0.07220103047049208,0.017462942429407692,-0.0028103225733999426,-0.022155200036839406,-0.0065144156343198145,-0.05434043917723823,-0.012537923370244335,0.00069012034556621,0.05097534166202797,-0.02420186478366386,0.022290669497411868,0.008884516214173192,-0.057589168721722296,0.0054947799955394686,-0.036287188836823144,0.09481182218839776,-0.0010020943474800814
16,4,-0.03961718182912802,-0.05389876582000458,-0.03549297598814549,0.12315337771390322,-0.027881886585148757,0.029375592357972907,0.0024723516512461796,-0.04022553914681798,-0.07777238998839671,-0.015608261804042595,0.0,0.012399267253842272,-0.017182290352668134,0.19014441497300244,-0.04468243749091444,0.023758348884524078,0.05063237463420084,0.015282807080187588,0.2275392354043641,-0.0152361089139251,0.02761408098860088,-0.009051206542942752,-0.01738194601353496,-0.013803112888603392,-0.0011608487698576142,0.005301292334119245,0.0020154710017311617,0.08545081665609655,-0.15729246954264392,0.0
