f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_lda_50,pca.expl_var.cor_init,ela_meta.lin_simple.adj_r2,ela_distr.kurtosis,ela_level.mmce_lda_10,ela_level.qda_mda_25,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.lda_qda_10,ela_level.mmce_mda_50,disp.diff_mean_25,disp.ratio_median_25,disp.ratio_mean_25,disp.diff_median_25,ela_level.mmce_mda_10,ela_meta.quad_simple.adj_r2,nbc.nn_nb.sd_ratio,ela_level.lda_qda_50,ela_distr.skewness,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_mda_25,ic.h.max,ela_level.mmce_qda_50,pca.expl_var_PC1.cov_init,ic.m0,ela_meta.quad_w_interact.adj_r2
1,1,-0.17194451536123112,-0.2137238561224425,0.05396498655704468,0.03584347163065893,0.03158474648473175,-0.32973582288896897,-0.030897174919785386,-0.03658645821205875,-0.022546119599787917,-0.029308894111026662,0.010161924174769243,-0.031190481862433284,-0.05093734714992004,-0.02852502854244443,-0.015584114947220229,0.007601949307657008,-0.018579293535630925,0.024796642861139362,0.00751930025866776,-0.22563045080565547,-0.1012648313486344,-0.035006252258035886,-0.013786306266609927,0.025370118702268463,-0.042814133551413835,-0.001797044333829989,-0.014511253218892128,-0.016590281795991924,-0.01619351541790026,-0.0911504365514777
1,3,-0.20557835278681846,-0.25106145445936867,-0.01360890448366725,-0.10877281058594335,0.12932354329737916,-0.18951056466583793,-0.11457446353192413,-0.04826754036006187,0.06665882626810654,-0.01687053518011994,0.018683597369345217,-0.23285315636689397,-0.05260064575351808,0.041989787743446305,0.025535201302973487,0.04079432095892899,0.03306534389012983,0.03319456482382932,-0.038027928381212384,-0.15858056489491712,-0.04597784528484683,-0.04530805621489653,-0.02422993827111175,-0.007045316838810045,-0.05133969282870121,-0.004324416527116792,0.028152440674997448,0.019068258939814398,-0.07713088043583693,-0.09403307710954123
1,4,-0.2166916441849151,-0.2613348638602282,0.009722516044713636,-0.04772284104479185,0.09549575769009588,-0.22369919967175544,-0.09251731501716343,-0.03742000852186833,0.07175590615649996,-0.02181434658401149,0.02441844201797727,-0.17630564425307615,-0.055575384746482825,0.020218487982692546,0.015185212141007487,0.04268417674632574,0.02127125175960687,0.06260941038488088,0.0351121765794743,-0.1814483605607864,-0.02841555540594043,-0.03865138945319224,-0.024682549389869468,-0.011605853630898388,-0.03869711360882233,-0.009671450135673165,0.024725053444989986,0.007391950299236449,-0.0695132558394369,-0.09684849227171322
1,5,-0.2147795077220056,-0.25079214578965814,0.0051300315475990566,-0.04339978837947578,0.08979715382053988,-0.2626981575766444,-0.11102489028308726,-0.03366450454490244,0.08197490756143333,-0.03022011688706039,0.020492763710782236,-0.1588039043750442,-0.05242875074225539,0.023044403462147534,0.016679431351801388,0.03187562045447634,0.019115914939046963,0.042000467076637626,0.04971973831206655,-0.20794182471714318,-0.08970570760141827,-0.03822514827185908,-0.02686972429657164,-0.04842838178244746,-0.030460738603004245,0.0,0.007508902048943722,0.008350435211180063,-0.05411168989320958,-0.08385982975921769
2,1,0.16106800363403095,0.17536173519557624,-0.050345923300631146,-0.05729697072391532,0.11022564074735064,0.01224695948297988,-0.061675124496566425,-0.021216325320093654,-0.01695298452434041,-0.010984976098470711,-0.6279649162775007,-0.016190959578940123,-0.009750853151909822,0.037742590723366054,-0.007885395682518115,-0.007023030434076372,-0.008380643683511935,-0.022072121091065267,-0.04820078436481179,-0.10544879007306635,0.018334656327261667,-0.06533894871798396,-0.03937903750316191,-0.22193120354533624,0.030090746625107523,-0.015400999091252199,0.050897051808522,0.010429820620978358,-0.00449087726156,-0.04341575679690368
2,3,0.22233858745522211,0.2235707359217054,-0.049974936403791775,-0.07333106121794153,0.1402587608941604,0.049302472933149405,-0.06950858169348224,-0.028453292184454138,0.04368785867960495,0.04167090216771896,-0.4392961692488638,-0.07502395312000647,0.13553335931594424,0.06981558226860657,-0.01152620752448466,-0.014766118170741138,-0.012396079542694949,-0.01748769416013371,0.02442301037560944,-0.06137845933534608,0.018963815440669357,-0.008904368118590245,-0.03821735922352393,-0.45086107891108124,0.04504351534364627,0.0,0.060676537813852655,0.01734929938463929,-0.026109321506836758,-0.04222640407374617
2,4,0.13637877867130352,0.1217671465187079,0.0,0.02157735397635896,-0.04358134880264325,-0.0294406188039939,0.016813379812869456,-0.015172671651850989,0.0,-0.4466675233601745,-0.4023841207651775,0.039950461760550726,-0.01590634955776027,0.009331910017067124,0.0,-0.008026160316572717,-0.009767201118063118,-0.02233728550294356,0.0,-0.07987969752033208,0.0,0.026165578572660775,-0.022249992924695705,0.016817155803698552,-0.21983392793979695,-0.008952214316566953,0.0,0.014390655963927523,0.0,-0.03007870297930093
2,5,0.1615426332575729,0.17813636885747225,-0.04684014015255561,-0.043121784352458226,0.09335728269434757,0.013704236162698669,-0.050014902555684804,-0.008289636464133388,0.022251199669824695,0.07339570810500523,-0.8417492419303978,-0.05540515893197723,0.08655376078571486,0.06821337917330988,-0.010552271661545487,-0.01243651961896347,-0.012980940398319929,-0.03203941271531113,0.021098079839677153,-0.07491858149798808,0.0061859760587508195,-0.042583646601167924,-0.02393819161623223,-0.3091604150847139,0.046847730755872896,-0.007009157737273786,0.03586012331037075,0.025852755722958254,-0.019330925979059943,-0.03398468597306292
3,1,-0.0940904299912834,-0.103664910113862,0.03422820466752596,0.09621733291813245,-0.0327536116217273,0.07883658853591505,0.03999629457557513,-0.03518275975529331,-0.02398992388885067,0.007021270090877524,0.028965716555020338,0.05359243549441567,-0.043413314094423644,0.023271327687374666,0.06412026421469835,0.06916884539723972,0.06961205604306875,0.07039294407330032,0.02955769728960897,-0.11785038076060393,0.0424651513204759,-0.008104368105866178,-0.030451831917121905,-0.015133016997013388,0.02626709561073942,0.030587234990723397,-0.004926953782676671,0.053502864674655204,0.008017378446272455,-0.07407535856204939
3,3,-0.005221568516585784,-0.023288065004433187,-0.035041493361917586,-0.04951922013306494,0.12675558745887244,0.06328930870164265,-0.04694779091048247,-0.03616835925309306,0.050286065465376464,0.0206368252471006,0.03074719873228303,-0.14679667703334726,-0.02195191063556659,0.08086363787083066,0.023617225004226514,0.02154368331320297,0.02537357453762036,0.019335090215913564,-0.06676156905033342,-0.07357316844223363,0.024691447179003095,-0.02110687384548321,-0.0338229539699671,0.24522031263065888,0.012224467262795538,-0.021097605616722,0.03424368636217434,0.04564654149593622,-0.07062074466862656,-0.07275601187735645
