f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_10,ela_level.mmce_lda_25,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_meta.quad_simple.adj_r2,ic.h.max,ela_level.lda_mda_25,ela_distr.kurtosis,pca.expl_var.cor_init,ela_level.lda_qda_25,ela_level.mmce_mda_10,ela_meta.lin_simple.adj_r2,ela_level.lda_qda_10,ela_distr.number_of_peaks,ic.eps.max,ela_meta.lin_w_interact.adj_r2,ela_level.qda_mda_50,ela_level.qda_mda_25,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_level.mmce_lda_50,ela_level.lda_mda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_50,disp.diff_median_25
1,4,-0.21048957897796816,-0.22809383201787098,-0.010004230763632549,-0.24611050194353135,0.1248682219957995,-0.15401559279056376,0.017741874419235137,-0.013498804136042986,0.007058646173642047,-0.1351151025130365,0.10334045475711562,-0.040385534325207084,-0.03821861779575442,-0.22710910703807163,-0.030603338920933254,0.08786962216868799,-0.03628902380722965,-0.0752583347877549,0.0974563536903229,-0.0264553692741194,-0.03673934677097901,0.004346791834366315,-0.015044511436436925,-0.06698876318210101,-0.02215994073834071,0.02199375757358224,-0.009523637121022221,0.05515298042770944,0.0,0.13023171355182894
2,4,0.15199681405313675,0.10896632901850511,0.0,0.034561873316256486,0.0,0.05070126017796012,0.01970428729147311,0.024614945722465503,-0.14788429016976692,-0.01444835962904778,0.0,0.19639191290015806,-0.007933827907977142,0.0,0.08652059411559987,0.009724118812505067,0.0,0.003569035659782699,-0.006695254429268188,0.0,0.012290149686551372,-0.04796305931292805,0.0344400118617717,-0.007711122914219465,0.0,-0.015263059439462184,-0.03308132673250108,-0.012779272728344226,0.012240899129312241,-0.04385340695854534
3,4,-0.05746776215227811,-0.0368684555604355,-0.0715274542840802,-0.09950547565976187,0.0,-0.06528336150687658,0.060839697604401444,0.13852891642790494,0.006494978946176122,-0.06930555573352681,-0.18336626298688663,0.0,-0.04407580560490765,-0.1108410103723676,-0.029376646280141916,0.02436904987702082,-0.01696355670357197,-0.08137230697989534,-0.07419883836132035,-0.03441438017670395,-0.00987255942832066,-0.07810757685901426,0.03179454305787899,-0.06242393882129399,-0.03853799600144281,0.020144889651090292,-0.0514819909534201,-0.0621817697683944,0.0016400523503781184,0.05290487109593223
4,4,0.02262250863146001,0.026260006691635362,-0.08039253549899408,-0.007745460360052248,-0.06518607087751077,0.10216382387021958,0.05480649766150569,0.25309204309658245,-0.023931804407967106,-0.04538284265745149,-0.2174319409901111,-0.0017265829954205558,-0.04160321945844825,-0.036071730054503676,-0.008364225666802505,-0.04616531159732781,-0.014609156385910982,-0.054849831490234285,-0.0807296853417504,-0.03152407215138012,0.0047229863535365735,-0.0411011405340459,-0.004594850062740963,-0.05167464481379963,-0.03588761308078778,0.0079988802844832,0.08529374402117519,-0.07611736583711609,0.002512139306444894,0.05949434184195246
5,4,-0.16076570951737473,-0.16208139549369982,-0.05125190790724554,0.2450883137508391,0.04634907223255241,-0.23334788777588433,0.010253260829936994,-0.03197824144044814,0.0021762929449150037,-0.04198297872002982,0.04235836960149736,-0.17847821980906908,-0.027283627235477503,-0.022622439626036883,-0.20445362961668323,0.011508656626513736,0.01704604336761245,0.033303325462472666,0.07232532445160506,-0.021138929323123667,-0.04354167486767935,-0.0839092768131372,-0.04416467406291125,-0.03436101938748415,-0.013798187541944451,0.0865689818056744,-0.013942756033955284,0.03128392788604967,0.03683780672374337,-0.0857336673053033
6,4,0.3435859173222938,0.26925493787708926,-0.05332204117660003,0.08226719418343004,0.13116014300296333,-0.16493782044971997,0.04829890632141993,-0.03640744236876955,0.015573541722807099,-0.04962339086956037,-0.0006783161251622538,0.020471295114069324,-0.03911068951498354,0.033024524970792675,0.049316845345166616,0.06355927488039992,-0.017528497676990957,0.03573565400289841,-0.44094686291399243,-0.02995768738075201,-0.059553126141367256,-0.007577132863518854,0.01385006951897412,-0.05031819581250799,-0.026366253610377494,0.056536160343209046,-0.03441689704433022,-0.044549836767263415,0.020561510153261624,-0.027552960129971937
7,4,-0.0726339075332329,-0.08521500692423128,-0.025742396706860682,0.00295689407055566,0.03557489925202789,0.03771600488626892,0.07612944336036159,-0.029894465036538587,0.013674010871236986,0.05521732966952414,0.10534016237177662,0.1334384426095817,-0.032695081060432785,0.06055261092338085,0.2039990557475035,0.048078608727969596,0.012443145059313765,0.0,0.12383340527130438,-0.023440793965147144,-0.02071759691746833,0.05357952445979125,-0.013309133727820388,-0.055255327350985095,-0.028546796561894627,-0.008951476529883595,-0.03658246175436369,0.22334631601572813,0.026338093506447502,-0.0041177604330646655
8,4,0.24219131324634335,0.19059588663938992,0.028984732537543856,-0.07853546764053274,0.07109408120724053,-0.004017408687631896,0.06791552160125908,-0.019285677404393686,0.012238676653868852,-0.06676052664509513,0.07569874284095152,-0.022130272494939762,-0.032560144273101554,0.02695449215548018,-0.004615339335026836,0.058441461666394134,-0.00782628986522732,-0.04376346406287393,0.06218837538170241,-0.02235510319770928,0.012933032017566737,0.015213293961874153,-0.0009284091737351008,-0.05289786648515005,-0.023751978298501897,0.0053575865617716545,0.01252397377310882,0.1266621805514468,0.006981981145061877,0.14404320011802463
9,4,0.3110477687645938,0.2714958760175386,0.008699840754780475,-0.0032764354634804427,-0.039758864955666884,0.1188745368250167,0.06843112091570297,-0.025418351108836723,0.012772135092157133,0.05922581174533342,0.01237158943926242,-0.06160464538814098,-0.008379359833695865,0.051720354147357206,-0.023595486309347824,-0.055880943108560344,0.04969333391734043,-0.04260970906106554,0.03192387399473817,-0.019676046946970782,0.05203929696385817,0.13414945692632219,-0.022245602238265938,0.050947568698070045,-0.025415864189579918,-0.06748828714848204,0.024873816179546204,0.010869014516938447,-0.01336035322643736,0.18786326511338125
10,4,0.5520599201821592,0.521138575357982,-0.0559660754509026,0.20687653386139926,0.04315567610743343,-0.11028528508085478,0.043270442570209955,0.016394664350389165,0.009897033642306097,0.0,-0.10114708347334556,0.02577168094282478,-0.025687443804236043,0.07030659817021823,-0.06139248425773258,0.03983932151618452,0.030827249027558068,0.7039303999299771,-0.03753201673900319,0.02857869228688248,-0.009537290843524282,-0.04609585609275113,0.03317352432026244,-0.0394924108221828,-0.014012274390439394,0.1466987168010725,0.010137488550635565,0.06647737903796669,0.08769237080614012,-0.03443473656053575
