f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_distr.kurtosis,pca.expl_var.cor_init,nbc.nn_nb.sd_ratio,ela_level.qda_mda_25,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_10,pca.expl_var_PC1.cor_init,ela_level.mmce_lda_10,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_qda_50,ela_level.lda_mda_10,ic.eps.max,ela_level.mmce_mda_10,ela_level.lda_mda_25,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_50,ela_meta.lin_simple.adj_r2,ela_distr.skewness,disp.diff_median_25,disp.ratio_median_25,pca.expl_var_PC1.cor_x
1,5,-0.1922174054945317,-0.19364401872833348,0.0027523793187198553,-0.08177286035601361,0.009832253440562377,0.044704241592455785,0.011162057373405698,-0.06419336683097632,-0.2708679677776427,-0.222759413653839,-0.04255674267671461,0.016006945833574093,-0.17245712120607054,-0.06400171502714425,-0.04561379318054626,0.026380831808098026,0.15088168200971963,-0.0289572238283321,0.02499744333135956,-0.00908972722156376,-0.03252742206195908,0.11988491310005883,-0.05974246260355276,0.001878205672363631,0.01055672896559201,-0.072854688341636,-0.03361649818645407,0.02211721174312764,0.02334743744186918,-0.050417341620028644
2,5,0.13396818209771236,0.11099336107650891,-0.05909157543315158,-0.03650296787027832,-0.47922341311205924,0.04110089809108278,-0.05460775843852814,-0.021356897520777796,-0.02479556856371612,0.046431386033350994,0.0797478156494936,0.012871533406158986,-0.04022810327282883,-0.04697315846229694,0.10408197165834467,0.004247177263207197,0.01675608986532215,-0.14661616568446495,0.030422182128319014,0.0,-0.004204680287319393,0.022059218149421994,0.05435289296586457,-0.015824541608692483,0.025010638295442172,-0.011707104693038872,-0.03279109503543284,-0.003932738613273118,-0.004327031392471287,-0.07413863796207376
3,5,-0.04206199742594248,-0.05485641097060476,0.06331376360273909,0.053765643508644906,0.0221479446296309,0.021927476476598137,0.018097028603721112,-0.04998528960519071,0.10172228325631694,0.0,-0.054988706083610644,0.05698004061668033,0.024242599034562003,0.0029174582238738894,-0.031033959214825633,0.03862468445088511,-0.060309852634160034,-0.001502633125615535,-0.005562975059262166,-0.015472099062948143,-0.035532150273013735,-0.03187973729703644,-0.030328201827433246,0.022968263216361057,0.0,-0.004474657914988994,-0.02818684415785714,0.04290739340868391,0.04015740169037248,0.07799963668274004
4,5,0.021803373638315804,0.03096686358251488,-0.13695753530691548,0.04228674847925268,0.024588224124522606,0.04622831062386912,-0.03516979355003452,-0.04193475647152145,0.05660792049882157,0.016115348795393697,-0.06091408487825517,0.05688269442764746,0.14339313038505525,0.05002742348226685,0.006510636875666054,0.050037539596658576,-0.020892535287281383,0.2565908485942796,0.01750447465240479,0.0030963801961610415,-0.03116828540999783,-0.03268955396577111,-0.033551116271194115,0.019898613514990338,0.03881968098519639,-0.0015024497880723464,-0.036652565107979596,0.028218544621665287,0.028672147336817305,-0.010656674220726248
5,5,-0.1510463496866521,-0.15593565818195,-0.05887179716330082,-0.14558206644046034,8.228099408702505e-06,0.07508928681422822,-0.06693177547629459,-0.043586685814718695,-0.10494491423631591,0.09546823153777517,0.05291877102752407,-0.0008588233930654221,-0.24115077593610523,-0.08947366857877515,0.022764339063741312,0.02539206622501633,-0.07640760452612438,-0.030089733560231813,0.044147186433545205,-0.04872881905637272,-0.027326432055553518,-0.1405721435261491,-0.12846261620555066,0.03880055330021903,0.045189979419887116,-0.032717975424792156,-0.03252876495299617,-0.053206247337217905,-0.04622352717401934,-0.047233061240984586
6,5,0.30435497153930174,0.24743955712044496,-0.05152616331013116,-0.0660826788026872,0.032925397389368616,0.04908846927813881,-0.005466876175664159,-0.050491863965658745,0.10175514852067946,0.06157153268521637,0.028078847379746974,0.06001865473672169,-0.11433247066975166,-0.02887977530925656,-0.040719345096485976,0.03268306155976569,0.11108511150807088,-0.00996166999933168,0.026324890699967185,-0.08268078368430876,-0.03743652072978973,0.04979383178756941,-0.011310398715137004,0.02512818384058646,0.02793663945447966,-0.02448320011809979,-0.045333863822416165,0.0069264470929210065,0.009390379586480424,0.01251877094318643
7,5,-0.08835696114241243,-0.09778267665751128,-0.09360198911269874,-0.12057295728026296,0.022761667503693045,0.04945949916023873,0.0,-0.05857737365170529,-0.11499968208683964,0.03410771480393371,-0.15084203352181358,0.041267819648481974,-0.06540027733840648,-0.0542492718916143,0.08245997859064641,0.05083469334902507,-0.04643855786798168,-0.005912344366676814,0.05483234346402152,-0.10325870605497756,-0.04324861574003225,0.0026523814432450055,0.06466574775719369,0.025916742704104434,0.052415598820413634,-0.015272279199746497,-0.034609918057023126,0.0,0.0,-0.026353059358560804
8,5,0.2543501423550189,0.1960090329779554,0.040420303559063925,-0.012658289484542562,0.02820238950856184,0.026972522763271625,0.01764498873849074,-0.04991299871899968,-0.17684037952276183,-0.07778087251877777,-0.016800351537208297,0.06162942755278955,-0.08352104599346756,-0.022192758451394096,-0.04647972124814191,0.0007883094309624195,0.13647310517722702,-0.021778879610124452,0.0106808993741625,-0.020942773043366614,-0.035616086816876724,0.10890383288150998,-0.05520065578816683,-0.02435385812855586,0.0074349470972218945,-0.06900420086223594,-0.03524817819350551,0.016972654964562295,0.02033183337353764,-0.008753918828588003
9,5,0.31224723844175895,0.2634426172817447,0.0210406856217476,0.09821819139581611,0.023572878553734244,-0.053181853906111354,0.1981420520950773,-0.01986317929162934,0.08424276900725103,-0.044263411445375433,-0.05608859609202699,0.06553609218371476,0.0792267405704602,0.028229884402627303,0.0053563336336310274,0.006785448488379919,-0.020065503010124053,0.009349041704005523,-0.009266780584130552,-0.0018615239293866548,-0.023487297428003706,-0.03629549541021454,-0.07522679039061686,0.03561768990978509,-0.04740964073363818,0.097810875731968,-0.0359998658198426,0.014497407678875751,0.011560783691212384,-0.0014713829111770993
10,5,0.5385051330048143,0.4671775760596204,-0.07024496707859962,-0.020326623737671135,0.03964317744100676,-0.014099505271217394,0.08770283908384102,-0.018372886588782666,0.05125543666213572,0.05953701624453678,0.06436012691152926,0.05699433686194455,0.10589623113884539,0.003822057988347005,0.04210870403459266,-0.020526476039591124,0.009343676190750827,0.023200394260087354,0.09807898106770208,0.0968085352611836,-0.0070629519031313315,0.03338194506295877,0.47313964095195615,0.028161903481566553,0.0793049156573955,0.046416616495856156,-0.018632614368901512,0.01384100528352028,0.018539123017141446,-0.046363884061206395
