f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_level.lda_mda_10,ela_level.mmce_lda_50,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_25,ela_meta.quad_simple.cond,ela_distr.kurtosis,ela_level.lda_qda_10,ela_level.qda_mda_25,ela_level.mmce_mda_50,ela_level.mmce_mda_10,ic.eps.max,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,ic.h.max,ela_level.mmce_qda_25,disp.diff_median_25,ela_distr.skewness,disp.diff_mean_25,disp.ratio_mean_25,disp.ratio_median_25,ela_meta.lin_simple.adj_r2,ela_level.lda_mda_25,ela_level.qda_mda_50,ela_level.lda_qda_50,ela_level.mmce_qda_50
1,2,-0.2072512919831161,-0.2436985461732204,-0.03191280548602249,-0.07460552852775615,-0.12244830190392919,0.2190308308432935,0.09384248957183439,0.01688053036943027,-0.3182020903331074,0.006053066941971497,-0.04704897914271333,-0.05604929676563708,-0.007349868859889197,0.009566281391955811,-0.008610742273736816,-0.0299777630814706,-0.06887507232216294,-0.028173373698371695,0.021584851221572166,-0.11644482613044382,-0.012568832565747146,-0.07692937464394456,-0.028820123443600187,-0.034668752435712435,-0.008898493666082308,-0.12961770827891628,-0.03616500482364393,-0.022729065827982953,-0.010316859292361591,0.025098722631763604
1,3,-0.20827286320769411,-0.25360512183496553,-0.019485806827644114,-0.08733378518334278,-0.11566888606089276,0.15820883995233748,0.0789235354696961,0.016961372208457393,-0.3157228741322262,0.014098421438190512,-0.05279314210948283,-0.06299146149327328,-0.027070069398748453,0.014438716072312285,0.009952646691910982,-0.029088517905122346,-0.024126401495204508,0.01235018873198479,0.02350159114390915,-0.10875581932423417,-0.022326687694925573,-0.07476597428264209,-0.036096051568110354,-0.03319359472497563,-0.024729449105326706,-0.14201673753874766,-0.033697840602368245,-0.023646218301414113,-0.00603261406428357,0.0145091761351539
1,4,-0.20302318473337866,-0.2448118581655342,-0.011345910731480946,-0.11487678216655584,-0.04246510017995431,0.1307674278504768,0.04495623824762657,0.008933852688920552,-0.24181922588890115,0.017397246853608717,-0.043763883167492246,-0.052242918129190574,-0.02508365281153191,0.0024679163748742017,0.029299039558816298,-0.03271859838932767,-0.014685322535731626,0.026695490504189623,0.0083918695733749,-0.07335599480973654,-0.02213877363840544,-0.07912172286884966,-0.059176131180287306,-0.05619390402056279,-0.03693813189014783,-0.14594179749786018,-0.0360061404679517,0.0,-0.016619906175989296,0.011834813332610494
1,5,-0.20371309503055657,-0.2432452854800815,-0.008639012311332461,-0.14505486586623673,-0.0543185959033583,0.1314619003293397,0.049789329690616446,0.016060417044319597,-0.2317521087642881,0.020371879170348883,-0.04942040626118782,-0.05148795566481612,-0.022235892875619445,0.01023472680218307,0.029360759865640906,-0.028590374528865925,-0.05038959150973832,0.02586698283959632,0.009156808751089374,-0.07033448866986247,-0.03250668232322762,-0.07635927644523532,-0.061811347523244686,-0.06836224353430131,-0.037338303504419745,-0.14436731692102978,-0.04163646409468813,0.007636279178841132,-0.01807997050607335,0.013252242650257484
2,2,0.13828596474667587,0.1496303890459295,-0.037891129338533114,0.02221021015555069,0.0102777510638562,-0.11529260281769355,0.0,0.03174981452557957,0.13519539601771524,-0.5463312448191613,-0.03168297318809882,-0.05471664422612543,-0.15202498298249223,0.0,-0.02930436750981613,-0.01174592338317959,-0.15102482191853528,-0.007849311898934563,-0.009200454335225206,-0.01730800671170657,0.0,-0.028786800707698457,0.012679599195619617,0.0,0.0,-0.06011921414747201,0.07371246632479317,-0.20242750006500376,-0.051766060193859875,0.0
2,3,0.21149102784780135,0.20392791253967862,-0.03445973100286859,0.060094013941924845,-0.05382533870967249,0.0816990799590015,0.08986914433314092,0.012681688689244713,-0.06781605930065937,-0.41794501386768873,-0.024413386188726544,0.14290225279085492,0.03990189965979876,0.028572320681604563,0.0,0.0,-0.418749034368613,0.006509843984682628,-0.05215522241558304,-0.0793189993420059,0.006337777432792874,-0.04304972684443223,0.016133891099617964,0.007162408905135836,0.012939227214751464,-0.03921164777523159,0.03199634900660092,-0.06837134425518085,-0.01092767879196932,0.04654880807209649
2,4,0.1281551707719979,0.11978870866439784,0.0,-0.0376191629619409,0.037710353918419814,-0.0569847685283128,-0.04599359314863544,0.0,0.05220796023786711,-0.41828416934325796,-0.018028871367564148,-0.027592167920501787,-0.2623030387278841,0.0,-0.0043969619233594215,-0.005566166223500035,0.02480321435883015,0.0,-0.009400221419471277,-0.0096329757268665,-0.012819844307379147,-0.048626570403460634,-0.00919878659913087,-0.01414202724851421,-0.016868636527946623,0.0,-0.17565669419206098,-0.11257896488092678,-0.007680814354572685,-0.0047954846279506524
2,5,0.13876987369842964,0.14000907743805763,-0.0340549764955701,0.04129753335274,-0.04467917341294253,0.05438891977623733,0.05405922679693226,0.01698990658313565,-0.06144306893955781,-0.7180422914027548,-0.02893803661207589,0.07749968331897122,0.07935434551978243,0.005145760255964638,0.0,0.0,-0.30408714930139724,0.016230551129744808,-0.03856927877089583,-0.05547484901921107,0.0,-0.0327908960281057,0.017806221363583008,0.0,-0.008570729289716805,-0.043345640557851506,0.01864432794878318,-0.08195376295128498,-0.007397443570856921,0.023148831427408645
3,2,-0.021041173522191953,0.005379064283677196,-0.08290061258920389,0.05891214865232401,-0.05092501332793786,0.11895335752502798,0.1353630566959528,0.04362946186431804,-0.11836913331642895,0.02501041816144911,-0.03491510807191442,-0.05742804464623244,0.053940340928748776,0.04291936552392289,0.025629048514223346,-0.02796893938233236,0.4296057416820591,0.013374825239339708,-0.05984743635190487,-0.05590686304675958,0.0029728036456338064,-0.03948228390062454,0.0046980685053064075,0.002482124770245231,0.0034516799840613732,-0.07089761468461556,-0.01070627127094248,-0.09468100949745535,0.0010136811246019006,0.03777623221829765
3,3,0.0,-0.016763721465036383,-0.03228663844853165,0.10259075050039897,-0.04933163192614229,0.2595335664679521,0.08278724821798536,0.04769916828249386,-0.20076810916913754,0.024396280227819863,-0.04671313594208805,-0.05804289983260459,0.02418953628387239,0.029230994526783613,0.008489071678314466,-0.0357847747028225,0.23962610544169238,0.009803473504188396,-0.06828295717122695,-0.12457000390838555,0.007851676466543578,-0.055513861183606274,0.009580608546963697,0.011341332940919015,0.009542062082176995,-0.04765895923918204,0.005340037062774885,-0.12440972645277681,-0.002110015160614563,0.020545160747650636
