f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_distr.kurtosis,pca.expl_var.cor_init,nbc.nn_nb.sd_ratio,ela_level.qda_mda_25,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_10,pca.expl_var_PC1.cor_init,ela_level.mmce_lda_10,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_qda_50,ela_level.lda_mda_10,ic.eps.max,ela_level.mmce_mda_10,ela_level.lda_mda_25,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_50,ela_meta.lin_simple.adj_r2,ela_distr.skewness,disp.diff_median_25,disp.ratio_median_25,pca.expl_var_PC1.cor_x
1,1,-0.1866140880799303,-0.18999532476069048,0.08561487622056163,0.02704677658487986,0.02304548214264679,0.0,0.02568776365904979,-0.052219880597407675,-0.2126232443647752,-0.3263407396201613,-0.0951331063300691,0.01285629471203431,-0.013367912899134304,-0.008521874553471531,-0.0707229502011637,0.019889219166335015,-0.05476018985561981,-0.006778694412529651,-0.018001264458043675,-0.012718857061753575,-0.03759003869175992,-0.01202272420091477,-0.056466830853883265,-0.011411239314755961,-0.026743083817935887,-0.027432180816469753,-0.027125900304529105,0.0015767475726823355,0.0028840154492481007,-0.06652347407823078
1,2,-0.20499222455956312,-0.2100842582685014,-0.011625799468042763,-0.12761652730811934,0.01719863710226821,0.037382796694821696,0.002132505394516593,-0.05462775309635948,-0.21701283878605548,-0.13725333283963748,-0.006069865142963926,0.018962032185907862,-0.18771166751701485,-0.08196908089707755,-0.08032055174712138,0.030748785261245803,0.14520449539624192,-0.05766448656808021,0.006940934958068801,-0.02366645750050811,-0.04730472548153719,0.060603947085860144,-0.04040513369880827,0.03466812241280803,0.0065205926037992246,-0.07101713248507968,-0.023226011268794866,0.03385780510379832,0.03337294847271921,-0.162771621226393
1,3,-0.19463153416505063,-0.19432512368636312,-0.004119120249308605,-0.11651167637865134,0.019687536301608133,0.03083235442829313,-0.0006011393910694274,-0.05031983287816649,-0.20381311247572376,-0.14227193813000738,-0.024262320280267258,0.02579192396376484,-0.18347087925476813,-0.06266897895064938,-0.06744623121655269,0.03475473644682914,0.16086794972107665,-0.022622442381560193,0.01559396597939583,-0.016619100573943224,-0.03893992319763173,0.09532852658397634,-0.052479586747255835,0.04404722164748531,0.008427570165163989,-0.05063557357254056,-0.019790609026316464,0.04397928611054358,0.03612360540008697,-0.011211734309980903
1,4,-0.21934889384593603,-0.22455823588294677,0.02069498157286853,-0.07414832520902803,0.014315513626459109,0.02136152415111836,-0.00403904916225728,-0.0478863603443076,-0.20920522266567343,-0.16539916512838626,-0.04332748388089913,0.018540854322671385,-0.11234730402628668,-0.04746063355937047,-0.08469145067020434,0.02604530576739389,0.1031922566046874,-0.025551720357125385,-0.0029662423620692158,-0.026075046247278633,-0.03998922375341085,0.07279789471733,-0.06006047530494607,0.025878025784577097,0.0071281382734749155,-0.060200404453739864,-0.037941518763114246,0.03037589847237665,0.03257878312831719,-0.20463493537832256
2,1,0.09777559861983143,0.07723837135091549,-0.056561453668088846,-0.030203626481604906,-0.5248832441880998,0.0050441174414981305,-0.06792885277217164,-0.034279716653959846,-0.02780084892877066,0.038907613370554706,-0.020702657531921465,0.018545765429955563,0.0,-0.026058419148451084,0.0014973486431489325,0.0,-0.026048961177537577,-0.15384072283505584,0.021060551970268238,0.023381626720474058,-0.01038741097600171,-0.026536368873399496,0.025096222080441155,-0.014963125397284727,0.0324656682040092,-0.05063675843337917,-0.019212026174802777,-0.005594159366102136,0.0,-0.07297276113255613
2,2,0.13361055963658658,0.11184541002804965,-0.04750741217932852,0.0,-0.670618401215354,-0.018089852703127907,-0.11454001155568416,-0.032346630480459826,-0.03519694965371434,0.04836779910099437,-0.14732272466639268,0.03369222804079308,0.06834297392266175,-0.016456662201678185,-0.0630928689207968,-0.00706488956641993,-0.01799089198833065,-0.11164694302124567,-0.0014025711372669392,-0.00972923634130557,-0.014777151038474434,-0.019018301123509662,0.10511442330590964,-0.028900656298963878,0.0,-0.025234064381467747,-0.02786448795075258,-0.00185566672164994,-0.007718589384791197,-0.004527674133914195
2,3,0.19060954446458106,0.1710766676045879,-0.06729760323885492,-0.05283576505637341,-0.42865573389807465,0.0417046761862688,-0.05200241727078886,-0.030672650625393205,-0.027399872264123992,0.04206317779109135,0.02317465987249373,0.020156226747361186,-0.03256345672340899,-0.035196027930299606,0.19333311620854338,0.006731728106078777,0.037420486807778416,-0.38217098305780295,0.042190291666264396,0.0,-0.008407721567627063,0.01990113335951757,0.06443963249117532,0.012077344836792181,0.035407679067756936,-0.03130100651320272,-0.022367655810896614,-0.006525491429849928,-0.007062145085759891,-0.015971551552821484
2,4,0.10136804579363651,0.08945613419528015,0.0,0.03128200158452776,-0.44512329508627113,-0.019539424560657048,-0.08072447786061077,-0.018259070910127462,0.0,0.029451356330756795,-0.2669828542601652,0.035394049764775115,0.0,-0.005930915189451769,-0.0042498268227455505,-0.0116800965396478,-0.01650721784553727,0.0,0.0,-0.1098769695155718,-0.002940265874996073,0.0,-0.15265114682442082,0.0015499862126218122,0.0,-0.006682858301666372,-0.010899229504940378,-0.012413898549022084,-0.02430371399464587,-0.023299988801159577
3,1,-0.09974449435090593,-0.09373346172098895,0.06225473714355063,0.1269927003456152,0.02787215768443059,-0.0158224682986721,-0.06125218445182527,-0.04509238130529421,0.12440319113416001,-0.008490662615281974,0.011288225491240284,0.06044506587086425,0.06439006493066526,0.0018993842475376749,-0.059495829919765666,0.01646048127584386,-0.06989653508903297,-0.029439862952799878,-0.0012931807464078363,-0.02920771743122811,-0.03818445974061427,-0.010234427337766874,0.044302041858407575,0.04934475528295326,0.012232581918982355,0.016728658400356283,-0.031463847430395916,0.049288375476267465,0.0503735882595604,-0.0015437278609664873
3,2,-0.024717002967767965,0.00590462617454493,-0.15152801172022143,-0.04895655999364004,0.02502459636389237,0.07355253101806614,-0.04153847629459087,-0.040163105409669914,-0.07345789200324632,0.012794524002274377,0.049391053334932045,0.04084171513906734,-0.07461452984817468,-0.03401676753540238,-0.04540519860429924,0.039320020258921645,0.009785685913330344,0.45303221545574734,0.04927643191838221,-0.024514714208466126,-0.030946085324225284,0.029658151313142006,-0.008295907623864368,0.055162880593364466,0.05771588547283146,-0.02398620730419472,-0.027014157757029977,0.01625519837273548,0.016939680298855564,0.006051708555025126
