max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
,sqrt,2,100,1,1
6,0.5,2,10,1,2
10,sqrt,2,50,1,3
10,sqrt,3,20,1,4
10,0.5,3,20,1,5
