f_id,i_id,log_precision
1,1,5.5464875381679295e-09
1,2,5.9154469366221475e-09
1,3,5.604998299315346e-09
1,4,5.107312757275018e-09
2,1,5.6096702729649825e-09
2,2,6.061811786015358e-09
2,3,6.0919049742465286e-09
2,4,6.345231481696831e-09
3,1,0.7763226627198915
3,2,0.8110567795299243
3,3,0.7385675773937901
3,4,0.776323028907528
4,1,0.9980249683554888
4,2,0.9757601368911124
4,3,0.9980249683770424
4,4,0.95229188871074
5,1,0.0033014643340167
5,2,0.0036858746512028
5,3,0.004423318716268
5,4,0.0017466175867438
6,1,0.1643793435747352
6,2,0.1527709427088042
6,3,0.4383141472269712
6,4,0.3708168004971982
7,1,0.5506366626590655
7,2,0.4963892770902541
7,3,0.4904560692275209
7,4,0.306199430921185
8,1,0.8661460477250377
8,2,0.8709808915991545
8,3,0.8690669765323842
8,4,0.8458185588551986
9,1,0.955720938039271
9,2,0.9829779780688452
9,3,0.9561858712222032
9,4,0.9314169292578116
10,1,4.067733461302073
10,2,3.927460834363884
10,3,3.904485481625008
10,4,4.052314119509936
11,1,1.9567095917670871
11,2,1.8877947939030573
11,3,1.9771134265632515
11,4,2.060926487413909
12,1,0.6243826979182089
12,2,0.5088602078519195
12,3,0.4968546294187015
12,4,0.7438539651120188
13,1,0.8860598101633312
13,2,0.8058394069905717
13,3,0.8185956460751938
13,4,0.8326104436786558
14,1,0.0005661202730624
14,2,0.0006456406040488
14,3,0.0005480353599086
14,4,0.0005350411409828
15,1,1.6644648895010823
15,2,1.6288634963401836
15,3,1.6078125764843023
15,4,1.5909003925304182
16,1,1.0731270785918714
16,2,1.10816105287277
16,3,1.085775873552428
16,4,1.0785798776084572
17,1,0.0713542469042586
17,2,0.0447356665110653
17,3,0.0574389512723294
17,4,0.0926165205592905
18,1,0.2693700130498064
18,2,0.3389455264032417
18,3,0.2510531977208307
18,4,0.29021595987092
19,1,0.6295243595456306
19,2,0.6448650814804283
19,3,0.6244381355498505
19,4,0.6205709845751651
20,1,0.2281221433749566
20,2,0.2254084431963113
20,3,0.2421175475422248
20,4,0.201995695730017
21,1,0.4772477924017582
21,2,0.4547433923695821
21,3,0.4476260985842761
21,4,0.4819530380028929
22,1,0.4705573161324236
22,2,0.4705573161570435
22,3,0.7826718365792472
22,4,0.4753494781153064
23,1,0.4673758256154829
23,2,0.4532745592833218
23,3,0.4563889680265083
23,4,0.4523540621888977
24,1,1.717522661603349
24,2,1.6927456209495122
24,3,1.7210745738041044
24,4,1.722034625139347
