f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_25,ic.eps.max,ela_level.lda_qda_25,ela_level.lda_mda_25,pca.expl_var_PC1.cor_init,ela_distr.kurtosis,ic.h.max,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_50,pca.expl_var.cor_init,ela_distr.skewness,pca.expl_var_PC1.cov_init,ela_level.lda_mda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_50,ela_level.lda_qda_10,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,pca.expl_var_PC1.cor_x,ela_meta.quad_simple.cond,ela_level.qda_mda_50,ela_level.qda_mda_25,ela_level.mmce_mda_25
1,4,-0.24515723611425544,-0.22875117165050207,-0.0032648863336183775,-0.005723737507894899,0.15716192881550772,0.15340260179275017,-0.16960967119141124,-0.18281902071031275,-0.0258595524902529,-0.040569550809001376,-0.0419251791939812,0.07372040329778179,-0.039842852430158116,0.08055060504243872,-0.10614846815544954,0.02718727273075139,-0.24799997806688134,-0.00428045800707455,0.0,0.035106092008052314,0.014020100896515286,0.015767436944992275,-0.07279354841307561,0.09176235910245134,-0.043220187957505374,-0.009387197334114195,-0.007283358935283646,-0.011005310124940881,-0.031818924028568396,-0.06166561629198197
2,4,0.1392849286582254,0.12804437555997916,0.018545531718108466,0.05213997592436315,-0.038528274225471004,0.019177074738422673,8.300191333343587e-05,0.061432628897308494,0.0,0.10636959564315396,0.23487376012975925,0.0,-0.024448887069194902,0.003989848557977016,0.0,-0.01362641232306494,0.0,-0.014756059343039474,0.0,0.07662571886960479,0.0332814360296001,0.021507816205870667,0.013782309315046093,-0.039524061734446336,0.0,0.005328633752637313,0.1674681519827379,-0.025910585306681333,0.07647639916370175,0.0
3,4,-0.0740973821442078,-0.0460306042704588,-0.08748234656926174,0.1269510982578358,0.0,0.02155057419759515,-0.06782252451599291,-0.08031463500903724,-0.04044461821226486,-0.04574911549139654,0.00013029190964908288,0.0524408561449799,-0.04151811328508126,-0.17784074911708148,-0.04496618756132198,0.03543239200976589,-0.09999869122964639,-0.054170956701360407,0.02558514149800384,0.025869287954889852,-0.01184122952237987,0.006719652571824719,-0.09517894430136098,-0.0866364382262611,-0.02653159603035138,-0.048653934766826334,-0.013804689584188123,-0.07597749907817686,-0.03165414583665693,-0.04058677474774741
4,4,0.004736766781863827,0.006593221301356589,-0.09583060238576188,0.2703504959092398,-0.07678189061180392,-0.0768078613252875,-0.0016020439085385613,0.10837806054809199,-0.03807152078153157,-0.012235098836334612,-0.003954165126847542,0.058131499711715696,-0.04075222266863726,-0.17445053499216645,-0.013545731561254964,0.028990527070317337,0.010305758666969367,-0.04416775247415744,0.024208057762407698,0.008194059318313296,0.010227633748288972,0.007654662360968498,0.0,-0.0343114366022525,-0.009379141120267831,-0.07403027579153461,0.007151902321683792,-0.023544150295017885,-0.03694347386309617,0.04249231807300646
5,4,-0.1620259227652195,-0.14020283205145812,-0.05396074096932024,-0.01825945642550358,0.15031757229901768,0.1550625481939397,0.18210909552517557,-0.17360060167852645,-0.016321523199276065,-0.15981679653080103,-0.11635770755431928,0.09745874773491736,-0.02620146756695696,0.026834798763990784,-0.021847051428864173,0.10192715464616456,-0.03718182541370243,0.008339492211427681,-0.018586807286273037,0.006830468387526843,0.055741794297981845,0.043193174725882584,0.01969103836872188,0.08326303930358346,0.058362033368586745,0.05266987232834597,-0.0012072332568002775,-0.07389979021254073,-0.08891628731744326,-0.05187595154831
6,4,0.32918200875106035,0.24217360288000028,-0.0655548749590055,-0.022880789064906176,0.19481864806733687,0.15758958449049437,0.05492546699554601,-0.18096284117481573,-0.039524245121010604,0.042728146664491956,0.02376173866389522,0.0849982802680507,-0.03970623398054951,-0.013752587828475299,-0.03416267749723481,0.04609575152301132,0.0060853703862858155,-0.015993779668084546,0.022078174744883217,0.0772892050549216,0.046636708963315926,0.01805882172506737,-0.016149259275558492,-0.43549876932916987,-0.012876274538296956,-0.07220685117871031,-0.006274858757762625,-0.017013953738742843,0.0158674293170325,-0.07109123385542232
7,4,-0.07766674034613041,-0.08245611361818583,-0.021918296129050607,-0.028722971174515943,0.038642090626654024,0.055867060537488966,0.03447679983805413,0.038003026096862735,-0.034170582780361336,0.1914552449696587,0.1079085612777384,0.04143291197942833,-0.033837299912008845,0.0834414749082647,0.042801213363209856,0.018018785997250264,0.08458080686259117,-0.025231202455700374,0.0459550872723995,0.06726800027991209,0.0481320147530212,0.042011112336930334,-0.07989188469361508,0.10459901351221734,0.017430238352311056,0.22304261035964323,-0.0020633294468999086,0.040302359362072604,0.03433315877427512,-0.005870176849124609
8,4,0.21713430346155838,0.15512792957604948,0.055790117232671466,-0.01820226206376957,0.07787433516609987,0.07359349384624658,0.008295445330794626,-0.010223000425063133,-0.030974400677109326,-0.009869728199171035,-0.021129373706223142,0.06447824511039396,-0.03201065592430985,0.07852127615291127,-0.012508389451517998,0.02281808203596586,0.004120300655140685,-0.021370212785391418,0.04511820810909262,0.00943687037817309,0.014514811301965636,0.018816748589610133,-0.029616199794173792,0.050021514704651604,0.005038927782556102,0.09201513878529893,-0.003850022683281995,0.0,-0.003673242818300282,0.009916225263990941
9,4,0.27329254118178137,0.23114459570824147,0.014816486920632421,-0.03368511217719683,-0.05518027656357849,-0.08923405237201913,0.10252138087460871,0.10857262598279036,-0.02605733230627086,-0.03317026152916794,-0.05187524005848376,-0.10996382140468275,-0.019244718924477655,-0.001842527390282428,0.021726438521126906,-0.07713463805637766,0.01847800055601212,-0.04486535033195904,0.03683511936516243,-0.06520091881686982,-0.047999304205904564,-0.0027163013859653473,0.051849926744397035,0.021960696034578064,0.03323576613011159,-0.019735288488722483,-0.002452468556534637,0.1603092792138453,-0.038513933248380205,0.04578848162610766
10,4,0.5196845397772571,0.4623769794699135,-0.0827777351272132,-0.006310681989553313,0.057297849996330474,0.05401652505342258,0.13932136319413224,-0.10322629378260195,0.013531664911923702,-0.06514652084479355,0.008952094276019285,0.06672059266520258,-0.013005478058546016,-0.08708439380824218,-0.020542126074530875,0.1537676231844286,0.03390052780729047,-0.04350751270984898,0.009370987540422426,0.08411915599905595,0.12200082684680891,0.058275128409066124,0.5176045277226209,-0.03670596170346785,0.02419695292722368,0.03323838067593621,-0.002096237450276872,-0.035419896421168495,-0.01666839427721889,0.017019447225828266
11,4,0.23459652845742376,0.198234540631118,-0.0769729164963987,0.0,-0.03668918893229439,-0.047061669342737145,0.0203477231863331,0.02892109082971822,0.0003880963337252741,0.24040122698971522,0.16289173720986727,0.03965637285891349,-0.025599638265932145,-0.15640280753062932,0.008288992082095825,0.06600546723778083,0.08010909091726737,-0.02309325980065785,0.020936123150750552,-0.04508240870028957,0.02692332693286348,0.03346312430410839,0.017854544532775046,-0.08269035198127245,-0.0019543255101144297,-0.08778645581502731,0.0,0.0009129356152707269,-0.06869931962590003,0.0
12,4,0.3747068735071766,0.4241939328538513,0.09309625009872757,-0.010369033329639343,0.040448605832135165,0.04008550208902095,0.010538853682097837,0.040274436367299105,0.6194608394550509,0.019400535198396573,0.018938560587437925,-0.02712745637117253,0.635900336684136,0.15397832468109796,0.06195597775450645,0.03917151444493361,0.05194771291655775,0.45282836023568307,0.07336235701894367,0.029184893022748515,0.04123254866951598,0.08490804583331935,0.02398800959327696,0.2308762239469766,0.049304437941721124,-0.06644040168998488,-0.017169483743697533,0.012554800754606799,0.03515132766758722,0.03289959299110157
13,4,-0.06057695637526747,-0.07608514594323074,0.062267012770572616,0.0,0.021178412076536368,0.053922209574236046,-0.02603198661867101,0.025694452693773018,-0.031165150715354695,0.10041296916152759,0.03112932412467201,0.0734506121221527,-0.03703222116776683,0.1881145858082211,0.006345844100995424,0.025170650146665308,0.09157360921390101,0.0,0.04618523698740035,0.0760246573446618,0.028713520061885878,0.022241362349795013,-0.0719102400501439,0.09835253812630257,0.015525870759143912,-0.05180066049321863,-0.0041077767884754035,0.0988592331210979,0.038772135127553675,0.0012553069128355965
14,4,-0.2006424300117231,-0.1537060982938594,-0.16935256079919309,0.03612100751819758,-0.03631063964963627,-0.0092026888512734,0.012067794789684894,-0.00538954755044313,-0.0420348379287131,0.07304082146708307,0.014707930912430278,0.024673730421161444,-0.02790784943449004,-0.23093621520406282,0.03329257257496676,0.0364537325909603,0.06719105302069506,-0.07530506713666313,0.022156375972742892,0.04896178840435744,0.008813326388824372,0.009353890497898143,-0.11684411983249154,-0.014650644981741734,0.0,-0.04049694532296483,-0.013464681607740003,-0.017910588396851057,-0.05555449422751274,-0.022780726520270855
15,4,-0.09383596363908403,-0.0779821256915726,-0.10862817794784227,0.009631413054372817,-0.04288691118162383,0.004935345076566872,-0.012212341990134434,-0.05089490414352338,-0.03994650289767289,0.024403791155195143,-0.008002328669763276,0.08528473960582585,-0.03977117749609811,-0.0030206952727719893,-0.005476964992025102,0.06110929645206606,0.08347475603944052,-0.05384985075384252,0.038547676734928454,0.05249247860164938,0.012869881239687256,0.015346886983283792,-0.09184904915976537,0.05339941022201965,0.00196014878563483,-0.06003170019530071,-0.010954981926195512,-0.025652329449008887,-0.028766872313732428,-0.02014514011412616
16,4,-0.10918410819501928,-0.11026466868398499,0.18895117622574298,-0.034236608589854556,-0.028166781913341543,-0.05870575140263401,-0.10271915756848604,0.06250734198605934,-0.028471651396193787,-0.07525340735014696,-0.04112952964917371,-0.1528033144640133,-0.04928168398714161,0.1014109323708518,-0.0021965193464117405,-0.1713803662167359,-0.04008191584948817,-0.027023452038624995,-0.04624286295674096,-0.10205155489696849,-0.08179071398213156,-0.08635211504419105,-0.0019296766052242509,0.0,-0.03988265832288873,-0.010603396159792444,-0.0065625937069228035,-0.043762917635268295,0.12380830662373965,0.0
17,4,-0.22585529453714615,-0.16572040417658274,-0.16642922238810165,-0.034334538489647404,0.031007193583003245,0.019530535557628348,-0.0025117316415794733,-0.023361578656384108,-0.03763852397469003,-0.06589847989727571,-0.04730924447140522,0.007275013817437448,-0.0036986748417375814,-0.01186900127252244,0.011910711791326078,0.031471534474761476,0.01599524562681054,-0.08521215885175792,-0.023511723419212816,-0.02033435081895424,-0.001741641964187024,0.017749770795521647,0.013115007250627309,0.0014826295758427754,0.004852367922715595,-0.014619999243280557,-0.008995258750871593,-0.055492077657924965,0.005335528857604077,0.01151887438176491
18,4,-0.1658356359919977,-0.1095635700986603,-0.17952046893203938,-0.05663458625469958,0.01405737521155892,0.0024279309140533556,-0.019949710881217497,-0.012357252676654273,-0.038219062454108554,-0.07013981715977777,-0.048933581973960305,0.02831970925383126,0.0,-0.021229825606770725,0.03515520151897128,0.042259247418646506,0.03272954670881556,-0.08894239308031748,0.025091329295249598,-0.012604010441525093,-0.0028628945150317997,0.01998883128868889,0.0,-0.004951338202934141,0.012467866152055473,-0.015376403897427948,-0.007889230911235723,-0.06283384267430903,-0.01690345944079144,0.020580483455635568
19,4,-0.2127805015789524,-0.1742011289420835,-0.014501830262923177,-0.059546177823113444,-0.03648879106834779,-0.0695175026401228,0.07838739103617087,0.10544204829300596,-0.02952160669746351,-0.05086747057144114,-0.07550706322539202,-0.1879227181532831,-0.02603729488011125,-0.010954327469757774,0.0026801135696910006,-0.1546612229333273,0.03581301867456321,-0.060323663420307594,-0.018908198475470983,-0.09857543040118755,-0.07992556309315846,-0.066247293824784,0.02190351229921328,-0.01072217565112421,-0.01381340682683374,0.06872385467365832,0.002405927379283912,0.11712404442311264,-0.06620415818789649,0.025780068418325364
20,4,0.19980125731519993,0.14402307656539998,-0.07433354261891523,0.03201374492641673,-0.29672610871735583,-0.2302580162710629,-0.1464368918154435,-0.029855164175359827,-0.045826252577437,0.03185170292451828,0.018771761211039517,0.05559203422573539,-0.04199048261900751,-0.02414312108449862,-0.11847864591577917,0.010649992174510792,-0.22624294357587216,-0.04092192004677697,0.032318077739537654,-0.026725046007754105,-0.009248061252781103,0.01034345538449688,-0.10764894644184231,0.007630118836474575,-0.06534844264032713,0.03955814673331892,-0.01715843844691478,-0.04116037229599412,-0.060904752565591136,-0.03514225806342086
21,4,-0.17992933753729523,-0.16399304953305205,0.25306607823239724,-0.054750170289207034,-0.030828541803912424,-0.053393209475330494,-0.07122648099075479,0.07787020320727445,-0.018773895830603404,-0.06550492979068123,-0.04517609933865491,-0.12720854986873265,-0.022117640167546693,0.0,0.021913534398192047,-0.11890694872663549,-0.014898257764205447,0.12299588230525504,-0.15035413642149553,-0.08131155914778992,-0.06450864373167686,-0.07777290221322308,0.0,-0.00790208653286495,-0.01835825910360417,0.0709216130949521,-0.005677671738844758,-0.0311116007887422,0.07644056968119128,0.011615625158009402
22,4,-0.23555229114430076,-0.18750147185371002,0.17633822180715664,-0.038839939208263785,-0.026644484986619366,-0.04365733485175849,-0.02903418428641724,0.07729257723705879,-0.027389134012093197,-0.049361293484837976,-0.04398290662834742,-0.0886443020417339,-0.019351004167574903,-0.09690453501997726,0.04285695547314211,-0.04448932275686862,0.00479693192560926,0.17066212996979507,-0.07003569789884767,-0.03756619367257141,-0.024567705837882925,-0.02310685582779934,0.022108637132099096,-0.05151390187290761,0.0036725954354463464,0.045879592131480684,-0.011619588082941112,-0.020660707881485607,-0.0025603643275804444,0.027015706257610184
23,4,-0.14992611443529602,-0.13211937786189565,0.18214575398778937,-0.028812487149122545,-0.02826527267773371,-0.038754644134902705,-0.08069506086479605,0.04412986277371944,-0.020122266262074584,-0.06675687798797153,-0.041487449496794726,-0.14112520564983022,-0.024728470664896973,0.1018712135896977,0.025149269449959766,-0.17843844967373623,-0.023515560044870543,-0.0015752302190896184,-0.11696355888323318,-0.08808454611602357,-0.07455310448553898,-0.1072030731372286,0.0008400986502532515,-0.0073764343311771285,-0.03677291816728545,-0.010104928358191323,-0.0040777232602065006,-0.0583918499301076,0.13905823197968747,-0.005042781195808144
24,4,-0.1297828732628198,-0.1306474791982261,0.1723071032363398,-0.06639974827264941,-0.047642990202908915,-0.07778712042601922,0.053721377535365,0.10026618636502263,-0.0237422829953321,-0.046167781657974,-0.03976178922393732,-0.07588977977161546,-0.02916956828293893,0.177620177439539,0.019554022086800592,-0.03893645336104058,0.07832201201385794,-0.005834701827684356,0.02661200391477777,-0.0691953193174599,-0.04766067337141369,-0.014942215786145976,0.038802504003518784,0.05163501201262109,0.02688470337690866,0.017192810916013546,-0.002378998871984471,0.20787607346186898,-0.026475660548047848,0.04295616256911275
