f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_level.mmce_lda_50,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_10,ela_level.mmce_mda_10,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_distr.kurtosis,ela_level.lda_mda_10,pca.expl_var.cor_init,ela_level.mmce_lda_25,ela_level.qda_mda_50,ela_level.mmce_qda_10,ela_level.lda_qda_10,ic.eps.max,ic.m0,ela_meta.lin_simple.adj_r2,ela_level.mmce_mda_50,ela_distr.skewness,pca.expl_var_PC1.cor_init,disp.diff_mean_25,ela_level.lda_mda_25,disp.ratio_mean_25,disp.diff_median_25,disp.ratio_median_25,ela_meta.quad_simple.adj_r2,ela_distr.number_of_peaks,ela_level.qda_mda_10
1,1,-0.2097538225089124,-0.21853712010557358,0.08511474444417677,0.051661749941059654,-0.15251600587704073,-0.04946064814652562,-0.007552223710840522,-0.006944697446502279,0.02508707439139346,-0.03266228417412187,-0.0036164717091905496,-0.29968847138206123,-0.0276143679376456,0.006409830931946581,-0.00584095900384729,-0.015521811539179753,-0.032984552054942606,-0.04337105251633455,-0.03652548503951725,0.01174922513050991,-0.018717193665493403,0.05313595202891985,-0.016209250051693158,-0.05600937822143415,-0.037388687738621196,-0.01236407746453827,-0.020736477479401716,-0.16914494173832795,-0.04771857598676377,-0.015167441743174415
1,3,-0.2612049445129223,-0.2768779603747653,-0.02839251922751762,0.08767847409502183,-0.06522560725484683,0.1319554679918945,0.07643291638616978,-0.04238183444762744,-0.08046419885344647,-0.053052134460502276,0.04499061048918007,-0.1655796302652629,-0.26244405168158624,-0.04505957012035433,0.054549254396410785,-0.03983246288804909,-0.03357384566127658,-0.07041676624780258,-0.060302679621680455,0.023625730596259498,-0.02227616906414165,0.0939641077846089,0.022022648002009815,-0.05373169979445319,0.026558245747391074,0.03212826426030735,0.01899571339217032,-0.1050899942561988,0.019745953056562793,-0.013630348638247414
1,4,-0.24810775352067405,-0.27928345766480656,0.008177043306026643,0.07215044164253454,-0.06287170205163717,0.13112682615534937,0.09549125563895555,-0.04197687578786646,-0.03394794336281143,-0.041140157849997416,0.04390623648780434,-0.20427540947717948,-0.18568541530066496,-0.042455572487536786,0.03571883278779292,-0.039080321914144234,-0.029828191054898534,-0.0674916435486419,-0.07012755035392348,0.02081009971479758,-0.016908526761649112,0.08454680325863234,0.008702756511310805,-0.04860264635756617,0.021955214939130996,0.02100439024762657,0.03340341528242319,-0.14650955239747332,-0.008331448935701147,-0.00962573795837074
1,5,-0.2529200525792944,-0.26626208505861326,0.01265121786165474,0.06605652652597938,-0.13227878192364761,0.13089761423526675,0.0930437675600933,-0.04562018901113085,-0.04930240738575292,-0.04737241416138649,0.04970959266550379,-0.2398833849511578,-0.17192125003115288,-0.020641426867669566,0.042433284948788064,-0.02589088596884348,-0.03693746067488457,-0.042861590868716215,-0.08545972044202332,0.017737713636942543,-0.024112676485404494,0.07247729006686193,0.011205848968730558,-0.04778879159468141,-0.006694119673692989,0.007278245785104387,0.0023810249239591408,-0.14005144314359907,-0.004238719530174517,0.0
2,1,0.2846764853707582,0.2733904201596362,-0.06596910365903619,0.08898370315559634,0.06934343307704438,-0.009406033927547242,-0.047256357648476466,0.7567138409529923,-0.023810834917974977,-0.01990488630707754,-0.02121316199942569,0.03790780773339686,0.021363738789574427,-0.02543164904923023,0.05851680816979288,0.024411329146192484,0.009431700331619663,-0.0041765233488627596,-0.03075374905941375,0.09855590904688238,-0.005731548953901933,0.049718306384629596,0.043522512349992715,0.05264072587783486,0.037957218767076695,0.035257047535574126,0.04257505661916916,-0.0441674154268894,0.053740593791298474,0.04334953529302399
2,3,0.346131594501087,0.321476008151943,-0.06964406831947301,0.1421167376410135,0.050755837006277504,0.04868450865960683,0.03694274580478929,0.5189110744679768,-0.06169491499905644,-0.022741584990410457,0.01550034768318731,0.10583063731710673,-0.010097843949051333,-0.012768901861960336,0.06143104783905051,0.14077084049043598,0.006146634691377106,-0.017783791679343963,0.02605866091374609,0.09221927879321279,-0.006452426271658096,0.08433608526947634,0.022663382868527204,0.058238284258611994,0.023790840840240524,0.02887096100301978,0.013478147470828539,0.006520092454956439,0.01845027451250736,0.09256340753479941
2,4,0.32004791405119515,0.2843268418395709,0.05650294657330113,-0.004636289488258338,0.025265966215523794,0.025736978647117326,0.031111523726696788,0.05540253330895495,0.09797896895226788,-0.03213253325690335,-0.03388553184516463,-0.033759366992740736,0.06429758313485356,-0.05913107796145067,0.04566018240941205,0.020683974924058157,0.017790898570916758,-0.006732985740760089,0.029314413578022558,0.05686989849033175,-0.005758617874951355,0.021111531590265797,-0.007545002228246389,0.8915125266882846,0.0042591208599240815,0.015400929501377503,0.004801502379665479,0.01242348722531006,-0.014938540794560362,0.03683877077119169
2,5,0.352076465243055,0.335022326239107,-0.07023084229155585,0.12666447958845817,0.0610699764914302,0.05780952998962974,0.0482460341974309,0.5086005956065425,-0.025807078514015203,-0.014799719420889978,0.003909731052166521,0.11195211738313882,0.004620156022429933,-0.015646588118330418,0.06149198760632579,0.14796971497005473,0.0034236321904408396,0.008588593473657813,0.017324322428060368,0.10529872757572833,-0.020711854490584436,0.0923183537313852,0.019520299930796403,0.11925415214474544,0.023941284165783894,0.016094108446742528,0.0290587474368853,-0.005074286185206667,0.008210759999283113,0.08177066327956517
3,1,-0.09477337479231725,-0.08957984526156983,0.05981851078129452,0.005665657205294326,0.02153698762576447,-0.05386398286760726,0.0028015761976643207,-0.05032116083301405,0.09881625180965417,-0.04467283328986854,0.04485804931409859,0.05634654205369924,0.06433059446065242,-0.11980732639818609,0.01605034756823191,-0.01568580896661002,-0.03462498237126642,-0.014000486607676102,0.02948972779962558,0.03758088037338779,-0.0364354030072535,0.04846487005288743,0.051917492018613697,-0.0071602718516598635,0.052666001522270724,0.05017195836562685,0.04901807730543224,-0.05447046683220635,-0.023356777242626987,0.010144938610787066
3,3,-0.009300612649176289,-0.022753351294617384,-0.056378591077203444,0.0891651524552895,0.036732583547119654,0.08392418133772919,0.010383251908125321,0.139756154608405,-0.0435607246651174,-0.04186689005497184,0.02526647610332764,0.056734108321709664,-0.16731677950989896,-0.0741420649249063,0.027826147606107195,-0.007670706736773392,-0.029946567198169648,-0.06614632305924344,-0.020593254543413566,0.05105693142531447,-0.036746150195161295,0.09132619879188122,0.02693025560801446,-0.011390012331398566,0.028685687218258593,0.027935833042233654,0.022733310248008162,-0.023124741194850654,-0.012992628751825122,0.012255339092209577
