f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_level.mmce_lda_50,ela_meta.lin_w_interact.adj_r2,ic.eps.max,ela_level.mmce_mda_10,ela_level.mmce_mda_50,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_init,ela_level.qda_mda_50,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.cond,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_level.lda_qda_10,ela_distr.skewness,ela_level.mmce_qda_50,pca.expl_var_PC1.cor_x,ela_level.lda_qda_25,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_25,ela_level.mmce_qda_10,ela_level.lda_mda_25,ela_meta.lin_simple.coef.max_by_min,ic.h.max,ela_meta.lin_simple.intercept,ela_meta.quad_simple.adj_r2,ela_meta.lin_simple.coef.min
1,3,-0.25513294199459813,-0.2613464723080409,-0.03883302599372629,-0.3131163084351407,0.13466780402986522,-0.052532195500564094,-0.024506071536039342,0.06085975393266485,0.058424604532758495,-0.042226741478467944,0.07257271083341865,-0.03103831627007836,-0.053003145174249755,-0.03402339237539875,-0.029214792380920285,-0.007324978100753832,0.0,0.012252074710524696,0.03352028954737363,0.013990703180137898,0.029478143833998438,0.023066057955795083,-0.09738545135473042,0.023640192665459137,-0.023376758044293955,-0.007556838002620747,-0.006317336460750667,-0.016466715087459338,-0.06616811445626503,0.011496954676544546
2,3,0.5307402129836851,0.48093532574133224,-0.16840729815669686,-0.1322652045925794,0.18415426412825076,-0.06575008550597672,0.030180832914201483,0.0,0.11673960220693513,-0.01641451772262892,0.036046758939383694,-0.11989183796328517,0.018699049416707414,0.6120842288245132,-0.017708291522205877,0.0902742216636252,0.33093893253095485,0.0,0.07750903924774533,0.00681799347223544,0.04541372839127544,0.03618553564667426,-0.1282700895546125,0.0,0.06023644098279102,-0.04231639837503409,0.0772615455037855,0.01636738548714134,-0.044961878861811244,0.054019607122281155
3,3,-0.019640722691136592,-0.02680797519105174,-0.08666739521475647,-0.22745138684596808,0.11668828703948383,-0.023665818436942543,-0.019373630859132518,-0.009372584198149181,0.07917727398458346,-0.11210453585598656,0.059231290990437696,-0.17093211703886202,0.003562435092941685,-0.015238261898458727,-0.028952251868502477,-0.004145296872195642,0.08416193784036613,-0.007393121694521609,0.033346024717494316,-0.04059193573134812,0.035494521134538465,0.03358616040240303,-0.08587281490385651,0.006442466613001602,0.006060343910491595,0.04669476564104158,-0.006053349812609354,-0.012101267614599953,-0.03819682765485127,0.018845877651613052
4,3,-0.06965590733125737,-0.05242012028169041,-0.11510619276231959,-0.3168941984609037,0.04175136199754381,0.023622132694537668,-0.020979403876944358,-0.013510587300726074,0.020038662690408604,0.022512615184997697,0.04786470759999428,-0.10726394257131544,-0.024505861609488144,-0.02278296336522051,-0.030529642774231758,0.012470919521563484,-0.06884031417333786,-0.019295676573656828,-0.020003203180005702,-0.0007262039051692537,0.03324717073797012,0.036631862650203795,0.015620774511924063,0.0,-0.02398947319517808,0.0744189109828951,-0.01150038844808593,-0.008472864042373074,-0.07118303865817577,0.02349733893724104
5,3,-0.2261880424284518,-0.22558626122854333,-0.10509517840092425,-0.1647433347500472,0.2792010534133309,-0.09609810187826978,-0.01609091913788352,0.01875880419681908,0.13058551181323125,-0.19459427307470312,0.09287593951593234,-0.13182191884372552,0.02533296039053967,-0.024253937084734167,-0.022668017868664125,0.033147157149092,0.08395006755789347,0.02193703091604493,0.10286694878257172,-0.020032942161464562,0.06447694305177928,0.007843472573566324,-0.1274844986454392,0.02629690745678559,-0.03247215868482589,-0.01021550723389103,0.006002021881004682,-0.013540469152691886,-0.012875267064350271,0.00759751952129839
6,3,0.36829900407000565,0.30627505394417354,-0.10065420350832,-0.24152394289392548,0.12847339160125787,-0.0743880843503866,-0.019701913797615822,-0.018545017551524712,0.07023906777432239,-0.11705308396679841,0.04862447681973964,-0.024623618586245732,0.007690866978141489,-0.033685667379038345,-0.02841624853213133,0.018762344262337055,0.003929571990449979,-0.005953487030397248,0.0487559938805453,-0.004394960247269958,0.04397668860869658,0.03773324111928139,-0.0909929937751566,0.010832846002734653,-0.0012806182222269424,-0.005971931452618012,-0.02914886115723024,-0.00426183962975013,-0.04823696170941237,0.03375567421331149
7,3,-0.0844842101724268,-0.08744409773106882,-0.1051431037426637,0.24908389411489834,-0.0656006983969194,-0.012318743288446066,-0.019586924497467073,0.007326322762072679,0.07106003806238925,0.0750297712211182,0.0024825263832063404,0.189447819053029,0.003772746949914141,-0.03173424801653674,-0.02095853946285009,-0.01998108206475596,0.13234727127553614,-0.021530053521703674,0.07089588273527336,0.02646084962240991,0.04999374126684886,0.04076998016485167,0.07017858003474275,0.028849557638906564,0.0711618455863347,0.005737400725677411,-0.010245975680794328,0.00030548453497941663,0.0601658550801219,0.03504691966938034
8,3,0.3714569784498163,0.31070171761756443,0.0664537397156906,-0.32336107136458825,0.044445974745832895,0.016407210035155856,-0.019246042547824277,0.026368648494452668,0.025193993832947376,-0.0028450552768679582,0.03492648883258867,-0.02920009679003388,-0.049708528493204576,-0.017493800116734043,-0.029821227645456833,-0.030669675157963885,-0.03510340392629953,-0.00236064672122005,0.006939448524902747,-0.01197168766935719,0.039646705676812735,0.04033118219429352,-0.03310832227774593,0.013679920315545241,-0.017004161755244482,-0.005432447162407705,-0.03268590823291401,-0.0012280618961638956,-0.08911800042758498,0.033109118380787894
9,3,0.3332278861433973,0.30312934066793407,0.03051435899441829,0.22406388578124392,-0.23604955342401127,0.07045868061569183,-0.01827680884680577,-0.02201661869309607,-0.16186987078097015,0.022846463313025922,-0.06906690809374483,0.2576210345028808,0.027656855799327085,-0.02969226716601256,-0.01279245069770682,-0.024334430726916545,-0.1277829774994313,-0.035261094191599396,-0.03434315916376168,0.03648819259633884,0.021184478948576724,0.03816191300474869,0.09149124181014318,-0.039392474037419856,-0.05175216577187369,-0.00231681147310131,-0.018332487457976332,0.0014502179624286682,0.017009558332902075,0.03960598676045646
10,3,0.6263440133523622,0.5835486564863797,-0.2229260346678823,0.1986264026886032,0.019066048650905776,-0.044220992323716235,0.02167074482192044,0.056248397069578515,0.10969213451301596,0.10919926269440405,0.022230071448186672,0.09102317052377074,0.0024600431072703266,-0.022752342072254406,-0.014329881490280805,0.017418830158313803,0.13436019038643066,-0.02058555366696302,0.09134532843411214,0.002720981898201358,-0.04795896033168634,0.04505980822296629,0.10316288681829056,0.0201759700685471,0.19047946667277138,0.011489108686375316,-0.007376343901641991,0.01623734372283714,0.051216540884151174,0.054643951408727354
