f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_level.mmce_lda_50,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_10,ela_level.mmce_mda_10,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_distr.kurtosis,ela_level.lda_mda_10,pca.expl_var.cor_init,ela_level.mmce_lda_25,ela_level.qda_mda_50,ela_level.mmce_qda_10,ela_level.lda_qda_10,ic.eps.max,ic.m0,ela_meta.lin_simple.adj_r2,ela_level.mmce_mda_50,ela_distr.skewness,pca.expl_var_PC1.cor_init,disp.diff_mean_25,ela_level.lda_mda_25,disp.ratio_mean_25,disp.diff_median_25,disp.ratio_median_25,ela_meta.quad_simple.adj_r2,ela_distr.number_of_peaks,ela_level.qda_mda_10
1,2,-0.25650243120309174,-0.26284206812252464,-0.008642645704906804,0.06978319666941862,-0.05921161123899604,0.13082899947903864,0.05928823999236521,-0.10311969720940883,-0.08639694410036464,-0.01769363539250224,0.053441251167670734,-0.09302476757016703,-0.24221332103855886,-0.030754275025528188,0.028721053845836453,-0.033301701933983185,-0.02032234441952563,-0.07747214955949988,-0.05520548793634367,0.013422705134805257,0.0,0.0857379118100739,0.013541856660661988,-0.04343687736093704,0.010521181569617177,0.018254767957489704,0.019449883690554615,-0.09062752132791307,0.03656809723746823,0.003972098105911037
2,2,0.321976562398399,0.29644256866195207,-0.0373888955758499,0.059201386639830655,0.044712207807688364,-0.003672654097416461,-0.010836038951627436,0.4967540149597005,0.042967038703555005,-0.017889836466811193,-0.005053192670201323,0.08558850943757979,0.08954789047947065,-0.03358453878821477,0.005146093641060778,-0.01266770928005112,0.03356613043926138,0.019796046762804664,-0.0068762493502296795,0.05456791181815024,-0.010294452741079319,0.05446739755800989,0.031817633876514595,0.17968777017680404,0.025207213775500836,0.022090109978290084,0.025396273460810193,-0.059055764677380496,0.02711238544451855,0.01919637338205704
3,2,-0.03813639116476686,0.002487253653700172,-0.12935662282922333,0.14726155386936524,0.02214089930627694,0.039336912308890026,0.05682106955355826,0.8741476053356647,-0.02851524775121017,-0.02679059382180843,0.03484774812185387,0.03926160426512226,-0.06369089400380312,0.004796792792764237,0.029015399994505642,-0.01841199124173354,-0.0007428093468831998,-0.03322520308961119,-0.024424467961017937,0.0928076977315504,-0.012367123652039291,0.07305759630334718,0.02051479411604684,-0.019154377118434096,0.024431325194833153,0.01124736197907561,0.01658701878932123,-0.025769757499839674,0.0913626962834761,0.013448963112537404
4,2,0.055117787665696305,0.054397564654090735,-0.07741617286188918,0.07212563757451423,0.004986361200938927,0.05468630791284229,0.06108641864210185,0.3081880642654252,0.035860365068359656,-0.027699078051366066,0.022406188416086548,0.07589436423068596,-0.02369407009484692,0.036916778553705065,0.02108924784244559,-0.03026857157015811,-0.005901977768321243,-0.001125419290533669,-0.016851156696085723,0.08597690228878141,-0.020652001680746046,0.06839852027258442,0.01734382118427058,-0.01846879544861524,0.018850995652356095,0.019361758120598094,0.02011469170265695,-0.043290549480607066,0.11435546084253545,-0.002217181688320302
5,2,-0.18878028823288462,-0.19562565086345673,-0.04491556588348,0.12639686871146139,0.02396395638530685,0.0,-0.057871014601311443,-0.07035351483133534,-0.09655120890078084,-0.019437188358424562,-0.007559378151179019,0.0,-0.11231523262510351,-0.05852434986668603,0.056309606755177766,0.0025571031458970217,-0.02540118049113055,-0.07127385385422796,0.032039931193819315,0.05836067016474486,0.0,0.09242999392351736,-0.016930009177312466,-0.016791862671036273,-0.02046679167448251,-0.022462894620644935,-0.02701301471106915,0.0,0.057715936974230775,0.02406911184457039
6,2,0.3469311672460237,0.28776174629497886,-0.04525180391388045,0.06855469339567455,0.029154436452768745,0.14135301418182955,0.07543648496352612,-0.10954206477019415,-0.10355897877245873,-0.026899239368690486,-0.008117427213211459,0.05900035248547414,-0.1149460429487571,-0.002272127263908824,0.04752142679886251,-0.04029535622949332,-0.007935375883883683,-0.08062918175895725,-0.036893474521566855,0.028409456985474757,-0.017191859861206638,0.0727570416013992,0.02062474987439536,-0.035961281387897864,0.016929872054846723,0.021035856226712196,0.01795933354230489,-0.01805542790617845,-0.08965774898295764,-0.003805343859637156
7,2,-0.08330151456307289,-0.0951939385813565,-0.084899209322191,0.04309671253740355,0.03871891936623678,-0.1601957174061433,-0.07860059623034221,-0.11712209739446328,-0.08332194549633909,-0.025265217465628154,-0.0332371470443078,-0.011111616219386639,0.06609317367112214,-0.01444024996025367,0.034252466582325836,-0.013665731441855206,-0.02020478883303417,-0.038604291415360564,0.005471601097528617,0.05078551946735563,-0.019771913858462997,0.06137860652572272,0.004928321060381824,0.08224601142308993,0.0,-0.005859968332692644,-0.0035132006425917794,0.015002294696795315,-0.01226745677068275,0.01799753784120156
8,2,0.3152128279569535,0.26777610884175973,0.06294509651178293,0.05049001039198936,-0.03762704541388712,0.14642786211457187,0.1370589521176485,-0.07653979598286947,0.03841856413156397,-0.024890592163879233,0.04637465441847627,0.003264936679952646,-0.05071428930777455,-0.009707666240255042,0.0451022607035691,-0.034816571020731435,-0.003043145954585269,0.0068124841838185235,-0.02110183018784073,0.010073531574424754,-0.00968660275306471,0.07097299851203726,0.0055668385545726284,-0.04326469408270883,0.0055345464326375104,0.007390435052462785,0.008623514347946504,-0.10932926262733389,-0.017090567940254764,0.0023659888860702027
9,2,0.28419538853335236,0.24148179004578513,0.0476411173297947,-0.15389008900420081,0.06439399881560814,-0.02802616466365221,-0.04414192403630199,-0.06534057401889759,0.053560604150994784,-0.015163858155737453,-0.05410180657453231,0.028198079629833395,0.12996683212498106,0.22893528689944598,-0.0896024075093712,-0.009304107048178856,-0.0033343090774406725,0.0026092334484912327,0.0759787463859462,-0.09228442763816183,-0.035099463554290666,-0.11308058822818409,0.017477458034167948,-0.06842994971152469,0.01980948713979991,0.022814883028751398,0.019662829516672087,0.05595515360368669,-0.021645410254492237,-0.023534623223407658
10,2,0.5188277561058734,0.4625465779892942,-0.11313756800221275,0.13311675194282424,0.07030937233500645,-0.1466289534747066,-0.03414384097372247,-0.1049217688364954,-0.06818787177887398,-0.022146391303375146,0.008707407523121491,0.0749653942057793,0.03479825315770668,-0.025766615586498953,0.08163251366353952,0.30092713302329077,0.036923258823324256,0.007474268013085594,0.0038445456514333287,0.09747580119865573,-0.0229625467513338,0.06264016630696978,0.040254841695846144,0.11821434892795502,0.02903380583720494,0.04036134455374907,0.05017032768278551,0.002438327675414742,0.003865636962932406,0.11998257595562944
