f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_level.lda_mda_10,pca.expl_var.cor_init,ic.eps.max,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_lda_10,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_25,ela_level.mmce_mda_50,ela_level.lda_qda_10,ela_level.lda_mda_25,ela_distr.kurtosis,pca.expl_var_PC1.cor_init,nbc.nn_nb.cor,ela_distr.skewness,ela_level.qda_mda_25,pca.expl_var_PC1.cov_init,ela_meta.quad_simple.cond,ic.h.max,ela_level.mmce_mda_25,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.intercept,ic.m0,ela_meta.lin_simple.adj_r2,ela_distr.number_of_peaks,ela_level.lda_qda_25
1,1,-0.36150251063975514,-0.35029896046176645,0.1611434022752023,-0.011511992209819133,-0.2500996280378527,-0.0406347649297113,0.07702593594267138,-0.010562442924906379,0.01323065663393136,-0.01467095154836906,0.0007787400770702391,-0.011854976565775055,0.007441888246850992,-0.0494947358572283,-0.0277503029873587,-0.058475519112240804,0.07438080326912055,-0.03695404536939462,-0.0032532717067693673,-0.075955232118744,0.008932306927646405,-0.03079011583328317,0.01066565603344638,0.006006474081484914,0.0025854563766528615,-0.014326224073478666,-0.002741479004533587,-0.03462150755426274,0.046935577296705944,0.005187589402156245
2,1,0.5308117384037636,0.44353814549546566,-0.22023430939563948,-0.0480204775493025,-0.057165204278769255,0.006687634118621388,0.30495507730970317,-0.005100317078082117,-0.023526577801940007,0.0,0.28977492508193725,-0.012054707040575763,0.059149645867355716,0.04656441011254697,0.05576028038331182,-0.03857714361318043,0.09768706554095585,0.03342982572083897,-0.002895753234918086,-0.03302363208534542,0.03165286047831506,0.5104695043987924,0.006395458063364057,0.00983184919651936,-0.16957260458488133,-0.006410455427763195,0.01540263949089593,-0.059005953733755834,-0.029869211712864607,0.008905580565656379
3,1,-0.20966153437042295,-0.1816648953347863,0.10456951073395329,0.006236453098162259,0.1431915131223028,-0.04113438153906606,-0.015680215186653808,-0.0029449839602230556,0.05744812945514427,-0.007628866753118552,-0.018802534364045477,0.06699510925868558,0.03373025777637685,-0.04231575784266974,0.034035059709062544,-0.057005165938050904,0.05452499764240211,0.05334155884405109,-0.014882187264668445,-0.005822780549552063,0.04238318922439746,-0.02441613325015738,0.018410937269059208,0.008224579954805633,0.013345327502428228,-0.010966229751528209,0.013172390908702487,0.02372821948753319,0.054811296253721706,0.013552610371138751
4,1,-0.0454976695614272,-0.0201471302385951,-0.14027207899606298,0.017091007090704782,0.09706705795340395,-0.04045398280114072,-0.03664285505323203,0.00693775353975043,0.06158925338618604,0.0,0.08247447676197182,0.17179187050521277,0.0028539817914408003,-0.08655660847261072,-0.00809725525743201,-0.052494525506037094,0.050338096632993976,0.05865913958371583,-0.028757436408669533,-0.010718471414621497,0.0377938482938726,-0.012126299031878764,-0.00945099730643504,0.01135771495277179,0.016333859466277453,-0.011329793238379796,0.016734629206406094,0.02749113207393762,-0.04446013617813864,0.009586729795576829
5,1,-0.3074747166175902,-0.3040125516338537,-0.11007697349285772,0.0497097277600439,-0.152718230002103,-0.03604194564376989,0.4227082613345373,0.06685497084152536,-0.1175431622652503,0.08226272779929678,-0.023676723990940673,-0.29762639095050186,0.0649194603600387,0.055740948262953005,-0.0936315479726883,-0.06047199951460158,0.11345960294826207,-0.009836598561083154,-0.01920525824718594,0.028164520941294846,0.008576321771494144,-0.026258384713232608,-0.009055612628629639,-0.0027196809817577883,-0.03050255798103052,-0.01010240328477996,-0.050261206213121745,-0.06936637634373322,0.08256156943176524,-0.008545730001282337
6,1,0.41148207700445105,0.3147783270388204,-0.15334824097498181,0.022876299345704537,-0.1353229917779148,-0.04200749933833403,0.29888677914649353,-0.028448868555732282,-0.09453054452372979,-0.023257023401680815,-0.022382121517300332,-0.19213121149728452,0.04940041899599891,0.010230103566378629,0.010856720494484398,-0.061055852919292025,0.11664662239771292,0.05076650014818476,-0.021049535683058312,0.026120664683358108,0.03642184142617766,-0.02736691733179253,-0.020295506906869792,-0.00983929137169387,0.0011076302561655177,-0.01163702005616267,-0.026833195637864946,-0.0680021341579154,-0.14294873344517034,0.007330364227272956
7,1,-0.11400697761116443,-0.12303473348939913,-0.19916996538530324,0.03971453610400956,-0.17010119400175133,-0.04301774284792895,0.2282275791273019,-0.0025267942169484026,-0.07066220214692186,-0.0036327448036237997,0.0076882404302105745,-0.059564625929191484,0.05063633138468118,0.2399167495978659,0.05961023527078021,-0.05559199736944248,0.1037423147764105,0.03463969846355319,-0.01827307512815722,-0.09247089756115974,0.036354337413406476,-0.0293702797728376,-0.019254454196646217,0.004703784309365737,0.0006947548084269284,-0.011749771409611559,0.0017186139032439735,-0.04197583550353408,0.048077013621269586,0.022423238133441437
8,1,0.388914533067647,0.29742186340580323,0.08054725233274518,-0.005536132978110508,0.14841507512716556,-0.039969417558226916,0.07885966201946348,0.005737728222973804,0.02582552609156663,0.004101786599054913,-0.016814385254430908,-0.00400995730193332,0.019637882391494943,-0.06604807680345248,-0.018053532536747408,-0.05749992634880985,0.08909242018157476,0.055046088655009595,-0.010169444981526277,-0.03379676739006576,0.046816347516121515,-0.01199973241031832,0.000655909888375994,0.01028037039788332,0.017889001689279427,-0.011045193514185148,0.016749445128916074,-0.012922421954938423,0.07254017926691286,0.008021404378812269
9,1,0.35755256900220356,0.29185501406837494,0.07130868947853289,-0.004346799167985693,0.12634767529147284,-0.03627116390834523,-0.3970170324652492,-0.004151167510252268,0.05952610564945279,-0.006194090933042989,-0.028944139913333056,0.16759981456998319,-0.08504277180076575,-0.09021108579857523,-0.03910993262680312,-0.029927603097170297,-0.12669541431400275,0.12095948476620591,-0.03474215650222284,-0.043547639820393336,0.04511079972930904,-0.020947602636396556,-0.009192739169281455,-0.021040969233101114,0.0,-0.011579637097757861,0.012999856058550918,0.09101869766754894,0.03971675558601445,0.0010596447868068681
10,1,0.7706477253979642,0.6637183095490529,-0.27560600431772886,0.031124457582178744,-0.12268217543884519,0.03369606370824174,0.4041505838136068,0.014160059430023186,-0.0647209873219865,0.03136508567291707,-0.008978879928378536,-0.11336749723799733,0.07540449045227327,0.49613929296116765,0.07112002215435775,-0.051063797716469406,0.11301252318432442,0.05625610589786123,-0.014625467542914827,-0.0728715732130214,0.03995515361829549,-0.020816240205088654,0.0,0.026378067571571462,0.02259007099788013,-0.0064923478809874036,0.012411873439272192,-0.04682386094281443,-0.05072608544488655,0.020670817982370693
