f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_level.mmce_lda_50,ela_meta.lin_w_interact.adj_r2,pca.expl_var.cor_init,ela_level.mmce_lda_25,ic.eps.max,ela_level.lda_mda_10,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_init,ela_level.qda_mda_50,ela_distr.kurtosis,ela_level.mmce_mda_10,ela_level.mmce_lda_10,ela_meta.quad_simple.adj_r2,ela_level.lda_mda_25,ela_level.qda_mda_25,pca.expl_var_PC1.cor_x,ela_level.mmce_qda_50,ela_level.mmce_qda_25,ela_level.lda_qda_10,ela_distr.skewness,ela_level.mmce_mda_50,nbc.nn_nb.sd_ratio,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.adj_r2,ic.m0,ela_level.qda_mda_10,nbc.dist_ratio.coeff_var
1,5,-0.27954881402462983,-0.28253453482466717,0.03060078838816971,0.10358809744638253,-0.07390645966391385,-0.24869504641410395,-0.1415066243558294,-0.07121285810266798,0.0529666925904958,-0.04550886667827869,0.11163807320312968,0.00658338474695086,-0.11010336898140927,0.04928081470779233,0.057100611676197954,0.10651588301474446,-0.04213520824257627,-0.03529544783123789,-0.04542092562580702,0.027012216158625146,-0.049355330607130043,-0.036203675987615536,-0.0033366438142641286,0.034130499294137806,-0.20937362060203013,0.015727992064846874,-0.011516561153994465,-0.0614787007976767,-0.03730964124493419,0.021963259825813486
2,5,0.557706953803138,0.47520765837602763,-0.16698099890166174,0.14655050160810046,-0.09152448588663331,-0.05625924128809778,-0.1209552149039892,0.003011527993767138,0.0393481779613003,0.598584993847221,0.11920897223147531,-0.0247081213086362,-0.07371500319389823,0.0038324827191273947,0.00846228844217567,0.10699676235546451,0.12611036944387832,0.09201393080581266,-0.09222129144559399,0.057571945600129126,-0.07689158923077799,0.3211856371874702,0.0,0.078675746106871,0.08597075901234141,0.034429957802977196,0.008978394475820828,-0.03054588769709876,-0.007266873602573387,0.017863117765937186
3,5,-0.11943955786073632,-0.12693166148254054,0.1107982142944877,0.05020240760048878,0.04306710126265402,0.10134675386540687,0.015965633981528726,-0.0692846674492189,0.02180186967367157,-0.032089709336114484,0.09111880013893023,0.013618225806947083,-0.09599016046945821,-0.014835944381655631,-0.02486549270617987,0.1230472144100704,-0.014719978958085161,-0.05430771501009769,0.0379338184896261,0.006183936759927008,0.0024762011595418354,-0.047988610227268594,-0.003783449519754834,0.014378145876783752,-0.01817030307016876,0.04162458671593606,0.019388819337496678,-0.003320073487570678,-0.013650477358834224,0.05324729515805725
4,5,-0.014935322062875733,0.012844597613899333,-0.21984205142226187,0.08160109576422991,0.030529446417220996,0.07316659964442862,0.14647174784333739,-0.06600165524876275,-0.029396389423044428,0.3924553025137117,0.11049906900617845,-0.03375797690277521,-0.08637885309003412,-0.012346064814981073,-0.012056530028563328,0.1205583371715358,-0.019200286077429102,-0.05798418427709512,-0.026394448289217942,0.021550171182449174,0.06069899254449812,-0.0416647532642663,-0.027073533392348692,0.05132604590713824,0.0004774324974416988,0.04220329981709686,0.023602677668868977,0.0047319248431684224,0.07434834557876269,0.03139952575183291
5,5,-0.23535516325718925,-0.23286226190233006,-0.08230864573293889,0.21138234096886008,-0.18160414974977213,-0.1347018507301635,-0.22779307864171805,-0.062088290040589134,0.013848374625102133,-0.04647564426425432,0.15419212405770216,-0.0552315654877828,-0.09494698168414484,0.022432162992958082,0.0454371885018634,0.13215737202938085,-0.07411715401430158,0.040432758907689326,-0.025245893962929755,0.0837566319234887,-0.09730143870150754,0.059147629154318204,-0.0011141103963636656,0.09571518823636199,0.08334187323516437,0.004432475786731227,0.03909057196772486,-0.09149719983357846,-0.007568641166909529,-0.004350897852297253
6,5,0.3317604436510776,0.26471953397464626,-0.06294479969117839,0.08832106545406809,-0.07097806412949542,0.10931159646049798,-0.09116023209046376,-0.0677113097049466,0.03621785404070127,-0.05456026613510212,0.10121866310531191,-0.010144110133186834,-0.10053242251747219,0.0,0.005714901353328278,0.0573130817673973,-0.0032703544131580387,0.008834220181686253,0.02856280928363769,0.03240885937438942,-0.03718148527922843,-0.04434746780863752,-0.01892935661649431,0.04366620220128259,0.04989031448160591,0.04183616310180216,0.010360249947304584,-0.052569444909114,-0.016305552850572058,0.027015082145533054
7,5,-0.12937286721373142,-0.13890307327618928,-0.09808647259880232,0.09941848974715028,-0.11788259860694006,-0.1790937595062836,-0.038445472958496985,-0.07227568643817794,0.07289333116546795,-0.0372828371198729,0.10433194152809827,-0.004012021993317766,-0.10129497552172712,-0.0034762549923961217,-0.011408180880218888,0.05030751508354969,0.04044921601753887,-0.132240273429299,-0.0328658375944631,0.056873802369983295,-0.05917755464829175,0.12396755083326916,-0.014402973153499865,0.06852276198418603,0.01908711353320608,0.03307861322343719,0.008168861401104566,-0.055604901039428334,-0.040823653220059986,0.016107717287848322
8,5,0.3365241154895176,0.2565317646960372,0.07649479420517752,0.0789043078802672,-0.012830717669079506,-0.19771395604314496,-0.0668867385036909,-0.07092367261513988,0.03530678193591241,-0.057059037511109134,0.10039163347981878,0.009527281757761297,-0.09977312190098647,0.03155749638955627,0.028960843430754918,0.0900942215166351,-0.03313891354348564,-0.02245602572892584,-0.02547988674585777,0.018685621546895043,-0.020448071991126887,-0.05350708131379221,-0.008642782661147319,0.025714672699199803,-0.08087694594582498,0.04326278905369596,-0.007621894757638109,-0.012072222432961854,-0.016606369758594336,0.028876044259986355
9,5,0.326891477127968,0.27326233602763855,0.047870513748349525,-0.12269941960896695,0.11985193298046698,0.0966350438332477,0.07611742804216903,-0.06321810376055417,-0.05330501254137249,-0.025594623634711072,-0.09327402511120736,0.16996806308084103,-0.059268319335467695,-0.023228978699871144,-0.017727395257281287,0.02124543784618599,-0.05854018582599335,-0.06461342015840302,-0.025948014472707642,-0.0087151235875359,0.04052088478826435,-0.048312241298877845,-0.044303460288123986,-0.08851513943867353,-0.08243461442036037,0.04547790295862608,0.021960092008926013,-0.005764240844405771,0.029680000510439564,0.07005312865624952
10,5,0.6444208201420252,0.5588738339961766,-0.15381221975732828,-0.060513794585469904,-0.08635255856680601,0.05912988240948147,0.04130729685830903,-0.008302912966378417,-0.03780846293549167,-0.05164822329880581,-0.07784385177632203,0.05345507070786881,-0.06715735710385617,0.018739083797346567,0.018813090317839065,-0.08049163776496826,0.22692565609518572,0.04275493955660531,-0.055351109700753076,0.09279350237531903,-0.03491626202288012,0.054327605593081474,-0.035141297451346754,0.09257266448121604,0.0368230481437859,0.036319743055926335,0.005384621757011265,-0.015091264349400113,-0.0366942380922069,-0.02167550641353544
