f_id,i_id,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.mmce_mda_25,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.mmce_qda_25,ela_level.mmce_qda_50,ela_level.qda_mda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.max,ic.eps.ratio,ic.eps.s,ic.h.max,ic.m0,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.nn_nb.cor,nbc.nn_nb.mean_ratio,nbc.nn_nb.sd_ratio,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1,2,0.00013751436796247447,0.0006064076295577263,0.002073380870677129,0.00040848761755599166,0.00746216444028649,-0.00012746538487854562,-0.0008902282221648778,0.0008588038803716673,0.011890911918608674,0.0022005053831451156,0.0016946412351338661,-0.000492731792597126,0.0029524380453408655,-0.0003913664771057669,0.0008843740181383904,0.0004611681871552831,-0.025813193915388142,-0.0012448510547876928,-0.00809506934850656,-0.018035551854540186,0.0009881976442250309,0.001434508855992226,-0.03960874315227507,-0.0023670601489106436,-0.003898211972872829,-0.001321766546900536,-0.005077727542766231,-0.005859877272027077,-0.0006076506675797809,-0.00023880037122136848,-0.005268554947400685,-0.01343384197113389,-0.02260691074038251,-0.006937973142975673,-0.07826415137661982,0.0002578316616241133,0.0034441259575790474,-0.019721772266678494,-0.0025326998117226264,0.003538528310422372,-0.2815431926195092,-0.021088002275228293,-0.017205218837029076,-0.00843381358450443,0.0018935864382085197,-0.2645769943507104,-0.4635377590034431,-0.09297287525631737,-0.014350412520500469,0.005683414198200071,-0.040091189601702076,0.004488217894024937,-0.001083910613939863,0.0009659512370541764,0.006443168489871776,0.002694108213222274,1.9231946341083085e-05,3.589837407928933e-05,-0.007392292962648,0.0008108105741907542,-0.012626079916182772
2,2,0.0033051025564990186,-0.00725836950742882,-0.0020609927282361114,-0.002485116823150946,-0.008676068896368818,-0.0013221096734879324,-0.001484317221219294,-0.0010879046784559665,-0.009834284769356666,-0.0008784351608548633,-0.007821616426549372,-0.003482324601048441,-0.004897987626101421,-0.00046645749578438136,-0.0043222857217491755,-0.005230067318571569,-0.01803382615556918,-0.0036536080665264584,-0.006179195545045242,0.018735875383242416,-0.006660566151590589,0.0003035045314937035,0.0011238792040636331,0.0014941670699236032,-0.0040241352568547595,0.0011332250697020786,0.01748164956870606,-0.016650534957122903,-4.013011189032533e-06,-0.004720887903934441,-0.001303767583991819,-5.382106877226293e-05,-0.01242275183407957,-0.004678391749350871,-0.004611214796361885,-0.002630510740973267,-0.006755444069749337,-0.01891028214782108,0.0006154949793779782,-0.006454869514204743,-0.2392108747793984,-0.014825087601281099,-0.005550618978040428,-0.004349251546210131,-0.0029918996601639362,-0.5519057134815796,0.3136432806824371,0.036614426162845284,-0.0019757782629607353,-0.0004956367868719856,0.0004004591914143787,-0.00927636258682262,-0.0007743129557118415,-0.0023453471962765525,-0.02072746752383373,-0.0029966129080110414,0.0011189681630718706,1.550997859547038e-05,-0.00625845597347227,-0.00032169800593304825,0.0006598643372094117
3,2,0.0017579090170040024,0.005080447375958891,0.003138010787229718,0.0027890580717638844,0.0070900820707814,0.00461387674627907,0.0021689013562498903,0.002062540187482493,0.01436956238305488,0.005930210642464805,0.00943689910335076,0.0024622117765016717,0.007523288835355003,0.0015530726355457508,0.0017193209283335841,0.0017272782473856454,-0.003459622356418143,-0.0010286960816085393,-0.008179055048931553,-0.015933987216044925,0.006550668331009427,0.006765516914030802,-0.004583919601060835,-0.0004721466482277729,-0.008016390572360903,0.002515408810683576,-0.008404325889739014,-0.012654789701789416,-0.0023594228600227777,-0.00039932060719666485,-0.005050786619006263,-0.0062716099863357275,-0.0093270109815081,-0.0018652067573575635,-0.00910962186781983,0.0013959345187161596,-0.008648107362305752,-0.017481391027660356,3.230913538486576e-05,-0.006984802696988543,-0.22833142157213845,-0.010898583743051618,-0.003261186607071128,-0.01083596265564098,-0.0002206260583408675,0.10150693238342089,0.3954431971931966,0.07161327864526763,0.0004222271780100329,0.0023527012587776248,-0.020114303431094594,-0.01670543683666374,0.0007401855793459107,-0.00932482170182214,-0.029275673775978173,-0.0068348945486214965,-0.0001111036949109165,1.550997859547038e-05,-0.006188603310252028,0.0007839744932910187,0.001044348728804181
4,2,0.00035880570234836953,0.005002606319003232,0.0017561281682311808,0.0014765944828121517,0.0015083107723022975,0.003574238785527105,0.005028526813066143,0.0014334233840914252,0.002014415893169529,0.005915729270175898,0.006713614267923489,0.0007448196158513672,-1.9116904373498247e-05,0.0004893762183015788,0.0023050057250394392,0.0020964157082465303,-0.0011123050138488427,0.000905649318418258,-0.008853615514206778,-0.012908953360477302,0.005394119937204039,-0.01627832259518463,0.00011706322844949886,-0.00024309182545918703,-0.008394660192251588,0.004881276873982103,-0.010006465324333247,-0.01597962666200996,-0.0010776386200914059,-0.002825581501768505,-0.006408328728031378,-0.005403175838267689,-0.004207437226795961,-0.003036783553646222,0.00040383129881059335,0.0003375159584298431,-0.006418124083328601,-0.016257060815579986,0.00138719363004404,-0.006029598355765877,-0.22322862049086167,-0.012640043112539287,-0.003979167044019527,-0.00907849617105719,0.002019375767694111,0.08385344224952855,0.3551629404770269,0.058862295696582065,0.0006469257398664313,0.0023608259619895882,-0.005747534045155546,-0.02210162597020933,-0.0006759046358702553,-0.009472245130631609,-0.02957078424401602,-0.004716295456520285,0.0001566172300002915,2.0036210867640524e-05,-0.00726241190751715,0.0007176280261388705,0.001204906138783785
5,2,-0.00014106220118970922,-0.001216162297776608,0.0015933926640643815,-0.0007963921428739093,-0.0020116047240523014,0.002040407463528022,0.0001582678207007815,0.0009821136473401608,-0.0040386460044502,0.0008407603039934614,-0.0008417801171760622,-0.0008736112743146854,-0.002030471484331845,0.001284781805467506,-0.0013766000525188356,-0.0009227484154560743,-0.0289982618998575,-0.0017090384287292845,-0.0038087459017312458,-0.017806559487986633,0.004461812423047836,0.0028165695827396956,-0.03171082950969244,0.0048134187888829285,-0.0006068671559227885,0.0012481648199015026,-0.004093257008719349,-0.004977175494264215,0.0028705373104385323,0.0010917474431633156,-0.005499526558697086,-0.00866333243449511,-0.020359771041880866,-0.005590460689239964,-0.08576686929470666,0.00026479168607769987,-0.004012172753492684,-0.013618576101070501,-0.0023004586058081285,0.004697034678032553,-0.2679763934204421,-0.02088057087287834,-0.0037031285884026864,-0.006374951418587468,-0.0006908122939606337,-0.22622568546390684,-0.39073741850738203,-0.07501262002668738,-0.0145986331139053,0.0005705742182332363,-0.04074949100743127,-0.001770218397303367,-0.0008570444408385998,-0.0003860415057119163,-0.0060139184604337745,-0.000485581751019234,0.00022320216129392736,4.87983305255084e-05,-0.0048400098757119805,0.001107312142590587,-0.0022468678830521705
6,2,-0.0030676426691133196,-0.007098974748791878,0.0007535424062999886,0.0026246509783426817,-0.005944571708924876,-0.006482471190046745,-0.0038817002627659324,0.0019651341858339865,-0.014457525483383785,-0.002191977564233669,-0.004412653358274429,0.0021824403758364387,-0.007197461357677677,-0.0007013254936821259,-0.0032012139263634326,0.0034030106672716907,-0.0008445578291180188,0.0035975959197197724,-0.007045941254860799,-0.01918111936950501,0.0034052353932528903,0.0037604361590803533,-0.009646595777342911,-0.0015288654818134382,-0.009914465980835067,0.001112653166238937,-0.007743063650520256,-0.014056073742870616,0.0011669844958704543,6.749507343370592e-05,-0.00512624446259051,-0.0040051197690055655,-0.01045156129279297,-0.004505778396755973,-0.01460241959879688,0.004871268247154813,0.002518159492666427,-0.012299059073642319,-0.0011084204374941372,0.006624771198094145,-0.23238833792350083,-0.009339506762508271,-0.005025581798197869,-0.007468006262063161,0.0004677789967680072,0.08557459945447751,0.37361591283436646,0.0651726264423887,0.003620228834995333,-0.0003903381914811626,-0.02206371037913897,-0.02153893837493854,-0.0015168390276490337,-0.00585402095401432,-0.03422288492443337,-0.006649630193158241,0.000898452705614428,2.016345437820691e-05,-0.008477530596884554,0.0009604134138166638,0.0023371687218888444
7,2,-0.002957767782947104,-0.0056866780616782134,-0.0007957853145791629,-0.004150799923200495,-0.0075736993896973245,-0.0031415666358812666,-0.005710300843918015,-0.003450065426819555,-0.017529242473394803,-0.00021721263284297254,-0.006864659248393793,-0.006108555707071059,-0.013866389381546667,-0.0006939644410044308,-0.00616463065075521,-0.004678600848886239,0.0032679475862502725,-0.0010821828747226282,-0.0067586736010231485,-0.0014023595559745608,-0.0046164849679298774,-0.015647059878933313,-0.008155052102479009,-0.001686190819570663,0.010683638084847135,-0.012481159598234624,-0.007982390075210578,-0.00387481501988943,0.05160065478609768,-0.005574953714371863,-0.007038032986651924,-0.005040028942587204,-0.009785615554306324,-0.0016667255554464048,-0.04847613431032649,-0.013422374214202698,0.0028689783651162297,-0.00627271941628059,-0.0049640068908289176,-0.005754447252813414,-0.22024777891410086,-0.0192849765024376,0.0007768510759622867,0.0009014884945983201,0.0016934644380197932,0.06845826840401588,0.34256802737615,0.07002981234255425,-0.0055188843641924695,-0.0009152126517651106,-0.03456130932533309,-0.016710496586703528,-0.0011240364307640524,-0.0025850892442512794,-0.04140684763613454,-0.005917566210021464,0.0016879868108122071,2.016345437820691e-05,-0.009747945224528425,-0.003426775936108926,0.0014406097565364214
8,2,0.0024091347983123852,0.005030735085712075,0.0029285507088459882,0.003983178723549396,0.012171575199745089,0.004656621795427477,0.003801319589708745,0.0018639589465176455,0.013130490473427221,0.004755444868211489,0.007002682249321333,0.0012757446556849656,0.006869305984366729,2.0206625321471052e-05,0.002363286160211075,0.001118651127995523,0.004477239284610601,0.00043699926742561,-0.00646199562837685,-0.016872013375953874,0.00481471824784567,0.005374164942726558,-0.012019060067251244,-0.000574916267230006,-0.008564431482209072,0.004541764618503004,-0.00970208976430395,0.0008671662892391135,-0.0006393426526114139,-0.004346582877572844,0.0034268714196618545,-0.0043002909652137275,-0.011226935582575339,-0.0039130748769807605,-0.009820815014205236,0.0017216016037310256,0.005590972471032593,-0.012948421556563339,-0.0016503054662514959,-0.005309092235790096,-0.2126990625390348,-0.012031511644388124,-0.0030861072149899163,-0.009561813092675779,-0.003150022009607231,0.08693101834597078,0.3969437282298173,0.07026519677811856,0.0003778640787432996,-0.0006422997737744097,0.0021916950990238473,-0.005773176759139863,0.0014184432719813885,0.0005954078415982446,-0.012033878149011357,0.007765540908736206,0.00044420858609737715,2.0036210867640524e-05,-0.005429049402860723,-0.0032532194152346777,0.0012897921587732152
9,2,0.0009100845161977637,0.004606376309823083,0.004979550956408061,0.003263989980669842,0.015407036658922423,0.001521806889848546,0.001271500884080486,0.0011858363703717788,0.014533178617898568,0.002029311573754345,0.004987189904852963,0.00957773753706077,0.008022840555497474,0.00027996922570725554,0.010944478548554062,0.003451591640350571,0.0055872707455229985,-3.190177034307094e-05,0.004912904319845299,0.02522982680117403,0.009750801626941915,0.0025372890281291564,0.008385941338545415,-0.0015036164411598716,0.02170025210053105,0.004408761249732962,0.030190003109263775,0.030408088763624844,0.0062638157326832655,0.007479846318592248,0.0034765952093788748,0.004435925217165251,0.008675567433114173,0.002687413745535799,0.03493108027414917,0.0026345803817004482,0.006119472693368688,0.021272044288809716,-5.5526300111286594e-05,-0.0024077218293945104,-0.1934206531254271,-0.011368465686556365,0.007345703464667648,0.0003641370473779228,0.0017520662469311826,0.17927381849015328,0.3903227031309379,0.06983973067496764,-0.00017736910036587382,-0.001394167812561495,0.00957691467139834,0.05728809675249761,0.003951629709756467,0.003558584739786853,0.07005382701374423,0.009533379683989093,-0.00018520736505546595,3.118532952128082e-05,0.020944299673777058,-0.0036989026258579636,0.0015078468050615012
10,2,0.0008028598366413473,-0.0038128283913880794,0.011043019042414389,-0.0005761728170606995,0.00302457313585111,0.0015934873442619265,-0.003780834478166179,0.005706982458444221,-0.0071329944530768635,0.005828686777826647,-0.004138324875476555,-0.010429191555257357,-0.0031976360650367817,-0.005856651600633407,-0.004944531959923157,-0.004391073223787124,-0.014092904991250307,-0.009354342204093579,-0.017681413340431506,-0.010645458093166228,-0.0050551472495824114,0.0015210960555958456,-0.0061916874773467875,0.004620276104385224,-0.0045516994042356495,0.004410476423588229,-0.007386216753751848,-0.006671978884731892,0.05252715435387895,0.0011202484800407943,-0.007812091857829047,-0.009046461926312812,-0.007418464324175317,0.0006764430893503455,-0.03668592098871991,-0.0014353411913540055,-0.0007054195325733264,-0.009703883146740522,-0.002915128010948016,0.006192410325113735,1.9720966536408673,0.02871650273667235,-0.0005863604909589078,-0.0111423501289372,0.0010808607351966587,0.06535657512480143,0.39525614243324736,0.046246223424516536,0.106588623513106,-0.0015473285245210754,-0.01411216408577744,-0.003902134855361014,-0.006195491192531626,0.0030130482114171016,-0.020318612168970306,0.0012392091946626486,0.0003749328289796946,1.55269822257863e-05,-0.005887174447784344,0.009002364284504832,0.0016235523183298387
