f_id,i_id,log_precision
1,2,0.0015174206772425
1,3,0.0028785125488409
1,4,0.0027326896642012
1,5,0.003953557661947
2,2,0.3973067152847547
2,3,1.0190780312144687
2,4,0.3952854128226437
2,5,0.5543385055859913
3,2,1.6107307981167185
3,3,1.560980907353449
3,4,1.5941677548113025
3,5,1.5792832466444646
4,2,1.7100774023968852
4,3,1.6606595099406989
4,4,1.6585421724053055
4,5,1.6843155066988664
5,2,0.1379758681969355
5,3,0.1780651656911641
5,4,0.1609502761442354
5,5,0.2125489564161583
6,2,1.4949761625835587
6,3,1.3892057851210926
6,4,1.4492438641713468
6,5,1.3831478735036158
7,2,1.2661697139168584
7,3,1.2929493195100012
7,4,0.9615837632979256
7,5,1.0344632619662582
8,2,1.7124470310317932
8,3,1.875485411313908
8,4,1.8477163500080789
8,5,1.8240889504122384
9,2,2.512130428118659
9,3,2.5405811717358127
9,4,2.508415968081053
9,5,2.272683782188846
10,2,4.331770438902518
10,3,4.471777537030956
10,4,4.45141327360574
10,5,4.537944233052587
11,2,2.0568599647335564
11,3,2.0646427029893832
11,4,2.095776494063313
11,5,2.037244025872633
12,2,4.721601660519329
12,3,5.298826317815776
12,4,5.438038813404898
12,5,5.013253081895612
13,2,1.7926599435692214
13,3,1.9088525351995969
13,4,2.091025614006237
13,5,2.143273979870315
14,2,0.040609714225661
14,3,0.0616073140490532
14,4,0.0372728191902756
14,5,0.0328247432538263
15,2,1.799601977541391
15,3,1.7988906109153602
15,4,1.866166775436623
15,5,1.8641536224080548
16,2,1.0966117333816805
16,3,1.0838741555583922
16,4,1.098880178989433
16,5,1.0373452884397747
17,2,0.6153202083296939
17,3,0.4529770864477538
17,4,0.3925243560448064
17,5,0.6110132320011353
18,2,1.094557464902696
18,3,0.9567864265732876
18,4,0.7285334633719818
18,5,1.1328545481734595
19,2,0.803341191736551
19,3,0.8246057096946642
19,4,0.8246039751387759
19,5,0.8065983491121052
20,2,0.5269945089584078
20,3,0.5415635991837412
20,4,0.537627750376951
20,5,0.5458720012763641
21,2,0.9006819678180213
21,3,1.086555318950457
21,4,1.0173883688540877
21,5,0.9857515042304508
22,2,0.5892831424895728
22,3,0.8478048343752417
22,4,0.8816552014625603
22,5,0.9684214215128064
23,2,0.445289111142353
23,3,0.4666913203620846
23,4,0.4473909376746462
23,5,0.4613216460087248
24,2,1.89867803959004
24,3,1.8986481359438536
24,4,1.925836955866012
24,5,1.9030562496511527
