f_id,i_id,ela_level.qda_mda_10,ela_level.lda_qda_10,ela_meta.lin_w_interact.adj_r2,disp.diff_median_02,disp.ratio_mean_25,ela_meta.quad_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ic.eps.max,ic.eps.ratio,ela_level.mmce_mda_50,ela_level.lda_mda_25,disp.diff_mean_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_50,ela_level.mmce_mda_10
1,3,-0.03834657250408566,-0.05231765898826517,-0.09029188487586295,0.03823545834243689,0.0022668206286007102,-0.21445584883239466,-0.07408559580069973,-0.08996014456990095,-0.055305315582992357,-0.029805962741411687,-0.025576828109556495,0.008088285260220065,-0.02253413371662833,-0.01755657352728132,-0.04720844130319328
2,3,0.20952943886431583,0.08091258452753854,-0.028949861398299838,0.002763603768521042,-0.08356868366655396,-0.26270928004710964,-0.08041206155651265,0.04234561594617608,0.09860377817918901,0.007389958343502546,0.06047952044386088,-0.056678961318361254,-0.03532997423292305,-0.04091125757954543,-0.016178815352304404
3,3,-0.0545134972076134,-0.04627118625649476,-0.0020471869128177492,-0.10642599218526387,-0.022605420492574177,0.02377537720580619,-0.016623819551504798,0.017999324532622787,0.012433204676008702,-0.05124557454332966,-0.0499958333964293,0.023496171116799986,-0.01135772407288567,-0.007955864291261126,-0.033773855129480654
4,3,-0.03009204595651773,-0.026918239478411776,0.0019232818232506927,0.07097674709041164,0.02718550983825664,0.04513921333939301,-0.019939683599279143,0.0226888778455873,0.016161057827180098,-0.005010724916060399,0.002704641475687463,0.03592769548535716,-0.01800850797137836,-0.014500609252263055,0.021823625981868433
5,3,-0.09548364397314736,-0.056459111928433586,-0.016779088841860273,-0.035511668392050694,-0.0031083650038874217,-0.1622111667497232,-0.055818593200146704,-0.10775105615527267,-0.07038535270279078,-0.01856391112325034,-0.02798637243621397,-0.04193740421008914,-0.004993017954117119,-0.054286646606691726,-0.041603097936527556
6,3,-0.05571204869748048,-0.04923691865456527,-0.08401917986815591,-0.09676315084748809,-0.10432292009139742,0.02724045024449901,-0.006430558051578816,-1.075122529973338e-05,0.011087032600772798,-0.062309912149307055,-0.0014309892967696468,-0.05345212317897223,0.19133270630458055,-0.013616389864354922,-0.0405945259725935
7,3,-0.03845635067381387,-0.05144644981104604,-0.08013474519305915,-0.07044000584606057,-0.12468935954144687,0.030610593294633504,0.016997293697552075,0.0038291455888132425,0.005295209574549854,-0.05536734462035833,0.10745239085683533,-0.046262308411265336,0.03993556463480498,0.000353891595185799,0.02091654038428432
8,3,-0.04304043823751219,-0.024511212720974163,0.0008665234467417958,0.07430063873457163,0.03375466257225428,0.03875958401203544,-0.01692268536905362,0.015008664000972718,0.011178673115842768,-0.007592748473876336,-0.009830843470951822,0.038982286960103654,-0.016206896093810833,-0.013212467339887495,-0.005013113637189618
9,3,-0.02979065990392656,-0.023600890258887324,0.03277870404285053,0.05363263764647619,0.021416110580130814,0.035337983362806365,0.014211990032215347,-0.0024776198723002896,0.011444667936463239,-0.018827889655953965,-0.018383864498765192,0.01939548072443744,-0.017521408482027857,0.0003648908175188568,0.013604127213923942
10,3,0.0344835223157784,-0.011938663041685334,0.06788068040430925,-0.002241295769058462,0.2553853599359685,0.04874008138660323,0.025029329559000106,0.20171104409163193,0.19852054796947283,-0.005694104292883327,0.18952220228885525,0.11461432122456783,-0.028924647009451864,0.00484392754061561,0.03719456623089336
11,3,0.1976244026760241,0.005435333207440407,0.0823307373573304,-0.036225119186557055,0.19599787588712858,0.07347873437667965,0.01820602528590437,0.09622743643080785,0.14290764591482794,0.09093134881786148,0.21175538942301245,0.1298421771709184,0.05481521690126846,0.03412689357740109,0.005343415453417615
12,3,-0.04895502370114498,-0.05478968907560965,-0.011490406512973702,-0.010749785322000938,-0.1342622590327046,0.049507673896131504,0.0026321607826907223,0.15894533827904198,0.11263019748764298,-0.045931357208461185,-0.048416247337130715,-0.0617116974877893,0.006240874566560073,-0.023007406574106968,-0.06061510677171766
13,3,-0.045885239168639486,-0.02726004937717358,-0.09482200772766297,0.06689939635632568,0.040720058898049694,0.04817111617892639,0.003918848473261874,0.004648886525646755,0.01811020726939754,-0.006068307310953064,-0.04601993490159496,0.023419925870664875,0.008231769555621719,-0.005445398517755868,0.008992600549063716
14,3,-0.05467477681842093,-0.04855070835201833,-0.0024825674150575996,0.050361714380986716,-0.09681098799383098,0.046290349306760625,0.01624056647773006,-0.06398054902163537,0.0050691732785038135,-0.013850507141343673,-0.052836947618481504,-0.057114420629204736,-0.022941953035890243,0.004473491559329783,0.040174719940111174
15,3,-0.05027131373206161,-0.04010042674745215,-4.0705167086647345e-05,0.051193333528144175,-0.07778844912950068,0.05356086049182947,0.017806053739431168,0.01637659585283486,0.024247769432278268,-0.046848018368828695,-0.012898820273045702,-0.03524796984524253,0.008413530279012704,-0.02877756219102255,-0.06925509575909726
