f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ic.eps.s,disp.ratio_mean_25,ela_level.mmce_mda_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_25,ela_level.lda_qda_25,ic.eps.ratio,ela_meta.lin_simple.coef.max,ic.h.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.qda_mda_10
1,1,-0.11843445180499723,-0.06659556696912355,-0.054113081423838666,0.026908086180400404,-0.03496974303538189,0.019820407691827725,-0.05551514560049417,-0.012455468401120587,-0.0594085943553221,-0.06018119700127417,-0.02347737911618903,-0.041268392818648005,-0.12993322102405816,-0.007360747935573908,-0.03275774543447164
1,3,-0.11778675664103476,-0.02473456474792987,-0.034470480141850925,0.07308136767748602,-0.10158560216154869,0.02376028331160049,0.03269041612960598,-1.9737340194939416e-05,-0.07017028402750891,0.007741803896800872,-0.04122572163939219,-0.002430622195874097,-0.16566076625120274,-0.1888099122612264,-0.03635849562493707
1,4,-0.11848865960819843,-0.029890708133848837,-0.03532608571695546,0.03093238305365045,-0.10185532320840673,0.04950479013240564,-0.05541969496821072,-0.005841442164754884,-0.06387128490323428,-0.008947308831354143,-0.02319277074351251,-0.020381429518333657,-0.1513044782238021,-0.149149502424089,-0.005409059726988045
1,5,-0.1209042594710845,-0.030277713460698033,-0.03532608571695546,0.02924047621730773,-0.10185532320840673,0.035164848502304065,-0.05568769191940798,-0.005841442164754884,-0.0687056034539898,-0.008304265010798747,-0.02319277074351251,-0.0172501629758354,-0.16332646259699324,-0.149149502424089,-0.037044909239561774
2,1,-0.12849136731622776,0.028008546330985134,0.008839591840931109,-0.042740362848239184,-0.22232859133768,-0.0841247322317467,-0.002418455881898297,-0.022843328900751993,-0.05956716831051264,0.008338616018540749,0.11797556066709812,0.04722100096674513,-0.08230679615335998,-0.241221412189727,-0.02410123958348483
2,3,-0.09200382808111107,0.028006084073594024,0.00458284422206438,-0.016049992194852092,-0.09408226600244524,-0.08015927156846867,-0.0027755828002311187,-0.005478173119110072,-0.041324611327513125,0.00523531905693871,0.2405833586752869,-0.009086786916428448,-0.07741434837324596,-0.198554677634797,0.17217787476799057
2,4,-0.13149778608159302,0.03983008442594222,0.0032999863845528284,-0.0248806567538887,-0.11197085486759446,-0.07727161447593064,-0.021537636439546398,-0.012284549747013271,0.3074261197012823,0.005147505778562673,0.2502331730962149,0.04672918155425031,-0.11167161237790528,-0.16774102845408137,-0.017565498854217345
2,5,-0.09880427691612516,0.025127011624325127,0.00462136708723943,-0.018367176608746066,-0.07920746133991967,-0.07995191325408342,-0.002769912756024769,-0.014037454722162397,-0.04610501467619758,0.005167944302831992,0.23309814159305656,0.0024783825913862506,-0.07818914258480586,-0.23923360808461136,0.16477954368017989
3,1,-0.10222174707557512,0.08107372101839411,0.03449622380090557,0.05957655016844341,-0.0038055425791208098,0.0724326506241388,0.001758328856276639,0.009022870546617308,-0.09142273863910733,0.061104429088207075,-0.02347737911618903,-0.017088929720797626,-0.053613244260792094,0.03397114415074043,0.004170366545094324
3,3,-0.118859051207817,0.026958444646828738,0.033120976934442034,0.06588262012857607,-0.12286316219899346,-0.057973231706203665,0.030042482540012964,-0.007894625473824088,-0.04665794862091015,0.01571451870592217,-0.036901074368686435,0.035882683523746385,0.006022918127160444,0.03253601031833662,-0.023909423091539986
