f_id,i_id,ic.eps.max,ela_level.qda_mda_10,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.lda_mda_50,disp.ratio_mean_25,ela_meta.lin_simple.intercept,ela_meta.quad_simple.adj_r2,disp.diff_mean_05,disp.ratio_mean_02,disp.ratio_median_02,pca.expl_var_PC1.cor_init,disp.ratio_mean_05
1,2,-0.09852797975027311,-0.03973003207793225,-0.04888998324473579,-0.08179840156968521,-0.16099693557527164,-0.13067036687358025,0.005381303471292226,-0.014191233210536666,-0.007140774898647387,-0.08299862454446501,-0.008892751926247364,0.006049541914837923,0.007133193514640115,-0.08377712624977224,0.0010855082260255633
1,3,-0.10462202955245929,-0.04016244777539786,-0.04930390840414276,-0.08074173623368897,-0.15725696268201014,-0.12258965336669471,0.006017223953815925,-0.015020808474625278,-0.018085350112295933,-0.08096842702993656,-0.009617694832299755,0.005775948724880772,0.007071565537722459,-0.08340737095240489,0.0006287572375800329
1,4,-0.11609756742285622,-0.039618656029344,-0.04584035776481435,-0.0881829914207868,-0.15475098592685935,-0.10574648689598849,-0.010280642064754042,-0.01375425098995634,-0.018932821911192357,-0.08685556861097941,-0.012894618404447769,0.0005706519084911791,0.002388558722175313,-0.08276158908786978,-0.0019275420961102703
1,5,-0.1130457636022138,-0.04042269794700899,-0.04578369114787274,-0.08813896256236059,-0.1552835753750946,-0.1136773381988839,-0.010743174886063663,-0.013018801576251564,-0.018893074464260636,-0.08663911055095865,-0.013319648770053035,0.0004950243536097549,0.0019686952709292334,-0.08263897712777436,-0.0038698757897022416
2,2,0.05712905406161647,-0.04538562911421394,-0.10768692687266378,0.027732032265086293,-0.10666976874306429,-0.00955524741926067,-0.019465508078514777,-0.10563048648144724,0.06000538620695357,-0.08596523286641031,-0.052501519405038645,-0.054681739920633333,-0.003883885130463017,-0.05465418867686071,-0.05977971903208973
2,3,0.10052731012868805,0.0657213528452517,-0.13667938395658694,0.10860528431381437,-0.12185977397576797,-0.07040373775618099,-0.03855984231737688,-0.0794585598212832,0.06328788452688779,-0.10834343077470596,-0.035353038585641455,-0.07093284661956105,0.004041465252512143,-0.07514438577856575,-0.04607480472156613
2,4,0.07528999344519162,-0.054194685528814075,-0.04395674605531278,0.01286722793327939,-0.13267829711334478,-0.02726233590781225,0.02308239596228576,-0.11477308581612929,0.04914157327612511,-0.09163362854106677,-0.03494067215312011,-0.06419844458485288,-0.043340191373833936,-0.001893599439494389,-0.05571067213154943
2,5,0.08322985865235688,0.09562214367591763,-0.13496967183379635,0.14609339819851233,-0.12137142082117558,-0.07885931602999934,-0.037697055332700215,-0.11889277578406289,0.04908808556720991,-0.10849745481788997,-0.03556300277923992,-0.06603381593167448,0.004003887827710862,-0.04527944345064996,-0.049914310192110733
3,2,0.03440412636733478,-0.01801186601290619,-0.036941251677736785,0.0019439682740015215,0.04530161166721512,-0.03516987979777972,0.019263203565100463,-0.0039871023448346055,-0.012704760474409839,-0.027195524921064987,0.010288891030405076,0.03545658921913938,0.021775233626813745,-0.06740970440243424,0.0407181237215585
3,3,0.037207647884902266,-0.02885106403265155,-0.03791266301439629,-0.010049561710562835,0.04591662372393974,0.01932927712377884,-0.014245181376929535,-0.005733253699450486,-0.009302887612034214,-0.003492282198563709,-0.009697922117933503,-0.03035939144966458,-0.029924804229908106,-0.035326996906900734,-0.007598901925977203
3,4,0.031024352915970683,-0.02548784179364794,-0.034309598674552876,-0.00931635677285448,0.04166891411597381,0.03374572640390177,-0.026662668749719683,0.0009968265112218727,-0.013771156071637404,-0.02045432966778834,0.022729427025118983,0.03245532987537557,0.03402561068147429,-0.02975169289337281,0.038364712413682715
3,5,0.06652957209099801,-0.024543755714386408,-0.03338571187116922,-0.007912135895661133,0.0449682698603579,0.035220331077960715,-0.026996751169921243,0.00043288866419843744,0.003959099845421253,-0.025529383860451,0.01562448245673296,0.03619620521236654,0.019838487970813445,0.0036687961112449002,0.02619998814811094
4,2,0.04007246414823696,-0.006460023179196412,-0.032728946689469164,0.005486224318272312,0.04639316954877298,0.03934679730654409,-0.016201493074394575,0.004189476200160342,-0.004988958597111013,-0.005114366263717281,0.03596913889122788,0.006630387614123851,0.0043994977632413265,-0.019086833109563082,0.04747033588120777
