f_id,i_id,ic.eps.ratio,ela_meta.lin_simple.coef.min,ela_level.lda_qda_10,ela_level.mmce_qda_50,disp.diff_median_25,disp.diff_mean_05,ic.eps.max,disp.ratio_median_02,ela_level.lda_mda_10,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_25,ic.eps.s,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_init
1,1,-0.11880278024691172,-0.05910044840621337,-0.06399915709369283,-0.004345651027565274,-0.0014279444771004139,0.05024716027049826,-0.13125787174615244,0.02582107542831059,-0.05206271282344757,-0.008186552401191287,-0.03430742500917536,-0.018091007533438907,-0.17217962975734816,0.004890890912818307,0.022228065416455806
1,2,-0.06713144110268453,-0.06971473554801633,-0.08548760236025592,-0.01687423353544627,-0.003673619753063784,0.05184720605698923,-0.10146359667333929,0.020956104013631908,-0.014812396484064672,-0.02393620181764175,0.12567113766107588,-0.004726929173221952,-0.17987598791663256,-0.01673946015947321,-0.17530393844493972
1,3,-0.05289926106677052,-0.07574381709851591,-0.08161255224848651,-0.018214976283648605,-0.012269907582804223,0.0344124173380477,-0.08244754202309588,0.0065305294330063254,-0.015012296426477452,-0.01248508931702819,-0.027730662202539218,-0.013841039729541179,-0.18725953735384315,-0.020812708836700555,-0.186530087645817
1,4,-0.07871792027944528,-0.06690746990904324,-0.08315141620272008,-0.0038673733919119876,-0.009618696419347041,0.02966256871634812,-0.07698237456084185,0.005608160201816989,-0.049929711186235584,-0.043353105724617653,-0.035139352306440545,-0.020242345796306342,-0.17941814928610658,-0.011832752672768163,-0.154513659922917
2,1,0.03496275101457779,-0.12100074691245856,-0.07075568876865608,0.03482179656232827,-0.044073567975032334,-0.1361468738484222,0.02918838064124887,-0.023841327383376618,0.22522363022518244,-0.009278256365146802,-0.059247745465103044,-0.10013267609232004,0.003695838714696765,-0.0033472912557691715,-0.25302199486661203
2,2,0.04850525418401819,-0.09183964911437148,-0.04631711255459424,-0.018098953745519508,-0.039588754768495035,-0.13680664989374625,0.010438255247217865,-0.03149424784950593,0.043453986881111246,-0.01945372435944128,-0.07019482985923302,-0.03640021305591468,-0.030001705200231776,0.004253467951073318,-0.17511658291284948
2,3,0.01518050445522654,-0.12803164952997484,-0.06374918256916068,0.029205081137152464,-0.030927067760152995,-0.16167416154745204,-0.007664036476110875,-0.03876907552328085,-0.04693505748963559,0.020413301416711122,-0.035006737975674926,-0.10359186792620233,0.06537929787024273,-0.08257427676070318,-0.21949034883574942
2,4,0.01810109945940273,-0.029442837509455685,-0.05830317611467759,-0.061918793814261894,-0.049654201213753094,-0.1469066537318941,-0.028793329127190747,-0.05493967674583834,-0.06290116352949957,0.005923827133931677,-0.03676438693964478,-0.05126859758833449,-0.03171227332222251,0.004266559491365946,0.024838896531894007
3,1,0.06007660706989487,-0.0604825907766421,-0.055404921640690746,0.021180189396260204,0.04173402072983258,0.05342087060513851,0.10292967872357499,0.03795894204371529,-0.07460328199518972,-0.006901298314013906,-0.04560194892441664,-0.020916625229139608,0.006270411368125529,-0.016182338130229977,0.07232550663997538
3,2,0.04640414013259314,-0.06709629766929145,-0.046898450155013316,0.018934881796186905,0.07140232889370136,0.07212514125895268,0.028001993108983214,0.011711376586032392,-0.02162122089256198,-0.03797983805862015,-0.0425357377713364,0.015670962112373087,0.032140687045098607,0.008827940156133316,-0.10396615576959622
