f_id,i_id,ela_level.qda_mda_10,ela_level.lda_qda_10,ela_meta.lin_w_interact.adj_r2,disp.diff_median_02,disp.ratio_mean_25,ela_meta.quad_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ic.eps.max,ic.eps.ratio,ela_level.mmce_mda_50,ela_level.lda_mda_25,disp.diff_mean_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_50,ela_level.mmce_mda_10
1,1,-0.035338379382666006,-0.0444658484612053,-0.005785727550080292,0.02572662654633326,-0.010376221675684916,-0.19889683248206652,-0.08371988469965458,-0.10478314960149966,-0.06886558583289205,-0.00739281393593531,-0.01660131153675504,0.0096538894025718,-0.022827836304458733,-0.009413586830619165,0.02255328003861385
1,2,-0.0494231803390294,-0.05144976321331464,-0.0935356188087106,0.03316969193035108,0.0069483514038429246,-0.21544705880467674,-0.07308113996309229,-0.08858987632180061,-0.05582608663530263,-0.03186018577876507,-0.02190733419157783,0.008609354844443215,0.022247073409812204,-0.030258693669258183,-0.04693574568244509
1,4,-0.038041551624415755,-0.05388487488899828,-0.07082239895481722,0.029115426288716977,-0.003546607336437896,-0.22402261317630828,-0.07877810004257142,-0.09959191377681516,-0.055234567916318145,-0.013545842742238126,-0.022524148500650334,0.007901015459398768,-0.02292775020793496,-0.013402876587142686,-0.056159830994152525
1,5,-0.038842637132146425,-0.056278753798468056,-0.0874755919235592,0.02669499918498861,-0.005488837980575036,-0.2184241296074446,-0.0776040092910603,-0.10117205456520738,-0.05579963615157448,-0.01482868335295118,-0.022888223457732636,-0.0014023684726749168,-0.023575923861116826,-0.013137048055464295,-0.05746921521372367
2,1,0.12344844908924459,-0.050086846921460204,-0.07794430001704243,-0.04181573875951927,-0.1331196998569606,-0.25290460976585816,-0.08016736704078875,0.037653293031477165,0.029169585021598308,-0.01695361669232847,-0.06701930318596222,-0.06294001087773615,-0.028410525184627104,-0.03840740261705024,0.08094453907336172
2,2,-0.04702300834665277,-0.03406959686149069,-0.04498283585315943,-0.04752360743827321,-0.14894242510625766,-0.18720698571015842,-0.07702937528393602,0.01593036805498925,0.02929163091365311,-0.05523389399556775,0.06471918289411153,-0.07811670136506887,-0.02928700831024959,-0.01474113953743236,0.016445606569560605
2,4,-0.056489183915659484,-0.03722344192104863,-0.014447632799076062,-0.022816769854471015,-0.1506784120461117,-0.14577969715507766,-0.08174953236109397,0.025499000271003235,0.07739812590967052,-0.0790661848109373,0.07329650156021357,-0.07137193428282435,-0.053877663158639684,-1.2935830254050705e-05,-0.011462435514081387
2,5,0.2018659968851828,0.35811637377262023,-0.0789567749496445,-0.025483770486779286,-0.15212204879146468,-0.2462907385844935,-0.08159047039534612,0.031626431417798063,0.037607092936058927,0.008015045498446687,0.06032936752907932,-0.05837196834438475,-0.0340302827139259,-0.038235462872514434,-0.00862723248543661
3,1,-0.046337285467966935,-0.044660358738336375,0.017433515368679427,0.061183270397942045,0.041833701219933565,0.03459563481301091,-0.03311029666050036,0.03643130330039104,0.049768360771122365,-0.0067163124709247474,-0.0628289354083331,0.05167602114490385,-0.03387618423993302,0.0013130042941376673,0.016386990369309153
3,2,-0.04388690808848003,-0.04004180756866957,-0.008216084321033693,0.06289391556080917,0.03765004364289538,0.05878853766437325,-0.03061313830115029,0.0007970843337091124,0.0036941632848756594,0.0012325665814202776,-0.0010144828286174057,0.03919522384695206,-0.02288712254264964,-0.04232975272333567,0.014545530288856938
3,4,-0.04150434771490803,-0.03875191774447791,0.008273278565761124,0.047607928115222325,0.03048420932190428,0.037192994946547424,-0.02582983222357877,0.0077443374264750675,0.007736274891969451,-0.05350860560850712,-0.009817965804916777,0.04238372918587589,-0.018173689453775118,-0.003433212639754149,0.016535529090263568
3,5,-0.03989610090186789,-0.035077188020553436,0.01261508973635011,0.0592499279046332,0.03359437226790145,0.048473141577978794,-0.02953317544626012,0.031273052429926285,0.04071080646250415,-0.010076759373023948,-0.0025569577431712167,0.03256242747738974,-0.03419698394577973,-0.006680734089888162,0.02031871398678412
4,1,-0.027162601854091577,-0.022307795453969863,0.020823657761789714,0.05766958191420889,0.04519764662177729,0.05577659517586058,0.0036557295868183772,0.02239285706717349,-0.0019250533969363095,-0.00109647847040716,0.0036552499611534795,0.04112321363187454,-0.019624014404480486,-0.01043948024109529,0.01896040256591158
