f_id,i_id,ic.eps.max,ela_level.qda_mda_10,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.lda_mda_50,disp.ratio_mean_25,ela_meta.lin_simple.intercept,ela_meta.quad_simple.adj_r2,disp.diff_mean_05,disp.ratio_mean_02,disp.ratio_median_02,pca.expl_var_PC1.cor_init,disp.ratio_mean_05
1,1,-0.1154925610101246,-0.04561625155987913,-0.040094244087824873,-0.08667959612383194,-0.1460528921446626,0.04301541812949001,-1.3900062526212207e-05,-0.0059138329014050035,0.0007805188595958802,-0.08914328555025226,-0.0064494510350682965,0.016927976186565306,0.013877026563449241,0.0030414014003753665,0.0033831673872824534
2,1,0.09027731057973923,0.05260024368749335,-0.13740066714493107,0.17384339238787933,-0.11889626987085226,-0.07903534816007529,-0.03223591649313825,-0.11270800103329147,0.10410666765932766,-0.107852654243913,-0.028315697098227878,-0.04859806865755371,0.0030112959879592667,-0.05056292996627926,-0.0439479470643038
3,1,0.13595246121009075,-0.024700619105095807,-0.03289979208909995,0.0010315334855413177,0.057179877675493034,0.06178497830553233,-0.022951883437717577,0.00914837146428061,0.029472361138547332,-0.025071297580695207,0.037142211765660245,0.04702465953672394,0.035193434728144846,0.019025895032135653,0.05398446234190628
4,1,0.03375662878326987,-0.004722900103980787,-0.032019920645823395,-0.00426420499196282,0.042505399878962964,0.050142256759592045,-0.019248362664541826,0.005231530081009689,-0.001882323363849848,0.00207472931347268,0.03510299422799134,0.04978918616096338,0.036452731981399436,0.025538784048501767,0.051367362008465506
5,1,-0.1354243400687537,-0.07296782182762533,-0.07560617107253031,-0.09408763694894552,-0.1371347443398974,0.06558775023455309,-0.0004083124096323599,-0.0018689266728539834,-0.019719415050965264,-0.0845685601318366,-0.012161140384980267,-0.024874637800188653,-0.006729158096396092,-0.06262917183184702,-0.03237058690832775
6,1,-0.01714622931256116,-0.03901866609939895,-0.048426426342276445,-0.009823566051357278,0.03574442750622547,0.01691986324756344,-0.012122741281448034,-0.06036458708355167,-0.0010701422332006381,-0.00022453525072558246,-0.03756340368266387,-0.08913475750354051,-0.03403783897625172,-0.03939537007350491,-0.05385261312377254
7,1,-0.0021661620826559412,0.12434597070268275,-0.05913050700213859,-0.011291976771987726,-0.00806791955537719,0.041241231548522196,-0.014560795149803685,-0.05434889574247611,-0.003851953942328517,0.016038230163597136,-0.017925924355946612,-0.06820614722081689,-0.0189632439545122,-0.05452396667364473,-0.0359417767213474
8,1,0.022655086804261218,-0.013922436601566893,-0.03907963709290503,-0.004912799830647655,0.03695343059952676,0.031621588883430626,-0.024612292643457483,-0.002384925473698113,-0.015869429651122466,-0.010565390382607648,0.005565234007554717,0.017462353217477206,0.018839099565708957,0.0010089089856739478,0.020282027961789035
9,1,0.02205300940172181,-0.008399089173598199,-0.0316466250248146,-0.0041478263611887155,0.029048591384366707,0.026451268013921787,-0.024073819694501647,-0.0034308122071153267,-0.007183786116902323,0.01774392406968699,0.01881725598575998,0.027118756962389957,0.03022435590298144,0.030795746415515027,0.02971317640231105
10,1,0.26052233192890484,0.6996558451344076,0.43660945037746546,0.2709191625160835,0.0883442622804452,0.30953211797717384,-0.03337317255989517,0.11476288722718912,0.1421734249031977,0.03990103583316506,0.01882919438316355,-0.031169700811759096,0.05835825695816686,-0.008860023015296583,-0.0022922570829416863
