f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ic.eps.s,disp.ratio_mean_25,ela_level.mmce_mda_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_25,ela_level.lda_qda_25,ic.eps.ratio,ela_meta.lin_simple.coef.max,ic.h.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.qda_mda_10
1,2,-0.1269427195497153,-0.011474200947693273,-0.035060276714173055,0.03922947417421959,-0.11230581678624439,0.023510490229658336,-0.05541435403329611,-1.9737340194939416e-05,-0.0736896121522747,-0.007475080604869998,-0.04122572163939219,-0.024974720525009184,-0.16566076625120274,-0.1900250928022361,-0.03631266851969637
2,2,-0.11838149710611864,0.040643357193033434,0.013229109779977329,-0.038923132692414125,0.0069787519832259365,-0.08219740595422632,-0.0016023809990178986,-0.018939043017932512,0.5482124899000549,0.03862512612773558,0.13150987001271774,0.11301951444442286,-0.08090035471923877,-0.15094299815408915,0.01281447609904126
3,2,-0.07502936467989842,0.023216203371989232,0.028787286937183278,0.09281300360724247,-0.11308707921119796,0.06755261339913553,0.027087051708664635,-7.687168971633749e-05,-0.05431900347054973,-0.005477603368199724,-0.02912930728204976,0.009690680062492163,-0.004745156208770007,-0.1712250167055737,-0.02597356674840143
4,2,-0.06692588094673521,0.02913848398642078,0.03359261779455392,0.061798968018375394,-0.10038385851891429,-0.06208737584396956,0.03542134111142404,-0.007389831430469181,-0.03984505415961472,0.016877251747373534,-0.021578921679850288,-0.022008393072566846,0.026162478438979092,0.05876208840975163,-0.026532240327695245
5,2,-0.14541031186540246,-0.03070043028149201,-0.03201819753983297,-0.07487588582215839,-0.11288802653773664,-0.09965192839144373,0.004652542489850478,-0.013580564667805722,-0.05103586291479737,-0.0015138511327972659,-0.1521189263750792,-0.003977208315329925,-0.07427206358395973,-0.008817037619514486,-0.050820726881376455
6,2,-0.12122345001220741,0.028286023496143668,-0.019140944087149288,0.08392687765604664,-0.11281234112006151,-0.03397436187449225,-0.005954671591833084,0.005183628471606021,-0.07756107199044307,-0.019946437778401053,-0.039255478590359584,0.0231497491663843,0.006978722017484172,-0.17861990472964187,-0.031276546786174225
7,2,-0.12226545393992594,-0.021758539894889798,0.037514579963060714,-0.0805303039628955,-0.13009874826041196,-0.06564338009776356,-0.0040066409917229335,-0.016585315656661315,0.4449983814334982,0.029169470193962255,-0.02334948050976169,0.08184727667128991,0.008316556940427744,-0.08847176678838578,-0.02903998521875065
8,2,-0.10389532858236518,0.03641522426242689,0.001099959721132486,0.05173523383426959,-0.06691392111353844,0.06781066399800076,0.019608697641812445,0.04041413047224678,-0.05531095775800901,0.012726213882097865,-0.0228110567131702,0.006187150335446028,0.010957824279541076,0.06337117353140082,-0.0043312455221100835
9,2,-0.10308573829583499,0.05592303633277283,-0.008966522436954455,0.05071556830888481,0.04493553926474641,0.0562118653356574,0.0033942684898739246,-0.01936907126149927,-0.0252145974780054,0.006893017359549924,-0.02381858201837396,0.0009721849443270582,-0.02460581229915896,0.04358148691191515,-0.015301261084165569
10,2,0.9892985068712613,0.09842955141889578,0.007077871417503867,0.005221411381374098,-0.018349437115475972,-0.0222517489509379,-0.0017300124950908721,0.004547119921602762,0.5352606121254373,0.004579612471138878,0.30917255941286736,0.30233344150515656,0.0035689507855502537,0.2598470824389839,0.5040704093965498
11,2,-0.09334064458532149,-0.02993003635323142,0.006176665588480086,-0.11882424754448213,-0.08622076172340334,0.013368646853729332,-0.007600612981354376,-0.019170506496926056,0.5711598651744227,0.004301700019338963,0.15275708580909708,-0.11939934843253941,0.0038137766105068157,-0.091504862261163,0.10148401294804112
12,2,0.3219801821587721,-0.022717858586993166,0.011912481500213422,-0.010167527097136645,-0.015183623411128973,0.04321968646390395,0.0093085593738124,0.04430545836870162,-0.03340528798292408,0.04312658213541628,0.1715435378926155,-0.17440015649762988,0.07383201498126411,-0.00478258558679799,-0.01675795324469609
13,2,-0.12943012291776004,0.020560596873610906,0.01944287118946308,0.07201084975962718,-0.1080489242973354,-0.040702602809664035,0.02458859574561864,0.00437897938861573,-0.06877527977084037,-0.006478568093499838,-0.1431820973688834,0.04365691041200639,0.011631374057359433,-0.04229984162912345,-0.0372404099764597
14,2,-0.090366519109859,0.013390545145744812,-0.013515774043533442,-0.08738602958293272,-0.1194875648185458,-0.09699698724767866,-0.016950063619447064,-0.016018319242575796,-0.061075727819789906,0.013885384017458171,-0.03845955994531916,-0.016567518089628724,0.02541264131667655,-0.2314165609828605,-0.04150139964739413
15,2,-0.10375365391719416,0.029947061920449183,0.029541965527450163,0.07289225070331974,-0.0860238068991749,0.016369155167911473,0.039292731944593935,0.007827434567343037,-0.021071860343332537,0.019660644807658646,-0.022164365805313835,0.039290311499026086,0.07555755851991132,0.14211754747127175,-0.024923308244234398
16,2,-0.11040152832643613,0.044498309635684095,-0.014896175716179377,-0.09750817073873859,0.07033430860158638,-0.02494071904484436,0.0011168438965354773,0.05503828710736179,-0.02910514836788233,0.04915453950364488,-0.02475318450224339,0.069607029274748,0.01418655508299408,0.022704908141155403,0.006641500961555165
17,2,-0.11186762553826125,-0.0793000876587427,-0.040015851823753855,0.08278000805639427,-0.02342376467376862,-0.08184157409289057,0.015272917178695535,-0.02275024196032096,-0.026264245158014145,-0.04164874116745826,-0.02569342329338213,0.03279992893863347,0.03268456366389379,0.01876039223507636,-0.016705300354544574
18,2,-0.1145049311990748,-0.01447347127591751,0.02113127691008488,-0.07479350557152349,0.05701145391664901,-0.05924899544464089,-0.0098133783099981,-0.012713281039154551,-0.002348345969556623,0.024279686651538464,-0.02630380041833428,0.003918338291541844,0.02301209994610536,0.027056159294337863,-0.023526300934819007
