f_id,i_id,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.min,disp.ratio_mean_05,disp.diff_mean_25,ela_level.lda_qda_10,ela_level.mmce_lda_10,disp.diff_median_25,disp.diff_mean_02,ic.eps.ratio,ela_level.lda_mda_25,disp.diff_median_10,disp.ratio_median_02,ela_level.lda_qda_50,disp.ratio_mean_02
1,4,-0.13816448184503907,-0.16393936596772768,-0.017061713021199736,-0.05479766564526692,0.018903143384050754,-0.060154975347357996,-0.04579968738092583,-0.006585978431657379,-0.027154321634292166,-0.02167050876869699,-0.015896211108979017,0.00012268949721893268,0.006612654774016832,-0.06482340319844074,-0.14596334372579275
2,4,0.3999630743981289,-0.15231934718302545,0.019924780123514927,0.02825813452669534,-0.033281853483217584,-0.019268156658839602,-0.03128054109696231,-0.04722863556454713,-0.14481191168701962,0.07421222674751228,0.12080539958155125,-0.0034169226197917767,-0.06975907613833639,0.013718124575256832,0.0318611418083259
3,4,0.07743934084361113,0.009043069473357807,0.00108663767880872,0.03520327991857875,0.055642786640463175,-0.03649997322699581,0.013412894666118476,0.015714365008796184,0.020116200503791405,-0.008271037889036322,-0.01572868485143321,0.06117014824653988,-0.011539617719584595,-0.019435198496967617,0.0013895179202731466
4,4,0.06651187531143547,-0.0037343389300527447,0.00038851003186241993,0.02283034448202812,0.04352730548337905,-0.0012157497792909626,0.03499303633987248,-0.011760952785447289,0.014102732938371006,-0.03071257904665508,-0.0242769635227018,0.0326027098859754,0.06658674492561568,-0.03301260247396942,-0.011145758448673155
5,4,-0.07986247863768565,-0.12877571879616365,-0.023579459774615338,-0.01780943777061714,-0.034204316077354746,-0.013518112828561853,-0.05192198802339447,0.0653766009763709,-0.08804826289376948,-0.01788423798396578,-0.02409523853437079,-0.021678163821570954,-0.06168848981730748,-0.08404516791922229,-0.027274220745583673
6,4,0.0022278880045732427,0.032990050770348986,-0.02785761606167645,-0.03908637114494271,-0.05587762014242422,-0.05608804048559998,-0.023138581823870803,-0.0252102855251774,-0.13631472375855314,-0.006453113634347017,-0.019107797524943942,-0.027021991990701377,-0.07755982790253667,-0.030190482135675423,-0.07652087981857804
7,4,0.04018486434598799,0.030309837507176793,-0.012431877284042466,-0.032297757162704374,-0.05034504385606262,-0.03179095436991729,0.007302411468474416,-0.030065888568780383,-0.13974978574363675,-0.006108611179299535,-0.06420414376248748,-0.03741808298260314,-0.06645007720236921,-0.02742389272054081,-0.0674712359161626
8,4,0.01594024939314591,0.019262030019958014,-0.0038602037827878645,0.01826720319214758,0.03563024023383764,0.009628557565244306,0.014745187848765525,0.007091234383872321,-0.009878010751264803,-0.03348696871474292,-0.014418543807389212,0.021412527560157255,0.03207758077047913,-0.0399673031444949,-0.08199785786200668
9,4,0.017378981720522137,0.06518549596433963,-0.016819919814103676,0.022690175569928077,0.049909279609299244,-0.005292716794239761,0.008253539271758282,0.0029740112917196137,0.0029731064018132638,-0.01812339614553971,-0.0023638910737636552,0.0053829524965505185,0.04719936650376086,-0.020517812475375694,-0.009040844195804731
10,4,0.4072405305271034,0.05381117098694955,0.16391713669283917,0.03398995572990918,-0.02732645474547427,0.3690398992914946,-0.052103236579008436,-0.06572444962360692,-0.1323827675697162,0.14444501642716795,-0.006404922398948013,0.00596297430344229,-0.05969441080288908,-0.06467407381774902,-0.0017873761623128735
