f_id,i_id,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.min,disp.ratio_mean_05,disp.diff_mean_25,ela_level.lda_qda_10,ela_level.mmce_lda_10,disp.diff_median_25,disp.diff_mean_02,ic.eps.ratio,ela_level.lda_mda_25,disp.diff_median_10,disp.ratio_median_02,ela_level.lda_qda_50,disp.ratio_mean_02
1,1,-0.15970699542190409,-0.14242923634297347,-0.01684514742810076,-0.04390420194984615,0.02633426124651126,-0.0636060621744913,0.009253852883548607,-0.04189573602550163,-0.025836437924603314,-0.02398276829092204,-0.016592128098677602,-0.0036797384261329545,0.001439263252378711,-0.04498036644241952,-0.11618050171379847
1,2,-0.12017826007590934,-0.17334760751637196,-0.005360502319546671,0.007668088674451201,0.004855218828729326,-0.0707003515188296,-0.05400154412818772,0.020449185501449647,-0.015414283083478319,-0.02142507404822125,-0.011924712003996004,0.01898754178734917,0.022028554599798255,-0.05724606386659665,-0.12004290636879078
1,3,-0.12104885117138384,-0.17421819861184648,-0.005359346241186086,0.007655776399065455,0.004987141098771785,-0.0687826350340277,-0.05392515498451605,0.020509919250004914,-0.015274141038997819,-0.022273550444475865,-0.01193499716106921,0.01898754178734917,0.022086526555712194,-0.05724565913374855,-0.11981708680780263
1,5,-0.14021810737957616,-0.16360137629307353,-0.017044251197842652,-0.05536298588109967,0.0032081413737010873,-0.07228353609556268,-0.05652488100603481,-0.00590775025767672,-0.027081495936363848,-0.021845322963130683,-0.01602921994733796,-0.000744884806306928,-0.002332766097330539,-0.052944841165439106,-0.1482127379111985
2,1,0.002786535196736578,-0.19626583033246636,-0.04567869531768641,-0.02837865664672398,-0.0476827116063494,-0.029341939757303162,-0.03312872643632879,-0.058705205906527995,-0.14738869125962314,0.07386854286583262,-0.04091591727190354,-0.00779306560565696,-0.09843114025289616,-0.06506682787777,-0.07510896418225203
2,2,0.0014234447049902169,-0.19253197875462727,-0.039980964077445585,-0.039639485231684306,-0.049567642644094224,-0.01565713989608577,-0.033718674078724725,-0.038132804088019286,-0.14244330467184677,0.07588782126228551,0.1068889784484567,-0.011930720033421735,-0.09159456777115846,-0.0626663194043936,-0.039752211970257446
2,3,0.14186364262737156,-0.18264645773710622,-0.05340341843292207,-0.030737491239340376,-0.03057859942917821,-0.022406382348686818,-0.04131375771640248,-0.0567284819764183,-0.14762124981186345,0.07701635449243215,0.12001950939860637,-0.0012821686750387742,-0.09283585605910573,-0.06021220613450547,-0.011380850117243024
2,5,-0.0021416121341584432,-0.1933467885017707,-0.05341269589263803,-0.030293064101194176,-0.03628999701398763,-0.02241254149013324,-0.04231528765649524,-0.05566162700506524,-0.14757521349907243,0.07333151121226424,0.11759680359491603,-0.0051492184272522844,-0.0927146303381872,-0.06332813057396547,-0.04323094187910596
3,1,0.05198329793257018,-0.001935933521616685,-0.003445171124076594,0.03712905066695767,0.038746658601197,-0.07065738478203286,0.02277719841662754,-0.014961762813188,0.005960571834013603,0.008919213975668642,-0.09506044154859127,0.034057770159038325,0.026422755580624784,-0.006580786972539687,-0.01694853595171828
3,2,0.03087709347402775,-0.0021382353737195267,0.0023069961259537504,0.030459513549916807,0.04746105051718072,-0.031113341083456498,0.009567513003914105,0.012314314659556742,0.013463877827239923,-0.01813051371970152,-0.013660452271501063,0.04654987025436288,0.03352868542016801,-0.06212523386448828,-0.015013231742226608
3,3,0.01725887226714152,0.04400319893597342,-0.0018809809760637693,-0.011006647310901101,0.06152362034926222,-0.058747759549133034,-0.008370782586917262,0.002419668820632398,-0.057860926175425105,-0.003777928165303836,-0.062112647574793636,0.009441218448068382,-0.02751503960843695,-0.023005226265523298,-0.052075401253792175
3,5,0.044312402082784766,-0.005349076556058556,-0.006941378946589529,0.007267681113027757,0.05811335556926929,-0.008361133131051015,0.02107604097175165,-0.009058036379815025,0.010515269182635506,-0.030801434529603863,-0.006089113074540443,0.024287430914636584,0.018298731091311433,-0.053163717252394806,-0.031536651805627834
4,1,0.06684936492532316,-0.005405456814509489,0.002216877373378286,0.02733084325403777,0.05854125565481786,0.008431446028716103,0.015967082626010556,0.01313558686339844,0.019693144460955374,-0.028732673149896595,-0.016808745163655988,0.030489595169278776,-0.004276254547269625,-0.046012805371782324,-0.0009763066227869461
4,2,0.021315899873193933,0.017680037966128326,0.005993442334287427,0.02617877792150417,0.04454291686511726,-0.007125193101160719,0.01701858217829744,0.01600826459379012,-0.005257192776769671,-0.01108593514355699,-0.024998582033252593,0.049583080328336526,-0.02960726895920441,-0.002855850129636771,-0.00575834911003137
