f_id,i_id,ic.eps.ratio,ic.eps.max,ic.eps.s,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,pca.expl_var_PC1.cor_x,ela_level.lda_qda_10,ela_level.mmce_lda_10,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_meta.lin_simple.intercept,ela_level.lda_qda_50
1,2,-0.20047682016994928,-0.0490109681499451,-0.193639852589243,-0.33353508366268914,-0.03387329413660645,0.02751120167189347,-0.15481433597456862,-0.06723062630224463,-0.1707932764805825,-0.020371375899086552,-0.02476923409781595,-0.05133609823620078,-0.053478307453549534,-0.0196780424082037,-0.060089685160576556
1,3,-0.26655387166238803,-0.05254591168211098,-0.24981128652828422,-0.36387980328386604,-0.033592817836493594,0.026684578102637135,-0.07466565721049534,-0.08656273533068859,-0.11593368729994225,0.0,-0.036102500913615554,-0.0451801221215995,-0.029004159450128464,-0.019989695647456562,-0.05723005969258366
1,4,-0.2080452607957045,-0.04437219801562642,-0.2007328494467,-0.4087479127071322,-0.03538088697949082,0.030232547656297015,-0.09502412210511024,-0.08469201417002026,-0.11355130858160845,-0.027507899023287763,-0.03292643543315665,-0.04984678414232868,-0.05685080518905783,-0.016010862552419014,-0.06220191900634209
1,5,-0.26845283989028,-0.05241442850878475,-0.24147344527748515,-0.3652962695908877,-0.033112949287970705,0.03108811602400885,-0.11310645415215159,-0.09243384339096261,-0.0885530905945251,-0.0017837995507619109,-0.02447354336901786,-0.05263072835993021,-0.027028570412286346,-0.017379772992196507,-0.057316111203784104
2,2,0.04277672578073291,-0.05770792424670257,0.054528083463127874,0.006144590848094655,-0.02830503352318231,-0.699921851410128,-0.006785422026694188,-0.03249387308373047,0.0070882218177175105,-0.009825488554354278,-0.09455465082619763,0.17096977301105276,0.0,-0.020208374828096398,-0.03129616883443809
2,3,0.14314536099184003,-0.03304994551457796,0.12712599646779682,-0.007725715999368721,-0.0222034292241593,-0.567542522119451,-0.05079366143757008,0.06640791343876334,0.03061583341048396,-0.007498392497463535,-0.03629027454272654,-0.28370155746877346,-0.02825637183537394,-0.01715212234925978,-0.01267250373295803
2,4,0.24824813267855378,-0.04659278381472293,0.1996478104545255,0.07923707800335456,-0.029860565193792987,-1.2089803404051926,-0.021872657237682946,-0.03493921922449683,0.009836526072500185,0.0,-0.12976532158137916,-0.0603689710714197,-0.01853024504309775,-0.02279702944980072,0.02524988420394103
2,5,0.13579721051101656,-0.04145500783631756,0.11893465695014271,-0.02596098371508304,-0.03736679212353777,-0.939237227147889,-0.014365088000804549,0.10799752060528128,0.030481148281056275,-0.006454173336387148,-0.017334899678691507,0.09318399670097743,-0.005306197472050078,0.0,-0.01998966099989341
3,2,-0.017227818516697954,-0.04571032754561011,-0.004569248244661928,-0.03516589157945135,-0.03351832214283609,0.040560429959486624,-0.0067137225902107744,-0.056655720432793946,0.027944119325824524,-0.02011587076452928,-0.028012556401541308,0.4756755441107606,-0.011610132367711898,-0.018012889297923912,-0.038956205145804446
3,3,-0.04941160704524458,-0.05660306931600295,-0.04853897309456168,-0.16975650489127336,-0.035570729222414554,0.03339897183106985,-0.04956462721281407,-0.08410444078938284,-0.12911132323425856,-0.027609292592583518,-0.010832801736075648,0.11009695447179124,-0.04290643236475147,-0.01987359902059721,-0.04614712742996474
3,4,-0.03921249631555418,-0.05477045468539998,-0.03316085733065188,-0.09226121667524845,-0.031967350566097175,0.035306650271488826,-0.0744709404063647,-0.10829735545581465,0.02373723453437593,-0.031506473839195304,-0.05111261063776962,0.011630003400111333,-0.06290775431291135,-0.017827406981464927,-0.06357400214343212
3,5,-0.036924866502670045,-0.051135359287299995,-0.048414114233209626,0.2013570227483445,-0.012761159530621013,0.043066264755291545,0.09443277363660696,0.07493656661699158,0.04598186141607086,0.05156017972591881,0.04658406328537662,-0.010311269340732399,-0.002890887946366466,-0.02306263085862781,-0.03613431922545285
4,2,0.026229342285356838,-0.050386229900808294,0.026491083357717576,-0.016102486886205136,-0.031041337412381936,0.052357225506760696,-0.011906637331215386,-0.04539986213541383,0.0559871832896188,-0.009259933659650554,-0.005079346381325123,0.23810543304195037,0.09273346512759623,-0.02161086850039147,-0.023532339895226684
4,3,0.018983335532895523,-0.052999526541476674,0.012530706063405755,-0.04616238087759224,-0.026590169373510775,0.041203060537928576,-0.019298476094439854,-0.01507731261933018,0.06336193763699019,-0.005880804527948091,0.013784414129870498,0.30828698036381763,-0.00864563373491356,-0.019491297402284752,-0.0443749663798213
4,4,0.024872889762691586,-0.05327556999526449,0.01603742331291491,-0.0354681518166927,-0.02622801849415088,0.04560038009232574,0.043597264527095975,0.012651998562728167,0.07880925764970856,-0.011476112000293637,-0.0051951831596311615,0.10511411832226991,0.09239829587909373,-0.023080103087110143,-0.04578729160979156
4,5,0.02150301736141777,-0.052757978265816505,0.019060704636663872,0.02468250697855151,-0.022453533540344295,0.04858154801689976,0.028931717310866578,-0.02924314391551855,0.06482721718388312,0.0,-0.02207889937819993,0.23606875245964049,-0.0017896823895285352,-0.01937456410823464,-0.032312588460604585
5,2,-0.1304468434477024,-0.048587461831338496,-0.12507997647192493,-0.08660843818256136,-0.038717503705766876,0.022299379021384957,-0.04279370919099046,-0.04611947497406621,-0.4844386299458953,-0.025373204323500598,-0.04941085421162905,-0.04111300065209056,-0.05242372569720177,-0.014469982898787537,-0.06923792684379215
5,3,-0.13817848808591682,-0.04362545340238699,-0.1316537203324607,-0.08199336323894191,-0.033721327058297,0.023234283987773274,-0.03685720810146842,-0.05773075552361273,-0.4897618309840991,-0.0332890539372907,-0.04499185238603154,-0.039029169156388877,-0.0511814201688528,-0.02308611339657013,-0.06789777693381582
5,4,-0.12089396173103262,-0.045188462058378676,-0.1177654547821535,-0.09500648204948148,-0.03644270254252846,0.021553507922427384,0.011552264607011087,-0.03216583249189209,-0.5942305149006549,-0.011433477756851551,-0.054598241615319565,-0.04088747406650595,-0.04427800519557268,-0.01820652009771695,-0.060284687986059904
5,5,-0.12785866191833228,-0.05415624077065384,-0.12013325860719815,-0.08909532112434648,-0.03662797152417724,0.018946290686268075,-0.035995322496675364,-0.05382243193058578,-0.5027805201279165,-0.022232413600512757,-0.03888630406030569,-0.035851510304184875,-0.049242138394058,-0.019312831250918594,-0.06547271793226583
6,2,0.2284267491725535,-0.05632688728361885,0.17412354950248352,-0.14551476076260184,-0.032068527678209266,0.04652674056917358,-0.013565154585936448,-0.07790369230299328,0.060536193960818434,-0.012411469453976663,0.0030139509295463995,-0.014283921063034388,-0.010112314753283141,-0.014937280849977773,-0.07117692768590098
6,3,0.23898351192811212,-0.05837523593225357,0.17722203411978,-0.13746707240790101,-0.03193082702308784,0.043479609443875064,-0.017191373213668835,-0.0862659248527586,0.0811622009892872,-0.01395440645080847,-0.004572928399903607,-0.013635806281692225,-0.09083176580872909,-0.007830455271138542,-0.06735050185530289
6,4,0.23370044162004308,-0.05956940261679245,0.16754135297348421,-0.11650707802270373,-0.027732459709260106,0.03243757983185899,-0.014725094495618717,-0.09251378039308364,0.02635586427656421,-0.020488053094733047,-0.003247749715243199,-0.009145506912876099,-0.023234388738140245,-0.0256408511601606,-0.055789814859529
6,5,0.1804696561928858,-0.058316543592197054,0.13188696968263774,0.052994217030222626,-0.029858928768899617,0.04920691988247857,-0.06994008715386067,-0.03481239388895825,-0.04911442073606198,-0.012959685799862966,-0.021308590146323587,-0.005859671336446368,0.0,-0.021796603287495303,-0.07931258569694147
7,2,-0.010132229315852032,-0.052747246232504125,-0.020810170609219802,-0.0961085892428146,-0.025666774145956778,0.02849730732768886,0.0880831157539503,-0.043171199783232944,0.0108947285786965,-0.015493157992566758,-0.009512783805035355,-0.02066570358906855,-0.03164281777948538,-0.02312069622086485,-0.03587106066458601
7,3,-0.055264708373244154,-0.04656479559510962,-0.07434060908107028,0.1577312329364018,-0.01773598715441793,0.04029269529265761,0.11501310704546266,0.019444592209804018,0.02652428612812449,0.0,0.18100164386414533,-0.008882393471527056,0.036097818954813926,-0.01707965632620151,-0.07203352533413004
7,4,-0.08811286922249865,-0.04695519409664589,-0.09654125921386195,0.2060173595853756,-0.019130031113806026,0.042919303713044976,0.050519399441994434,0.003646634750188532,0.04854530048340812,0.0,0.09291389448245954,-0.010914394589686544,0.017228369610434502,-0.02411141966161902,-0.03137998824707716
7,5,-0.019652406840069775,-0.05488184815060282,-0.016574233637332764,0.05114068457756518,-0.03569329102884383,0.037727807819050975,0.011594794013081153,-0.04032384452722512,0.016193999568110726,-0.017871461221642543,-0.049080630101125094,-0.02805111901105037,-0.033147086238036985,-0.017079572167979784,-0.06176907077475052
8,2,0.3216634178524694,-0.05581974088992703,0.16496169311302455,-0.19592490621565312,-0.022211376396625293,0.04362076121204034,0.042027857585863804,-0.05266011144304655,0.19183439401609187,0.0063273152677766065,0.011756291561104637,0.0,-0.010801601856691295,-0.014281877423946626,-0.07000789132287544
8,3,0.3368282771425902,-0.05476155592213444,0.19221585406587527,-0.16193988181537405,-0.02033604677552911,0.049101247964336237,0.016185652924279703,-0.07501217567060753,0.22357852087853114,0.007402803442125128,0.006903470565812642,0.0,0.01549548062481454,-0.024840493731740326,-0.0688177384923162
8,4,0.1801159707315108,-0.055366996710846966,0.12173197459443835,0.07919468681455374,-0.04932792328778825,0.005714139286083553,0.07778083569460487,-0.017503131109146475,0.05316575008465119,-0.00994234415638981,0.0423055044868238,-0.02293668432401169,-0.023183445977612016,-0.01447036330272522,-0.06156194016028399
8,5,0.34632130116199067,-0.052647074138794714,0.2088357450100155,-0.20287909229574375,-0.021458873282265062,0.04341441934687923,0.03366944096126395,-0.05183631179509418,0.17607078240959978,0.003676894450581142,0.02832634734107059,0.005933045640563517,0.017052645149532475,-0.015679491496052772,-0.07679636326288342
9,2,0.3450723138495829,-0.04953699380536519,0.22165429353922983,0.14501035333688916,-0.012962272446152723,0.04385476887641404,0.11773430394327866,0.048193335494711165,0.04997889613614115,-0.016271726789698127,0.25970900317850276,0.015176415948674582,-0.01318914552155781,-0.0195437233994063,-0.01630778807641775
9,3,0.3241862849223811,-0.0527967094822227,0.21067357601464654,0.1427301226175921,-0.013337797126859174,0.04596209985823996,0.12161146722005323,0.05250105204383937,0.05367388582296123,-0.015108144223332953,0.27039131482515977,0.014353533551988873,-0.010739671903712444,-0.022324552482674898,-0.0032044273932336775
9,4,0.25301352489379525,-0.0417193103660789,0.17498126642082668,0.16341351032880513,-0.01962366144019917,0.042491381143842766,0.1470440880600492,0.058725517284740514,0.042576409056771014,-0.01039924689504046,0.3400026833928098,0.010813384499088197,-0.01233062592766454,-0.018477731804329378,-0.01379638440139308
