f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.skewness,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_distr.number_of_peaks,ela_level.mmce_mda_10,ic.h.max,pca.expl_var.cov_init
1,5,-0.21310649548079813,-0.20774571025878408,-0.05591065737181089,-0.04138519945330721,0.0426342266629863,0.03867585167850013,-0.5135239546239149,-0.018318731272448485,0.017490522668486386,0.15912477277490444,-0.011425240010897453,0.001896752963917614,0.1618868536345531,0.11168951831144136,0.03902271814166469
2,5,0.14365283361214776,0.12932479554239906,-0.05128129232380019,-0.04152819806467056,0.09959638027429962,-0.9841568282182762,-0.06792269187622424,0.009728124388518444,0.0,0.020806950419873127,0.0,0.0,0.0,0.0,0.0
3,5,-0.11090479977815688,-0.10109330585778253,-0.05027013465805641,-0.028457621799186317,0.10622146256485399,0.048035760158101515,0.1985265778043362,0.001420192199940773,0.05311915121999708,0.027068641989381914,0.11396907719078483,0.0026614810130860533,0.015555075920517913,0.11889073297259078,0.10828464185226816
4,5,-0.0056241217662654636,0.021034662262811803,-0.06078274363165191,-0.04397521197568889,0.10300658980285599,0.04746953939919646,0.026261165835122245,0.07547675146073379,-0.010470776948851512,0.040044795843564795,-0.032559879323965514,0.0059593064076062935,0.050350361634527066,-0.11978439170913054,0.08344025982226762
5,5,-0.15066091227388034,-0.13989064043717725,-0.0451263709080264,-0.03714545205409836,0.01142971405323523,0.021467810647535668,-0.21538922519375303,-0.01710571969685437,-0.03677421096222566,-0.38601969038716355,-0.13039281483029308,-0.03915617445003461,-0.18240005056797348,0.015502723494900117,-0.007230611300381051
6,5,0.2246293590336811,0.15498038079589288,-0.06756191216887271,-0.0372744325645908,-0.012497312448127969,0.04696222710109151,0.10400450934140788,-0.005619096317416229,-0.022878036990139912,-0.15661823633372396,-0.02767965214107969,-0.014387854538613729,-0.3650043147059526,0.0453259864604805,0.07879721751804955
7,5,-0.028982744512082062,-0.029591909993589682,-0.05601890798601819,-0.035610040231430856,0.19773392547468915,0.035836041748651376,-0.3228422968952227,-0.022934211776480695,-0.017683959495835566,-0.03055555753178804,0.059432483660821336,-0.01439743321189041,-0.02118130324336004,0.028192027781316478,0.027230167130061655
8,5,0.22131440033643068,0.14527350623469226,-0.06551086225075892,-0.027928547546399646,-0.02650468288662712,0.056494296621988016,-0.40171786731961334,0.010977253232809875,-0.007846424288412708,0.148294418877031,0.005126940993268131,0.0027729588931290905,0.13385030239505658,0.05029427638260121,0.05216410968741533
9,5,0.3811625073506237,0.2559559216881652,-0.06355189893428992,-0.02862191354832677,0.0147959844459164,0.05557584661985715,0.2510821208465246,0.024189684383630783,-0.020105768504973698,0.01678428034494156,-0.0375953023935337,0.0,0.038795204109213444,0.014817319979404775,0.12615967172984255
10,5,0.761761977117116,0.626123632121695,-0.061391447344008254,-0.024089232743305766,-0.06797656425191612,0.07005573464422399,0.2974637027084954,0.03347171109225233,-0.009755462809865167,0.05063408060884311,-0.09928162531511842,0.04926888755321901,0.08940199836169138,0.00946626273376927,0.0422529545949244
