f_id,i_id,ic.eps.ratio,ic.eps.s,pca.expl_var.cor_init,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_distr.skewness,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_10,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.sd_ratio
1,1,-0.15041389672235428,-0.14793823888124968,-0.6377320282883061,-0.04383161098293087,-0.026948998521729384,-0.02084068349306134,0.02927546829875205,-0.08540987883706253,0.009445595248231409,-0.011535349569832487,-0.023211675773047946,0.014838959278409058,-0.013637646087503619,-0.028698860259635195,-0.2976457768492311
1,2,-0.18264731735736683,-0.1764080911902357,-0.33894640454842695,-0.04341080528851182,-0.0401339473470822,-0.06842094921586206,0.028732650789344727,-0.02925811466056527,-0.08188130260984938,0.006237351900086785,-0.30228266524548175,-0.11071593301526828,-0.023298102057597414,-0.024140369806007977,-0.04979651790878914
1,4,-0.17818024882116146,-0.1795559969455791,-0.5527346448216668,-0.04716791788443542,-0.034125621874258494,-0.07481332579569311,0.03248609244425249,-0.04198004046262149,-0.008832577765532146,0.005339573550994903,-0.2783843874263866,-0.03537071620540344,-0.013454426820924903,-0.03520689190440707,0.0056106131712090335
1,5,-0.21967004231193665,-0.21818259930100392,-0.6293304126838066,-0.04400708196144976,-0.03182709572321929,-0.07162704747871285,0.02926230710404787,-0.013677935331635638,0.02856134338103733,0.006686132613567319,0.030338276578923296,0.0,-0.015600226061981415,-0.026410428554220045,-0.25879981171016175
2,1,0.07077133999119578,0.061627359190610354,-0.13127208543596308,-0.03926218024155553,-0.03296752327421765,-0.009032106797918216,-0.8219502459110064,0.0,0.0,-0.015510870137993793,0.02272895703197697,0.018155386859604328,-0.00526247118925538,-0.013873309029544811,-0.019885371038000033
2,2,0.05586582974055637,0.045666724033693484,-0.1687528024160907,-0.04229047173870548,-0.02651072309055158,-0.07362585349232964,-0.7386756555440054,-0.004231800921213558,0.006656345218134185,-0.016090070489016062,-0.012101391095163727,0.011404994650426326,-0.021840436254541518,-0.029645049639900334,0.019921345906021903
2,4,0.3151360178115838,0.22310772092960307,0.10052077534883397,-0.034870674933320744,-0.03785922934420527,0.05759848616916208,-1.368252784640175,0.0,0.04087308209109941,-0.014201071242957664,0.013934597970714169,0.0,-0.02234950092967719,-0.3503362472050868,0.03449931929579009
2,5,0.136797139014406,0.11181290720803283,-0.05405423194423803,-0.01795626651819371,-0.03184595528430245,0.07718152710020687,-1.001262839401985,0.01345294401116165,0.02598037147255683,-0.010712530270027332,-0.0555421337009831,0.0,0.0,-0.1002112809261072,-0.009372770742594683
3,1,-0.0986682264584889,-0.09445521442580698,0.14586165377693586,-0.040211641126649315,-0.022262221666190556,0.021039584392170768,0.0475381796380419,0.0028146817929340304,0.04679094974494237,0.010168194255192983,0.04020157546314912,0.023952202830041562,-0.0156865491202409,0.01422608510364197,0.17176237146990608
3,2,-0.017883612309508676,-0.00732140837346984,-0.07365963723220634,-0.044866359950257645,-0.03178316182222346,-0.08037817179088236,0.05404006227543082,-0.023012650095271106,0.027012154327377677,-0.01858971845150298,0.0,0.027181905508174772,-0.0161480249584951,0.3933510921912462,0.03396605820605436
3,4,-0.09070554556732302,-0.07436616942549595,-0.17251522721466805,-0.04953133792517361,-0.026726543886510357,-0.13318007443436186,0.04484534813249352,-0.1352704905700688,0.020274723973375097,-0.03641478269560455,-0.005935997407653326,0.008986803176508795,-0.019743829289721904,-0.013773713206515548,0.06294999812686575
3,5,-0.10282153667358337,-0.10411721767740058,0.1981595769710151,-0.04618444037943494,-0.015225021361600935,-0.012791125154530139,0.04276094316720044,0.002604611002573934,0.05171076551253111,0.013042724969991357,0.029212515679775557,0.047447843383359015,-0.015326988236754678,0.005602321959714558,0.2064100972220605
4,1,-0.05805503906829022,-0.06179656246433721,0.07532257732969741,-0.04504272375857407,-0.03552685547663409,-0.09470563710963911,0.049335744937916995,-0.03767604851536793,0.01252808252597791,-0.06014436037711321,-0.026097896184044733,0.014090332249736659,-0.01595570057659751,0.0168747225399601,0.08814314150508124
4,2,0.04199707727672203,0.04874889636590486,-0.13057811701474997,-0.047387042787228995,-0.03403525215604957,-0.08970473554601345,0.051178112929864295,0.167988325581699,0.046735646061163524,-0.002425996481579838,-0.04555783503430071,0.027356013354077696,-0.018262962018811224,0.12413438124491558,0.07344049409614523
4,4,0.021046631284372064,0.0,-0.12198669689450355,-0.04952092307505369,-0.02815499286218793,-0.047759650993319386,0.05230320106201279,0.17354646610530675,0.035648979183447116,-0.009588754781361841,0.002873640794957999,0.06898461094336826,-0.025392921758710482,0.055995332992119756,0.059864468875520604
4,5,-0.023802207872089018,-0.013480414363065782,0.061641687450792695,-0.04246408202618534,-0.025000386153806786,-0.003324106253783682,0.0525538571350955,-0.0017336033267312395,0.044083911898875755,-0.01691066137920364,0.02191742810320918,0.0562385974732271,-0.016602857014509725,0.059811464642705814,0.09822091502328642
5,1,-0.13276044936633635,-0.1226706908920378,-0.07893071177310229,-0.037904953149990095,-0.03246673537774891,0.016526713836789164,0.0229592164638035,-0.021003442874901412,-0.46524174193157486,0.025710924381764033,-0.10637470024596352,-0.3790825511096627,-0.02017055658740241,-0.003699555293582235,0.027586846451119307
5,2,-0.14125435703500455,-0.11736752664166339,-0.04607800383584559,-0.04336464140062213,-0.031022225815881654,0.0,0.026866102448446005,-0.013856330218621093,-0.4683858260649565,0.014735587813908158,-0.03804793106855264,-0.39605134181076096,-0.02081576435831345,-0.004746704261527901,0.016155801823606986
5,4,-0.1138934406191956,-0.1053296840830299,0.006061550729284937,-0.040293526936537094,-0.025727867081867806,0.028418735798880712,0.018419088104161707,0.023106188879863154,-0.6139188338861644,0.043302756621272864,0.05688604674276032,-0.4997226581855305,-0.017519301556530475,-0.0039018000530572916,-0.0076332109264491965
5,5,-0.13223713412093763,-0.12173971517419713,-0.0496072697808323,-0.03952519844975222,-0.033225199070700984,0.006971553918748485,0.022957633407512668,-0.008460668163068674,-0.47984191976958995,0.009523809200201905,-0.04590307482461953,-0.37900663875405094,-0.021249774313919945,-0.0015699752617048812,0.00968041073112258
6,1,0.23433421602077448,0.1469180576341632,-0.10063561407884758,-0.04773372667582946,-0.027555060583776804,-0.09748999325599218,0.03866133588961768,-0.06515092020267463,-0.008704686251962473,-0.0050381584934219275,0.03836591062645753,-0.054004442220082764,-0.02832293374210278,0.00266307656725504,-0.01314064444262316
