f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_distr.number_of_peaks
1,4,-0.20178419682738435,-0.18640206106249912,-0.02803233391038895,-0.6232554321312925,-0.04851011422869295,0.01085875079825721,-0.10239626211603736,-0.004152719671967509,0.03704825255566402,-0.017947211944156827,0.127459694581119,0.011973086369026165,-0.029190270901557847,-0.017504546897541995,-0.03931527436426707
2,4,0.1444691316385488,0.08110968995331447,-0.016948889227021924,0.16655571893163063,-0.05236169892993847,-0.43194203636316286,1.6822584040107778,-0.024655003947845255,-0.7926856475646246,-0.08513984086636883,-0.07648805788650997,0.025343158846353964,0.06534986800692422,-0.057721680964966104,-0.12314174615508411
3,4,-0.014599749728611888,0.004190833278870709,-0.03214938220222158,-0.37286090224156093,-0.051279377472862764,0.02150901132181937,-0.07939866808392859,-0.019632173196058866,-0.03206657840518695,0.12932739785756123,-0.06933344075370057,0.012705784962929678,-0.12010542421907677,-0.03387266507397474,-0.08210261733780266
4,4,0.0,-0.0160440192895549,-0.03136327756867896,-0.38345244818389146,-0.050482049140217755,0.03919312608808001,-0.10649380232504713,-0.027279135336851335,-0.11273556521317929,0.23877516650301953,-0.20035462763842582,0.033790264052190266,-0.03498957664676505,-0.045848352325712716,-0.042383654268770776
5,4,-0.14137698586047553,-0.1489283883153698,-0.027863329519522417,-0.24539069966812366,-0.04693391593208007,0.01581179262198612,-0.14971050017873,-0.013711050610353492,-0.03381604754963641,-0.023456099938907515,-0.030587139616013115,-0.3708091954207373,-0.05668303719367185,-0.08181954130088398,-0.03972136384080538
6,4,0.22433382720597114,0.1545466410047608,-0.032033346520998755,-0.23317908983511343,-0.05801850464684859,0.024204473992547923,-0.06881370111418028,-0.010357254777274762,0.026702628727933025,0.0,0.06772313698714524,-0.013592809234942133,-0.13422429742545866,-0.05911800150548993,-0.05683331623687435
7,4,-0.04777640124799323,-0.07055249625670271,-0.0265527939878748,0.28589208162570967,-0.0435645191288388,0.012504552011940562,-0.08670570172949597,0.0,0.08363537197483889,-0.006179534367032752,0.26724937686785444,0.03025196767039562,-0.04151569942954131,-0.006647794131668883,0.02860412145558011
8,4,0.13781211922453163,0.0892604987317606,-0.034692600599059736,0.1624100335568216,-0.040771985022099416,0.028209923692138747,-0.10017038519318339,-0.014283003072748907,0.02988746353883253,-0.0016403646108425624,-0.09515052901014152,0.05373416951368007,-0.04430143117017797,-0.007550840945226185,-0.008987741089240275
9,4,0.26087449224133746,0.17633096711905155,-0.030006640010383168,0.18861409078393698,-0.043759401595463876,0.016541520653812425,-0.08274800673528004,-0.02074864859553638,0.2824257165696005,-0.007315714727142264,0.107080636724317,0.040519702574189354,0.053693580616715975,0.007280914010679762,-0.012729973079584678
10,4,0.7199190584085118,0.6180706461236267,0.0,-0.10396164379604289,-0.03890815961375793,0.021361277033131287,0.0,-0.031001799522135665,0.005795133788516038,0.0,0.24994016110351303,0.09657147554712187,1.187071448730316,0.0,0.020696634764379773
