f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_distr.number_of_peaks
1,1,-0.2091465659315892,-0.18122381909160012,-0.052076192956422185,-0.6333664051526691,-0.046271496415329905,0.02327851421577576,-0.06503401559150623,-0.014548323765385174,0.019085269973651675,-0.05146235922127429,-0.048062508726062214,-0.0417975892284399,-0.07861476272307355,-0.03726581700391918,-0.03653356012798881
1,2,-0.1911602348540946,-0.193315193780504,-0.05468101418738924,-0.43158727991144263,-0.04635238432286615,0.020438379692938602,-0.060175062595704265,-0.025238720334967435,-0.034374479039684935,-0.0447689773392993,-0.11775816379913895,-0.11859617860180915,-0.06295771372335668,-0.06001370030611519,-0.03451189332114013
1,3,-0.2839715086417701,-0.2734952816466436,-0.05448010147391158,-0.39158245953815995,-0.04802179210112445,0.016765865184496298,-0.07545597595233178,-0.018439184217328375,0.0,-0.03708972964324564,-0.08550549160061272,-0.003974828952836518,-0.10747304970827698,-0.09111100964047636,0.0
1,5,-0.28844529184048817,-0.2505493559806897,-0.05337485226090444,-0.5550775457756862,-0.04529862005600338,0.02302881911228627,-0.07702957119629639,0.0,0.025339347394930267,-0.038290054009656904,-0.0789841868797857,0.06321053142764765,-0.10865414422916586,-0.07545114706070732,0.005741523422298389
2,1,0.10021955871408339,0.07035526672930154,-0.04831559223071247,-0.15022024253935173,-0.03746923556270387,-0.6226940123764994,-0.027385550523457036,-0.026842224405198123,-0.03146135035983344,0.062172363019123045,-0.13006986438037005,-0.018784713888879367,-0.02872278981422599,-0.015257674853174807,-0.030012067815449184
2,2,0.17024548580014082,0.14418506432500172,-0.04084127590959857,-0.21987531332581078,-0.03871664339470193,-0.5298925949185951,0.08888429866891667,0.0,-0.08171048313648233,-0.3839657422845404,-0.06272125080622931,-0.015574183989931933,-0.08674018814617701,0.059876981781745775,-0.016158180101703445
2,3,0.21762281440273545,0.17046016304503864,-0.037254406806152995,-0.10122267368378213,-0.02367787202589844,-0.3374417997422372,0.011469115815203434,-0.01953134006833296,0.0,-0.7276891629783988,-0.06166920679625992,0.0,0.17742676411800837,0.014773016325176636,0.014616220921791268
2,5,0.1325533051344795,0.10719452055415463,-0.042626810048605246,-0.09077232064951624,-0.0264778867289871,-0.9498839459421384,0.015077039445328122,-0.01837288399613557,-0.02213451247096032,-0.029370958614156784,-0.10075484472841001,0.029147424092989704,0.065886892910342,0.0,-0.003953149245731646
3,1,-0.049226674979030445,-0.041270931671999585,-0.05404194116210089,0.26788733975702395,-0.029810591133223277,0.022466528487944476,-0.05248656418339344,-0.002236840772224663,-0.007894843413424751,-0.01420305658736011,0.02276066025004772,0.021605412676216018,0.0974597511568792,0.0171330321555742,0.03617533478337154
3,2,-0.03468041650900772,-0.010642225813221391,-0.05510119957574394,-0.17340831809660917,-0.04697637618784172,0.03764807573554124,-0.041753008764681965,-0.02109968258162892,-0.005140131135958986,0.6922659263307008,-0.03855221426476105,-0.001740936015432487,-0.06595860519653188,-0.024662388044087415,-0.03175392888964229
