f_id,i_id,ic.eps.ratio,ic.eps.max,ic.eps.s,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,pca.expl_var_PC1.cor_x,ela_level.lda_qda_10,ela_level.mmce_lda_10,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_meta.lin_simple.intercept,ela_level.lda_qda_50
1,1,-0.21069856516969832,-0.02607422403863141,-0.20781412030807833,-0.3524222431591666,-0.045129540864978446,0.023710276680879216,-0.042540157914332744,-0.14931844968138974,0.0405288319047189,0.006936272446887659,0.006634118652841359,-0.04339255948108456,-0.023933518780403007,-0.01281027310474464,-0.07243876829020723
2,1,0.11237432521458199,-0.019007303950354937,0.08339469132577126,-0.08803194582206714,-0.049863242631427024,-0.7677255238197556,0.04613143846011075,-0.03369243130532701,0.010140450455894234,-0.03364437685873212,-0.022958327705140225,0.22165907743994656,0.020408039412497747,-0.010211245451962364,-0.019493599526044014
3,1,-0.10103006592442013,-0.033158822493625395,-0.09245507187402285,0.012026655251788088,-0.052540048004008105,0.03651576508031992,-0.07688329644544489,-0.023151838235077632,0.02120038644578473,0.01543465949036843,-0.08312607400444483,-0.015949474251264167,0.08618614244736494,-0.01194910516134684,-0.054461010741371385
4,1,-0.005599008571293584,-0.03311492366324185,0.008098089446815379,0.046589679445999,-0.03308846660224094,0.04288583120052629,0.025508806908869572,0.04095401949412149,0.04946359549918447,0.0,0.07946039195723123,0.026291754630506023,-0.06165353589323809,-0.014477125128662227,-0.057797896462900344
5,1,-0.14490740381943001,-0.025875977203772993,-0.14900328925799922,-0.09694658697512382,-0.04144874268429871,0.017719577945371823,-0.018024494436225336,-0.10988519516189488,-0.45295346612479026,-0.016470320804075955,0.008316285187039862,-0.03667572698900301,-0.025197907303790235,-0.012394384606200293,-0.05821819862149846
6,1,0.2578188664120242,-0.03483911017017806,0.18615727181628636,-0.09457440119509018,-0.05648620372508398,0.037518699938332914,0.0,-0.17030353664087533,0.1400726285496303,-0.029970987627418545,0.0,-0.01161434476762048,-0.07344999426369449,-0.011590790339868581,-0.056741516502462674
7,1,-0.022552409182657662,-0.029433489215526763,-0.043162640461880133,0.0,-0.03877234892273686,0.03374710346039024,0.042815290112512505,-0.058508150202878195,0.049312021574957794,-0.0225917052215667,0.008580364774507701,-0.025588860936460095,-0.02574588309556118,-0.01528881934396284,-0.039722228559817635
8,1,0.3033125603268055,-0.04064551952078238,0.1944360744636986,0.0945414082742615,-0.03711908857317925,0.049069489723852444,0.04461347426557638,-0.02233139701307907,0.07541504590485304,0.008296819213136575,0.08167244222325298,-0.004885675271860401,0.06641455293709325,-0.018179836307412545,-0.062413314995720226
9,1,0.35010465433943044,-0.041397971467983574,0.27354584165825513,0.1569026207197456,-0.028147870578730805,0.03929095377205161,-0.08643337409991825,-0.024901145964437488,0.06013692945734972,-0.009709629170363887,0.3576792655630169,0.013798537237943553,0.008144848192541021,-0.00618924539694049,-0.007645552270444611
10,1,0.625217229721446,-0.024733198047368843,0.5111270272130501,0.16893157909919942,-0.04287731583594656,0.07492751951518661,0.06989453566523318,1.403779823432196,0.10980072093307225,-0.024693027410496837,0.06781070094893527,0.03415100116589409,0.0703961982276573,0.0,0.010630818463832625
11,1,0.35411130797725626,-0.028263489775280093,0.2896115697947757,0.021589384628030867,-0.021544986998475055,0.034640526695357526,0.0768654779252829,0.0,0.041731057124079096,0.0,-1.117677045383159,0.0,0.037050042414339346,-0.024087354601280808,1.04579726233993
12,1,0.5087122640809059,0.7489144213086969,0.5855400562831874,0.05186987689449829,0.8572684479745698,0.03981787211998222,0.04036474040800231,-0.03170435216794054,0.014955225296016561,0.4788089469407204,0.005137801173483059,0.025570784658248247,0.2757825275245662,0.25150370575765835,0.03587538623542219
13,1,-0.07468883139885774,-0.03238163483115761,-0.10134087045746118,-0.32091080338626676,-0.04531819360762515,0.027223845046086548,0.09257309847597747,0.008569583937291042,-0.0058282214147544475,0.035970118335650864,0.053846172909801565,-0.015778702673121925,0.009510485358244503,-0.009908079644302903,-0.06045945919615825
14,1,-0.24753646821504705,-0.029288162597551626,-0.17967118902369017,-0.1103145469008544,-0.047026834359671366,0.026364259964393344,-0.04573221424335905,-0.1836160503292763,-0.2149099490635913,-0.07411862890205234,-0.022325844638953485,-0.03728591735438813,-0.06409669592239453,-0.014854261179386485,-0.07442658993852858
15,1,-0.0939474593416429,-0.028236567434832355,-0.08920155986075884,0.1577058498267931,-0.05113054582121554,0.03322246527021691,-0.01724889427772766,0.018929263738796026,0.013799178777895715,-0.17922584445150108,0.03439513112798759,-0.008228448551596379,-0.09409487275699033,-0.00847340207878955,-0.06261206910031891
16,1,-0.1113276766857762,-0.04018162069534767,-0.09280829867877767,0.06743992042500024,-0.04267694476133954,0.030500082317989452,0.01190474274244313,-0.01318199878709081,0.03799047184481664,0.018678808451197085,-0.041150403427903826,-0.01041695366696238,-0.003248432287680361,-0.008221363280426677,-0.05028563220234328
17,1,-0.17303517427019466,-0.038723595696466995,-0.0941711281425589,0.11372939722888353,-0.04386521526133613,0.03287639495278938,-0.10855360868213637,-0.0648875149623494,-0.0791118134711758,-0.13677870221245536,-0.027400659254654902,-0.024329528768462894,-0.064880087349376,-0.013329666695769904,-0.05423843086857971
18,1,-0.06627804819138673,-0.035622002537317,-0.017702143453465255,0.140635523369714,0.02469570068632821,0.038123759852836545,-0.008799510190797607,-0.015662698188399896,0.03822656734082101,-0.10307210007369107,0.0333329229992089,-0.013445511183113056,-0.037124559015223095,-0.0038545434054790134,-0.04696956402860317
19,1,-0.2875868257409525,-0.03260853400500946,-0.19420678955315085,0.06766561127706272,-0.04054688909631715,0.02906475560993918,-0.03746795557771959,-0.05256623835132879,0.05596585426996312,-0.16268346305569154,0.17927476974555895,-0.011241355678401094,-0.0009190232502657714,-0.011605338233925483,-0.032797051097671726
20,1,0.04657099250407193,-0.034037931016040524,0.02184099665590644,-0.35365507698647125,-0.03998321994466841,0.026130225596896484,-0.003116153862783022,-0.17807711198722143,-0.1421538358359009,-0.02485632896485568,0.008569095886830691,-0.029648946784037233,-0.02868845757330296,-0.00855300903856071,-0.06329042774102711
21,1,-0.2671598997968426,-0.027022676679266167,-0.23140421875084882,0.09597723289615745,-0.041215506120880735,0.031785962424037584,0.12902338893508114,-0.1802906816595728,0.04493786960759327,0.07540864623634141,0.012443477427138777,-0.011813842908217742,-0.008313446181014955,-0.008768472455618848,-0.03403790683347885
22,1,-0.2726610073966563,-0.02885261699352165,-0.20358747798702076,0.057642980148869954,-0.023260499404076124,0.02557733124267042,-0.0019294368640622173,-0.017722667864859237,0.04025436345768224,0.08215654829440011,0.06616786251969435,-0.015849467416078733,-0.0668931955036024,-0.013204493703241754,-0.0400281542047527
23,1,-0.2953147177770322,-0.031233608176067296,-0.2800895056160701,0.01575164131996659,-0.042450791250870534,0.02745110213892238,-0.039520310991076724,-0.03710812422712162,0.02593020388975681,-0.010456676324848535,-0.10732567867563725,-0.023334322064892943,-0.024640077671451655,-0.01058545724416704,-0.04831170473942936
24,1,-0.17621193755416165,-0.02571979497913368,-0.18345028841890998,0.1354813451250323,-0.020502490237843264,0.03053765282725414,-0.10448574340265818,-0.09090745768590372,0.0573478580753346,0.08535816705287019,0.3759018601969988,0.009710813248692468,0.02970705298251705,-0.019666034828115353,-0.07870319002289705
