f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.skewness,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_distr.number_of_peaks,ela_level.mmce_mda_10,ic.h.max,pca.expl_var.cov_init
1,1,-0.15288887936241957,-0.15145769159772682,-0.044421320079342186,-0.038856678742294926,-0.08822890926772042,0.027393173351330846,-0.5361338754496896,-0.04651898909952901,-0.007649006798888469,-0.018663455741373403,-0.0689618189477208,-0.03478077549561209,-0.03703086215133955,-0.03833630394465437,0.02924899529061742
1,2,-0.19128666862396593,-0.19385735982760566,-0.05588780319952147,-0.03223029345859085,-0.07450936026317456,0.0283210624585446,-0.2830811953649025,-0.03981718135930257,-0.022913289620857258,-0.13947281788057464,-0.24941890037990366,-0.04859406786144671,-0.13680288432554177,-0.0030104439502439684,0.008750056549078566
1,3,-0.21091796527801374,-0.20580171877201087,-0.04459151077065088,-0.03574336510575021,0.030903649580528214,0.030829328740549056,-0.2324122307467421,-0.020756398668267617,0.005478030196717887,-0.03764935470306349,0.06515327707651025,0.004927193062201796,-0.012832303631535313,0.10704674829814956,0.0181267350593588
1,4,-0.20786536410912382,-0.1994055964014545,-0.04690012974461899,-0.03815439316387237,-0.10291110943125614,0.03957276779582353,-0.3910378129251688,-0.0448738591489678,-0.043383546298023545,-0.032365605326215574,-0.26047692759368757,-0.05817596823499449,-0.04098761734090961,-0.02177505988233952,0.014856163254481247
2,1,0.10959217383806058,0.08194660979479262,-0.033529076820573045,-0.03948793873575995,-0.03240721567033056,-1.0027303284353475,-0.10462823876313987,0.08224479268749996,-0.02492993240216268,-0.007700594105468417,0.010992028825890565,-0.003879380760634543,-0.02273469175198478,-0.021575607639277794,0.017064843817035324
2,2,0.09066606385496623,0.07258203127636048,-0.0476092535414161,-0.03153850563654992,-0.08644176068802745,-0.8777021997704166,-0.1496559870271208,0.10825015028179036,-0.030364200381578166,-0.006068520258184051,-0.01591540853058382,-0.004112573574866607,-0.026358979881770384,-0.010260375217761686,0.022766962973758575
2,3,0.17753216157369056,0.1427389610617241,-0.039790397932355115,-0.05193671090341612,0.14273479105326087,-0.6644975505169424,-0.025822947438908672,-0.31479083519321904,-0.01984459922220988,0.0,-0.025601975691030066,-0.0266494442754987,0.017129574702541228,-0.022127797527757342,0.030049872153577573
2,4,0.195672617271199,0.15062914866871546,-0.050266958443593523,-0.03421960587817552,-0.05588651622418017,-1.2977279950917175,0.0679286129496478,-0.013132807135224134,-0.023881753104186665,0.02161687494409631,-0.01412775913213693,-0.020605759273106816,-0.004540791375095887,0.005062570186131821,0.033767071970276286
3,1,-0.11176605795306661,-0.10131156024583829,-0.04771653767990312,-0.02801447242306463,0.05503240577186316,0.04582818443852707,0.2504938261308636,-0.020764732104841005,-0.014382234477538967,0.029918439767376973,-0.037284542551246934,0.0,0.004714651430744898,0.13539714071768835,0.09541357385930119
3,2,-0.042745971014419265,-0.021713834688492584,-0.0501422875932699,-0.03844629116715857,-0.07392947210394407,0.04839887203256377,-0.04376669611480827,0.4899795299894709,-0.029766755766913733,0.02003281199882162,-0.02882219838575674,0.012822318850212483,0.013911793069134024,-0.05986755463627494,0.028450722066587192
3,3,-0.07060500251095408,-0.06714758370585597,-0.055595202665506716,-0.04261964029503135,-0.08478849184201587,0.03775082289973375,-0.19256349178914178,0.09524517850402742,-0.021274495811606675,-0.04160388658031777,-0.042134993854353875,-0.033639444366705296,-0.11152897748690666,-0.03282816555723095,0.02132458843473073
3,4,-0.09441063669971406,-0.0717677648777433,-0.05557005398093401,-0.04407346188424427,-0.10610652225711165,0.04018509739391246,-0.03788748994086144,0.023075661470512765,-0.036527299544438896,0.016456861632804964,-0.09414864892026076,-0.03421183491121943,-0.02915497448011578,-0.1145407832037697,0.02006147100061495
4,1,-0.050233729837995345,-0.03239732399789641,-0.054459140882854806,-0.03796572688082765,0.07193026033186832,0.05172778564722404,0.05432814115217027,0.0463848978903465,-0.0371607174581159,0.03869439416795814,0.1060327829229653,-0.004566229472833805,0.0405283390856947,0.03646182619840785,0.07948079490255741
4,2,0.0091672816438967,0.007640469570692823,-0.06032696577086413,-0.04129185749865816,-0.07081338696119586,0.05605973090281002,-0.11366166039570079,0.21261221120494309,-0.025114890739239906,0.028064453196419523,0.057723309594264666,0.08320761871702502,0.0232458560658515,0.023606277682147597,0.05924089523535023
4,3,0.0,-0.013275226015387803,-0.051996305855056844,-0.03765383332019821,-0.03607346929943511,0.04604690783669635,-0.16622570313049434,0.31680089794376065,-0.01792259128849444,0.025060856835059472,-0.01437051287668982,0.016104563876872924,0.021985987189215114,0.0741876879844751,0.028735258774627875
4,4,0.0056170440328457,0.0,-0.05194709534666424,-0.042144217024334185,-0.032921234887638255,0.05957768796871403,-0.07064329951032278,0.1216092606802325,-0.02697838018020108,0.024236381158799752,-0.015641240399217646,0.08769793090539992,0.04974136521545912,0.01784397823605656,0.06429766903812473
