f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_distr.kurtosis,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_level.lda_qda_10,ela_distr.skewness,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,ela_level.lda_qda_50,ela_level.lda_qda_25,ela_meta.lin_simple.intercept,ela_level.qda_mda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_10,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.max,ela_meta.quad_simple.adj_r2,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_level.lda_mda_50,disp.ratio_median_25,disp.diff_mean_25,disp.ratio_mean_25
1,2,-0.2075126372533762,-0.197822300438955,-0.09224621929150001,-0.011875839894003759,-0.12142200118284485,-0.06818168824119591,-0.01250507602905604,-0.02902164990970213,-0.007480327889518301,-0.02285196502129283,-0.00199871498428017,-0.01867186884855143,0.0,-0.1018039281311981,-0.0059654477473012335,-0.016429914311652527,-0.00017791252340981778,-0.013471814488111411,-0.008184389983816098,-0.15573698940026737,-0.005859229318979864,-0.01580128951169446,-0.004955317287280159,0.0,0.011404684733867021,-0.009699942573309084,0.02229340093485288,-0.009130015396692892,-0.02906338860852331,-0.021679139447151385
2,2,0.188291918298908,0.15596082975316072,-0.09393998649615654,0.0,-0.04211894686547635,0.8190027338394701,0.02550283045674684,-0.05219172032288699,-0.01749608014336035,0.7257278303230472,0.046382183047255054,0.0,-0.03780675442811199,0.04030439046913903,0.02522467616491275,0.0,0.04554402810980529,-0.021022848166498465,0.015197839664822688,0.017275901559266726,-0.01818810913087676,0.0,0.005939364794642188,0.04687073789498464,0.019548369860910242,0.05576499767014398,0.054085973830154455,0.02274040948898115,0.03231766866915198,0.033076025535458964
3,2,-0.0375091387315207,-0.028782273553494706,-0.11658381280334817,-0.010019559590653981,0.0,0.2888785944412252,0.09204871366474526,-0.04110795021989283,-0.006753116535965553,-0.07218135200418208,-0.00929917080910006,0.020221272551974617,0.028361976542056716,0.020456811134148795,0.0047255068758136065,0.0,-0.0023976407492011798,-0.005645746127354995,-0.003325282428452342,0.011287945741323385,0.01568883176785002,-0.025308798192234166,-0.005332162058889783,0.04992741060731953,0.010111369288275746,0.035118420178797294,0.03992694925940299,0.006532586570460061,0.0019897397307920422,0.008877814495895364
4,2,-0.010795764060045523,-0.003571436822551871,-0.12497060188981801,-0.006290459686047113,-0.02975423418063912,0.09182033255135871,0.0666773544692342,-0.04711039933399938,-0.012291923494341144,-0.03448007835792291,-0.0021901276383996804,0.01754144142695404,0.04071193006652347,0.03031928849204371,0.023992453991182633,-0.01585427945258596,-0.007891571493100547,-0.00407289514499648,-0.006168280872358937,-0.036027442524528476,0.009440644825173754,-0.016907255439945708,-0.002244835068422102,0.05186891505521224,0.015807341966049937,0.04173233781450195,0.03653444779729911,0.019469407839517297,0.016947296014465707,0.017007583869054863
5,2,-0.1178451982924612,-0.12126507158349492,-0.08225705848790443,-0.015244053566637605,-0.03403241131716905,-0.04764305953818454,-0.02856146484938088,-0.003380089360773164,-0.005648421334510989,-0.03150261254964806,-0.02199982896814673,-0.018722388822299152,-0.0042296582502256985,0.016191970521254484,0.0,-0.02275551009133797,-0.023014080447716023,-0.009357697109136337,0.012187879809138547,0.04190554460358048,-0.019857561632298737,-0.006348158603930287,0.0,0.03870260300652073,-0.00176558579851549,-0.014321509839246294,0.022365464874074786,-0.025728461730668173,-0.028069007009142694,-0.015352017429717923
6,2,0.15613952786051344,0.10115922225892511,-0.12291694591806993,-0.006200657035755952,-0.024314740468833806,-0.05277013301319834,0.02696419855569801,-0.03722947070166768,-0.007961203147279355,-0.04362285522566765,-0.011574878263549596,0.08970209523210257,0.0,0.009625946493275278,0.0,-0.00913687176621475,0.0,0.0,0.021056211706741018,0.009291114384755439,0.04990236730767669,-0.015723892819422325,0.0050390546298710315,0.04409611866287294,0.012058923595257648,0.016342474353045727,0.03045639932497224,0.002025123900285003,0.0,0.00462824127528369
7,2,-0.058406752217118676,-0.06771483297554992,-0.10176341229274462,-0.014039604132320804,0.05154220195980111,-0.06796717978839315,-0.023791426153998513,0.05254949946949279,-0.010903291324323772,-0.041327919844190875,0.003121926350213189,-0.025780859526531044,-0.03477972630135591,0.010937676769352839,0.0,-0.016083092784534306,0.03764989928583404,-0.001614895349672893,0.037210429992205404,0.011960974852503303,-0.014590691616613555,-0.027532749078270607,-0.008956546642756497,-0.001331900918318113,0.016197818532384195,0.005898947768783955,0.03610707523850955,0.004094356322645015,0.0043535073880528324,-0.003955791839773237
8,2,0.150696546065605,0.10590026632542288,-0.11263342096355267,-0.009185425188829144,0.01683500351327144,-0.03456970123624259,0.0,-0.03374848598053526,-0.0027638691866804233,-0.03917340763702176,0.0,0.180560694310265,0.015277565895251477,0.047810096499439014,0.043258827598785854,-0.007100993350639795,0.005597974691517682,0.0,0.01633298401254829,0.003736326523469058,0.2140433995693486,0.022167721038013566,0.0032495029188912006,0.06576589029468072,0.009697813800350896,0.026128368449474304,0.03246790917807574,0.04211899211995718,0.05020315360579147,0.03924216004202963
9,2,0.27384386432955315,0.20688042093547043,-0.10899473925715558,-0.009515768885610898,0.0760544133709844,-0.0367531188764508,-0.0018212121667775527,-0.016140547963193752,-0.02051372396588111,-0.02921052207739161,-0.02192740854895489,0.0,-0.026202400416019067,0.050072427827596466,0.03754284553722667,-0.0053231721339926374,0.0,0.004247752038713415,0.006071759238646279,0.02443051698968296,-0.015184017342590894,-0.02013089388620226,-0.006989353411904001,0.00918142375488834,0.005479257038394192,0.031134140746045508,0.02228592975417243,0.02483534362619952,0.02622688034027723,0.013018114872582864
10,2,0.4811322960290746,0.41869551834698426,-0.056252375891020945,0.0,0.0,0.0,0.052389488936184225,0.8421667725248875,0.0,-0.03952467998940079,0.006064962203244484,-0.06765454311223507,0.01850047761343876,0.08245679151597096,0.02378529052729017,0.015533395847463938,0.020950324843971746,0.0,0.23009079650232378,0.14315206243179124,-0.012945451742444547,0.0025305701706450634,0.0,0.0,-0.05969803825008313,0.0,0.058583315355065224,0.08859232789251625,0.07765597501491639,0.0892788233495625
11,2,0.15368048357913894,0.14576558280231622,-0.061687243356703975,0.0,0.0,0.0,0.0,0.04613304362146384,0.0,0.0,0.16360613389966228,0.0,0.0,0.0,0.0,0.32620023668771686,0.12321397548070173,0.0,0.05800990413685797,0.0,0.017122641311190734,0.009648077856578792,0.0,0.0,0.0,-0.2186745433466749,-0.6120851051030828,0.012844577998971568,0.01701575647317082,0.017713018727089552
12,2,0.3959256652017249,0.49331234467529006,2.4124725252396084,0.15493610062791063,0.03632327228962495,0.01840789112553809,0.04456053409254279,0.0,0.2494567991209946,-0.07090585543818895,0.001765595175584611,0.0,0.1381259970535864,0.0,0.016408062337844864,0.045000486974363874,0.00512527585493161,0.08415817013683835,0.0,0.0,0.015222639649367764,0.06732591744983196,0.022299090036681513,0.07234123269948478,0.02114986314581646,0.005979711811890276,0.02034574617997542,0.016902627596934394,0.0,0.0
13,2,-0.10882507083114164,-0.0955055781950849,-0.10163676584656584,-0.004219558374088869,-0.10714096381566754,-0.060031328896694824,-0.02819165222128353,-0.011303354111498173,0.006410741466156222,-0.03406814937813721,-0.006585343280062134,0.013232954513379948,0.09602769454012317,0.031220995470304325,0.03667984529727668,-0.011033189951706879,0.00803393961560403,-0.013833154284442067,0.01190918868325816,0.020281283906518302,-0.011833458479260359,-0.009423725138769393,0.0020677761373642523,0.07660712821369861,0.012389044096627291,0.007965510847584067,0.023812537918656063,0.02820877955439642,0.01903779297287092,0.020440117077225345
14,2,-0.12572262900011755,-0.11476674050858338,-0.11978438636154565,-0.008087967711211563,-0.021419217119346634,-0.1057925648302166,-0.014780131295062338,-0.053206306261885106,-0.022367289457722705,-0.0405124369448312,0.00017595688514776553,-0.061693072946221394,-0.10587628336950278,-0.007243296653066333,-0.015390212309560725,-0.0258007147435656,-0.008598918621440466,-0.010386683894255122,-0.02671494120201673,-0.019868006433453378,-0.07527463962380376,-0.08296208353581497,-0.005088975681511121,-0.029201035528655828,-0.004613949364078773,0.07310607287309101,0.023287023820788733,-0.03935297773695512,-0.0548072930148652,-0.059384852865072446
15,2,-0.06757208641148438,-0.05018355140042152,-0.17193585569908526,0.006915765965881948,0.06268966155661496,-0.07676684830197827,-0.014343568477131197,-0.031933220491752456,-0.042940840264979185,-0.03921525265610962,-0.008558808336826651,0.017298236554356694,-0.051378125415891485,0.03990265451760344,0.02520823659069954,-0.025944717115838623,-0.0023291295795568323,-0.010481306663091827,0.013490629956042444,-0.09052246673006914,0.017892078137766942,-0.057142313461189254,0.0,-0.028103627905665507,0.006302491912361319,0.007900116453765538,0.01902671984253848,0.02092674951084078,0.03323720685560794,0.03266367303478579
16,2,-0.0807787386253006,-0.08075959307581909,-0.07919269318015776,-0.012449770247839664,0.017562636112080088,-0.02570960173945913,-0.038731895078163436,-0.060300166464435034,-0.006753764640797633,-0.02671623313450594,-0.0288351349201888,-0.0024058989988818835,-0.05122122097925308,-0.03859829553054883,-0.03777035110946314,-0.0445413067147189,-0.019323720783101184,0.0,-0.05894723711031541,0.0,-0.0067173137937811545,-0.0011867576660526957,-0.018615523430553005,-0.09069729520327785,-0.014551519241696953,-0.009837327523436135,0.021641659244652944,-0.06124175584256564,-0.07146165612638683,-0.07318078004237893
17,2,-0.14862998451219567,-0.11769310312336312,-0.12202321550793149,-0.011188520976791905,0.0538152474311544,-0.09085829521177491,-0.026977596870312426,-0.056029369679436,-0.046865908662119815,-0.02709711363461309,-0.015985916548419632,-0.0006853647985355371,-0.041306327280886235,-0.06550428258667923,-0.06670393809528846,-0.017431089917798293,-0.012961887935086791,-0.003266357000141884,-0.0388917975375227,0.01909249083993292,-0.0031616267378373752,-0.04562706150749851,0.0,-0.08419731978117373,-0.001974325709440894,0.02463548962262585,0.014512210947579485,0.0035995525348112567,-0.00638974347072474,0.005535654916410393
18,2,-0.12408908119282636,-0.09065837256156839,-0.11569139599411676,-0.016230023950826178,0.040726422691630515,-0.09299443483309267,-0.02632854476737506,-0.05019864740507024,-0.04182475306801031,-0.026612520257254246,-0.014622551758695312,-0.003834463716724301,-0.04297348820400554,-0.05689455944382471,-0.06366717206908656,-0.02934402270445563,-0.01098285999255083,-0.013688938449833654,-0.018922136158377234,0.015380500818910514,0.0,-0.04217934709958615,-0.004103440539534764,-0.07049747420894076,-0.0011607957955561687,0.020786495788099046,0.018695652664425855,-0.0027880593090722217,-0.0003661084588617025,-0.013477739703263492
