f_id,i_id,ic.eps.max,ic.eps.ratio,ic.eps.s,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_meta.lin_simple.coef.max_by_min,pca.expl_var.cor_init,ela_distr.skewness,ela_level.lda_mda_25,ela_meta.lin_simple.intercept,ela_distr.number_of_peaks,ela_level.lda_qda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ic.h.max,ela_level.qda_mda_50,nbc.nn_nb.sd_ratio,ela_level.mmce_mda_10,ela_level.lda_mda_50,ela_level.qda_mda_10,ela_meta.quad_simple.adj_r2,nbc.nn_nb.cor,ela_level.lda_qda_25,ela_meta.lin_simple.coef.max,nbc.nb_fitness.cor,ela_level.mmce_qda_10,nbc.nn_nb.mean_ratio,ic.m0,nbc.dist_ratio.coeff_var,ela_meta.lin_simple.adj_r2
1,1,-0.03252719011439886,-0.1674629491593207,-0.16350139578060274,-0.01719625837929617,-0.04647146995255358,-0.058061144505521245,-0.410048254669674,-0.01735951627511323,-0.01189014000301647,0.0,-0.02732590739385532,-0.02479595624151243,-0.0714294975093982,0.027209748896232733,-0.026373646029561826,0.03499954202279232,-0.08912754227415765,-0.008259809764789572,0.009090459249366245,0.01829852383342756,-0.042851774714865454,-0.09329986639055554,0.012916022598446819,0.0,0.0,0.0,-0.0028482583480299306,-0.006722421387118205,-0.004043240782850233,-0.03488293766176298
2,1,-0.03520158334067536,0.14723057623987756,0.11986599334418546,-0.031446789402831854,0.9894129271254379,0.7383806887631361,-0.034191321002794206,-0.032564058215633684,0.025611505630429687,0.01711986493920703,0.03108663139147927,-0.01709325830610786,0.019468152120011295,-0.01457090013555895,0.009874203157404837,0.040022732182167564,0.01362061437466977,-0.04645571033883744,0.032980009856201864,0.02397977485216951,0.06825697149585208,0.05246071019690057,0.010117896542516935,0.01683842265525226,-0.02166392563043429,0.016836121342738486,0.009294008317713542,-0.007748181089066719,0.05010640556483925,0.030488083146411604
3,1,-0.04126806649220224,-0.06272987773640382,-0.08419702107429117,-0.0410642840424105,-0.04547569363822915,-0.043334725953935546,0.15041679387367762,-0.028022594664304984,-0.011128570146298422,-0.003467461431776786,0.0248037700065043,-0.009148536982502231,0.019740699147945934,-0.004546397732039326,0.12262776335239509,0.01003884708187408,0.030051859832142314,-0.014296648234498194,0.014723618492124863,0.017778018431920062,0.10859788362202318,0.041393681454611475,0.0020098291958391135,0.006600069696957395,0.05728922986622295,0.02905818015902678,0.04306369316940012,0.005190919884802275,0.04215769539621941,0.02255025024077273
4,1,-0.05739894104429574,-0.04429143317186937,-0.046706133029841695,-0.021100684731898134,-0.04401826288439789,0.11260901478599675,-0.00656098166947023,-0.025593222235276207,-0.0164030788431712,-0.011703726961561418,-0.003702414976863591,0.006114364509991213,-0.009132076116133404,-0.018876353402007672,0.0,0.047198496399763916,0.03060065219414651,-0.0313841268539123,0.018489610413656113,0.04505668716405177,0.04078330554134066,0.033641258442785156,0.0,-0.002618771556197552,-0.03190579734889178,0.021657388883911576,0.03521193591643195,0.02479595855402071,0.03492386804989599,0.03122969054239741
5,1,-0.05073119963120051,-0.10058402421993212,-0.10465784427859126,-0.028427663578462548,-0.03713108309518676,-0.05928085139029404,-0.04721830959646417,-0.009543407033675622,-0.04644299265181823,-0.011028867158272504,-0.0170012254174427,0.00837366456808053,0.009523095710108037,-0.17292436713787152,0.0,0.0,0.04691712339407239,-0.05216558949780964,0.01956920884789448,0.02359969099039616,0.010754072977232298,0.005405078392609064,-0.06290898457853822,-0.004767772185554242,-0.02616859851900266,0.016397263711151966,-0.003408310810966597,0.020257870737785955,0.005788375312088367,-0.007234125779865819
6,1,-0.06074351729622271,0.10794735130518884,0.06282216743119311,-0.032860292863845855,-0.03167152407159259,-0.04144295253156164,-0.017048707883685496,-0.013876632535676711,-0.0016422612081494203,-0.014072726270019972,-0.03997170996734901,-0.05286673357428278,0.02599661254724628,0.1081122305274932,-0.0034335115057274046,0.018579336990854733,-0.001417363048162007,0.10234467451839979,0.022609358763407375,-0.02407821420774149,0.030650375851204212,-0.005996349301415627,0.0,-0.0046978512844882,-0.03163237403466072,0.03040814450713232,0.007140943266784799,0.013651847024772124,0.014049144529164531,0.024348070346865813
7,1,-0.060374518833635926,-0.08759924257725143,-0.09019799523881383,-0.02439181498582485,-0.047678341185388634,-0.0266363973125395,0.04071321738211103,-0.023422398692948515,-0.004088938581980228,-0.009580812068025607,-0.014633435668684108,-0.008882459968622802,0.0,-0.013790428694848672,-0.00455748880534837,0.020853065210536537,0.0,0.0,0.0253547979144029,-0.012354448747116692,0.013454824288525513,-0.005108376181573782,0.005137450970297608,-0.0011751936203464874,-0.041875010297730886,0.01646737454175845,-0.0019914236865729573,0.0,0.005075621979842543,0.010845975946828679
8,1,-0.05731262875098925,0.13724579201213563,0.08915891844911111,-0.02010513350989307,-0.05559161715305608,-0.029472076193801683,0.027243566797521324,-0.015958768692050707,-0.0138426582857539,-0.004239981272346788,-0.00411496553181967,-0.027550561653557237,-0.03906271348881285,0.0475841437492015,0.03205321427081806,0.023367078229895477,0.04408935889655646,0.041903975817989436,0.024516459501289778,0.019121351729565805,0.07668898015193285,0.017011680810905205,-0.006126845960765875,-0.007568317488512499,0.018712550308394194,-0.005778837737638792,0.03340495505946858,0.028709775964189277,0.03385512927434836,0.025974733252052018
9,1,-0.04591373280303804,0.335599165670331,0.29762673645671267,-0.03314595914253837,-0.040826180852309046,-0.03345070703756309,0.05969402167835636,-0.027589419702621243,-0.018253599804315013,-0.024409196447619463,-0.007212408331890019,-0.021126418989859563,-0.059265093127753576,-0.013689346891677112,-0.010109018136139847,0.07439183639962865,0.06427958830501765,-0.0354960221890569,0.026254359280564077,0.0,-0.012243724420752056,0.07234149052274741,-0.014152558187151665,0.0,-0.014846508309712736,-0.030429456644438607,0.03235943186547413,-0.003676905349827342,0.038579277689763714,-0.0036494618242854937
10,1,-0.04189226206413399,0.4167687402760325,0.32945578470725745,0.0,-0.030750638860412627,0.0,0.0,0.0,0.034758671579054434,0.0,0.06192712510912912,0.7864573263172141,0.024920088551745767,0.03561326424287281,0.040425812260196814,0.03057686284110428,0.08236578714246479,0.026834968183146124,0.052119394659181806,0.2021843898390523,0.0,0.0415818540703492,0.04628338024439893,0.0,0.008158341268265978,0.10520089456789039,0.03781446104604003,0.01504159299821406,0.016085338513531555,0.018940060629270672
11,1,-0.03861378496267264,0.2302310549947434,0.2217834541905131,-0.025139454745844954,-0.053170879573875826,0.01774158952076829,0.05635164387416558,-0.06815689684504923,0.2750306395546668,0.0,0.007025652953735556,0.0,0.07136948482392412,0.0,0.07443939048492171,-0.4895662763020604,0.0,0.03586162976482685,-0.5281208011824237,0.03898173484699999,0.01987696090508953,-0.02672072941958839,0.15289436841055887,0.0,0.044273685434596324,0.007024908196536651,0.010489788277048311,0.02907375040040945,0.017055423160127828,0.006148770887093952
12,1,1.2338919702640743,0.4318836443334355,0.5442631886436438,0.5944582206844689,0.013877377598283669,0.0,0.004774238144409582,0.374562497513772,0.0,0.13152347003193787,0.2266717141974346,0.0,0.013643170578920394,0.0,0.1853743427916399,0.036508022320053346,0.024966654006317368,0.040252468856454726,0.07253536921195325,0.03337909400853256,-0.00326730602006009,0.0,0.0381986339459659,0.060096995156354804,0.0851067495221054,0.0,0.0,0.0,0.0010878165532952622,0.030260661013834067
13,1,-0.05341188379390459,-0.08504870003318526,-0.09810849405727123,-0.029722563287339104,-0.05066723472632989,-0.04409338777150207,-0.10163715380055804,-0.011665169759091182,-0.01358408723123991,-0.003942504601299357,-0.0061332638103073905,-0.03700744056268472,0.037914689786106646,0.046853704352287306,0.056192718059494856,0.060994837971093584,0.02364699706827518,0.040875029168855194,0.01898446678454596,-0.0014846782938975345,0.05064569453483678,0.01262009045986845,-0.003292255743617245,-0.009771039414182309,-0.027340525591870404,0.022570713953651955,0.026843178814463076,-0.011941419847527258,0.023999352756120494,0.03279850186601524
14,1,-0.06837761606834314,-0.16516524894407292,-0.13999057060748432,-0.031554350738059456,-0.045754197759640014,-0.0642849813125711,0.020973385876879802,-0.07062381126638873,-0.017232529085176584,-0.0026914235202418757,-0.08425877167519202,-0.0552143404192289,0.019636536047401565,0.00651415256143395,-0.14993520611091726,0.0,-0.01353516706458402,-0.01926285338763445,0.011906527478861784,-0.02394359961684689,-0.030440988358166055,-0.01863809768561231,-0.03055583864678635,0.0,-0.10860873546192118,-0.019722029160068044,0.0,-0.0164995925976682,0.0,-0.004530947514707506
15,1,-0.05778165235834759,-0.10135863121653327,-0.09205748177926554,-0.045767075605537055,-0.03278378674149879,-0.042434000628309654,0.09350401170405151,-0.06373383121621795,-0.028636147082426455,-0.015209154366030209,-0.024727351188091606,-0.04161406906860843,0.002432884742572805,-0.02752926498994923,-0.03610852610265858,-0.002958980182088178,0.04591976027690503,-0.033420245576057606,0.012813708037904714,-0.005818026905354989,-0.012343728359629769,0.03625806017612926,-0.04294305082145672,0.003523317907796253,-0.11875551391296946,0.011901336939461715,0.028807057854320972,0.007340621726565799,0.029189226214982822,0.010416102828576301
16,1,-0.051707304107630636,-0.07857805012344982,-0.08124767378674536,-0.03161659724263988,-0.037974109083473484,-0.031156519477598787,0.02373686960634619,-0.011332333239463255,-0.008218672879567013,-0.007009766380232818,-0.01686118672537218,-0.0707545709561389,-0.006938256372535867,-0.006119872018840455,-0.03265322970000206,-0.02647064532855714,-0.07986369762814105,-0.005147639183823216,0.027760788090888444,-0.054892091020833256,-0.07130071857222309,-0.06327528248516573,-0.023368156107776983,-0.0016569721004133786,0.050909060713373866,-0.04381576762584971,-0.13273388468181035,-0.0881913494830795,-0.11913885449124262,-0.02059729758739892
17,1,-0.06375942976598356,-0.15099323472184545,-0.13151656261103073,0.02545073455602967,-0.046029721163070775,-0.07361039875390202,0.08235209544139085,0.03633676180999568,-0.02216011729259365,-0.008133081739867265,-0.03420822823996078,0.0,-0.1326596411297119,0.057020788101146996,-0.07095889229627253,0.01304993151546896,-0.02767877614898373,0.035322786814917684,0.011034005706439504,0.03084860222358926,-0.044760660438218136,-0.021239320271660145,-0.0037560039071838913,-0.003562222781049257,0.007272793422908208,0.025774329220485892,-0.010663900992873426,0.0,-0.009501100339060028,-0.006726455519104446
18,1,-0.077875869516977,-0.11262102654305053,-0.11162497062001045,-0.028324988575498006,-0.041004812267786156,-0.05309450655872805,0.10342502219084146,0.0,-0.01940145260098125,-0.009063639663347306,-0.032863773162972704,-0.029376636339544265,-0.049939608741746716,0.0986701815752413,-0.07722403386923357,0.02060807803993059,-0.020633199787250978,0.10394562526121189,0.0283778793358455,0.0,-0.040985677551644145,-0.004882446752635522,0.008696558871131022,0.004503104839679556,-0.03757920797246128,0.03394240675914055,0.0038848025950702775,0.028009526576428995,-0.004519376696870303,0.0026009791235470647
19,1,-0.05706272866327844,-0.20539643120299467,-0.1641401985726475,-0.03529669330108537,-0.03658673430655002,-0.04583536619136408,0.05428012575696545,-0.05085304911492866,-0.02574154230872866,-0.0098972773714468,-0.0036818392773877995,-0.07344321299443424,-0.007803006259435585,0.00558776142005718,-0.02359005621235577,0.021393766172797812,0.01204871567508714,-0.01180626870244017,0.010288175259932586,-0.07052506630346256,-0.02896840518688304,0.011688971489635769,-0.024283634735873583,-0.009149065291890746,-0.05063656880366052,-0.06754055518130914,0.012799273855382376,-0.018496474115068662,0.010608303187229329,-0.12014451542203508
20,1,-0.05843997896681952,-0.005339063526693444,-0.024198805963475123,-0.03042690192297226,-0.06220195185436006,-0.06713438242984349,-0.27136684576000747,-0.03794080221092666,-0.02009066946897542,-0.006804372034961537,-0.017289012072800647,-0.09309328816867002,-0.0035013150573565133,-0.18451144454162272,-0.01350416154624512,0.019156556381832335,-0.017020271643454266,-0.16258967752489706,0.02415837026752765,-0.06939353562551154,0.010800200227221946,0.0,-0.016443064204333335,-0.00742612596342318,-0.027244784875827932,-0.010524102749188025,0.006061360448953668,-0.009459648924851849,0.00934207268786802,-0.03197026549915716
21,1,-0.053770289952383976,-0.12369424487801012,-0.10306851926848992,-0.021533721030098207,-0.04236321892969308,-0.0405133677522902,0.027063482250548998,0.025788344047665668,-0.019151530419266705,-0.0008071232524914929,-0.02116376311243895,-0.05550604399441078,0.08303168031063285,0.008836604201370168,-0.017829259618869497,0.008244027990052305,-0.07859028986088223,-0.003615316307375216,0.02336224630851025,-0.04678395137027902,-0.08069489112357331,-0.0786022244249322,-0.02599117742153867,-0.011151518759151435,0.1402309819605398,-0.03322654551228982,-0.03615485117678874,-0.023527456813590364,-0.0467041723996226,-0.011617042311223624
22,1,-0.05777440726077576,-0.14611883567966583,-0.12549882606666218,-0.024853055558124615,-0.04498591307292332,-0.035133530359619136,0.021565577855238854,0.054002534971897415,-0.009792535331573649,-0.013985533830647157,-0.007020604984894374,-0.05699458803263646,0.0,0.0,-0.022313844305777875,0.03151242756198175,-0.02824439104419829,-0.0032546234931016826,0.013313393651321281,-0.0326970325095608,-0.06970248584883026,-0.03180841591497119,-0.009743779392349217,-0.004363741572876084,0.06020021864057801,-0.03343664495673393,-0.00559718625334138,0.0,-0.011690649214432025,-0.0144335679719787
23,1,-0.04437301935491533,-0.08705747629539401,-0.09755967302094548,-0.02572894497117917,-0.033572983469511763,-0.04234070434822551,0.03261731981276539,-0.005402810096269084,-0.006804439530231687,0.0,-0.029270845470993456,-0.0605639393729509,0.0,-0.006958717765588318,-0.03474134352161845,-0.01987111121976659,-0.09095165099012203,-0.0039689379773002464,0.00904602383938391,-0.054532688837979626,-0.08508020795534166,-0.06706069136135817,-0.02970980037497145,-0.0026007119629122277,0.05507827337775906,-0.04435550043316927,-0.1349193553853163,-0.09946454676298971,-0.11953762015148295,-0.01630069299350878
24,1,-0.05323290179365785,-0.09528889023040141,-0.0937851929023891,-0.030296081555443964,-0.0438138056934335,-0.04668044863529547,0.07271787720440698,0.011328975019269813,-0.009574790602747255,-0.0026547973543160075,-0.00712833460979162,-0.04917351918183166,0.005579111122707772,0.014614411083080009,0.10043431111642484,0.09599663040743084,0.02396134522060958,0.0,0.02511037912558084,-0.039170097863527126,0.04138656250946551,0.04877381421306934,-0.011225776144409366,0.0020094894442855282,0.15193319747278877,-0.02261920381981941,0.024000577926222344,0.014956629107819974,0.025249270812498434,-0.007747221113651004
