f_id,i_id,ic.eps.max,ic.eps.ratio,ic.eps.s,ela_meta.quad_simple.cond,ela_distr.kurtosis,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_10,ela_distr.skewness,pca.expl_var_PC1.cor_x,ela_distr.number_of_peaks,pca.expl_var.cor_init,ela_level.mmce_lda_10,ic.h.max,ela_meta.lin_simple.intercept,nbc.nn_nb.sd_ratio,ela_level.lda_mda_25,ela_meta.lin_simple.coef.max,ela_level.mmce_mda_10,ela_meta.quad_simple.adj_r2,ela_level.qda_mda_10,ela_level.lda_qda_25,disp.diff_mean_25,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_level.lda_mda_50,ela_level.qda_mda_50,disp.ratio_mean_25,pca.expl_var_PC1.cor_init,ela_level.lda_mda_10,nbc.nn_nb.cor
1,5,-0.04006436807991576,-0.19106665467328798,-0.1772014364990513,-0.04235395956488486,-0.031283238226914756,-0.012052078274651157,-0.007586360067779019,-0.01831002783306962,-0.02491559032324231,-0.009409703296162863,-0.3935203756870703,0.0804775756361425,0.0,-0.0034960686335916424,-0.19826240060406275,-0.014001773017394692,0.004340924186211792,0.06968233775416793,-0.023886424669571915,0.012571084016460121,-0.018903297867136515,-0.04702614292786278,-0.003255504998131209,-0.014928461522616399,0.021542132689130078,-0.009711579537824755,-0.05804448787151717,0.009148551315127817,0.03385862942600498,-0.058099127320951904
2,5,-0.018653749699792943,0.11090270340099162,0.11758483246726059,1.2358842899490812,-0.009820031433943832,0.16426666445007654,0.131516605619995,0.010435506300190855,0.011146192082298612,0.013465593138979437,-0.028428608855675774,0.0485590501865798,0.003270712874742121,0.006381134238832131,0.0,0.021413410180279424,0.0,0.04618859968221889,0.044073491673246146,0.05178027516905859,0.013443525146827562,0.03467129062820051,0.0300755940861005,-0.019482466906745932,0.03417788682990319,0.0058516184928973924,0.019408038694284313,0.015532756130828607,0.019429576556279082,0.01867081602500642
3,5,-0.06859878213725845,-0.044337603743980214,-0.04916535217048998,-0.06481863057775028,-0.021902152275378062,0.0,0.008643064814786633,-0.010427029399468074,0.16602876903762936,-0.011148806239041242,0.1778265049150483,-0.021926709819587387,0.03752450360431858,-0.011945412175029757,0.06596286598441475,-0.004491165267649422,-0.006887491074560659,-0.02383839183672784,0.0621198085081322,0.024351889196526116,0.005320434227297888,0.03716082669788662,0.04816243505003895,0.003853260749049403,0.026657413979892408,0.02113261282365969,0.025586726941444426,0.04915563490090186,0.013367733518637404,0.05878688247871999
4,5,-0.07468622857575842,0.002119935273458995,0.0,-0.06157381235683779,-0.029844226975908633,0.09906032299847936,0.016758796043071567,-0.00966548587188637,0.0,0.021286159101001262,0.015450850060841875,0.01921876437696486,0.07743083725872002,-0.005928686139170997,0.03739563166655689,-0.01850264970672308,-0.01704201683848816,0.01840395190641414,0.06852711324563415,0.02122264402789903,-0.007866551284512302,0.014486369623099349,0.024454603590976398,-0.02844096639960242,0.024580667562165037,0.02164903117731226,0.019603113612818662,0.04146011624395313,0.007707413431716742,0.04096544442475181
5,5,-0.05252898539800477,-0.09708305871566236,-0.08889322402982419,-0.05685658023227502,-0.044027252435459685,-0.032760733686208354,0.03980305904406045,-0.01597654114457786,-0.04809395691089341,-0.012921901581443351,-0.013814681334955614,-0.08942135834145715,0.02136780674600197,-0.003318646235039635,0.01661741996539151,-0.03356448964478931,-0.012202666192530076,-0.008970307002105993,0.030001023969029705,0.036947463469333586,-0.05780286815932423,-0.016930181104544084,-0.025098902041513327,-0.01643646928999659,0.010440579705963016,-0.0444575482023733,-0.0207898287384361,0.04689341277392767,0.029092855893319974,-0.018674334678246973
6,5,-0.08830727624930529,0.11469691282923145,0.08798235944105517,-0.057199725135022174,-0.038503319961221125,-0.007799261710985439,-0.004741202104745212,-0.015183177979772977,-0.03447021490171513,0.001488348379815152,0.018817828056999136,0.05386977272287223,0.014026731768163797,-0.010161331279241612,0.011634875456558752,-0.020461763456400883,-0.009218178610318137,0.03716267851869082,0.04284244098111592,0.015292612404457645,-0.0035559995723928317,-0.007787451478467225,0.03674141688909838,-0.01602160234901294,0.03193138619415507,0.021392634272663885,-0.00863550410606756,0.047521087725935565,0.009671615504953199,0.02016093329797425
7,5,-0.06835171215048823,-0.04258312094495298,-0.042223021061733215,-0.05960176144272138,-0.033385830574296144,-0.030228405793471178,0.03500284821624661,-0.022785898309641783,0.0,-0.020789845714070165,-0.007596042706771625,-0.06691325768088521,0.017803368324263602,-0.015260028686663665,0.04241673688096717,-0.011787524032490032,0.0068201242049185234,-0.04483414464106571,0.009692843084045749,0.017113860575376214,0.0,0.0,0.011590594703402748,-0.027229310149110286,0.049030276870598105,0.0,0.02569887435073341,0.015979809604089373,0.04173018896932832,0.012664436822441144
8,5,-0.07139330484662346,0.12090969707136551,0.09875226411659827,-0.05147805054237753,-0.027506168543912635,0.0033201335430743106,0.0028590266297235933,-0.026940682764207913,0.05125215784470344,-0.010590936248114025,-0.025985624336769486,0.16340206963881998,0.02893556834566552,-0.01142351384109963,0.05554804981247391,-0.014085461480435657,-0.012909113796158611,0.13889884236442163,0.05430293416798104,0.01930959521887249,0.006016066963802136,0.022308606126494712,0.03792439265215991,0.016403208005348557,0.03385163385091533,0.01632641723837852,0.0419740893523477,0.0146946631601646,0.028511387709367453,0.04396505972001097
9,5,-0.05647999021015554,0.28073774426240367,0.22827072648416297,-0.046581287423019285,-0.021115949844214166,-0.006345059815807408,-0.005581105738459602,-0.029485385216915322,0.05320904004203442,-0.02471698713640641,0.06637830775029646,-0.000328280288008409,0.0013925990165507829,-0.007766836873922461,0.04662224624457678,-0.012053027683663287,-0.009546892819338154,-0.004253101325359471,0.008367044508500898,0.009994455324510931,-0.007959882021719822,0.01826630467612672,0.03358306692970414,-0.009212490103444382,0.02425617270097924,0.046330086369760326,0.01899426491851597,-0.016246992655451986,-0.02812256438426114,0.018625423903773752
10,5,-0.08552856775836687,0.2582725889466375,0.24599435294800304,-0.020527229714146722,0.014625804360116734,0.0,0.058991377714670945,0.0,-0.048183417881970336,-0.0256946299686156,0.0488827894242137,-0.022743934179640435,-0.03340961501507306,-0.026293946395881507,0.038549236005888665,0.23480156554419823,-0.015914117279887174,-0.021846584402642366,-0.00925048733959244,0.05098630571624008,0.166773973791565,0.04054992281098918,0.03403532106762047,0.003644252108717383,0.09660541410921636,0.0,0.019819589953842698,0.0,0.02810024243144227,0.04793236156120684
11,5,-0.03646583384149546,0.18311901678171466,0.1484639636927391,-0.02996215918398215,-0.04713552835542047,-0.018127744314292774,0.08799582699782638,-0.01299485121461079,0.13626364577058786,0.0046537452865443585,0.015248196286443819,0.0,0.0,0.0,0.008049308267608843,0.12262539080042079,0.0,0.0,-0.047171723376093516,0.07332343216100853,0.11043471234161042,0.02216908140577356,0.019021502579205943,0.013006188190830686,-0.5150190761856234,-0.06201484662591381,0.01019318689947005,-0.056551388308388004,0.019601934549447003,0.016791866052596388
12,5,1.3788593540110035,0.18880281192596504,0.30496277947820083,0.015088628981005048,0.687859236760163,-0.07096403237271742,0.0104512688222691,0.464688755994922,0.008091222540238086,0.3536271622132672,0.015716036777985387,0.05181195596353594,0.16905170086734955,0.17333184236921784,0.09029288801331514,0.004439371995665464,0.13056237750989075,0.0,0.0042637738678508175,0.03610481644141128,0.0,0.0685056777600006,0.06620064598717956,0.09218751296056649,0.08462072509052798,0.0,0.11473985768903106,0.0,0.0,0.0
13,5,-0.059038950871446436,-0.050219112489126166,-0.060196697423914286,-0.055941651288434244,-0.030997236488388643,-0.014631756367450822,0.0039891470559874145,-0.007304964755686687,-0.1273757770803548,-0.01939628223963576,0.17505656577503786,-0.02226141236679488,0.0741774626533362,-0.007929583201825352,0.02201077093941186,-0.009875835905129155,-0.007036230109352483,-0.031299532247242925,0.06433671622630885,0.014752061164666999,0.0025352917559602686,0.04699832114444893,0.03119769313084747,0.0141129627524611,0.018683308245037097,0.019183384527705162,0.057981071243903656,0.03495114700325173,-0.002362545464622723,0.018691047850171297
14,5,-0.07344900735725968,-0.09631623608273465,-0.06128267588783276,-0.07149577982916389,-0.05527076067735992,-0.04321709155757136,-0.00017334218338593832,-0.051744856924825444,-0.01932918560902408,-0.03908303458063911,-0.03496014174991313,0.015098745893661836,-0.26605564091023837,-0.011126119985745808,0.015470380441705456,-0.01650816810386324,-0.012111538359647733,-0.006455194180964463,-0.010903830917764479,0.0,-0.003693284449939549,-0.0432406615606753,0.0,-0.09844007113747494,0.0071138296706727555,-0.06451248047234537,-0.03892206282570981,0.022682371957016723,0.014234614757740849,-0.004116679339752238
15,5,-0.07589585937152604,-0.08554444723235063,-0.07009255297731076,-0.06069789776473994,-0.03413976899495591,-0.016281538190914935,0.0035603225619822987,-0.047247323692377385,-0.08079336873988763,-0.025062194752051792,0.09767880090596016,-0.03560167775492257,-0.06198593969811128,-0.00410231732168953,0.03422472181743161,-0.012171511227995702,-0.004341220931432965,-0.033403172922682245,-0.01622083595264112,0.026156278818238676,-0.015817022243459267,0.03179927574115313,0.034213677335044046,-0.06594542522040509,0.016098655756085933,-0.01494786641486967,0.03937663825303464,0.008405754310111757,-0.0032300077037486497,0.01901272620237371
16,5,-0.06610570970833707,-0.043584167265339424,-0.06164263976606521,-0.05918349098217901,-0.025364842863673187,-0.020152307557095794,-0.033861229908346946,-0.017536541043466358,-0.012288310839903893,-0.021585477342518256,0.028534793289438865,0.0,-0.02263359354497263,-0.01232856737510779,-0.06116466885740979,-0.02682489304492236,-0.013836895580608577,-0.01525224078473364,-0.08785964047634698,-0.04054183254932986,-0.020854402488586665,-0.0810138891302396,-0.1397786630391057,0.01911137454426659,0.009297165130851714,-0.011658121401516675,-0.059189510025942305,-0.02781061024354703,-0.025871244431476037,-0.052630731519352936
