f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_meta.quad_simple.cond,ela_distr.kurtosis,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_level.lda_qda_10,ela_meta.lin_simple.intercept,ic.h.max,ela_distr.skewness,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio,ela_level.qda_mda_10,nbc.nn_nb.cor,ela_meta.quad_simple.adj_r2,nbc.nb_fitness.cor,ela_level.qda_mda_50,ela_meta.lin_simple.coef.min,ela_level.lda_mda_25,nbc.nn_nb.mean_ratio,nbc.dist_ratio.coeff_var,ela_level.lda_mda_50,pca.expl_var_PC1.cor_init,ela_level.lda_qda_25,disp.diff_mean_25
1,3,-0.2001030853130541,-0.18812954790573766,-0.022763461117145667,-0.03161141883643542,-0.022925407258502006,-0.10632793451634448,-0.01418561642834315,0.011875049290452244,0.0,-0.00827541332467896,0.09126580237294735,0.010747921009788997,0.038722910382374076,0.0003255899955131314,0.0,-0.02708942761306299,-0.2682524656757813,-0.00045714351594350333,-0.15102949652768893,-0.0064802303671706585,-0.03755557589962799,0.0,-0.052340316055505154,-0.031714766080948587,-0.033204937466737694,-0.04747659788848324,-0.006266170873442389,0.055341761450756866,-0.04561929734812842,-0.10047001270739409
2,3,0.28378991133480214,0.23313434139424016,-0.029582086032052368,0.580348429581367,0.0,0.026676064699971525,0.4104422747690233,0.006818404229392061,0.20872329725282757,0.0,0.0,0.03366236395417421,0.009314008560798115,-0.039632855707802506,0.034736933744983434,0.0,0.04877258066058987,0.11783660741229496,0.025928397608745213,0.033537901418563276,0.015710003714860532,0.01541679324119416,-0.05682970045076419,0.019798973489361105,0.04320082995704999,0.0027940087160485128,0.0,0.01986822192149229,0.051387490807305314,0.011663670703545126
3,3,-0.07597402730758385,-0.06871796083284909,-0.020753530726001362,-0.030353178731278907,-0.02278022052830922,-0.05238590994931408,-0.01755283627636406,-0.07066324820456327,-0.004778885298472896,-0.030976099538625734,-0.19108566664970528,0.009208530963551176,-0.012465767277661577,-0.02685188440793479,-0.0012775926913257685,-0.018286821243237106,0.0,-0.010720141579581677,0.0,0.10482677210908181,-0.026286983539604125,-0.03428521103332954,-0.07038989748736874,-0.009785532917901824,0.020803299730745184,0.01266079932913361,-0.008571334640839201,0.062487602487161176,-0.004789024692058053,0.018854136123962917
4,3,-0.06611241252652406,-0.05527027736701978,-0.02365859286381744,-0.0388429365233085,-0.012813349704865834,-0.0961093985497084,0.054673650665016726,0.0,-0.014831115456900579,-0.02379349885920673,-0.014219951098672634,-0.022112198601029864,-0.061968015572232193,-0.02003120939594466,-0.04208022798318997,-0.03600036747539226,0.01990496620404089,-0.01837247280288018,0.006471269548204706,0.028569416464931274,-0.03048192270276537,0.0,-0.06762906092622073,-0.020894250684922344,0.007331900521878043,-0.010628236978301508,-0.0041645797322138745,0.00021034754818261003,-0.020265313953788833,0.008333533553203654
5,3,-0.10361131991688088,-0.09353100635200978,-0.01626009849751603,-0.02301463023163608,-0.014504565452770096,0.0,-0.016221489889350377,-0.0005996776639846657,0.012271212268102794,-0.04168800209468665,0.0510748495388918,0.00864670661808753,-0.018531541067921764,-0.013513743151419122,-0.1041648699431783,-0.06392343227747188,0.008439694480063265,0.02033061819760429,0.005783500002237624,0.046890536479950506,-0.012995648542358795,-0.028560571656714495,-0.07965268847016643,-0.035512434930432435,-0.014686140679203707,-0.022645006727028405,-0.004232066072236862,0.04759776319007897,-0.05695531106152946,-0.009460158182992062
6,3,0.11680072866086988,0.07686018032290395,-0.012146605023484938,-0.024628955152853557,-0.016921479869192967,-0.016985091722080826,-0.020787298919152323,-0.04279567444007036,-0.03504798949199191,-0.02790256686560208,0.030695991181729373,-0.014878004434051115,-0.02799639225164852,-0.02490953541176861,0.06567053799217691,0.03370352534246485,0.0,-0.01651274154019198,-0.007624716655927977,0.03917266177891643,-0.01937632747489549,0.0017474346631188176,-0.06448813877341047,-0.010987564523995828,0.01570327028388361,0.003916220787075731,0.0,0.0328263766717985,-0.000536351174232827,0.0
7,3,-0.1013893890304915,-0.0895553938361432,-0.015566084251907863,-0.026523649906163294,-0.01592745314680638,-0.01036174626578501,-0.02272504275408266,-0.01800059459821829,0.007139287624369439,-0.023671621641219942,-0.007283353944451898,-0.025732477419047495,-0.01087146307852882,-0.026100443750834312,-0.012712495080336617,-0.01972834847358662,-0.024500045212372146,0.035070858681923084,-0.043790818586599944,-0.05151315581322935,-0.044166120385101426,0.0075520364854436695,-0.07040904965360656,-0.02149990978978117,0.007086773647290934,-0.005116868599736979,-0.0030838933203089502,-0.005215965493239494,-0.01108026452598665,-0.03205616082036511
8,3,0.22091104399614103,0.15412830031361258,-0.008620828140342374,-0.022097196538295893,-0.021924998036055854,-0.024544642912788905,-0.011313910045185671,0.022421517878373154,-0.03243307257729344,-0.025314534350807882,0.04217404777829209,-0.004198096399111728,0.004335763214506239,-0.021150797579381653,0.1437789776855466,0.13411792327711075,0.03106918917983409,0.0,0.013150215722667058,0.05492712076711498,0.020407577669067756,0.006551132179397734,-0.052682143939177056,-0.0032052723158709218,0.024848764808790197,0.02014507967957091,-0.0037122055300709,0.003239331977107851,0.016195807141912988,0.03776754343611155
9,3,0.2660395307113931,0.19337509191055674,-0.022815515424027655,-0.02686225420499283,-0.015553067661621234,0.04537285997649987,-0.012276044533292563,-0.008388919647971671,-0.0011598537199835057,-0.015568451883352707,0.008769782030172368,-0.01950795933962901,0.05519515695503724,-0.03316832443957246,0.006393968356975088,-0.013612787923025893,0.07867974272423378,0.009509240042192835,0.06143054250255514,0.003019299438940748,-0.007171037504698385,0.03203055533607241,-0.059118757688670476,-0.01444026759782241,0.04096651736478213,0.023567054271222132,0.003779991518445991,-0.019237400433417262,-0.017306512608583846,0.03332754396170601
10,3,0.5091083980914676,0.4385739269293316,-0.008762029571914853,-0.01497240857394555,-0.02718948998690962,0.048808775282352945,0.015110354987343477,0.018173200677267465,0.13839691125370934,-0.017289325472199746,0.051122248244618085,-0.031854340279446225,0.028925516025005926,-0.021175241688899504,0.05969826564060554,0.05970053118962371,0.061943459289044656,0.13693384098009154,0.05247963840070602,0.0,0.030286725375538448,0.006270479615068991,-0.035618050917031296,0.2304955677870837,0.047594148434428885,0.04920761467510082,0.02636968752268487,0.01311349134767914,0.3246209690665687,0.08416741161576446
11,3,0.2786274818867777,0.30983861877792007,0.0,-0.07912022319517997,-0.025321658751519704,0.04845243554916667,0.016273812864668113,0.04955216373779037,0.12010623176165758,0.04469358956895075,0.04500811823150552,0.0,-0.01336810314883452,-0.03174503802695061,0.0,0.013126728393025089,0.023217130393082486,0.133646985774027,0.0,0.027657265264533715,0.0,0.019568860965423318,-0.05192504925845598,0.1394102720537076,0.045804850507538464,0.08455968530451108,0.0,-0.032097588528542664,0.011533690571611355,0.06169094018882504
12,3,0.13773882027448203,0.19101063443227284,0.3353402940472896,0.0,0.34085476744281884,0.0,0.0,0.17856502008870279,0.024971483284144336,0.5743341230937284,0.07124496159787341,0.19442749491930567,0.0,0.5518529625939737,0.01652890532668172,0.0,0.0,0.0,0.016598208708678897,0.0,0.04487521990188825,0.0,1.6279221249451858,0.0,0.01712781953774356,0.0,0.0,0.0,0.011191321355394912,0.0
13,3,-0.04806904006499774,-0.050674565053690446,-0.010971601036751683,-0.026521379708397685,-0.01840687285004336,0.060209549968451515,-0.013964185087993991,0.0,0.013276848179588269,-0.019766225890097966,0.08303839618213893,0.005473411464396283,0.04899299520433545,-0.029546624425554918,0.008702920518785906,0.022269900477195848,0.08309508363531276,0.01837552537262399,0.08612992802544028,0.04070343519464542,0.018085092428646643,0.04328042706250765,-0.07503499438653244,-0.01302643327186323,0.0441429896645083,0.03674950551911521,-0.005646089172360952,0.04443269309231687,0.010403973893089502,0.033855821433565636
14,3,-0.10893361507475119,-0.07521926354139491,-0.015521735754216226,-0.02732628431254236,-0.019380644709268424,0.06325141346962437,-0.03264205766671999,-0.026366596190404934,-0.0133565786617936,-0.030588881426539427,-0.05789880638263312,-0.04540054568677482,-0.024748596063534578,-0.02825852058091538,0.01530692906910519,0.01752990268385418,0.014705528359335085,0.01528195565119142,0.010794736701503022,-0.018268522526865838,-0.055665635408866654,0.002514159860441234,-0.06294791741067685,-0.0216248733602743,0.025950392992554056,0.014302271438574654,0.0,0.005629204926500819,-0.008465735260475948,-0.010747485498654896
15,3,-0.07894870767435652,-0.03718833861792181,-0.015740538675978022,-0.024559266901349505,0.003215201120370964,0.1816864777236507,-0.02486602840643648,-0.02580178574082148,-0.004236400552051989,-0.034025395515237616,-0.07609827496006111,-0.05697502175036234,0.0036116715976127756,-0.042972671859964395,-0.004370039732966208,-0.008681882863647128,0.01810027589500518,0.013814145253296328,0.00881758743290495,-0.04184315402125027,-0.059630137918288556,-0.005135800537348606,-0.06504125533880747,-0.030806918509507092,0.020438529331150534,0.02241302085157104,0.0,0.0035520314978553236,-0.01733882574764481,0.003578781370292994
16,3,-0.06525808713594328,-0.053437733259937725,-0.014814600515651977,-0.03042196330596514,-0.016446874306748405,0.005442664934884267,-0.025759268437234972,-0.02413516885898137,-0.05400722698239735,-0.02785142142231367,0.0,-0.0032226531038200834,-0.011509146468544507,-0.025281892628721603,0.0,-0.006013512310679481,-0.04159181151489966,-0.07010019287355373,-0.037273766312590606,-0.07024663585399538,0.043695423236485564,-0.03994704897562251,-0.09791760572922881,-0.020154346075600293,-0.12469232511256079,-0.11347263229999405,-0.0064999693311514894,-0.04108050929049373,-0.04777429091325025,-0.05403342209370443
17,3,-0.17975569931017793,-0.12834197896799604,-0.013353441716644876,-0.026086336577760272,-0.01993388801054402,-0.021172032785067074,-0.04587990012679788,-0.04096127795217219,-0.03170353888543592,-0.019468676555204012,-0.016511438951627766,-0.034813274863734645,-0.004213884092979958,-0.030875376090015005,0.009637869714613168,0.014948843170077497,-0.03321020253400636,-0.03497113535046398,-0.008169239331646927,-0.040871129318049704,-0.05025321519254555,0.0,-0.07815532291427829,-0.023853557022367133,-0.02435907591282671,-0.0257692109932266,-0.01160840130036267,0.018765439004067908,-0.03435725781065796,-0.03592665785258875
18,3,-0.16831435006137463,-0.11660987680004964,-0.020760776727839214,-0.02075951441222812,-0.01133589042148525,-0.03293274781459726,-0.054566131492820025,-0.02892706132975531,-0.032772972196092987,-0.022322063965349193,-0.005120659281649287,-0.01968168437533535,-0.013200938395160955,-0.0382402446784732,0.00833978584241124,0.005031098400756717,-0.0026328179687319375,-0.03752401070012534,0.011356377668165718,-0.012443110210616615,-0.04586932559903911,-0.02101928861288105,-0.07370028490524888,-0.010216593853370204,-0.006292178691306105,0.011697867350045354,-0.007895975689617085,0.019815383650432006,-0.02208917645430264,-0.002995468651421085
19,3,-0.2094359319412641,-0.1620904925590756,-0.00539834854140675,-0.024447180180790617,-0.015205522059435095,0.1015893236354578,-0.012271040091879959,-0.027353139816793437,-0.0640497674709597,-0.02446516869282156,-0.014702150803943825,-0.047002178783006,-0.013452811164473943,-0.025754452195326016,0.014200800979931039,-0.006014437226212865,0.013038161375246549,-0.0838202858730217,0.0,-0.003723846889055471,-0.06489871725599694,-0.011013508085114365,-0.07298260937733847,-0.02697458993603319,0.024335361638342434,0.01214635953699067,0.0,-0.19075214741895535,-0.030019485359467912,-0.007501995198930023
20,3,0.0,-0.0036258520920328108,-0.0010298369117600625,-0.03371384217996731,-0.026106464914239402,-0.3127605569939691,-0.03842166464137847,-0.0326160380488989,-0.03633655455287765,-0.02186829896017567,-0.0026680748519571362,-0.011865816939603646,0.0,-0.03829050821802382,-0.21524913153815617,-0.19270860378995686,-0.002108400781349329,-0.020546884359307738,-0.0031948317306348395,0.0,-0.02061249591112535,-0.0055909029866194615,-0.07392075456813274,-0.021245837938932588,0.0,0.0,0.0,0.0,-0.014711948004605957,-0.01880278743042174
