f_id,i_id,ic.eps.ratio,ic.eps.max,ic.eps.s,ela_meta.lin_simple.coef.max_by_min,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_distr.number_of_peaks,pca.expl_var.cor_init,ela_distr.skewness,ela_level.lda_qda_10,ela_level.qda_mda_50,ic.h.max,ela_level.lda_mda_25,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_level.lda_qda_25,nbc.nn_nb.sd_ratio,ela_level.lda_mda_50,ela_level.mmce_mda_10,ela_meta.lin_simple.intercept,nbc.nn_nb.cor,ela_level.qda_mda_10,nbc.nb_fitness.cor,nbc.dist_ratio.coeff_var,ic.m0,ela_meta.quad_simple.adj_r2,ela_meta.lin_simple.coef.max,disp.diff_mean_25,nbc.nn_nb.mean_ratio,disp.ratio_median_25
1,1,-0.14494000362990056,-0.05024047934516501,-0.1529251711953431,-0.048816609548675616,-0.031438391547922495,-0.037986106043928713,-0.023812986973328565,-0.3079135013993106,-0.01851047000063133,-0.006858837828022657,0.009571159496089665,0.0,-0.026860483366847432,0.005995139588810705,-0.025535702881558153,-0.015478783178531241,-0.179778315728078,0.011353875786363876,-0.006820612618635091,-0.005678123822531522,-0.1680264919008182,0.01235982886232656,-0.005822505369494357,-0.010226121876553917,0.00019536837234412907,-0.002341744563945425,-0.009696974282931814,-0.034294587129986454,0.0,-0.02421224472582373
1,2,-0.14276345686314973,-0.0615369733290152,-0.15618172785591167,-0.03907780335995248,-0.028990625486498556,-0.03149128026091541,-0.023361430257824223,-0.1308803953917389,-0.0257881825434938,-0.02221292996210944,0.0,0.012351115354971354,-0.0328734643531724,-0.05906406029240996,-0.13716361588489123,-0.02839815110427324,-0.13109557249953374,0.024646088665866095,-0.03535471722858052,-0.012067053859658006,-0.05019623889729463,0.0,-0.01165791862595622,0.0,0.006449754540379882,-0.007040275515862171,-0.016751416277616893,-0.01956354427480722,0.0,-0.010395870388131723
1,3,-0.1973304999480785,-0.053621302574209606,-0.18666569998962756,-0.025851878959186836,-0.022853618787504804,-0.04469513001036163,0.0,-0.11138575186616306,-0.013220097127625063,-0.02844147328780916,0.03000932612203383,0.05987360058445623,-0.03369318127450838,0.012783866506897779,0.0,-0.0501466766596782,-0.24734171338605404,0.007737177781316551,0.002279514428548346,-0.011428020488985946,-0.1101756288625595,0.0,-0.030656687295903873,-0.02260729691717467,0.006167312089013777,-0.02750943152446328,-0.003138603327964562,-0.034436878041406715,3.322347794443292e-05,-0.03414419661252577
1,5,-0.19168643644118438,-0.045683440060097724,-0.1869719112042197,-0.02852694256051036,-0.018431563353434877,-0.03996985034716238,-0.009044879481247214,-0.1848172328120815,-0.01905139413638468,-0.013405304322037292,0.00944353762822836,0.017527367351189593,-0.01937525972053389,0.045971340429325325,-0.014198734725568096,-0.01935483182915476,-0.27083826332679095,0.01667422374508526,0.03792765161592837,-0.015913328352316736,-0.17185242614138319,0.018368583435123043,-0.006332595139600161,-0.008764678453348052,0.009759243099175863,-0.011653208649896829,-0.012692065098718563,-0.025784288860980498,0.008340714019422713,-0.020299811290278136
2,1,0.13290411320772355,-0.060760536229855,0.13372612369672576,0.42540976693514,-0.010963967973971256,0.9934205222961618,0.03341442903649261,0.026206836734502303,-0.02816255458536654,0.05650060435180593,0.0,0.01111315646989941,0.06579259037616603,-0.023401207113965317,0.029083897362335298,0.01592882469423129,0.052596149242901014,0.027574208016683754,-0.01890451111650049,-0.010245957461181732,0.04098545959192568,0.032322137391184835,-0.018449084719077025,0.03651043096455808,0.026502333474789586,0.04947610785823664,0.0,0.0238042178925435,0.014426959584177279,0.03195923573423398
2,2,0.22423906828271267,-0.031208760679412917,0.15915958511118777,0.46166367355090254,0.0,0.6651768874359686,0.0,-0.05966540731749492,0.0,0.00622487922444126,0.04535479513089591,-0.018926971969050355,0.10196387643836302,0.0,0.0,0.16784913037676585,0.04413803702310748,0.031164121183464788,0.00558498894250925,0.009382962249038673,0.06961879354096312,0.023609490579072356,0.0,0.0,0.01076161672514675,0.036827360801353515,-0.04258766487381471,0.030621392748432896,0.014442614846330248,0.03231811651647676
2,3,0.24349375175065013,-0.07303297608841286,0.20186109912535533,0.528927865953454,-0.03480358368880654,0.5136363631423817,0.07441628643548737,-0.013451509097099246,0.0,0.13304632998691612,-0.019397557529416076,0.017005257521531814,0.07435244149711973,-0.015096650136285694,0.021527609358571675,0.0749982679212291,0.019178829760320926,0.02404079215751631,0.017138746244313996,-0.01376521291647248,0.002823621478093341,0.0969534049113,0.01200623074001661,0.04435009078744656,0.021525712475270242,0.026263631609992344,0.003729005706203603,0.025307437308459413,0.016967413984646407,0.01704667986588637
2,5,0.12168716472841234,-0.02107114125121967,0.13240140685493662,0.24475105149967158,-0.03409448542212834,1.2281527188919013,0.011410957225701956,-0.022331864948153535,-0.020456067069518857,0.147021928462435,0.0,0.0061991679646346,0.06323709610839323,0.0,-0.02701411078431648,0.008718228478465928,-0.00910363150317095,0.024499465743480497,0.031112145301842697,-0.016451412725146386,0.0224181666224188,0.0536021539406355,0.011720384975367426,0.0,0.029045401452957087,0.04027003743574986,0.009580097409075838,0.012301071629797766,0.017583076758734606,0.023581277931542743
3,1,-0.0695005921235385,-0.05840788139331955,-0.06494169957511332,-0.0322067798454296,-0.02993158803264367,-0.044540047050030354,-0.012517222171145863,0.14919035975152706,-0.027264861744171608,-0.011866523834711238,-0.006386377888728076,0.034297511301210504,-0.02633090683710162,-0.018483133919014932,0.002007608938498856,-0.015603800264638801,0.02437618666605061,0.016177187754711757,-0.026776460869807558,-0.014871202591192383,0.025443176067996717,0.018280459056343644,-0.011986508250393036,0.030518889284637956,0.011897994067555978,0.05833255167294907,-0.007835467443074638,0.04369216817152048,0.031148472841229423,0.03618194458662365
3,2,-0.045418855107796606,-0.06335129658141943,-0.027025509599155173,0.4658428064719577,-0.025109898630680597,-0.05333430683932694,0.02957559318542266,-0.03433124828673541,-0.02668634520412274,-0.038200845392571126,0.010978679241236647,-0.0369672731161496,-0.019074832774669044,0.002575710916277979,-0.012531613821871596,-0.01678962820744922,0.011397683939101219,0.011662703931356794,0.00762791241110973,-0.011913136270572035,0.005265349759079191,-0.024232504497440147,-0.033660294708982914,0.009389539227029502,0.005979393417938524,0.027466051847170075,-0.0038974741992219702,0.0,0.01552069287940376,0.0029128786389266415
