f_id,i_id,true,predicted,treshold_true,label_true,percentage_change_predicted,threshold_predicted,label_predicted,label
1,1,0.00446834492162,0.0336463479582895,1.0977459561855567,good,652.9935255331857,15,poor,"good, poor"
2,1,0.4911863999145448,0.7915104609297782,1.0977459561855567,good,61.142584784001116,15,poor,"good, poor"
3,1,1.588518187265833,1.7037963765706765,1.0977459561855567,poor,7.256963768432585,15,good,"poor, good"
4,1,1.6949747254414391,1.778382807680738,1.0977459561855567,poor,4.920904187381087,15,good,"poor, good"
5,1,0.1239705023300825,0.1627922936149711,1.0977459561855567,good,31.315345630787338,15,poor,"good, poor"
6,1,1.4540801148752325,1.47208735984553,1.0977459561855567,poor,1.2383942800732544,15,good,"poor, good"
7,1,1.264907131539305,1.1425695627084214,1.0977459561855567,poor,9.671664091418888,15,good,"poor, good"
8,1,1.869546818605282,1.785880366638959,1.0977459561855567,poor,4.47522635612515,15,good,"poor, good"
9,1,2.520785301377974,2.494784657765267,1.0977459561855567,poor,1.0314501436712702,15,good,"poor, good"
10,1,4.339943152985812,4.096733359762365,1.0977459561855567,poor,5.6039856894467075,15,good,"poor, good"
11,1,2.1317479009844704,2.139377772495496,1.0977459561855567,poor,0.3579162201826068,15,good,"poor, good"
12,1,5.508481474861777,5.004739053877204,1.0977459561855567,poor,9.144850959078765,15,good,"poor, good"
13,1,2.012956227800625,1.6402264419885482,1.0977459561855567,poor,18.51653705452527,15,poor,"poor, poor"
14,1,0.0270197468343805,0.0991973308486787,1.0977459561855567,good,267.12901662889715,15,poor,"good, poor"
15,1,1.7946162095379976,1.7311178471518658,1.0977459561855567,poor,3.538269745288811,15,good,"poor, good"
16,1,1.0869794796679797,1.0291423896755136,1.0977459561855567,good,5.32089989501297,15,good,"good, good"
17,1,0.4975324918281835,0.3330194592909151,1.0977459561855567,good,33.06578670525922,15,poor,"good, poor"
18,1,0.9523957742717244,1.6312980044774277,1.0977459561855567,good,71.28362478559342,15,poor,"good, poor"
19,1,0.8102025481349033,0.8300646528466616,1.0977459561855567,good,2.4514986724592673,15,good,"good, good"
20,1,0.5317524284023395,0.5695334214007682,1.0977459561855567,good,7.104996795584455,15,good,"good, good"
21,1,0.9173178897873532,0.9006875050706818,1.0977459561855567,good,1.8129358319313367,15,good,"good, good"
22,1,0.8040909257718094,0.829923078847616,1.0977459561855567,good,3.212591045099965,15,good,"good, good"
23,1,0.4637278393590447,0.5463632709107559,1.0977459561855567,good,17.819812514583592,15,poor,"good, poor"
24,1,1.9033054737528767,1.839824778667944,1.0977459561855567,poor,3.335286739850724,15,good,"poor, good"
