f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_mda_10,ela_level.mmce_lda_10,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,ela_meta.lin_simple.coef.min,nbc.dist_ratio.coeff_var,disp.ratio_mean_02,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.mean_ratio,ic.h.max,ic.eps.s,disp.diff_median_02,ela_level.lda_mda_50,ela_level.qda_mda_10,disp.diff_mean_02,disp.ratio_median_10,disp.ratio_mean_10,disp.diff_mean_10,ela_level.mmce_qda_50,nbc.nb_fitness.cor,ela_distr.kurtosis,ela_level.lda_qda_10,disp.ratio_mean_05,ela_level.lda_mda_10
11,2,0.09444630257127044,-0.010379512823772348,0.10045729569450292,-0.026470058938021027,-0.01629382252379853,0.025036316953643594,0.024674502528936586,0.03905165614798224,-0.025383412496898777,-0.016839143416077534,0.0016676321240363906,-0.017966303311198393,-0.006963775800826665,-7.964139809594144e-05,-0.0076081120152407975,-0.014140713905913736,0.027402227629617526,-0.011597541127490925,-0.018539173435137786,-0.0024698125120335085,-0.007792773718110398,-0.007198103402285359,-0.005118589766107475,-0.0020972265034669433,0.0022345555999315073,-0.012120162364976945,-0.007182573223320821,-0.0023986055640670637,-0.0034128419444926657,0.012017865762299691
12,2,2.0617930308064687,0.8082142936558008,0.2790122603410071,0.33200832291332916,-0.03454350586827657,0.03873073364784174,0.01930317428916203,0.009868505816240769,0.06189533642928739,0.025173969899441425,0.03126810451295631,-0.0014052125253107154,-0.001381253278670075,0.010587085954487641,0.02825584971378613,0.026381235520373823,0.033284204443133625,0.02147974819008208,-0.000282853334491116,0.03212545179766466,0.029412493344092454,0.045301345129311756,0.029697811263430535,0.02265819108436493,-0.0025329511247494533,0.027304878156193098,-0.06329568398994381,0.06159901917430158,0.0210259561636931,0.000989699047102863
13,2,0.0706514436847035,-0.0538867634817307,0.103740854954492,-0.04801250353694471,0.014007250083831161,0.03424981001821572,0.01908855572012449,0.03853747141640729,-0.01778429117310123,-0.013612125195827647,-0.002355882087440248,-0.018506084231449504,-0.010441515066165537,0.002634589986365874,-0.007444037270598113,0.011982939644967812,-0.005812265443446733,-0.009966427660863234,0.019936927209729352,-0.006789623726960904,-0.005954978544789621,0.0029763837171519346,0.0024464967428537952,0.0023234545180077395,-0.00527215509235931,-0.003944232368361297,0.005901305250338376,-0.0009767828895757282,-0.0005642086774819614,-0.01875770274802214
14,2,-0.595799492959983,-0.18243434099648712,0.044482427119834404,-0.049502585504785424,-0.06175331745891902,0.01052822298481339,0.004288579755859392,0.013396435600748678,0.00031399405324062545,-0.008763433176883034,-0.001883554350029711,-0.009264754709134454,-0.009314779414613046,-0.013334113405106205,-0.002958194355124965,-0.007437549104996833,-0.006857065683072023,-0.01318797569322996,0.003845859951829374,-0.005755432366892891,-0.00809133106724373,0.0013646946288789629,-0.0038501155939998435,0.0022501749683076317,-0.003496623565251292,-0.016411139810125305,-0.010212517955156427,0.0011103299911119197,-0.006249065449446597,-0.0100945134345236
15,2,0.01357762215064079,-0.09933332397985312,0.0942550243625965,-0.040432943719079295,-0.04006679082830101,0.02605414619989491,0.01639134007995269,0.03364220523903863,-0.017000227243298485,-0.009134525011682075,-0.002433664966297825,-0.015572866436165506,-0.007142444595852887,0.00047914869015902486,-0.00637700214391676,-0.016568652354941652,0.0013138049004875188,-0.009345505383604959,0.013719521976723116,-0.000635757812392052,0.001982675656697154,0.005543044219415575,0.0018856627957623212,0.004012763306919464,0.00032392453433494566,-0.005127534012520716,-0.03037791438208035,0.003596369659855543,0.0009205071199261988,-0.010554406270735946
16,2,-0.5897475896980457,-0.1610169795957955,-0.17456416204428932,-0.042510426493315275,-0.04858931787133662,0.005603105789045511,0.006595691851333814,0.013375608804227848,-0.01579085044185398,-0.013355437712149405,-0.0016930591787400742,-0.008599251290462333,-0.00385466188089913,0.0024901205008484553,-0.007536339835110617,-0.011505511716890501,-0.008085829614872595,-0.0064077485643271506,0.005222651543152763,0.0042451236686548415,-0.003968783062253684,-0.006141213853227798,-0.003110848070511523,-0.0035411094660326606,-0.004547560333580421,-0.0003145380365834881,-0.013154345362525228,0.006358223958965231,-0.002259763174284094,0.003816632398676231
17,2,-0.5909193468533488,-0.16948782748308322,-0.16744166192916665,-0.04824059516449247,-0.07707293494552463,0.005937213753256876,0.008827111616073536,0.012254143356898917,-0.012310225170332412,-0.006383566929686274,-0.0014713799719053948,-0.00532414692716789,-0.010781172020087494,-0.01170360989070542,-0.006763958701530544,-0.001921459297279998,-0.032819846279437084,-0.0112638310456023,0.0023426955963886465,0.004539569455864081,-0.008015141010438199,0.0033811772408563743,0.000762566934347985,0.0018803990476998266,0.0013063759142311006,-0.005519231860933226,-0.0034593246159237163,0.006687195067809965,-0.004316311008211288,0.004537548077228571
18,2,-0.5718143375522716,-0.16424149672483848,-0.15699701947825406,-0.04802452299232812,-0.0670331134874148,0.0065193912701723075,0.010255952525399268,0.013197787379386205,-0.011741405862262851,-0.003564214042917793,-0.0014318094027856595,-0.006144290356544299,-0.006361026736859311,-0.011953591604188275,-0.0065181268549623535,0.01248878965698031,0.002731434902771852,-8.278997997914086e-05,0.003001434186062648,0.006541942070901317,0.0019337622068878152,0.002787848220775569,-0.0010711672863037178,0.002525104883251623,0.0018887922133955719,-0.005703378211469813,0.004303519959897023,0.006781898232160567,0.0008158963471937917,0.004477544036578012
19,2,-0.674950905849908,-0.18725971998148527,-0.2151178270205061,-0.048820844340437104,-0.06907856577867012,0.01034713797981072,0.008383525965894386,0.01459065369070333,0.026050205451695375,0.017565229530513572,-0.001122426758840661,0.01714416581021169,0.008266929211532907,-0.013210657097844797,0.013119154524632333,0.01131275121710573,-0.014285116671690561,0.0002549134086590421,0.0015459773128724786,0.006221950408874705,0.003581245920254627,0.00815337142278857,-0.005750850761598341,0.0025304425963197314,0.001640656934870082,0.00016398837048066443,-0.0005141276720697457,0.005724064953474693,0.0027783891731694567,0.0026514369798405456
20,2,-0.1349021664654214,-0.09879733933424938,0.021217468118712206,-0.05166321075437985,-0.02304109960884721,-0.23277047187360875,-0.22341891258763896,-0.3079608101871747,-0.007581315507187749,-0.0024797916768542175,-0.0014006828408155458,-0.012244351513692605,-0.011546206629885612,-0.011027773507055942,-0.016156740230890747,0.0024562006559196523,0.004857439054141653,-0.015180817840364192,0.00033653015838071076,-0.0028513626415070962,-0.005649634528791573,0.00457099688268671,-8.475786406429039e-05,0.002410305378247216,-0.012680477927274112,-0.006693976391530171,-0.0075143525874438784,0.005479485308363924,-0.0013609488328946567,0.0029336497400784278
21,2,-0.5462828350382525,-0.15607075001157805,-0.15259432624531205,-0.04114526126728221,0.11617680382127439,0.00177320019935735,0.006526158601072551,0.012833772956996479,-0.01426675682591222,-0.006686750352057803,-0.0014860927183240591,-0.010631146861404558,-0.0031013212957290517,-0.008229807183283226,-0.00942953541353932,-0.012569391630067057,-0.0053096323982523685,-0.0035627723901749103,0.004198685098846367,-0.004950134551853754,-0.0032945004049074263,-0.00521934633852876,-0.003235997195690629,-0.00011455301967113867,-0.0016809819638249682,-0.000385646425851589,-8.178638496950772e-05,-0.004086381903692976,0.0014841032923682937,0.0028921384161506576
22,2,-0.4917908104690946,-0.09263173162213884,-0.1429317115613754,-0.044869306717832645,0.12625186868125457,4.3940097678419745e-05,0.006771294062904681,0.013626984624947483,-0.010217997523370971,-0.003293483286649097,-0.0014919267240125576,-0.004918755601536798,-0.002935161943149483,-0.005530086541140866,-0.0054828932761778896,0.011401999651042745,0.0030166840784615753,-0.002157460851037135,0.005241195954902436,0.006352893212663023,-0.001117824914187538,-0.005028209453584918,-0.0033255454348778976,-0.00025402582049085257,0.004439574447200652,0.003136968008044486,-0.007867577206439554,0.00765089170429574,0.0037232387089282093,0.0031204265867717956
23,2,-0.6098277494063752,-0.1630418512629995,-0.18346254542608273,-0.04267027803207676,-0.055317510943115364,0.003931141858254674,0.006298320880294591,0.012963202132513965,-0.014943120259477605,-0.016552051244004072,-0.0017032952863877391,-0.007991427888591094,-0.004092999054460613,-0.009760317165546427,-0.00634903829770867,-0.016017539515930334,-0.02293001094353974,-0.006485663668241262,0.004044917135489173,0.003954289482584012,-0.0042860072955423064,-0.006071214580134688,-0.0025704274207672215,-0.0037269210712971654,-0.004644779057815871,-0.0002167902462742953,-0.014123946442946195,0.006228017299202957,-0.0024169964280827527,0.003129217784325912
24,2,0.04954592020455985,-0.12268655635306396,0.07601193928281796,-0.04263427327091552,-0.007901560966191979,0.0251956061349211,0.019706756756152837,0.03684422874566898,0.021031740307341763,-0.005969487042578002,-0.0020400779912403185,-0.005285047905607672,-0.005057201534341749,0.028856046884635105,0.00365010699849184,0.0043113416029721095,-0.0025276366730904334,0.017579017132901775,0.014576797447846901,0.00890799192103073,0.001119574256490256,0.011666658249330173,0.009794223678682181,0.0022846169900463172,0.010767738701338016,0.006687438504162158,-0.005537903148366687,0.009252959232443536,0.0011820627855076047,0.007647978648391684
